t,o,c,h,l,v
934236000,0,8,8,8,30500
934322400,0,8.4,8.4,8.4,36035
934408800,0,9.2,9.2,9.2,21560
934495200,0,10,10,10,37911
934754400,0,9.8,9.8,9.8,13033
934840800,0,8.85,8.85,8.85,0
934927200,0,8.1,8.1,8.1,23946
935013600,0,8.4,8.4,8.4,12924
935100000,0,8.2,8.2,8.2,3100
935359200,0,8,8,8,8475
935445600,0,8.15,8.15,8.15,13993
935532000,0,8,8,8,3628
935618400,0,8,8,8,5280
935704800,0,7.9,7.9,7.9,4037
935964000,0,8,8,8,1765
936050400,0,7.9,7.9,7.9,9044
936136800,0,8,8,8,3992
936223200,0,7.9,7.9,7.9,1850
936309600,0,7.8,7.8,7.8,1459
936568800,0,7.8,7.8,7.8,3525
936655200,0,7.7,7.7,7.7,4454
936741600,0,7.5,7.5,7.5,3356
936828000,0,7.1,7.1,7.1,10159
936914400,0,7.15,7.15,7.15,9724
937173600,0,7.2,7.2,7.2,7763
937260000,0,6.6,6.6,6.6,1150
937346400,0,6.6,6.6,6.6,5243
937432800,0,6.1,6.1,6.1,7046
937519200,0,6,6,6,11680
937778400,0,6,6,6,6624
937864800,0,5.5,5.5,5.5,5492
937951200,0,4.95,4.95,4.95,10019
938037600,0,5.1,5.1,5.1,14489
938124000,0,5.2,5.2,5.2,14699
938383200,0,5.3,5.3,5.3,9140
938469600,0,5.5,5.5,5.5,7475
938556000,0,5.35,5.35,5.35,3182
938642400,0,5,5,5,1672
938728800,0,5.15,5.15,5.15,1329
938988000,0,5,5,5,1152
939074400,0,5.1,5.1,5.1,6612
939160800,0,5.2,5.2,5.2,2000
939247200,0,5.3,5.3,5.3,4635
939333600,0,5.1,5.1,5.1,1194
939592800,0,5.2,5.2,5.2,4497
939679200,0,5.1,5.1,5.1,1003
939765600,0,5,5,5,6940
939852000,0,5,5,5,3400
939938400,0,5,5,5,4532
940197600,0,4.5,4.5,4.5,4021
940284000,0,4.6,4.6,4.6,1103
940370400,0,4.8,4.8,4.8,2000
940456800,0,5.1,5.1,5.1,10086
940543200,0,5.1,5.1,5.1,12972
940802400,0,5.2,5.2,5.2,7265
940888800,0,5.05,5.05,5.05,3026
940975200,0,5.05,5.05,5.05,1750
941061600,0,5.15,5.15,5.15,1596
941148000,0,5.1,5.1,5.1,498
941497200,0,5.05,5.05,5.05,1100
941583600,0,4.9,4.9,4.9,1448
941670000,0,4.95,4.95,4.95,4621
941756400,0,4.9,4.9,4.9,2424
