t,o,c,h,l,v
1531778400,0,5.07,5.07,5.07,0
1531864800,0,5.07,5.07,5.07,0
1531951200,0,4.96,4.96,4.96,0
1532037600,0,4.96,4.96,4.96,0
1532296800,0,4.96,4.96,4.96,0
1532383200,0,4.96,4.96,4.96,0
1532469600,0,4.96,4.96,4.96,0
1532556000,0,4.96,4.96,4.96,0
1532642400,0,4.96,4.96,4.96,0
1532901600,14,16.5,16.8,13.99,8463
1532988000,17.9,13.31,17.9,13.1,1882
1533074400,14.95,15.3,15.3,11.96,1278
1533160800,15.49,13.6,17.9,13.5,490
1533247200,13.5,13.6,14,13,362
1533506400,13.7,14,15.9,13,1183
1533592800,12.9,15,15,12.9,143
1533679200,14.95,15.65,15.65,14.95,88
1533765600,14.3,13.8,16.35,12.6,1194
1533852000,14.4,14.4,14.4,14.4,1
1534111200,14.4,14.5,14.5,14.4,99
1534197600,14,13.5,14,13.5,450
1534370400,13,11.02,13,11,394
1534456800,12.4,12.5,12.5,12.4,209
1534716000,13,13,13,13,100
1534802400,0,13,13,13,0
1534888800,12.01,10.8,12.01,10.8,145
1534975200,10.9,10.9,10.9,10.9,2
1535061600,0,10.9,10.9,10.9,0
1535320800,11.5,11.8,11.8,11.5,161
1535407200,0,11.8,11.8,11.8,0
1535493600,12,12,12,12,15
1535580000,0,12,12,12,0
1535666400,12,12,12,12,83
1535925600,11.8,10.8,11.8,10.8,281
1536012000,11.05,11.5,11.5,10,700
1536098400,11.4,10.5,11.4,10,422
1536184800,9.8,9.5,10.1,9.5,551
1536271200,9.4,9.56,9.56,9.4,121
1536530400,9.56,9,9.56,8.9,180
1536616800,8.5,8.5,8.5,8,315
1536703200,8.48,8.48,8.48,8.48,117
1536789600,8.4,8.21,8.4,8.21,110
1536876000,8.8,8.8,8.8,8.8,4
1537135200,8.8,8.8,8.8,8.8,36
1537221600,8.8,10,10,8.8,125
1537308000,9.5,8.81,9.5,8.8,330
1537394400,0,8.81,8.81,8.81,0
1537480800,9.98,9.98,9.98,9.98,5
1537740000,9.31,9.31,9.31,9.31,175
1537826400,0,9.31,9.31,9.31,0
