t,o,c,h,l,v
1210024800,4.88,4.6,4.88,4.35,1148
1210111200,4.68,4.68,4.68,4.68,1
1210197600,4.25,4.12,4.29,4.1,7027
1210284000,4.12,4.26,4.26,4.1,1741
1210543200,4.26,4.44,4.44,4.26,70
1210629600,4,4.32,4.32,3.99,1275
1210716000,0,4.32,4.32,4.32,0
1210802400,3.9,4.2,4.2,3.9,8208
1210888800,3.81,3.7,3.95,3.7,12843
1211148000,3.8,3.9,3.9,3.7,20092
1211234400,3.89,3.89,3.89,3.89,13
1211320800,3.53,3.88,3.88,3.53,965
1211493600,3.89,3.96,4,3.89,1241
1211752800,3.97,3.87,3.97,3.87,76
1211839200,3.7,3.95,3.95,3.7,294
1211925600,0,3.95,3.95,3.95,0
1212012000,3.65,3.6,3.95,3.56,2726
1212098400,3.7,3.69,3.7,3.35,5781
1212357600,3.49,3.49,3.49,3.49,1000
1212444000,3.45,3.44,3.45,3.31,1995
1212530400,3.25,3.25,3.43,3.25,1460
1212616800,3.35,3.57,3.57,3.35,1428
1212703200,3.5,3.79,3.79,3.5,215
1212962400,3.87,3.87,3.87,3.87,1
1213048800,3.1,3.1,3.1,3.1,60
1213135200,3.7,3.7,3.7,3.7,60
1213221600,3.69,3.6,3.8,3.12,921
1213308000,3.59,3.59,3.59,3.59,1382
1213567200,3.6,3.6,3.6,3.6,2
1213653600,3.69,3.69,3.69,3.69,5
1213740000,3.8,3.8,3.8,3.8,1
1213826400,3.85,3.95,3.95,3.85,2
1213912800,3.93,3.93,3.93,3.93,150
1214172000,0,3.93,3.93,3.93,0
1214258400,3.75,3.69,3.75,3.69,131
1214344800,0,3.69,3.69,3.69,0
1214431200,3.75,3.75,3.75,3.75,11
1214517600,3.26,3.5,3.57,3.1,17242
1214776800,3.5,3.5,3.5,3.5,370
1214863200,3.1,3.2,3.25,3.05,3393
1214949600,3,3.19,3.2,2.93,751
1215036000,3,3.13,3.15,2.96,11557
1215122400,0,3.13,3.13,3.13,0
1215381600,3.14,3.1,3.14,2.95,1299
1215468000,3,3,3,3,150
1215554400,0,3,3,3,0
1215640800,0,3,3,3,0
1215727200,3,3.1,3.13,2.95,2071
1215986400,3.15,3.15,3.15,3.15,50
1216072800,2.86,2.98,2.98,2.71,2322
1216159200,2.71,2.9,2.9,2.71,1129
1216245600,2.91,3.12,3.12,2.91,130
1216332000,3.12,3.12,3.12,3.12,150
1216591200,0,3.12,3.12,3.12,0
1216677600,0,3.12,3.12,3.12,0
1216764000,3,3,3,3,791
1216850400,0,3,3,3,0
1216936800,0,3,3,3,0
1217196000,0,3,3,3,0
1217282400,2.87,2.86,2.87,2.86,284
1217368800,2.85,3.05,3.05,2.85,232
1217455200,0,3.05,3.05,3.05,0
1217541600,0,3.05,3.05,3.05,0
1217800800,0,3.05,3.05,3.05,0
1217887200,2.99,2.8,2.99,2.8,1581
1217973600,2.95,2.85,2.95,2.85,795
1218060000,3.03,3.03,3.03,3.03,201
1218146400,2.9,2.9,2.9,2.7,708
1218405600,2.99,2.99,2.99,2.99,390
1218492000,0,2.99,2.99,2.99,0
1218578400,2.95,3.09,3.09,2.95,2998
1218664800,3.25,3,3.25,2.66,1122
1219010400,3.06,3.06,3.06,3.06,1
1219096800,2.7,3,3,2.7,468
1219183200,0,3,3,3,0
1219269600,2.73,2.88,2.88,2.73,1382
1219356000,2.87,2.75,2.87,2.7,2439
1219615200,2.99,2.99,2.99,2.99,1
1219701600,3,3.03,3.03,3,183
1219788000,0,3.03,3.03,3.03,0
1219874400,2.9,3.01,3.01,2.63,1251
1219960800,0,3.01,3.01,3.01,0
1220220000,2.95,2.7,2.95,2.68,5045
1220306400,2.7,2.75,2.75,2.65,1810
1220392800,0,2.75,2.75,2.75,0
1220479200,2.74,2.74,2.74,2.74,357
1220565600,0,2.74,2.74,2.74,0
1220824800,2.73,2.73,2.73,2.73,363
1220911200,2.73,2.74,2.74,2.73,243
1220997600,2.73,2.74,2.74,2.73,143
1221084000,0,2.74,2.74,2.74,0
1221170400,0,2.74,2.74,2.74,0
1221429600,0,2.74,2.74,2.74,0
1221516000,2.7,2.59,2.7,2.05,3610
1221602400,2.5,2.5,2.5,2.5,740
1221688800,2.3,2.42,2.42,2.3,622
1221775200,2.4,2.4,2.4,2.4,200
1222034400,2.4,2.4,2.4,2.4,100
1222120800,0,2.4,2.4,2.4,0
1222207200,2.37,2.35,2.37,2.35,1002
1222293600,2.36,2.58,2.58,2.36,113
1222380000,2.59,2.68,2.75,2.5,5251
1222639200,2.56,2.6,2.68,2.56,6537
1222725600,2.51,2.5,2.51,2.47,5303
1222812000,2.59,2.64,2.64,2.59,452
1222898400,2.55,2.55,2.55,2.55,110
1222984800,2.64,2.59,2.64,2.47,1803
1223244000,2.44,2.3,2.45,2.25,4669
1223330400,2.31,2.2,2.31,1.99,23165
1223416800,2.08,2,2.2,2,18298
1223503200,2.03,2.03,2.03,2.03,299
1223589600,2,1.8,2,1.8,12528
1223848800,2,2.05,2.15,2,4221
1223935200,1.96,2.08,2.1,1.9,14212
1224021600,2.03,2.2,2.2,2.03,9143
1224108000,2.03,2.04,2.04,1.95,4945
1224194400,1.97,1.94,1.97,1.94,7910
1224453600,1.9,1.9,1.9,1.9,1000
1224540000,1.85,1.89,1.89,1.85,2894
1224626400,1.8,1.7,1.8,1.7,1401
1224712800,1.61,1.69,1.7,1.6,16065
1224799200,1.58,1.56,1.58,1.56,4082
1225062000,1.49,1.88,1.88,1.49,10880
1225148400,1.94,1.92,1.98,1.85,4806
1225234800,1.95,1.94,2.04,1.94,1450
1225321200,1.95,1.95,1.97,1.95,4350
1225407600,1.85,1.93,1.93,1.85,2588
1225666800,1.92,1.9,1.92,1.9,4710
1225753200,2,2.06,2.06,2,424
1225839600,2.09,2.25,2.26,1.9,24921
1225926000,2.21,2.43,2.43,2.21,25338
1226012400,2.29,2.35,2.35,2.29,1440
1226271600,2.29,2.21,2.29,2.13,7070
1226444400,2.08,2.08,2.08,2.08,348
1226530800,2.03,1.98,2.03,1.98,2
1226617200,2.16,2.16,2.16,2.07,3220
1226876400,2,2,2,2,50
1226962800,1.9,1.96,1.96,1.89,6470
1227049200,1.86,1.86,1.86,1.86,250
1227135600,1.76,1.83,1.83,1.76,7340
1227222000,1.92,1.92,1.92,1.92,100
1227481200,1.92,1.94,1.94,1.92,1331
1227567600,1.94,2.44,2.44,1.94,42699
1227654000,2.33,2.47,2.47,2.2,7589
1227740400,2.49,2.57,2.72,2.49,9297
1227826800,2.6,2.44,2.6,2.44,4255
1228086000,2.22,2.3,2.3,2.22,3609
1228172400,2.25,2.36,2.36,2.15,4805
1228258800,2.35,2.36,2.36,2.35,21100
1228345200,2.41,2.41,2.41,2.41,15
1228431600,2.39,2.27,2.39,2.27,180
1228690800,2.37,2.37,2.37,2.37,375
1228777200,0,2.37,2.37,2.37,0
1228863600,2.39,2.3,2.39,2.3,3780
1228950000,0,2.3,2.3,2.3,0
1229036400,2.2,2.14,2.2,2.14,1987
1229295600,2.21,2.2,2.21,2.2,4236
1229382000,2.25,2.3,2.3,2.2,505
1229468400,2.31,2.31,2.31,2.21,6571
1229554800,2.21,2.28,2.28,2.2,1361
1229641200,0,2.28,2.28,2.28,0
1229900400,0,2.28,2.28,2.28,0
1229986800,2.15,2.15,2.15,2.15,718
1230505200,2.15,2.15,2.15,2.15,630
1230591600,2.19,2.25,2.25,2.19,2020
1230678000,2.26,2.26,2.26,2.26,3320
1231110000,2.32,2.29,2.4,2.29,537
1231196400,2.39,2.39,2.55,2.39,10880
1231282800,2.52,2.65,2.99,2.52,15763
1231369200,2.65,2.65,2.65,2.65,20
1231455600,2.55,2.49,2.55,2.43,4434
1231714800,0,2.49,2.49,2.49,0
1231801200,2.25,2.37,2.37,2.25,2956
1231887600,2.44,2.39,2.44,2.31,921
1231974000,2.41,2.45,2.45,2.41,635
1232060400,2.33,2.33,2.33,2.33,2000
1232319600,2.39,2.39,2.39,2.39,1923
1232406000,2.4,2.29,2.4,2.28,3806
1232492400,2.15,2.29,2.29,2.15,7001
1232578800,2.15,2.15,2.15,2.15,3490
1232665200,2.03,2.22,2.29,2.02,3790
1232924400,2.23,2.14,2.23,2.14,4160
1233010800,0,2.14,2.14,2.14,0
1233097200,2.15,2.14,2.22,2.14,6541
1233183600,2.13,2.13,2.13,2.13,300
1233270000,2.13,2.14,2.14,2.1,964
1233529200,2,1.99,2,1.98,2486
1233615600,1.98,1.98,2.1,1.98,5001
1233702000,1.94,1.94,1.94,1.94,1500
1233788400,1.9,1.94,1.94,1.9,501
1233874800,1.9,1.92,1.95,1.9,1500
1234134000,1.93,1.93,1.93,1.93,318
1234220400,1.95,2.05,2.05,1.95,4127
1234306800,2.09,1.99,2.09,1.99,6770
1234393200,1.87,1.99,2,1.87,10109
1234479600,0,1.99,1.99,1.99,0
1234738800,1.88,1.88,1.89,1.87,4866
1234825200,1.7,1.73,1.79,1.7,1710
1234911600,1.67,1.83,1.83,1.67,4390
1234998000,1.79,1.83,1.83,1.7,5799
1235084400,1.67,1.67,1.67,1.67,2000
1235343600,1.73,1.73,1.73,1.73,180
1235430000,1.67,1.72,1.72,1.62,1409
1235516400,1.76,1.76,1.76,1.76,100
1235602800,0,1.76,1.76,1.76,0
1235689200,1.76,1.76,1.76,1.76,27
1235948400,1.65,1.66,1.66,1.65,3273
1236034800,0,1.66,1.66,1.66,0
1236121200,1.7,1.7,1.7,1.7,1
1236207600,0,1.7,1.7,1.7,0
1236294000,1.57,1.58,1.6,1.51,8381
1236553200,1.58,1.58,1.58,1.58,140
1236639600,1.6,1.76,1.76,1.58,9963
1236726000,1.84,1.58,1.84,1.58,16588
1236812400,1.67,1.67,1.67,1.67,1
1236898800,1.68,1.68,1.68,1.68,4675
1237158000,1.75,1.75,1.75,1.75,100
1237244400,0,1.75,1.75,1.75,0
1237330800,1.77,1.83,1.83,1.77,2
1237417200,0,1.83,1.83,1.83,0
1237503600,1.67,1.83,1.83,1.67,856
1237762800,0,1.83,1.83,1.83,0
1237849200,1.79,1.76,1.83,1.69,10665
1237935600,1.78,1.8,1.8,1.78,9734
1238022000,1.72,1.8,1.8,1.72,50
1238108400,1.7,1.7,1.7,1.62,5310
1238364000,1.61,1.7,1.7,1.61,133
1238450400,0,1.7,1.7,1.7,0
1238536800,0,1.7,1.7,1.7,0
1238623200,1.82,1.82,1.82,1.82,1
1238709600,1.73,1.85,2.19,1.73,24170
1238968800,1.85,1.85,2.02,1.85,4643
1239055200,1.93,1.93,1.93,1.93,10
1239141600,1.97,1.96,1.97,1.95,1270
1239228000,2.01,2.1,2.1,2.01,2111
1239660000,2.05,2.04,2.14,2.04,13958
1239746400,0,2.04,2.04,2.04,0
1239832800,1.95,2,2,1.88,3221
1239919200,1.94,1.98,1.98,1.87,10012
1240178400,0,1.98,1.98,1.98,0
1240264800,0,1.98,1.98,1.98,0
1240351200,1.97,1.96,2.04,1.9,12138
1240437600,1.85,1.91,1.91,1.83,6112
1240524000,1.85,1.85,1.85,1.85,3000
1240783200,1.78,1.78,1.78,1.66,9712
1240869600,1.76,1.76,1.76,1.76,1
1240956000,1.78,1.84,1.84,1.78,2020
1241042400,1.75,1.74,1.83,1.7,15356
1241388000,1.83,1.77,1.83,1.72,2587
1241474400,1.75,1.77,1.77,1.75,6243
1241560800,1.83,1.83,1.83,1.83,1
1241647200,1.84,1.82,1.86,1.82,15705
1241733600,1.82,1.95,2,1.82,18294
1241992800,2,1.92,2,1.92,25161
1242079200,2.02,1.97,2.07,1.97,8803
1242165600,1.95,1.95,1.95,1.95,4750
1242252000,1.86,1.9,1.9,1.83,663
1242338400,1.94,1.9,2.15,1.82,27569
1242597600,1.83,1.83,1.9,1.8,11513
1242684000,1.83,1.83,1.87,1.81,16193
1242770400,1.84,1.85,1.85,1.84,2000
1242856800,1.84,1.86,1.86,1.84,6264
1242943200,1.86,2.31,2.31,1.86,53671
1243202400,2.65,2.91,2.91,2.65,141517
1243288800,3.02,2.66,3.29,2.45,190248
1243375200,2.66,2.7,2.9,2.43,110023
1243461600,2.7,2.78,2.9,2.51,34168
1243548000,2.9,2.98,2.99,2.73,26232
1243807200,2.99,2.75,3.07,2.7,34287
1243893600,2.71,2.58,2.71,2.55,21825
1243980000,2.5,2.49,2.55,2.34,22300
1244066400,2.43,2.5,2.56,2.36,18160
1244152800,2.48,2.47,2.48,2.35,28941
1244412000,2.36,2.43,2.44,2.36,670
1244498400,2.43,2.56,2.56,2.36,3653
1244584800,2.54,4.21,4.3,2.53,951424
1244757600,4.47,3.86,4.47,3.8,505742
1245016800,3.8,3.4,3.8,3.35,173401
1245103200,3.45,3.55,3.95,3.3,226318
1245189600,3.58,3.28,3.63,3.22,50463
1245276000,3.35,3.27,3.48,3.17,54436
1245362400,3.31,3.32,3.48,3.25,28578
1245621600,3.31,2.94,3.31,2.94,119738
1245708000,2.74,2.8,2.95,2.66,117482
1245794400,2.85,2.65,2.87,2.59,262480
1245880800,2.69,2.8,3.2,2.61,425799
1245967200,2.89,2.86,3.09,2.74,220301
1246226400,2.95,2.84,3.04,2.79,140864
1246312800,2.87,2.79,2.89,2.71,48755
1246399200,2.73,2.74,2.8,2.7,47387
1246485600,2.79,2.74,2.79,2.64,47067
1246572000,2.63,2.77,2.83,2.62,48644
1246831200,2.79,2.66,2.82,2.63,35456
1246917600,2.7,2.62,2.7,2.59,35895
1247004000,2.51,2.49,2.59,2.45,110397
1247090400,2.49,2.43,2.49,2.4,32828
1247176800,2.43,2.25,2.45,2.21,216347
