t,o,c,h,l,v
1221775200,2.46,2.46,2.46,2.46,20
1222034400,2.3,2.4,2.42,2.3,7587
1222120800,2.39,2.3,2.4,2.3,1540
1222207200,2.31,2.37,2.37,2.31,1224
1222293600,2.37,2.4,2.4,2.36,10514
1222380000,2.3,2.35,2.35,2.3,46549
1222639200,0,2.35,2.35,2.35,0
1222725600,2,2.41,2.41,2,9566
1222812000,2.2,2.38,2.39,2.2,1738
1222898400,2.3,2.4,2.4,2.3,356
1222984800,2.26,2.25,2.26,2.25,1286
1223244000,2.3,2.3,2.3,2.3,102
1223330400,2.17,2.29,2.29,2.17,1510
1223416800,2.33,2.15,2.33,1.94,7691
1223503200,2.34,2.15,2.34,2.12,9541
1223589600,2.07,2.29,2.29,1.94,11194
1223848800,2.07,2.28,2.28,2.07,2166
1223935200,2.29,2.29,2.29,2.25,3954
1224021600,2.08,2.2,2.2,2.08,131
1224108000,2.24,2.01,2.24,2.01,5059
1224194400,2.19,1.98,2.19,1.98,3866
1224453600,2.04,2.04,2.04,2.04,722
1224540000,2.09,2.17,2.25,1.95,8968
1224626400,1.99,1.98,2.05,1.98,8112
1224712800,1.97,2.15,2.15,1.92,4520
1224799200,2.05,2.12,2.12,2.05,3046
1225062000,2.05,2.35,2.39,1.95,33446
1225148400,2.06,2.13,2.24,2.06,4073
1225234800,2.18,2.14,2.21,2.1,5311
1225321200,2.15,2.1,2.16,2.1,3036
1225407600,2.17,2.18,2.18,2.04,1688
1225666800,2.17,2.18,2.18,2.17,1157
1225753200,2.05,2.17,2.17,2,10295
1225839600,2.1,2.17,2.17,2.05,2018
1225926000,2.05,2.13,2.13,2.05,4592
1226012400,2.05,2.04,2.14,2.04,4031
1226271600,2.13,2.13,2.13,2.05,707
1226444400,2.11,2.13,2.13,2.04,1662
1226530800,2.11,2.13,2.13,2.11,2037
1226617200,2.06,2.13,2.13,2.06,2251
1226876400,2.13,2.13,2.13,2.13,50
1226962800,2.05,2.3,2.34,2.05,1382
1227049200,2.27,2.23,2.27,2.23,1500
1227135600,2.05,2.05,2.05,2.05,1350
1227222000,2.2,2.16,2.2,2.07,1036
1227481200,2.19,2.2,2.25,2.14,9119
1227567600,2.16,2.23,2.23,2.16,541
1227654000,2.19,2.22,2.22,2.19,634
1227740400,2.22,2.22,2.22,2.22,50
1227826800,2.23,2.31,2.31,2.23,1060
1228086000,2.28,2.28,2.28,2.28,737
1228172400,2.22,2.17,2.22,2.17,7850
1228258800,2.2,2.2,2.2,2.2,2
1228345200,2.15,2.15,2.15,2.05,4674
1228431600,2.15,2.2,2.2,2.15,1447
1228690800,2.24,2.19,2.24,2.18,2009
1228777200,2.19,2.17,2.19,2.11,4054
1228863600,2.18,2.15,2.18,2.09,4477
1228950000,2.15,2.15,2.15,2.05,1102
1229036400,0,2.15,2.15,2.15,0
1229295600,2.1,2.15,2.15,2.1,7600
1229382000,2.17,2.15,2.17,2.1,2446
1229468400,2.1,2.13,2.14,2.1,2100
1229554800,2.08,2.04,2.08,2,8422
1229641200,2.01,2.15,2.15,2.01,6980
1229900400,2.13,2.05,2.13,2.05,2001
1229986800,2.04,2.04,2.1,2.04,5550
1230505200,2,2.05,2.05,2,3804
1230591600,1.99,2,2,1.97,8752
1230678000,2.04,2.03,2.04,2.02,2405
1231110000,1.94,2.03,2.03,1.93,1944
1231196400,2.03,2.03,2.03,2.03,2527
1231282800,2.03,2.03,2.03,1.98,1490
1231369200,2.07,2,2.07,1.91,3583
1231455600,2,1.89,2,1.89,22617
1231714800,1.89,1.89,1.89,1.72,3263
1231801200,1.89,1.98,1.98,1.71,42888
1231887600,1.89,1.93,1.93,1.86,2503
1231974000,1.88,1.8,1.88,1.74,9505
1232060400,1.75,1.64,1.8,1.64,13092
1232319600,1.62,1.98,1.98,1.62,11055
1232406000,1.98,1.82,1.98,1.82,1252
1232492400,1.95,1.94,1.95,1.93,5501
1232578800,1.93,1.93,1.93,1.75,10902
1232665200,1.98,1.84,1.98,1.7,21728
1232924400,1.8,1.79,1.8,1.69,5766
1233010800,1.77,1.88,1.88,1.77,14000
1233097200,1.72,1.78,1.78,1.7,17693
1233183600,1.71,1.66,1.71,1.66,8921
1233270000,1.61,1.65,1.66,1.6,4179
1233529200,1.61,1.44,1.61,1.4,43740
1233615600,1.43,1.39,1.5,1.38,89710
1233702000,1.38,1.5,1.51,1.38,40436
1233788400,1.48,1.45,1.51,1.45,18544
1233874800,1.48,1.42,1.48,1.4,8072
1234134000,1.4,1.45,1.47,1.37,28328
1234220400,1.42,1.52,1.52,1.42,14243
1234306800,1.43,1.5,1.5,1.42,5696
1234393200,1.5,1.52,1.52,1.5,8184
1234479600,1.56,1.51,1.61,1.51,14155
1234738800,1.46,1.44,1.49,1.37,22024
1234825200,1.4,1.37,1.4,1.37,3687
1234911600,1.36,1.42,1.42,1.36,1518
1234998000,1.4,1.47,1.47,1.4,3458
1235084400,0,1.47,1.47,1.47,0
1235343600,1.47,1.41,1.49,1.4,10277
1235430000,1.39,1.46,1.46,1.36,7442
1235516400,1.46,1.46,1.46,1.42,1314
1235602800,1.42,1.45,1.45,1.39,6657
1235689200,1.38,1.47,1.47,1.38,5518
1235948400,1.47,1.51,1.51,1.47,9048
1236034800,1.6,1.65,1.76,1.57,16519
1236121200,1.6,1.7,1.7,1.53,28195
1236207600,1.79,1.74,1.87,1.65,41017
1236294000,1.71,1.69,1.71,1.69,375
1236553200,1.69,1.69,1.69,1.69,70
1236639600,1.64,1.6,1.64,1.6,4540
1236726000,1.5,1.45,1.5,1.45,16475
1236812400,1.55,1.55,1.55,1.55,2811
1236898800,1.6,1.6,1.6,1.6,15000
1237158000,1.6,1.59,1.6,1.59,3281
1237244400,1.55,1.55,1.55,1.55,6066
1237330800,1.6,1.6,1.6,1.6,90
1237417200,1.6,1.55,1.6,1.55,260
1237503600,1.51,1.51,1.51,1.51,100
1237762800,1.51,1.51,1.51,1.51,80
1237849200,1.5,1.5,1.5,1.5,467
1237935600,1.5,1.5,1.5,1.5,310
1238022000,1.6,1.6,1.6,1.6,3025
1238108400,1.6,1.64,1.64,1.6,4064
1238364000,1.6,1.7,1.7,1.6,1001
1238450400,1.7,1.8,1.8,1.7,22301
1238536800,1.8,1.71,1.8,1.71,293
1238623200,1.61,1.61,1.61,1.61,572
1238709600,1.76,1.77,1.77,1.76,1677
1238968800,1.82,1.95,1.95,1.82,1700
1239055200,1.98,2.05,2.14,1.98,53237
1239141600,2.07,2.13,2.22,2.07,18539
1239228000,2.1,2.15,2.25,2.1,9655
1239660000,2.1,2.1,2.2,2.05,4685
1239746400,2.15,2.23,2.37,2.15,47461
1239832800,2.28,2.47,2.47,2.28,57978
1239919200,2.42,2.52,2.52,2.42,132016
1240178400,2.54,2.46,2.54,2.45,6460
1240264800,2.4,2.2,2.4,2.16,19852
1240351200,2.2,2.35,2.35,2.2,5581
1240437600,2.35,2.35,2.35,2.35,210
1240524000,2.35,2.44,2.44,2.35,329810
1240783200,2.44,2.31,2.44,2.31,2253
1240869600,2.33,2.42,2.44,2.33,9064
1240956000,2.42,2.47,2.49,2.37,2361
1241042400,2.47,2.51,2.62,2.47,60383
1241388000,2.47,2.5,2.5,2.4,17940
1241474400,2.5,2.5,2.5,2.5,210
1241560800,2.49,2.48,2.54,2.45,663003
1241647200,2.46,2.6,2.6,2.46,52986
1241733600,2.6,2.46,2.6,2.45,31790
1241992800,2.55,2.75,2.79,2.51,47403
1242079200,2.79,2.7,2.8,2.69,21044
1242165600,2.65,2.52,2.65,2.52,5874
1242252000,2.43,2.49,2.49,2.43,10007
1242338400,2.49,2.51,2.51,2.4,4435
1242597600,2.52,2.65,2.7,2.52,35962
1242684000,2.59,2.65,2.65,2.5,19455
1242770400,2.65,2.68,2.68,2.6,14767
1242856800,2.69,2.66,2.69,2.66,8729
1242943200,2.63,2.61,2.63,2.61,6203
1243202400,2.56,2.63,2.63,2.55,5650
1243288800,2.57,2.57,2.57,2.57,620
1243375200,2.58,2.57,2.58,2.48,42
1243461600,2.46,2.52,2.52,2.46,2316
1243548000,2.5,2.45,2.52,2.45,34184
1243807200,2.5,2.5,2.5,2.5,3512
1243893600,2.6,2.6,2.6,2.58,2094
1243980000,2.6,2.65,2.65,2.6,33172
1244066400,2.59,2.58,2.6,2.58,6300
1244152800,2.55,2.55,2.55,2.55,2681
1244412000,2.52,2.6,2.6,2.52,1005
1244498400,2.57,2.57,2.57,2.57,350
1244584800,2.56,2.54,2.6,2.54,1726
1244757600,2.29,2.41,2.41,2.29,8950
1245016800,2.41,2.4,2.41,2.4,21892
1245103200,2.4,2.41,2.46,2.4,1111
1245189600,2.46,2.46,2.46,2.46,820
1245276000,2.46,2.45,2.46,2.45,11000
1245362400,2.42,2.53,2.64,2.42,4380
