t,o,c,h,l,v
1273615200,349,360,360,348.1,7225362
1273701600,358,357,361.9,354,1808420
1273788000,355.3,355,360,353.3,1057062
1274047200,346,351,353,345.2,931362
1274133600,350.5,353,354.8,350.3,574434
1274220000,350.2,345.9,351.8,345.9,924840
1274306400,344,331,345,330.5,1037397
1274392800,331,336.5,336.5,326,533105
1274652000,336.6,342.5,344.5,336.5,469352
1274738400,335.1,330,339.9,328,507958
1274824800,334.3,354,354,334.3,2543587
1274911200,348,350.2,352.4,347,238776
1274997600,350.4,350,351.4,346,165678
1275256800,346,350,350,343,74714
1275343200,345.4,348.6,349.8,340.5,251602
1275429600,346.9,349.5,351,346.1,227536
1275602400,348.6,342,351,342,222493
1275861600,336,340,342.5,336,180985
1275948000,340.2,339,344,339,1217981
1276034400,339.7,347,347.9,338,221204
1276120800,344.3,350,351.3,344.3,325587
1276207200,349.4,349,350.5,347.4,396361
1276466400,349,351.7,353.5,347,165231
1276552800,350,352.5,352.9,348.3,267501
1276639200,352.7,352.4,353.5,346.2,330359
1276725600,349.5,353.6,354,349,298545
1276812000,352.6,357.5,358.8,352.6,1113445
1277071200,357,364.8,364.8,357,345282
1277157600,360.5,360,363.3,358.5,177371
1277244000,359,359,362,358.2,206789
1277330400,359,355,361,355,167765
1277416800,356,355.1,359.4,355.1,216265
1277676000,355.6,352,356.7,350.5,69681
1277762400,352,350,352.8,349,232007
1277848800,350,350,354,349.5,102834
1277935200,350,356,357.7,348.2,228408
1278021600,352.8,354,360,352.8,171714
1278280800,354.2,352.1,355.2,352,24100
1278367200,352.8,358.6,358.6,352.6,46887
1278453600,354.1,358,359,353.5,207378
1278540000,360,358.9,364.8,356,422367
1278626400,359.1,361,361.4,356.4,42442
1278885600,360,372,372,358.4,254394
1278972000,370.3,378,378,370.3,262522
1279058400,378,370,379.8,370,115800
1279144800,370,370,374,369,39751
1279231200,368,368,375.5,368,59127
1279490400,367.6,373.7,375.1,367,263015
1279576800,373,370.1,373.7,369,107012
1279663200,371,374.5,376.8,371,188090
1279749600,374,382,382,373.1,248472
1279836000,380,377,382.5,376.6,139431
1280095200,383,388.2,389.6,379.2,193331
1280181600,389,384.1,391.4,377.1,354882
1280268000,387,379.1,387,379,94536
1280354400,380,390,390,380,274692
1280440800,390,394,394.6,387.5,405783
1280700000,394.2,397,400.2,393.3,212686
1280786400,397,399,401.2,396.5,151460
1280872800,398.7,396,398.7,395,61342
1280959200,395,397.5,398.9,393,244400
1281045600,397.9,395,398,394,60905
1281304800,393.5,382,395,380.3,139531
1281391200,384,381.5,384,379.5,175351
1281477600,381.5,377,382.5,376,110299
1281564000,376.8,383,386,376.8,131114
1281650400,389.2,387.9,393,385.3,88454
1281909600,389,390.1,393,386.2,58962
1281996000,390,385,390,382.1,62038
1282082400,387.7,386.4,387.7,381.7,87651
1282168800,386.2,384.9,390,384,115570
1282255200,385.2,389.8,390.7,384,128243
1282514400,383,390.5,392.6,382.2,123831
1282600800,389.3,385.7,389.6,379,95102
1282687200,383.6,379.5,387.5,377.8,70189
1282773600,374.8,371,382.6,368.6,146988
1282860000,369,373.6,373.6,369,111728
1283119200,376,375.2,379.5,375.2,112754
1283205600,372,377.6,377.6,370,184046
1283292000,379.8,375,380,375,119131
1283378400,377.9,374.6,379.4,374.6,86015
1283464800,375.6,381.8,381.8,375,67226
1283724000,382.4,386.5,386.5,382.4,96752
1283810400,383,383,384.8,380.1,53782
1283896800,383.4,395,395.6,383,268669
1283983200,391,399.3,399.8,390.1,214839
1284069600,395.1,396,399.9,394.4,161803
1284328800,399.8,397.1,400,395.6,195386
1284415200,397,400.6,401,394.1,203032
1284501600,400.1,402,402,396.8,123602
1284588000,398.6,398,401.8,398,81284
1284674400,399.3,402.5,402.5,394,266634
1284933600,398,405.9,406.9,398,96843
1285020000,405.9,411,417.5,404.1,251229
1285106400,409,411,413.4,408.1,110751
1285192800,410.2,401,411.1,400.3,202759
1285279200,401,395,401.8,394.4,361443
1285538400,399,398,400.8,397.5,69805
1285624800,398,399.1,399.9,394.3,84192
1285711200,398,398,401,395,127268
1285797600,397.5,410,410,396.2,262295
1285884000,404.1,400,409.8,400,107393
1286143200,401,405.5,405.5,399.2,95869
1286229600,404,402.8,404.9,399.1,167014
1286316000,403.9,402.7,406,400.2,90628
1286402400,400.9,395,404.9,395,90264
1286488800,396.2,392.5,399.8,390.1,125021
1286748000,394.5,394.8,396.6,392,97269
1286834400,393.1,392,394.8,391.1,120880
1286920800,393.5,396,397.4,392.3,370281
1287007200,397,385.5,398,385.4,441302
1287093600,385.9,384,388,382.1,159259
1287352800,384.5,386,386,383,109434
1287439200,386,389.1,392.5,385.5,195749
1287525600,386.4,385.5,391,384,299099
1287612000,389,383,389,378,162488
1287698400,382.8,381,382.8,375.7,135311
1287957600,383,375,383,374.1,98718
1288044000,375,370,376.5,369.1,173693
1288130400,372,377,379.9,372,239336
1288216800,380.9,382,386.5,378,142111
1288303200,382.5,378.1,383.3,374,153133
1288652400,380,380.5,381.6,379,113882
1288738800,380.5,375,381,375,121659
1288825200,378,376,380.5,375,209272
1288911600,377.8,381.5,382.8,376,152348
1289170800,382,382.9,386.6,378.2,184198
1289257200,380.3,385.1,388,378.4,248916
1289343600,384.8,379.6,384.9,379.5,183738
1289516400,373,370,376,369.3,492617
1289775600,375,362.3,375.3,359.6,771941
1289862000,363,358.1,363,355.7,455292
1289948400,359,369,374.5,356.8,524740
1290034800,367.1,368.1,373.4,365.5,1443188
1290121200,370.7,365.3,370.7,365.3,818431
1290380400,369.9,366.2,370.8,366,396526
1290466800,366.2,357.4,366.5,357.3,639159
1290553200,359.9,358.9,362.5,357.1,698662
1290639600,360,358.8,361.6,357.5,212539
1290726000,358.5,353,358.8,350.5,454956
1290985200,356.9,351,357.7,350.1,325061
1291071600,353.9,354.9,356,350.4,743113
1291158000,355.9,362.5,364.5,354.2,336778
1291244400,364,363.9,367.8,362.7,334149
1291330800,365,362.9,365.7,358.3,90737
1291590000,363.6,367,367,360,233647
1291676400,364.6,368,368,364.1,226569
1291762800,363.3,361.9,367.9,359.3,218059
1291849200,362,360,363.4,359.2,223178
1291935600,361,360.5,366.5,360.5,404513
1292194800,363.2,363.5,364.7,361.9,63481
1292281200,364.8,366.7,366.7,361.5,194714
1292367600,364.5,366,366.5,362.6,92758
1292454000,365.4,361.1,366.9,360.5,150894
1292540400,361.9,359,362,358,520202
1292799600,358,357,360.5,356.1,175966
1292886000,358,357,358,355.1,205918
1292972400,358.1,356.7,358.1,356.3,122301
1293058800,356.7,356.8,357.1,356.2,106618
1293404400,356.6,356.5,357,354.9,53921
1293490800,356,355.5,356.5,355,115434
1293577200,356,357,358.5,355.6,110000
1293663600,357,355.8,358.1,355.6,61767
1293750000,355.8,355.5,356,351.2,103331
1294009200,356.3,362,362.4,356,90530
1294095600,362,352.1,362,352.1,201333
1294182000,352.9,351,353.2,345.1,205653
1294354800,352,351,352,346.1,152626
1294614000,348,342.6,348.8,339.6,282628
1294700400,342.6,346.3,348.8,341.6,252713
1294786800,346,344,347,340.9,170461
1294873200,346,341,346.3,333.2,284563
1294959600,340.5,341,345.9,338,122422
1295218800,342.4,348,348,341,253640
1295305200,349.8,355,355.4,348,311842
1295391600,355.3,350,357.3,346.7,184016
1295478000,346,349.9,352.5,344.5,177116
1295564400,349.5,348.6,351.8,348,67529
1295823600,348.6,348,349.7,341.2,128198
1295910000,346.5,346.4,349.4,343.5,135606
1295996400,346.7,348.4,349.9,345.1,106433
1296082800,349.2,342.5,349.2,341.7,141526
1296169200,342.5,346,346.9,341.2,109091
1296428400,342.5,345,345,341,199088
1296514800,345.7,345,345.9,343,164310
1296601200,345.4,346.9,347.8,342.3,181125
1296687600,347.7,357.1,357.4,346,395819
1296774000,358.9,352.4,360,351.5,267474
1297033200,351.3,353,357,351,196695
1297119600,354.9,353.4,354.9,352.1,255995
1297206000,352.1,350,353,349,212691
1297292400,349.3,348,350,345.6,208714
1297378800,347.9,349,349.7,347,238891
1297638000,349.8,347,350.9,345.5,133922
1297724400,345.2,345.5,347.8,345.2,324307
1297810800,346.9,343,346.9,342,395553
1297897200,343,337.5,344,337.5,337155
1297983600,338,343.2,345,338,236453
1298242800,343.2,345,345.8,342.3,225663
1298329200,344.7,351.7,353.8,342,400512
1298415600,351,350,353,347.5,246649
1298502000,346.5,349,354.5,346.2,216573
1298588400,349.3,347.9,351,346.4,179419
1298847600,346.1,347.4,349.6,345,258881
1298934000,346.5,343.3,347.2,339.9,226010
1299020400,341,339.1,342.2,338.2,188922
1299106800,341.7,347.8,347.8,340.5,183653
1299193200,348.9,350,354,347.1,183108
1299452400,351.2,349.5,353.5,348.5,121625
1299538800,350,353.9,354.5,350,171012
1299625200,351.6,346.3,352.9,346.3,168561
1299711600,346.2,344,348,343.4,159327
1299798000,342.5,342,343.8,339.1,224173
1300057200,340.5,343,343,340.5,169070
1300143600,342,341.9,342.8,339.2,204686
1300230000,348,339.7,351,338.5,225475
1300316400,340.3,351,352.7,339.2,453225
1300402800,351,362.4,362.4,350.2,611500
1300662000,362,358.5,362,357.4,243548
1300748400,358,353,358,352.2,146643
1300834800,353,356.2,358,351.1,112983
1300921200,354.5,352,355.8,351,126064
1301007600,352.2,352.5,355.4,350,103859
1301263200,352,358.6,358.8,352,150272
1301349600,358.6,356,361.4,355.5,287520
1301436000,356.8,350.7,360,350.7,207014
1301522400,353.5,356,356,351.7,265780
1301608800,357.3,361.9,365.4,357,718264
1301868000,364,364,364.9,362.1,154951
1301954400,363,364.5,365,363,91747
1302040800,365,367,369,364.5,456696
1302127200,367,369,369.9,366,241646
1302213600,369,364.5,369.8,362,287580
1302472800,365,364.3,365.8,363,131294
1302559200,363,363.7,366,361.5,238439
1302645600,366,364.5,367.4,363.2,321202
1302732000,363.6,363.5,365.2,361.6,309316
1302818400,364.5,364.1,365.8,362.2,217292
1303077600,364.5,359.5,365.8,359.5,249076
1303164000,359.5,362,364,359.5,252546
1303250400,363.8,363.1,365.7,363.1,282850
1303336800,365,363.4,365.7,362.5,235261
1303768800,363.4,365.8,366.8,363.4,170256
1303855200,366.3,368.5,368.8,365.2,316942
1303941600,368.1,374,375,368.1,408749
1304028000,375,373,375.9,371.4,115347
1304287200,374,376,377.5,373,156487
1304460000,371.9,371,377.2,367.5,380174
1304546400,370,371.2,372.7,370,333262
1304632800,372.5,374,375.4,371.3,480764
1304892000,375,367.5,376.8,367.5,108652
1304978400,368.5,375.5,376.5,368.5,444117
1305064800,375.4,384,384.3,375.1,424856
1305151200,382.9,385,385.6,380.6,591112
1305237600,385,389.9,391.9,384.3,228551
1305496800,386,393,393,382.1,182943
1305583200,390,383,390,383,213443
1305669600,383.8,374.3,385.8,374.3,245268
1305756000,380,383.1,389,379.1,368517
1305842400,384.2,390,391.9,384.2,254149
1306101600,385,389.6,389.6,383.4,198280
1306188000,385.2,390.5,391,384,244880
1306274400,389.6,396.8,397.6,387.1,271941
1306360800,397.9,392.7,398.6,391.2,317254
1306447200,392.7,390,393.5,388.5,215322
1306706400,392,388.9,392,387.8,63521
1306792800,389.9,389,391,388.2,267079
1306879200,391.8,390,392.9,389.1,244292
1306965600,388,391,393.5,387.8,96135
1307052000,391,390,392.8,387.2,182426
1307311200,390.1,391.5,393.3,390.1,101520
1307397600,391.6,390.6,394,389.8,194699
1307484000,390.6,386,391.9,384.8,309828
1307570400,366.3,371.5,372,366.3,1659172
1307656800,371.5,372,374.5,368.3,1154448
1307916000,373.6,375.2,379.5,372.2,236583
1308002400,378.4,383,384.4,378,568267
1308088800,382,380,382,378,221336
1308175200,379,385.3,385.9,376.5,479051
1308261600,383,388,388.3,383,462596
1308520800,386.9,386,388,383,256579
1308607200,385.7,384,385.8,378.6,288986
1308693600,383.6,377.1,383.9,377.1,335505
1308866400,377.2,380,382,376.5,158380
1309125600,378,379,379.7,370.8,175067
1309212000,377,381.8,381.8,375.3,265840
1309298400,381.1,383,384.7,380.4,221059
1309384800,383.4,375,384.7,375,498308
1309471200,375.5,380.5,380.5,375.5,104638
1309730400,382.8,381,382.8,377.6,147592
1309816800,381.8,381.8,382,378,214874
1309903200,380.1,376.9,381.5,376.1,133599
1309989600,378.9,379.7,381.5,376.5,103525
1310076000,379.9,377,380.6,375.5,80122
1310335200,377,374.1,378,372,213391
1310421600,371.6,371,373.7,369.1,298793
1310508000,372,373.3,374.9,371,167078
1310594400,373.3,374,374,370.4,155300
1310680800,371.1,372,373.4,370.4,219832
1310940000,370.2,366.7,372,366,149114
1311026400,368.1,370,371.5,368,154926
1311112800,370.9,371.2,374,370.2,241330
1311199200,370.6,371.8,373.8,367.5,233743
1311285600,373,376.8,377,371,99793
1311544800,376.2,378,378.8,373.3,89549
1311631200,379.4,379.3,379.4,373.4,70544
1311717600,376.5,375.1,378.5,372.1,58697
1311804000,372.3,378,378.9,371.5,144001
1311890400,376.4,379,379,374.3,165549
1312149600,379.1,378,381.5,377.7,162062
1312236000,375,377.9,377.9,374.2,140394
1312322400,372,366,374.5,365.6,438775
1312408800,367.4,358,371.7,356.5,380836
1312495200,348,352.1,360.2,348,552785
1312754400,349.9,349.9,355.1,344.2,447452
1312840800,352,337.4,356.2,328,734875
1312927200,341.5,322.2,347,319.1,555555
1313013600,328.5,336.1,339.9,312,578389
1313100000,337,345,345,333,419248
1313445600,355,353.5,355.1,342.5,274223
1313532000,350,349,352.8,345.5,333026
1313618400,348.7,334,348.8,320,355154
1313704800,332.9,335,339,322,343880
1313964000,332,336.3,337.2,330.1,191597
1314050400,337.5,329.7,339.9,326,270036
1314136800,333.9,336.5,338.1,330.1,291201
1314223200,342,334,347.7,329,420543
1314309600,335.5,327.1,335.9,325,294772
1314568800,331.8,346,346,330,190117
1314655200,346.8,349.8,349.9,344.5,311838
1314741600,350,355,355.9,350,810280
1314828000,355,354,355,347,175312
1314914400,350.5,348.5,352,343.4,287830
1315173600,344.9,341,346.8,340,223757
1315260000,340.6,335,345.9,327.9,500084
1315346400,339.1,349,351,338.1,335720
1315432800,349.8,353.5,354,346.6,241074
1315519200,350.1,336,352.7,336,274871
1315778400,333,341,341,328.8,347392
1315864800,343.5,340,348.4,339.3,308687
1315951200,339.2,345.3,346.8,337,281868
1316037600,346,346.8,351.8,338.2,389875
1316124000,348,346,348,344.2,281396
1316383200,345.8,347.8,347.8,339.3,217625
1316469600,347.8,344.5,349.9,344.5,207184
1316556000,348,346.9,349.9,345.2,261696
1316642400,344,334.4,346,328,397185
1316728800,335,339.8,341.3,321,384889
1316988000,334.9,337.9,342,334,357695
1317074400,344,343.8,346.6,341.6,588302
1317160800,320.2,317.9,321.9,310.3,390398
1317247200,316,318,320,313,426485
1317333600,316.2,315,317.8,310.1,366015
1317592800,309,305,313,304.6,307000
1317679200,302,294.2,302,283.1,601836
1317765600,299,299,299,292,214208
1317852000,300,302.8,308,295.6,366041
1317938400,305.5,306.5,311.9,302.5,401636
1318197600,309,319.9,320,307,276510
1318284000,320,317.1,321.8,315.2,286766
1318370400,320,318.6,324,315,225168
1318456800,318.9,311,320.6,311,222279
1318543200,312.1,314,315.9,306.2,183859
1318802400,315,314,321.5,309.5,169403
1318888800,311.8,313.9,314,309,120149
1318975200,314.4,319.5,319.5,314,160516
1319061600,318.5,315.5,321.4,315,281152
1319148000,317,321.8,322.4,317,164100
1319407200,321.8,329.5,334.8,321,253585
1319493600,333.4,332,333.9,323.1,188113
1319580000,330,323.3,331,323,241098
1319666400,332.5,337.7,338,329,293536
1319752800,337.7,337.8,339.7,336.1,210032
1320015600,335.7,337.5,340.8,333.7,385884
1320188400,331,335,337.5,330.8,211961
1320274800,331,343,343.6,331,168402
1320361200,343.5,337.9,343.5,335,245683
1320620400,337,336.6,341.3,333,157862
1320706800,333.6,334.9,338.1,331.2,477960
1320793200,335.1,321,335.4,321,265728
1320879600,319.8,315.5,320,314.1,405699
1321225200,325.5,318,329.6,315,220708
1321311600,319.6,316,321.5,314.4,181524
1321398000,320,324,324,316,239056
1321484400,319.5,321,324,317.2,193131
1321570800,318.1,323,325.5,318.1,207421
1321830000,319,321.3,323.5,319,238785
1321916400,321.3,317,324.6,317,163504
1322002800,316.9,310.8,322,306.1,202354
1322089200,310.8,311,313.5,308.3,273239
1322175600,310.4,310.9,312.9,305.1,193921
1322434800,313,310,313.8,308,291439
1322521200,308.3,310.3,317.4,308.3,267185
1322607600,313.7,319.4,319.4,311,568728
1322694000,319,320.8,321.7,316.5,177039
1322780400,321.8,325.1,331.1,320.7,219601
1323039600,328,330,330.3,326.3,135347
1323126000,327.8,326.7,331.3,322.8,275880
1323212400,326,325.7,328,318.1,194940
1323298800,322.5,311,326.9,311,198253
1323385200,309.4,316.2,316.2,307.2,380499
1323644400,314.5,311.4,314.5,306.6,210329
1323730800,311,314.9,318.5,309,247719
1323817200,315,311.8,319.3,311.3,205119
1323903600,314.6,312,315.7,309.5,247676
1323990000,312.9,310.1,314.9,309,494444
1324249200,310.8,309.8,314,305,114154
1324335600,307.5,312.4,312.7,304.4,155254
1324422000,310.6,311,314.4,308.4,92078
1324508400,310,309,311.5,307.1,107003
1324594800,309,311.5,311.5,309,91684
1324940400,311.6,312,312.8,310.2,120219
1325026800,310.5,310,312.6,309,99643
1325113200,311,310,312.8,308.3,150204
1325199600,314,309,314,309,216151
1325458800,309.6,312.5,313.9,309.6,140141
1325545200,313.9,315.5,315.5,310.6,313409
1325631600,313.1,307.2,314.3,306.8,404176
1325718000,309.4,312.5,312.5,304,223574
1326063600,313,308.5,313.7,308.1,153026
1326150000,309,308.2,311.7,306.9,244113
1326236400,308.2,306.5,309.4,305,165683
1326322800,306.5,310.5,313.4,306,212644
1326409200,312.7,307,313,305.5,145440
1326668400,308,310.6,313,307,191760
1326754800,313.1,317.8,319.3,312.5,353230
1326841200,319,315,320.8,313.2,191699
1326927600,317,321,321,314.3,342847
1327014000,319,327,327,317.2,195579
1327273200,322,320,327.4,319.3,266779
1327359600,320.9,322,323.4,319,139715
1327446000,322.7,323.9,326,320.6,99021
1327532400,324.7,335,340,324,411582
1327618800,335,338.1,339,333.1,254761
1327878000,337,333.1,338.5,331.2,143998
1327964400,336,334.1,339.6,334.1,188197
1328050800,333.2,341.2,344.6,333.2,152353
1328137200,345,343.5,345,339.2,162618
1328223600,343,347.5,347.5,341.3,188563
1328482800,345,348,348,343.5,160458
1328569200,346.2,346,348,342.4,224797
1328655600,341.5,345.7,348.9,341.5,200311
1328742000,333.5,339.6,347,333.5,499610
1328828400,340,336.5,340.1,335.2,269499
1329087600,339,338.5,339.9,337.1,111141
1329174000,340,340,345,337.1,198966
1329260400,343,339.9,343.4,338.1,565999
1329346800,339,336.4,341.9,336.4,149853
1329433200,341.1,341,342.8,340.2,264489
1329692400,342.8,343,343.8,340.3,143739
1329778800,345,339.6,345,339.6,276906
1329865200,340.1,340,341.8,337.5,211901
1329951600,336.4,336,341,336,193185
1330038000,339,336,340,336,137546
1330297200,335.5,339,339,335,127276
1330383600,338.5,334,339.9,331.2,158917
1330470000,336.5,334.9,337.8,331,277567
1330556400,332,331,333.1,325.5,225424
1330642800,330.7,329.5,331,325.6,234796
1330902000,328,328.8,330,324.1,110771
1330988400,326,329.3,330,325,193223
1331074800,329.3,328,332,325.6,148362
1331161200,327,333,333,326.2,167420
1331247600,331.8,330,335,329,87437
1331506800,332,329.9,332,326.6,62264
1331593200,329.1,328.5,330,327,151035
1331679600,328.8,336.6,336.8,328.8,391185
1331766000,336.6,334.7,338.7,330.2,330070
1331852400,333.3,332,336.7,331.7,379375
1332111600,333.9,330.4,334.7,330.1,770509
1332198000,330.5,324.6,333,324.5,249168
1332284400,325,319.9,326,319,420705
1332370800,320.9,316,320.9,313.1,360666
1332457200,318.5,324,324,318,393973
1332712800,322.7,324,324.7,319.7,129590
1332799200,325.8,327,330,324.5,287840
1332885600,327.5,326,329.1,324.3,163303
1332972000,324.5,323.5,325.7,320.7,279288
1333058400,323.4,325,325.8,321.6,223064
1333317600,323.5,324,327.7,321.1,190330
1333404000,324.8,322.8,326.3,321,150628
1333490400,321.5,321,324,320.1,170224
1333576800,320.9,319.2,321.8,319.2,145197
1334008800,315,315.2,320,313,138810
1334095200,315.2,317,317,312.9,152398
