t,o,c,h,l,v
1221084000,0.8,0.68,0.8,0.66,144552
1221170400,0.68,0.66,0.7,0.61,38601
1221429600,0.68,0.66,0.68,0.62,23529
1221516000,0.65,0.63,0.65,0.62,12712
1221602400,0.63,0.63,0.63,0.61,7262
1221688800,0.61,0.6,0.61,0.55,72078
1221775200,0.6,0.72,0.72,0.6,42275
1222034400,0.7,0.66,0.7,0.65,6968
1222120800,0.65,0.68,0.7,0.65,10696
1222207200,0.68,0.67,0.68,0.67,1672
1222293600,0.67,0.68,0.68,0.65,2916
1222380000,0.68,0.68,0.68,0.68,2
1222639200,0.69,0.64,0.69,0.63,5431
1222725600,0.64,0.64,0.64,0.63,5943
1222812000,0.64,0.63,0.66,0.63,6046
1222898400,0.63,0.6,0.65,0.6,9700
1222984800,0.6,0.6,0.6,0.56,34781
1223244000,0.6,0.63,0.63,0.6,8226
1223330400,0.59,0.62,0.62,0.59,8750
1223416800,0.62,0.62,0.62,0.59,21100
1223503200,0.63,0.62,0.63,0.61,8000
1223589600,0.56,0.59,0.59,0.52,55770
1223848800,0.53,0.59,0.59,0.52,22916
1223935200,0.6,0.6,0.6,0.58,6600
1224021600,0,0.6,0.6,0.6,0
1224108000,0.55,0.52,0.55,0.51,13563
1224194400,0.55,0.57,0.57,0.45,69712
1224453600,0.5,0.54,0.54,0.47,11799
1224540000,0.5,0.5,0.5,0.47,23301
1224626400,0.49,0.45,0.49,0.41,76188
1224712800,0.44,0.47,0.47,0.4,110502
1224799200,0.46,0.45,0.46,0.45,2
1225062000,0.49,0.56,0.57,0.47,21837
1225148400,0.58,0.57,0.58,0.57,13478
1225234800,0.58,0.59,0.6,0.58,14725
1225321200,0.6,0.59,0.6,0.59,2
1225407600,0.59,0.59,0.59,0.59,1501
1225666800,0.59,0.59,0.59,0.59,101
1225753200,0.59,0.58,0.59,0.58,101
1225839600,0.58,0.55,0.58,0.5,3617
1225926000,0.55,0.54,0.55,0.54,100
1226012400,0.55,0.64,0.64,0.55,50
1226271600,0.63,0.61,0.63,0.61,4080
1226444400,0.6,0.59,0.6,0.59,51
1226530800,0.61,0.53,0.61,0.53,949
1226617200,0.58,0.58,0.58,0.58,2450
