t,o,c,h,l,v
1514502000,22.69,18.57,22.69,18.4,27923
1514934000,18.59,18,18.59,17.6,6260
1515020400,18.05,17.55,18.05,16.6,8595
1515106800,18.4,18.29,18.4,18.29,125
1515366000,18.5,18,18.99,18,2196
1515452400,17.8,17.56,17.8,17.56,5645
1515538800,17.69,17.99,17.99,17.69,202
1515625200,18.25,18,18.25,17.6,8359
1515711600,17.55,18.3,18.3,17.55,151
1515970800,18.9,18.65,18.9,18.4,487
1516057200,18.99,18.67,18.99,18.34,10703
1516143600,18.67,18.4,18.67,18.26,9038
1516230000,18.4,18.49,18.59,17.65,3216
1516316400,18.49,18.4,18.49,18.3,6354
1516575600,18.49,18.5,18.5,18.4,1750
1516662000,18.4,18.5,18.62,18.3,12115
1516748400,18.5,18.56,18.6,18.34,1013
1516834800,18.56,19.84,20,18.38,12686
1516921200,19,19.6,19.76,19,6359
1517180400,19.08,19.6,19.6,19.08,6525
1517266800,19.68,19.4,19.68,19.08,20474
1517353200,19.18,19.4,19.84,19.18,9897
1517439600,19.82,20,20,19.38,3713
1517526000,20,20,20,20,34
1517785200,19.5,19.5,19.88,18.8,13296
1517871600,19,19.3,19.3,17.5,29926
1517958000,19.9,19.48,19.9,19.3,190
1518044400,19.28,19.5,19.5,18.5,1658
1518130800,19.02,19.4,19.44,18.7,1894
1518390000,19.48,19.5,19.5,19.46,11478
1518476400,19.56,19.82,20.4,19.56,9303
1518562800,20.1,20.2,20.3,20,5379
1518649200,20.35,20.45,20.45,20.25,3202
1518735600,20.45,20.4,20.5,20.2,3808
1518994800,20.5,20.8,20.95,20.5,82863
1519081200,20.8,20.8,20.8,20.4,596
1519167600,20.7,20.3,20.7,20,2461
1519254000,20.45,20.3,20.45,19.2,6416
1519340400,20.15,19.5,20.15,19.26,3851
1519599600,19.7,20,20.2,19.7,2296
1519686000,20,20,20,20,7
1519772400,19.56,19.9,19.9,19.06,2220
1519858800,19.7,19.2,19.98,19.2,1105
1519945200,19.3,19.4,19.48,18.86,2851
1520204400,19.6,19.4,19.6,19.1,371
1520290800,19.4,19.98,20,19.4,6821
1520377200,19.94,19.8,19.94,19.5,542
1520463600,19.52,19.5,19.68,19.4,3363
1520550000,19.4,19.98,19.98,19.4,14519
