t,o,c,h,l,v
762994800,0,150,150,150,10486
763081200,0,163,163,163,18630
763254000,0,179,179,179,16344
763599600,0,196,196,196,0
763686000,0,216,216,216,22575
763858800,0,216,216,216,36725
764204400,0,194,194,194,11869
764290800,0,175,175,175,16758
764463600,0,190,190,190,10947
764805600,0,171,171,171,5822
764892000,0,154,154,154,5572
765064800,0,139,139,139,5442
765496800,0,130,130,130,12021
765669600,0,143,143,143,13524
765756000,0,150,150,150,6230
766015200,0,135,135,135,6760
766101600,0,121,121,121,0
766274400,0,106,106,106,3535
766620000,0,118,118,118,3981
766706400,0,125,125,125,4296
766879200,0,140,140,140,11892
767224800,0,140,140,140,6065
767311200,0,126,126,126,0
767484000,0,114,114,114,5057
768088800,0,115,115,115,9208
768175200,0,114,114,114,10870
768434400,0,103,103,103,3962
768520800,0,100,100,100,4403
768693600,0,107,107,107,9210
769039200,0,116,116,116,6327
769125600,0,116,116,116,9680
769298400,0,108,108,108,4950
769644000,0,118,118,118,17255
769730400,0,125,125,125,16204
769903200,0,124,124,124,11876
770248800,0,129,129,129,15804
770335200,0,129,129,129,8346
770421600,0,116,116,116,4945
770853600,0,105,105,105,11608
770940000,0,98,98,98,9811
771112800,0,89,89,89,13438
771458400,0,80,80,80,0
771544800,0,72,72,72,17412
771717600,0,74,74,74,13815
772063200,0,67,67,67,10982
772149600,0,60,60,60,14119
772322400,0,54,54,54,14719
772668000,0,59,59,59,0
772754400,0,65,65,65,12771
772927200,0,69,69,69,13942
773272800,0,69,69,69,13175
773359200,0,76,76,76,4422
773445600,0,83,83,83,4365
773532000,0,91,91,91,12271
773877600,0,98,98,98,15594
773964000,0,99,99,99,9983
774050400,0,99,99,99,19403
774136800,0,96,96,96,14892
774482400,0,25,25,25,77350
774568800,0,28,28,28,139369
774655200,0,25,25,25,75256
774741600,0,26,26,26,47969
775087200,0,24,24,24,48555
775173600,0,24,24,24,29835
775260000,0,24,24,24,17389
775346400,0,25,25,25,32582
775692000,0,25,25,25,26972
775778400,0,26,26,26,22888
775864800,0,28,28,28,58765
775951200,0,29,29,29,41514
776296800,0,29,29,29,44541
776383200,0,28,28,28,23627
776469600,0,27,27,27,20236
776556000,0,27,27,27,31625
776988000,0,27,27,27,17033
777074400,0,29,29,29,36743
777160800,0,28,28,28,22625
777506400,0,27,27,27,37135
777592800,0,27,27,27,17689
777679200,0,27,27,27,32472
777765600,0,25,25,25,28093
778111200,0,26,26,26,32668
778197600,0,26,26,26,22116
778284000,0,25,25,25,18059
778370400,0,25,25,25,26518
778716000,0,24,24,24,18308
778802400,0,21,21,21,0
778888800,0,19,19,19,67126
778975200,0,21,21,21,19225
779320800,0,22,22,22,63915
779407200,0,20,20,20,84044
779493600,0,20,20,20,26525
779580000,0,19,19,19,24885
779925600,0,19,19,19,41932
780012000,0,18,18,18,23225
780098400,0,16,16,16,37375
780184800,0,17,17,17,35976
780534000,0,16,16,16,20860
780620400,0,15,15,15,21954
780706800,0,15,15,15,33950
780793200,0,16,16,16,41495
781138800,0,18,18,18,63201
781225200,0,20,20,20,75916
781311600,0,22,22,22,52683
781398000,0,21,21,21,37516
781484400,0,20,20,20,43197
781743600,0,19,19,19,34467
781830000,0,17,17,17,48913
781916400,0,19,19,19,65366
782002800,0,18,18,18,21698
782089200,0,19,19,19,25965
782348400,0,19,19,19,11122
782434800,0,19,19,19,85173
782521200,0,21,21,21,93581
782607600,0,19,19,19,44224
782694000,0,19,19,19,37555
782953200,0,17,17,17,63569
783039600,0,17,17,17,59623
783126000,0,16,16,16,31956
783212400,0,16,16,16,28804
783298800,0,15,15,15,28332
783730800,0,15,15,15,23484
783817200,0,16,16,16,52672
783903600,0,14,14,14,23019
784162800,0,15,15,15,25235
784249200,0,14,14,14,19867
784335600,0,13,13,13,20144
784422000,0,12,12,12,25639
784767600,0,11,11,11,30237
784854000,0,10,10,10,54004
784940400,0,10,10,10,53173
785026800,0,11,11,11,69330
785113200,0,11,11,11,57120
785372400,0,9,9,9,14632
