t,o,c,h,l,v
1072738800,18.15,19,20,18.15,156203
1072825200,19.6,18.7,19.6,18.7,78185
1072998000,18.7,18.2,18.7,17.4,74847
1073257200,18.3,17.5,18.3,17.15,165459
1073343600,17.4,17.15,17.4,17,82424
1073430000,17.1,17.15,17.35,17.05,34753
1073516400,17.2,16.5,17.5,16.5,96484
1073602800,16.3,16.05,16.45,15.75,97469
1073862000,16,16.3,16.95,16,45836
1073948400,16.4,16.75,16.85,16.35,41938
1074034800,16.75,16.35,16.8,16.25,38663
1074121200,16.25,16.35,16.45,16.1,27979
1074207600,16.2,16.25,16.35,16.1,69294
1074466800,16.4,16.4,16.5,16.2,31915
1074553200,16.4,16.2,16.4,16.2,27740
1074639600,16.3,16.25,16.5,16,54154
1074726000,16.1,15.9,16.1,15.85,36621
1074812400,16,15.7,16,15.2,42519
1075071600,15.65,15.15,15.65,14.8,157235
1075158000,15.2,15.6,15.85,14.8,72834
1075244400,15.7,15.6,15.7,15.5,127649
1075330800,15.05,15.55,15.6,15.05,26283
1075417200,15.5,15.4,15.5,15.2,10748
1075676400,15.5,15.45,15.5,15.2,12870
1075762800,15.25,15.1,15.3,15.05,22207
1075849200,15,15,15,14.85,24621
1075935600,15.05,15.6,15.7,15.05,50720
1076022000,15.75,15.9,15.9,15.7,40983
1076281200,16.05,16.2,16.7,15,75413
1076367600,16.35,15.95,16.35,15.8,43680
1076454000,15.8,15.85,15.95,15.5,13893
1076540400,16.1,15.85,16.1,15.6,5782
1076626800,15.75,15.9,15.95,15.6,9610
1076886000,15.65,16,16,15.65,14104
1076972400,15.8,15.8,16,15.6,16151
1077058800,15.75,15.75,15.75,15.45,10274
1077145200,15.65,15.6,15.65,15.45,60750
1077231600,15.45,15.55,15.55,15.3,10288
1077490800,15.45,15.3,15.45,15.2,25001
1077577200,15.4,15,15.5,14.9,36597
1077663600,15.1,15,15.15,14.95,17628
1077750000,15.1,15.3,15.5,15.1,11154
1077836400,15.4,15.7,15.7,15.25,26718
1078095600,15.7,15.9,15.95,15.3,46566
1078182000,16,16.9,16.95,16,260301
1078268400,17.3,17.4,17.85,17.2,160106
1078354800,17.4,16.95,17.4,16.7,68556
1078441200,16.95,16.75,17,16.5,80014
1078700400,16.7,16.55,17,16.4,87850
1078786800,16.6,16.7,16.9,16.5,80553
1078873200,16.7,16.6,16.8,16.5,63853
1078959600,16.5,16.3,16.5,15.7,28571
1079046000,16,16.15,16.15,15.8,28408
1079305200,16,16,16.4,15.95,71731
1079391600,15.7,16.1,16.1,15.7,24399
1079478000,16.45,16.45,16.45,16.15,41011
1079564400,16.5,16.4,16.5,16.35,52229
1079650800,16.5,16.3,16.6,15.9,78121
1079910000,16.3,16.45,16.45,16.15,31582
1079996400,16.9,17,17.05,16.7,90392
1080082800,17,17.4,17.4,16.8,118571
1080169200,17.45,17.9,17.9,17.45,165002
1080255600,17.95,18.3,18.35,17.9,183773
1080511200,18.1,18.7,18.7,18,98392
1080597600,18.65,19.3,19.4,18.5,149542
1080684000,19.45,18.8,19.45,18.4,61389
1080770400,18.35,18.65,18.65,18.2,11090
1080856800,18.65,18.75,18.8,18.4,20748
1081116000,18.55,18.5,18.55,18.15,20702
1081202400,18.1,18.2,18.5,18,13603
1081288800,18.25,18.2,18.5,17.85,15984
1081375200,18.2,18.45,18.45,18.1,8821
1081807200,18.45,18.7,18.7,18.45,15547
1081893600,18.75,19.1,19.45,18.75,63765
1081980000,19.25,19.25,19.25,18.7,24674
1082066400,19.2,18.95,19.2,18.75,14748
1082325600,18.95,18.6,18.95,18.25,20913
1082412000,18.9,18.45,18.9,18.15,14217
1082498400,18.4,18.3,18.45,17.95,28342
1082584800,17.85,17.9,18.05,17.75,15997
1082671200,17.7,17.85,17.85,17.5,13494
1082930400,17.75,17.7,17.75,17.25,41463
1083016800,17.8,18,18,17.7,10986
1083103200,18.2,17.9,18.2,17.75,6121
1083189600,17.8,17.4,17.8,17.3,9106
1083276000,17.4,17.9,17.9,17.25,4923
1083621600,17.9,17.9,18.15,17.7,15932
1083708000,17.8,17.65,17.8,17.05,11187
1083794400,17.35,17.2,17.35,16.9,19326
1083880800,17.05,16.85,17.1,16.6,8071
1084140000,16.4,16.7,16.7,15.5,18562
1084226400,16.4,16.4,16.4,16,9900
1084312800,16.25,16.55,16.55,16.1,6147
1084399200,16.2,16.5,16.6,16,9351
1084485600,16.4,16.5,16.7,16.3,10430
1084744800,16,16.4,16.4,15.9,10758
1084831200,16.2,16.4,16.5,16.05,11698
1084917600,16.4,16.35,16.4,16.05,16331
1085004000,16.05,16.3,16.3,16,19833
1085090400,16.05,16.2,16.2,15.95,12662
1085349600,16.2,16.1,16.2,15.85,9640
1085436000,16.1,16.15,16.15,16,44397
1085522400,16.1,16.75,17,16,23914
1085608800,16.9,16.9,17.05,16.75,8725
1085695200,16.75,16.9,17,16.55,6700
1085954400,16.85,16.75,16.85,16.45,6410
1086040800,16.6,16.45,16.6,16.4,3987
1086127200,16.5,16.5,16.5,16.3,4725
1086213600,16.55,16.55,16.55,16.25,5863
1086300000,16.5,16.6,16.6,16.4,15419
1086559200,16.7,16.65,16.7,16.3,4936
1086645600,16.6,16.6,16.6,16.15,9577
1086732000,16.6,16.25,16.6,16.15,2620
1086904800,16.25,16,16.35,16,13514
1087164000,15.9,16.3,16.3,15.9,19213
1087250400,16.3,16.25,16.35,16.1,6263
1087336800,16.3,16.35,16.35,16.3,932
1087423200,16.2,16.15,16.3,15.9,10165
1087509600,16,16.3,16.3,16,5184
1087768800,16.05,16.25,16.25,16.05,2202
1087855200,16.25,16.25,16.25,16.1,2904
1087941600,16.25,16.3,16.4,16.2,3662
1088028000,16.4,16.7,16.7,16.35,31981
1088114400,16.8,16.7,16.9,16.6,7502
1088373600,16.7,16.75,16.75,16.5,3798
1088460000,16.75,16.75,16.8,15.95,6193
1088546400,16.35,16.7,16.7,16.3,4547
1088632800,16.35,16.6,16.6,16.25,13156
1088719200,16.6,16.5,16.6,16.15,3223
1088978400,16.2,16.2,16.3,16.2,3374
1089064800,16.15,16.2,16.2,16.1,4178
1089151200,16.05,16.3,16.3,16.05,58625
1089237600,16.4,16.4,16.4,16.15,5179
1089324000,16.4,16.3,16.4,16.1,6448
1089583200,16.3,16.2,16.3,16.05,7619
1089669600,16.2,16.15,16.2,16,22322
1089756000,16,16.2,16.2,16,9218
1089842400,16.25,16.2,16.25,16,10679
1089928800,16,16,16.1,15.55,22025
1090188000,16.15,16.2,16.45,16.05,25828
1090274400,16.5,16.55,16.55,16.4,10487
1090360800,16.4,16.45,16.65,16.3,6822
1090447200,16.5,16.4,16.5,16,17975
1090533600,16.3,16.25,16.3,16.1,2862
1090792800,16.1,16.1,16.1,15.95,12465
1090879200,16.2,16.1,16.2,16,11990
1090965600,16.1,15.75,16.1,15.75,56421
1091052000,15.55,15.65,15.65,15.45,8386
1091138400,15.6,15.6,15.6,15.4,2950
1091397600,15.5,15.45,15.7,15.25,7480
1091484000,15.3,16.15,16.15,15.15,5304
1091570400,16,15.9,16,15.7,1179
1091656800,15.9,15.45,15.9,15.35,8334
1091743200,15.3,15.7,15.75,15.3,3199
1092002400,15.5,15.5,15.5,15.3,8551
1092088800,15.4,15.8,15.8,15.3,2250
