t,o,c,h,l,v
785545200,0,5,5,5,12232
785631600,0,4,4,4,43690
785718000,0,5,5,5,24219
785977200,0,5,5,5,0
786063600,0,6,6,6,0
786150000,0,6,6,6,0
786236400,0,7,7,7,0
786322800,0,8,8,8,64040
786582000,0,9,9,9,69485
786668400,0,9,9,9,50239
786754800,0,8,8,8,32719
786841200,0,7,7,7,89816
786927600,0,8,8,8,33689
787186800,0,8,8,8,48013
787273200,0,7,7,7,28956
787359600,0,7,7,7,18163
787446000,0,7,7,7,34006
787532400,0,8,8,8,37322
787791600,0,8,8,8,31372
787878000,0,7,7,7,22447
787964400,0,7,7,7,15464
788050800,0,8,8,8,21780
788137200,0,8,8,8,23869
788482800,0,8,8,8,18217
788569200,0,7,7,7,10135
788655600,0,8,8,8,12305
789001200,0,8,8,8,16558
789087600,0,9,9,9,41540
789174000,0,8,8,8,27878
789260400,0,9,9,9,27576
789346800,0,8,8,8,10179
789606000,0,8,8,8,15572
789692400,0,8,8,8,14188
789778800,0,8,8,8,7156
789865200,0,8,8,8,8186
789951600,0,8,8,8,8508
790210800,0,8,8,8,16278
790297200,0,8,8,8,2947
790383600,0,8,8,8,9925
790470000,0,8,8,8,14341
790556400,0,8,8,8,15453
790815600,0,7,7,7,8937
790902000,0,7,7,7,18870
790988400,0,7,7,7,20335
791074800,0,7,7,7,9336
791161200,0,7,7,7,6841
791420400,0,7,7,7,8451
791506800,0,6,6,6,7435
791679600,0,6,6,6,18380
791766000,0,6,6,6,11727
792025200,0,7,7,7,8344
792111600,0,7,7,7,29933
792198000,0,7,7,7,12289
792284400,0,7,7,7,21666
792370800,0,7,7,7,10757
792630000,0,7,7,7,11949
792716400,0,7,7,7,17369
792802800,0,7,7,7,17701
792889200,0,8,8,8,18727
792975600,0,8,8,8,18642
793234800,0,8,8,8,24061
793321200,0,7,7,7,21463
793407600,0,7,7,7,14628
793494000,0,7,7,7,16873
793580400,0,8,8,8,53073
793839600,0,8,8,8,13052
793926000,0,8,8,8,9936
794012400,0,8,8,8,14429
794098800,0,8,8,8,20624
794185200,0,8,8,8,22635
794444400,0,8,8,8,27655
794530800,0,8,8,8,12505
794617200,0,8,8,8,9679
794703600,0,8,8,8,17100
794790000,0,8,8,8,41379
