t,o,c,h,l,v
1182722400,60,57.5,63,53,17138
1182808800,56.9,50.5,56.9,47.1,50218
1182895200,50.6,49,51.85,48.9,11776
1182981600,49.2,47.45,49.98,47,7372
1183068000,47.02,45.7,47.02,43.1,8259
1183327200,48.5,43.4,48.5,43.1,6217
1183413600,43.4,40.66,43.4,39.61,10391
1183500000,39,41.01,42.9,38.4,11540
1183586400,42.7,42.9,42.9,41.51,5498
1183672800,44.44,45,45.45,42.61,5608
1183932000,45,42.56,45,42.56,2516
1184018400,42.06,43,43.89,42.06,4865
1184104800,42.5,42.99,43.3,41.35,803
1184191200,42.99,43.7,43.7,41.3,1015
1184277600,42.5,42.35,43,41.3,1306
1184536800,41.3,41,41.3,38.51,3270
1184623200,40.1,40.09,40.1,38.8,1832
1184709600,41.1,40.9,41.1,40,1884
1184796000,42.05,40.69,42.05,39.6,2122
1184882400,40,42,43.5,40,8547
1185141600,42.85,43.5,45,42.71,6660
1185228000,42.37,38.99,42.37,38.15,16739
1185314400,39,38.39,39,37,4357
1185400800,38.4,37.99,39.5,37.01,3908
1185487200,37,38,38,36.05,3887
1185746400,36.5,38.2,38.2,36.5,1712
1185832800,38,36.99,38.5,36.3,6393
1185919200,35.03,36,36.5,35,4856
1186005600,36.75,35.88,37.37,35,1497
1186092000,35.45,34.5,35.45,34.1,1136
1186351200,34,33.48,34.01,32,3766
1186437600,33.95,33.64,33.95,32.5,642
1186524000,33,32.98,33,32,713
1186610400,32.01,30.26,32.9,30,2701
1186696800,28,26.99,28.24,25.21,6714
1186956000,26.01,27.83,27.83,26.01,2410
1187042400,27.2,27.7,27.74,27.1,1598
1187215200,27,23.37,27,21.9,4305
1187301600,22,23.37,23.4,22,4522
1187560800,23.37,23.5,24.46,23,2444
1187647200,23.6,23,23.67,23,1621
1187733600,23,22.69,23.5,22.55,2955
1187820000,24.5,24.8,24.8,23.6,3955
1187906400,24.8,30.98,30.98,24.8,9513
1188165600,33,30.7,33,30,8613
1188252000,30.6,30,31.39,29.05,1040
1188338400,29,28.6,29.87,27.5,1541
1188424800,29.9,28,29.9,27.9,2641
1188511200,28.6,28.9,28.9,28.5,702
1188770400,28.1,28.98,28.98,28,349
1188856800,28.9,28.9,28.9,28.01,1062
1188943200,28.9,28.7,28.9,28.1,384
1189029600,28.04,28.59,28.6,27.7,216
1189116000,27.5,27.2,28.49,27,592
1189375200,26.5,26,26.6,25.9,1782
1189461600,26.4,26.4,26.49,26.4,466
1189548000,26.5,26.4,26.5,26.4,93
1189634400,25.8,25.99,26.4,25,932
1189720800,25.9,24.9,25.9,24.4,1983
1189980000,24,21.8,24,20.02,38581
1190066400,22,22.6,23,21.6,11846
1190152800,23.06,22.46,23.2,22.4,4044
1190239200,22.03,21.72,22.05,21.05,7581
1190325600,21.74,22.5,22.75,21.74,8457
1190584800,22.01,25.2,27,22.01,24459
1190671200,26.2,23.67,26.2,23.5,9061
1190757600,23.68,22.06,24.85,22.06,4980
1190844000,23.06,22.5,23.6,22.5,4970
1190930400,22.9,22.9,23,22.61,2003
1191189600,23.01,22.8,23.46,22,3497
1191276000,23,23.6,23.6,23,3410
1191362400,23.98,24,24,23.8,3280
1191448800,24.3,30.8,30.8,23.6,33935
1191535200,30.2,29.49,35.42,28,43847
1191794400,29.49,31.15,31.79,28,10893
1191880800,31.15,30.95,31.5,30.01,5575
1191967200,31.41,30.85,32.6,29.5,10804
1192053600,30.85,29.51,30.85,29.45,2672
1192140000,29.8,29.35,30.3,28.6,5562
1192399200,29,29.49,29.49,29,2337
1192485600,29.88,28.3,29.88,28.3,4112
1192572000,28.05,28,29,27.31,4488
1192658400,29,26.32,29,26.22,6519
1192744800,27,26.5,27,24.51,11789
1193004000,26.5,28.39,28.39,26,6587
1193090400,28.4,35.89,35.89,28.4,36898
1193176800,34.5,33.49,37.3,32,34916
1193263200,34,33.32,34,32.05,3685
