t,o,c,h,l,v
1195686000,6.55,6.99,6.99,6.1,11917
1195772400,7,7,7.03,6.9,15150
1196031600,6.99,7,7.02,6.85,6391
1196118000,6.95,7,7,6.81,4053
1196204400,7,7.3,7.3,6.84,18191
1196290800,7.5,7.47,7.5,7.01,6921
1196377200,7.42,7.4,7.42,7.14,1417
1196636400,7.5,7.49,7.5,7.25,1919
1196722800,7.5,7.4,7.5,7.4,1185
1196809200,7.32,7.47,7.48,7.3,3507
1196895600,7.48,7.5,7.6,7.3,2377
1196982000,7.3,7.5,7.5,7.3,3204
1197241200,7.49,7.5,7.5,7.45,2815
1197327600,7.5,7.64,7.69,7.45,9931
1197414000,7.64,7.77,7.77,7.21,3996
1197500400,7.77,7.79,7.8,7.5,7086
1197586800,7.8,7.8,7.82,7.57,6649
1197846000,7.8,7.7,7.8,7.52,2688
1197932400,7.76,7.7,7.9,7.5,46624
1198018800,7.72,7.5,7.78,7.47,10291
1198105200,7.51,7.3,7.64,7.13,13227
1198191600,7.48,7.18,7.48,7.03,5850
1198710000,7.28,7.3,7.3,7.25,4701
1198796400,7.2,7.77,7.77,7.19,6851
1199228400,7.74,7.68,7.74,7.5,2176
1199314800,7.46,7.49,7.59,7.32,14979
1199401200,7.48,7.76,7.77,7.48,19039
1199660400,7.75,7.76,7.76,7.5,5018
1199746800,7.65,7.66,7.75,7.65,29088
1199833200,7.66,7.55,7.66,7.3,5553
1199919600,7.33,7.36,7.59,7.33,5216
1200006000,7.32,7.64,7.64,7.32,2495
1200265200,7.45,7.5,7.59,7.3,12950
1200351600,7.31,7.5,7.59,7.31,504
1200438000,6.5,6.8,7.09,6.5,6545
1200524400,6.7,7.38,7.38,6.53,22963
1200610800,7.3,7.37,7.37,7.02,13987
1200870000,7.37,7,7.37,6.85,413
1200956400,6.52,6.9,6.99,6.52,2799
1201042800,7,7.07,7.5,7,5273
1201129200,7.64,7.02,7.64,6.92,4294
1201215600,7.1,6.97,7.2,6.97,3967
1201474800,7.65,7.31,7.65,7.3,9733
1201561200,7.49,7.36,7.55,7.31,10991
1201647600,7.58,7.55,7.58,7.5,4794
1201734000,7.55,7.74,7.75,7.55,18030
1201820400,7.7,7.98,8,7.5,11766
1202079600,7.99,8.02,8.38,7.99,4071
1202166000,8.37,7.84,8.37,7.8,4006
1202252400,7.33,7.98,7.99,7.33,6350
1202338800,7.98,8.14,8.35,7.52,10489
1202425200,8.15,8.17,8.19,8.1,7527
1202684400,8.17,8.59,8.59,8.17,8191
1202770800,8.5,8.49,8.5,8.23,6667
1202857200,8.59,8.8,8.8,8.25,6148
1202943600,8.69,8.41,8.8,8.35,8398
1203030000,8.42,8.2,8.42,8,6799
1203289200,8.58,8.32,8.58,8.25,1065
1203375600,8.15,8.14,8.15,8,4318
1203462000,8.4,8.05,8.4,8,2738
1203548400,8.1,8.3,8.4,7.91,2240
1203634800,8.1,8.39,8.39,8.1,231
1203894000,8.19,8.4,8.4,7.8,15675
1203980400,8.12,8.34,8.42,8.12,6114
1204066800,8.2,8.4,8.4,8.19,7964
1204153200,8.12,8.4,8.4,7.74,12365
1204239600,8.2,8.3,8.33,8,3698
1204498800,8,8.3,8.3,8,12332
1204585200,8.3,8.38,8.38,8.18,6402
1204671600,8.39,8.11,8.39,8.11,1741
1204758000,8.2,8,8.2,8,3539
1204844400,8,8.19,8.2,8,2137
1205103600,8.15,8.15,8.15,8.15,200
1205190000,8.15,8.02,8.2,8.02,1806
1205276400,8.1,8.29,8.3,8.1,3166
1205362800,8.33,8.33,8.35,7.95,10308
1205449200,8.33,8.4,8.48,8.1,17141
1205708400,8.1,8.4,8.4,8.1,3330
1205794800,8.1,8.4,8.4,8.1,4339
1205881200,8.38,8.5,8.5,8.38,10688
1205967600,8.5,8.49,8.5,8.26,2950
1206399600,8.1,8.75,8.75,8.1,6043
1206486000,8.49,8.71,9,8.49,19607
