t,o,c,h,l,v
882226800,0,20,20,20,27622
882313200,0,20.9,20.9,20.9,25111
882399600,0,20,20,20,18602
882486000,0,19.2,19.2,19.2,6655
882745200,0,17.3,17.3,17.3,0
882831600,0,17.1,17.1,17.1,15730
883350000,0,17.2,17.2,17.2,5721
883436400,0,17.5,17.5,17.5,8407
883522800,0,17,17,17,12064
883954800,0,17.4,17.4,17.4,5802
884041200,0,17.4,17.4,17.4,4867
884127600,0,17,17,17,4455
884214000,0,16.8,16.8,16.8,4892
884300400,0,16.8,16.8,16.8,2992
884559600,0,15.2,15.2,15.2,1001
884646000,0,15.5,15.5,15.5,5727
884732400,0,15.5,15.5,15.5,4940
884818800,0,15.6,15.6,15.6,6302
884905200,0,15,15,15,3373
885164400,0,15.2,15.2,15.2,2332
885250800,0,15,15,15,8706
885337200,0,14.7,14.7,14.7,1609
885423600,0,14.5,14.5,14.5,7013
885510000,0,14,14,14,2812
885769200,0,14.8,14.8,14.8,6750
885855600,0,14.5,14.5,14.5,2764
885942000,0,14.5,14.5,14.5,807
886028400,0,15.9,15.9,15.9,4732
886114800,0,15.8,15.8,15.8,4426
886374000,0,16.5,16.5,16.5,2379
886460400,0,17.2,17.2,17.2,5180
886546800,0,17.5,17.5,17.5,8556
886633200,0,16.7,16.7,16.7,2797
886719600,0,17,17,17,4066
886978800,0,17.3,17.3,17.3,4440
887065200,0,19,19,19,17550
887151600,0,18.5,18.5,18.5,4428
887238000,0,18.5,18.5,18.5,4001
887324400,0,17.6,17.6,17.6,2209
887583600,0,17.4,17.4,17.4,2847
887670000,0,17.3,17.3,17.3,1069
887756400,0,18.5,18.5,18.5,6771
887842800,0,19.7,19.7,19.7,14855
887929200,0,18.5,18.5,18.5,11945
888188400,0,18.8,18.8,18.8,14012
888274800,0,19,19,19,6851
888361200,0,18.4,18.4,18.4,10219
888447600,0,18.5,18.5,18.5,6806
888534000,0,18.5,18.5,18.5,5378
888793200,0,18.2,18.2,18.2,4319
888879600,0,18.5,18.5,18.5,5015
