t,o,c,h,l,v
887238000,0,26.9,26.9,26.9,9342
887324400,0,24.3,24.3,24.3,6588
887583600,0,24.5,24.5,24.5,3419
887670000,0,23.8,23.8,23.8,1820
887756400,0,22.5,22.5,22.5,1312
887842800,0,23.5,23.5,23.5,2657
887929200,0,24,24,24,9639
888188400,0,23.7,23.7,23.7,7106
888274800,0,23.5,23.5,23.5,4244
888361200,0,23,23,23,3580
888447600,0,23.1,23.1,23.1,2400
888534000,0,22.9,22.9,22.9,704
888793200,0,23,23,23,2094
888879600,0,23.2,23.2,23.2,1321
888966000,0,22.9,22.9,22.9,1300
889052400,0,22.1,22.1,22.1,936
889138800,0,20.3,20.3,20.3,400
889398000,0,21.5,21.5,21.5,2225
889484400,0,21.2,21.2,21.2,2085
889570800,0,21.5,21.5,21.5,1040
889657200,0,21.9,21.9,21.9,5755
889743600,0,22.5,22.5,22.5,11770
890002800,0,22.5,22.5,22.5,9666
890089200,0,22.3,22.3,22.3,8655
890175600,0,20.8,20.8,20.8,2500
890262000,0,20.4,20.4,20.4,3308
890348400,0,20,20,20,1130
890607600,0,18.9,18.9,18.9,6198
890694000,0,19,19,19,8926
890780400,0,19,19,19,5909
890866800,0,18.7,18.7,18.7,6800
890953200,0,17.8,17.8,17.8,1955
891208800,0,17.6,17.6,17.6,1525
891295200,0,17.2,17.2,17.2,2610
891381600,0,16.2,16.2,16.2,1500
891468000,0,16,16,16,2385
891813600,0,16.1,16.1,16.1,650
891900000,0,16.3,16.3,16.3,438
891986400,0,15.9,15.9,15.9,1140
892072800,0,16,16,16,1256
892504800,0,16,16,16,2160
892591200,0,16,16,16,5946
892677600,0,16.3,16.3,16.3,3644
892764000,0,16.3,16.3,16.3,3116
893023200,0,16.3,16.3,16.3,842
893109600,0,16.1,16.1,16.1,805
893196000,0,16.2,16.2,16.2,790
893282400,0,16,16,16,936
893368800,0,16,16,16,671
893628000,0,15.7,15.7,15.7,595
893714400,0,14.2,14.2,14.2,5900
893800800,0,14.2,14.2,14.2,2100
893887200,0,13.1,13.1,13.1,8368
894232800,0,13.5,13.5,13.5,1777
894319200,0,13.5,13.5,13.5,723
894405600,0,13.5,13.5,13.5,1415
894492000,0,13.1,13.1,13.1,1525
894578400,0,13.6,13.6,13.6,1560
894837600,0,14.4,14.4,14.4,506
894924000,0,14.2,14.2,14.2,350
895010400,0,13.4,13.4,13.4,425
895096800,0,13.5,13.5,13.5,370
895183200,0,12.4,12.4,12.4,270
895442400,0,13.1,13.1,13.1,1582
895528800,0,12.6,12.6,12.6,785
895615200,0,13,13,13,489
895701600,0,13.2,13.2,13.2,500
895788000,0,13.1,13.1,13.1,130
896047200,0,12.1,12.1,12.1,250
896133600,0,12.1,12.1,12.1,168
896220000,0,11.9,11.9,11.9,332
896306400,0,11.2,11.2,11.2,333
896392800,0,11.3,11.3,11.3,210
896652000,0,11,11,11,110
896738400,0,10.2,10.2,10.2,1330
896824800,0,10.5,10.5,10.5,1852
896911200,0,10.5,10.5,10.5,2033
896997600,0,9.65,9.65,9.65,1280
897256800,0,8.7,8.7,8.7,3071
897343200,0,8.1,8.1,8.1,2809
897429600,0,8.1,8.1,8.1,4600
897861600,0,7.8,7.8,7.8,898
897948000,0,7.05,7.05,7.05,5530
898034400,0,7.2,7.2,7.2,5387
898120800,0,7.6,7.6,7.6,4783
898207200,0,6.9,6.9,6.9,2834
898466400,0,7,7,7,1370
898552800,0,7,7,7,3115
