t,o,c,h,l,v
1306879200,5.17,5.17,5.17,5.05,270
1306965600,5.11,4.9,5.11,4.9,5071
1307052000,5,4.85,5,4.85,320
1307311200,4.95,4.8,4.95,4.8,4821
1307397600,4.8,4.8,4.8,4.8,1310
1307484000,4.82,4.8,4.84,4.8,3896
1307570400,4.8,4.8,4.81,4.8,4893
1307656800,4.8,4.8,4.8,4.8,25
1307916000,0,4.8,4.8,4.8,0
1308002400,4.71,4.7,4.84,4.7,475
1308088800,4.7,4.84,4.84,4.7,527
1308175200,4.9,4.9,4.9,4.9,200
1308261600,4.9,4.9,4.9,4.9,25
1308520800,4.9,4.9,4.9,4.9,25
1308607200,0,4.9,4.9,4.9,0
1308693600,4.9,4.9,4.9,4.9,25
1308866400,4.9,4.9,4.9,4.9,50
1309125600,4.75,4.85,4.85,4.7,683
1309212000,0,4.85,4.85,4.85,0
1309298400,4.75,4.75,4.75,4.75,25
1309384800,4.6,4.7,4.7,4.53,804
1309471200,4.53,4.7,4.7,4,4892
1309730400,4.7,4.7,4.7,4.7,30
1309816800,0,4.7,4.7,4.7,0
1309903200,4.45,4.45,4.45,4.45,50
1309989600,4.35,4.55,4.55,4.35,1002
1310076000,0,4.55,4.55,4.55,0
1310335200,4.55,4.7,4.7,4.55,11500
1310421600,4.7,4.7,4.7,4.7,25
1310508000,4.7,4.7,4.7,4.7,25
1310594400,4.7,4.35,4.7,4.35,227
1310680800,0,4.35,4.35,4.35,0
1310940000,0,4.35,4.35,4.35,0
1311026400,0,4.35,4.35,4.35,0
1311112800,4.45,4.45,4.45,4.45,1
1311199200,0,4.45,4.45,4.45,0
1311285600,4.3,4.45,4.45,4.3,801
1311544800,0,4.45,4.45,4.45,0
1311631200,0,4.45,4.45,4.45,0
1311717600,4.55,4.55,4.55,4.55,150
1311804000,4.55,4.55,4.55,4.55,25
1311890400,4.55,4.37,4.55,4.2,346
1312149600,0,4.37,4.37,4.37,0
1312236000,0,4.37,4.37,4.37,0
1312322400,4.3,4.01,4.3,4.01,800
1312408800,4.01,4,4.01,4,300
1312495200,4,4,4,4,20
1312754400,4,4,4,4,20
1312840800,4,3.99,4,3.99,30
1312927200,4,3.9,4,3.9,60
1313013600,3.99,3.99,3.99,3.99,2
1313100000,4,4,4,4,20
1313445600,3.9,3.9,3.9,3.9,610
1313532000,3.99,4.2,4.2,3.99,300
1313618400,4.18,4.18,4.18,4.18,100
1313704800,0,4.18,4.18,4.18,0
1313964000,4.18,4.2,4.2,4.18,150
1314050400,4.15,4.2,4.2,4.15,110
1314136800,0,4.2,4.2,4.2,0
1314223200,4.05,4.2,4.2,3.9,420
1314309600,4,4,4,4,25
1314568800,3.99,4,4,3.99,220
1314655200,4,4,4,3.98,140
1314741600,4,4,4,4,25
1314828000,4,4,4,4,25
1314914400,0,4,4,4,0
1315173600,4,4,4,4,25
1315260000,0,4,4,4,0
1315346400,0,4,4,4,0
1315432800,3.9,3.9,3.9,3.9,30
1315519200,0,3.9,3.9,3.9,0
1315778400,3.8,3.53,3.8,3.53,215
1315864800,3.55,4,4,3.55,606
1315951200,3.95,4,4,3.95,811
1316037600,3.98,3.98,3.98,3.98,30
1316124000,3.98,3.9,3.98,3.9,170
1316383200,3.98,3.98,3.98,3.98,41
1316469600,3.98,3.98,3.98,3.98,80
1316556000,3.9,3.9,3.9,3.9,30
1316642400,3.9,3.9,3.9,3.9,30
1316728800,0,3.9,3.9,3.9,0
1316988000,3.9,3.9,3.9,3.9,30
1317074400,3.9,3.85,3.9,3.85,380
1317160800,3.9,3.9,3.9,3.9,30
1317247200,0,3.9,3.9,3.9,0
1317333600,3.9,3.9,3.9,3.85,230
1317592800,3.9,3.6,3.9,3.6,871
1317679200,3.6,3.88,3.88,3.6,553
1317765600,3.9,3.7,3.9,3.7,115
1317852000,3.69,3.69,3.69,3.69,66
1317938400,3.69,3.9,3.9,3.69,230
1318197600,3.9,3.77,3.9,3.77,70
1318284000,3.8,3.9,3.9,3.8,110
1318370400,3.9,3.98,3.98,3.88,2410
1318456800,0,3.98,3.98,3.98,0
1318543200,0,3.98,3.98,3.98,0
1318802400,0,3.98,3.98,3.98,0
1318888800,3.95,4,4,3.9,1290
1318975200,4,3.85,4,3.85,240
1319061600,3.8,3.8,3.8,3.8,50
1319148000,0,3.8,3.8,3.8,0
1319407200,3.85,3.85,3.85,3.85,10
1319493600,3.8,3.53,3.8,3.53,637
1319580000,0,3.53,3.53,3.53,0
1319666400,0,3.53,3.53,3.53,0
1319752800,3.55,3.6,3.6,3.55,250
1320015600,0,3.6,3.6,3.6,0
1320188400,0,3.6,3.6,3.6,0
1320274800,3.65,3.65,3.65,3.65,395
1320361200,3.68,3.95,3.95,3.68,2110
1320620400,3.9,3.77,3.9,3.77,3240
1320706800,3.67,3.5,3.67,3.46,1484
1320793200,3.5,3.55,3.55,3.5,150
1320879600,3.5,3.48,3.5,3.48,200
1321225200,0,3.48,3.48,3.48,0
1321311600,3.5,3.59,3.59,3.5,200
1321398000,3.59,3.59,3.59,3.59,130
1321484400,3.5,3.5,3.5,3.48,260
1321570800,3.5,3.5,3.5,3.5,40
1321830000,3.5,3.5,3.5,3.5,30
1321916400,3.5,3.5,3.5,3.5,50
1322002800,3.5,3.5,3.5,3.49,250
1322089200,3.5,3.5,3.5,3.5,20
1322175600,3.5,3.5,3.5,3.5,30
1322434800,3.5,3.5,3.5,3.5,35
1322521200,3.5,3.5,3.5,3.5,30
1322607600,3.5,3.5,3.5,3.5,35
1322694000,0,3.5,3.5,3.5,0
1322780400,0,3.5,3.5,3.5,0
1323039600,3.58,3.6,3.6,3.58,110
1323126000,0,3.6,3.6,3.6,0
1323212400,3.55,3.5,3.55,3.5,150
1323298800,3.47,3.44,3.47,3.4,1990
1323385200,3.44,3.44,3.44,3.44,173
1323644400,0,3.44,3.44,3.44,0
1323730800,3.4,3.4,3.4,3.4,40
1323817200,3.4,3.4,3.4,3.4,30
1323903600,3.4,3.4,3.4,3.4,240
1323990000,3.4,3.4,3.4,3.34,241
1324249200,3.4,3.4,3.4,3.4,212
1324335600,3.4,3.4,3.4,3.4,30
1324422000,3.4,3.3,3.4,3.3,889
1324508400,3.25,3.32,3.32,3,2250
1324594800,3.3,3.2,3.3,3.2,96
1324940400,3.31,3.18,3.31,3,4130
1325026800,2.96,2.96,2.96,2.96,2088
1325113200,0,2.96,2.96,2.96,0
1325199600,3.02,3.04,3.04,3.02,117
1325458800,0,3.04,3.04,3.04,0
1325545200,3,3,3,3,228
1325631600,0,3,3,3,0
1325718000,0,3,3,3,0
1326063600,3.04,3.04,3.04,3.04,192
1326150000,3.03,3.03,3.03,3.03,35
1326236400,3.03,3.03,3.03,3.03,35
1326322800,3.03,3,3.03,3,40
1326409200,0,3,3,3,0
1326668400,0,3,3,3,0
1326754800,3,3,3,3,35
1326841200,3.03,3.03,3.03,3.03,747
1326927600,3.03,3.03,3.03,3.02,250
1327014000,3.03,3.04,3.04,3.03,330
1327273200,0,3.04,3.04,3.04,0
1327359600,3,3.05,3.05,2.95,425
1327446000,3,3,3,3,48
1327532400,3,3,3,3,30
1327618800,3,3,3,3,30
1327878000,3,3,3,3,35
1327964400,3,3,3,3,35
1328050800,3,3.35,3.35,2.99,1153
1328137200,0,3.35,3.35,3.35,0
1328223600,3.15,3.08,3.15,3.08,110
1328482800,3.2,3.1,3.23,3.07,2075
1328569200,3.1,3.12,3.12,3.1,110
1328655600,3.12,2.98,3.12,2.98,940
1328742000,2.98,2.98,3.02,2.98,1010
1328828400,3,3,3,3,631
1329087600,3,2.98,3,2.98,85
1329174000,3,3,3,3,325
1329260400,3,2.98,3.53,2.97,7289
1329346800,3.05,3.13,3.13,3.05,300
1329433200,3.13,3.3,3.3,3.13,900
1329692400,3.3,3.41,3.41,3.3,1175
1329778800,3.35,3.35,3.35,3.35,100
1329865200,3.35,3.36,3.36,3.35,600
1329951600,3.35,3.23,3.35,3.23,785
1330038000,3.21,3.21,3.21,3.21,45
1330297200,3.33,3.34,3.34,3.33,983
1330383600,3.48,3.48,3.48,3.48,880
1330470000,3.48,3.4,3.48,3.4,850
