t,o,c,h,l,v
1211234400,25.3,27,27.7,25.28,1355
1211320800,27,28.89,29.7,26,1410
1211493600,28.7,28.7,28.7,26.2,169
1211752800,26.1,26.13,28.69,26.06,319
1211839200,28.61,28.33,28.61,26.2,185
1211925600,26.31,26.5,27.98,26.31,209
1212012000,28.25,26.96,28.3,26.11,984
1212098400,26.67,26.64,26.67,25.85,176
1212357600,26.45,26.36,26.45,24.5,258
1212444000,26.55,26.55,26.55,26.55,1
1212530400,26.6,26,26.6,25.2,1228
1212616800,26.6,25.99,26.6,23.94,775
1212703200,25.79,25.88,25.9,24.25,192
1212962400,24.89,24.8,24.89,23.5,164
1213048800,26.8,25.35,26.8,24.5,1197
1213135200,25.48,23.51,25.48,23.51,199
1213221600,24,23.55,26.2,23.54,747
1213308000,25.88,24.85,25.88,23.5,152
1213567200,25.85,25.85,25.85,25.85,1
1213653600,25.78,25.59,25.78,23.6,2989
1213740000,25.87,25.79,25.87,23.75,22
1213826400,25.84,24.79,25.84,23.6,170
1213912800,25.8,25.25,25.8,23.6,409
1214172000,25.7,23.2,25.7,22.4,966
1214258400,24.95,20.6,24.95,20.6,333
1214344800,24.85,22.75,24.9,21.06,508
1214431200,23,21,23,20.06,6607
1214517600,22.49,20.15,22.49,20,11115
1214776800,22.4,21.2,22.4,19.4,669
1214863200,21,19.8,21,19.73,749
1214949600,19.3,18.9,20.1,18.9,3660
1215036000,18.95,18.39,20.79,17.4,535
1215122400,18.5,17.7,18.5,17.4,587
1215381600,18,16.21,18,16.21,1144
1215468000,16.35,15,16.35,14.72,2459
1215554400,15.3,16.05,16.05,15,4907
1215640800,15.35,15.9,15.95,14.5,2615
1215727200,16.1,15.5,16.1,15.4,1165
1215986400,16.1,16.1,16.5,15.4,2092
1216072800,15,15,15,14.94,100510
1216159200,15.1,14.5,15.1,14.5,452
1216245600,14.59,15.5,15.5,14.5,984
1216332000,15.7,15.49,15.7,15,502
1216591200,15.03,15.5,15.5,14.8,506
1216677600,15.7,15.5,15.7,15,653
1216764000,15,15,15.49,15,637
1216850400,14.99,15,15.25,14.55,938
1216936800,14.3,14.31,15,14.3,138
1217196000,14.7,14.2,14.7,14.2,819
1217282400,14,14.2,14.2,14,272
1217368800,14.5,14.7,15.4,14.5,4512
1217455200,15,15.3,15.3,14.65,772
1217541600,15.6,15,15.6,15,501
1217800800,18.5,14.69,18.5,14.69,9307
1217887200,14.71,14,15,14,41587
1217973600,13.91,13.8,14.65,13.75,3080
1218060000,14.3,13.45,14.3,13.45,1578
1218146400,13.25,14.21,14.21,13.25,1850
1218405600,14.5,14.21,14.5,14.21,1185
1218492000,14.21,14,14.21,14,835
1218578400,14,14.07,14.07,13.9,35252
1218664800,13.87,13.86,14.27,13.86,827
1219010400,13.85,13.6,14.2,13.04,26589
1219096800,13.4,13.11,13.4,13.11,707
1219183200,13.11,13.54,13.54,12.92,812
1219269600,13.65,13.65,13.65,13.1,147
1219356000,13.75,13.18,13.75,13,1457
1219615200,13.05,12.8,13.05,12.36,27062
1219701600,12.78,12.39,12.78,12.39,753
1219788000,12.6,12.16,12.6,12.15,400
1219874400,12.02,12.59,12.6,12.02,77439
1219960800,12.6,12.01,12.6,12,11399
1220220000,12.6,12.6,12.6,12.01,1260
1220306400,12.01,12.6,12.6,12.01,91
1220392800,12.59,12.6,13.5,12.59,7308
1220479200,12.94,12.6,13.45,12.6,2386
1220565600,12.94,12.94,12.94,12.2,91
1220824800,12.9,13.29,13.29,12.87,5279
1220911200,13.01,13.5,13.6,13,2455
1220997600,12.82,13.2,13.2,12.82,92
1221084000,13.4,12.7,13.4,12.7,1425
1221170400,12.49,12.7,12.7,12.49,417
1221429600,12.15,12,12.15,12,11990
1221516000,11.5,11.88,11.88,11.4,1452
1221602400,11.5,11.5,11.5,11.02,5926
1221688800,11.55,11.55,11.55,11.5,401
1221775200,11.75,11.73,11.75,11.73,662
1222034400,12,12,12,11.4,380
1222120800,11.4,11.4,11.4,11.21,801
1222207200,11.21,11.55,11.6,11.21,6099
1222293600,11.2,11.6,11.6,11.2,390
1222380000,11.31,11.6,11.7,11.31,2216
1222639200,11.3,10.44,11.3,10.43,86100
1222725600,10.03,10.23,10.4,10,1985
1222812000,10.7,10.7,10.7,10,7223
1222898400,10.95,10.5,10.95,10.5,724
1222984800,10.9,10.85,10.9,10.2,49
1223244000,10.3,10.85,10.94,10.3,10037
1223330400,10.5,10.2,10.94,10.01,950
1223416800,10.4,9.8,10.4,9.36,1298
1223503200,10.7,9.71,10.7,9.5,461
1223589600,9.8,8,9.8,8,20855
1223848800,8.4,8.11,8.79,8.1,1346
1223935200,8.45,8.79,9.29,8.45,4724
1224021600,8.7,8.94,8.99,8.45,757
1224108000,8.96,8.95,8.96,8.5,590
1224194400,8.94,8.77,8.94,8.2,1927
1224453600,8.99,9.19,9.6,8.99,13489
1224540000,9.39,9.37,9.39,8.6,1447
1224626400,8.59,8.81,8.97,8.5,1033
1224712800,9.39,8.4,9.39,8.01,2020
1224799200,8.01,8.5,8.5,7.96,944
1225062000,7.91,7,8.38,7,2152
1225148400,7.6,7.89,7.9,6.84,22964
1225234800,8.6,7.94,8.6,7.16,2370
1225321200,8.7,8.1,8.7,7.51,2476
1225407600,8.29,7.7,8.29,7.3,2441
1225666800,8.39,7.7,8.39,7.54,453
1225753200,7.3,7.6,7.89,7.3,3491
1225839600,7.68,7.35,7.7,7.31,2531
1225926000,7.75,7.59,7.75,7.3,22521
1226012400,7.6,7.58,7.6,7.03,1080
1226271600,8,7.9,8,7.4,415
1226444400,7.5,7.84,7.9,7.5,843
1226530800,8.2,7.77,8.2,7.75,583
1226617200,7.8,7.8,7.8,7.3,222
1226876400,7.5,7.5,7.5,7.5,2000
1226962800,7.7,7.5,7.7,7.5,1123
1227049200,7.77,7.77,7.77,7.4,152
1227135600,7.5,7.77,7.77,7.5,135
1227222000,7.3,7.64,7.64,7,1167
1227481200,7.64,7.59,7.64,7.5,16394
1227567600,7.4,7.58,7.6,7.03,4915
1227654000,7.6,7.63,7.63,7.4,1296
1227740400,7.03,7.5,7.64,7.03,2498
1227826800,7.64,7.64,7.64,7.64,84
1228086000,8.5,7.88,8.5,7.05,1001
1228172400,7.11,7.47,7.99,7.11,5076
1228258800,7.99,7.87,7.99,7.15,25052
1228345200,7.79,7.71,7.79,7.3,595
1228431600,7.4,7.21,7.6,7.21,849
1228690800,7.51,7.23,7.52,7.21,1349
1228777200,7.5,7.23,7.5,7.2,732
