t,o,c,h,l,v
1369173600,11.1,11.1,11.1,11.1,1745
1369260000,11,11,11,11,604
1369346400,11,11,11,11,5
1369605600,10.8,10.8,10.8,10.8,5
1369692000,0,10.8,10.8,10.8,0
1369778400,10.8,10.8,10.8,10.8,5
1369951200,0,10.8,10.8,10.8,0
1370210400,10.8,10.8,10.8,10.8,5
1370296800,10.8,10.8,10.8,10.8,5
1370383200,0,10.8,10.8,10.8,0
1370469600,0,10.8,10.8,10.8,0
1370556000,0,10.8,10.8,10.8,0
1370815200,10.8,10.8,10.8,10.8,273
1370901600,0,10.8,10.8,10.8,0
1370988000,0,10.8,10.8,10.8,0
1371074400,10.8,10.8,10.8,10.8,5
1371160800,10.8,10.8,10.8,10.8,5
1371420000,10.8,10.8,10.8,10.8,2
1371506400,10.8,10.8,10.8,10.8,5
1371592800,10.8,10.8,10.8,10.8,5
1371679200,0,10.8,10.8,10.8,0
1371765600,10.8,10.8,10.8,10.8,5
1372024800,10.8,10.8,10.8,10.8,5
1372111200,10.8,10.8,10.8,10.8,2
1372197600,10.8,10.8,10.8,10.8,5
1372284000,10.5,10.5,10.5,10.5,5
1372370400,10.6,10.6,10.6,10.6,5
1372629600,0,10.6,10.6,10.6,0
1372716000,10.5,10.5,10.5,10.5,5
1372802400,10.4,10.1,10.4,10.1,170
1372888800,10,10,10,10,502
1372975200,10,10,10,10,5
1373234400,9.5,9.5,9.5,9.5,10
1373320800,9.12,9.99,9.99,9.12,1941
1373407200,0,9.99,9.99,9.99,0
1373493600,0,9.99,9.99,9.99,0
1373580000,10,10,10,10,10
1373839200,10,10,10,10,5
1373925600,10,10,10,10,5
1374012000,10,10,10,10,5
1374098400,0,10,10,10,0
1374184800,10,10,10,10,4
1374444000,10,10,10,10,4
1374530400,0,10,10,10,0
1374616800,0,10,10,10,0
1374703200,10,10,10,10,2
1374789600,10,10,10,10,5
1375048800,0,10,10,10,0
1375135200,10,10,10,10,5
1375221600,10,10,10,10,5
1375308000,10,10,10,10,3
1375394400,10,10,10,10,5
1375653600,10,10,10,10,7
1375740000,10,10,10,10,5
1375826400,10,10,10,10,5
1375912800,10,10,10,10,3
1375999200,10,10,10,10,3
1376258400,10,10,10,10,5
1376344800,10,10,10,10,2
1376431200,10,10,10,10,5
1376604000,10,10,10,10,5
1376863200,10,10,10,10,5
1376949600,0,10,10,10,0
1377036000,10,10,10,10,4
1377122400,10,10,10,10,5
1377208800,10,10,10,10,5
1377468000,10,10,10,10,3
1377554400,10,10,10,10,4
1377640800,10,10,10,10,3
1377727200,10,10,10,10,4
1377813600,10,10,10,10,5
1378072800,10,10,10,10,4
1378159200,10,10,10,10,3
1378245600,10,10,10,10,5
1378332000,10,10,10,10,3
1378418400,10,10,10,10,3
1378677600,10,10,10,10,5
1378764000,10,10,10,10,4
1378850400,10,10,10,10,3
1378936800,10,10,10,10,5
1379023200,10,10,10,10,3
1379282400,10,10,10,10,3
1379368800,10,10,10,10,3
1379455200,10,10,10,10,4
1379541600,10,10,10,10,3
1379628000,10,10,10,10,5
1379887200,10,10,10,10,3
1379973600,10,10,10,10,5
1380060000,10,9.99,10,9.99,67
1380146400,10,10,10,10,3
1380232800,10,10,10,10,3
1380492000,10,10,10,10,4
1380578400,10,10,10,10,4
1380664800,10,10,10,10,3
1380751200,10,10,10,10,3
1380837600,10,10,10,10,3
1381096800,10,10,10,10,3
1381183200,0,10,10,10,0
1381269600,10,10,10,10,3
1381356000,10,10,10,10,3
1381442400,10,10,10,10,3
1381701600,10,10,10,10,3
1381788000,9.32,10,10,9.32,67
1381874400,10,10,10,10,3
1381960800,10,10,10,10,3
1382047200,10,10,10,10,3
1382306400,10,10,10,10,3
1382392800,10,10,10,9.99,715
1382479200,10,10.75,10.75,10,160
1382565600,10.75,10.75,10.75,10.75,50
1382652000,0,10.75,10.75,10.75,0
1382914800,0,10.75,10.75,10.75,0
1383001200,0,10.75,10.75,10.75,0
1383087600,0,10.75,10.75,10.75,0
1383174000,0,10.75,10.75,10.75,0
1383519600,0,10.75,10.75,10.75,0
1383606000,0,10.75,10.75,10.75,0
