t,o,c,h,l,v
1149717600,28,28.1,29.2,28,743881
1149804000,28.6,28,29.1,27.9,313743
1150063200,28,27.1,28,26.5,126761
1150149600,26,26.4,26.6,26,123850
1150236000,26.5,27,27.1,26.5,14665
1150408800,27.6,28,28.3,27.6,56367
1150668000,28.3,27.9,28.3,27.5,6996
1150754400,27.8,28,28.1,27.5,14260
1150840800,28,28,28.1,27.9,14537
1150927200,28.1,27.9,28.2,27.9,39794
1151013600,28,28,28,27.8,21602
1151272800,28.1,28,28.1,27.9,11441
1151359200,27.2,28.1,28.2,27.2,19896
1151445600,28.1,28,28.1,27.5,21626
1151532000,28,28,28,28,7816
1151618400,28,28,28.1,28,6635
1151877600,28,28,28,27.5,1655
1151964000,28,28,28.1,27.6,8037
1152050400,28,28,28,27.8,31018
1152136800,28,27.9,28,27.5,9611
1152223200,27.9,28,28,27.7,1091
1152482400,27.8,27.8,27.8,27.6,2087
1152568800,27.6,27.5,27.6,27.5,501
1152655200,27.6,27.6,28,27.6,1168
1152741600,27.6,27.6,27.8,27.5,342
1152828000,27.2,27.8,27.9,27.2,5011
1153087200,27.8,28,28.2,27.7,107212
1153173600,28,27.9,28.1,27.9,33582
1153260000,27.9,28,28,27.2,7011
1153346400,28,27.8,28,27.7,5020
1153432800,27.4,28,28,27.4,1530
1153692000,27.9,28.1,28.2,27.9,29030
1153778400,28,28.3,28.3,28,23177
1153864800,28.3,29,29,28.2,16808
1153951200,29.1,30,31.2,29.1,40041
1154037600,30.4,30.2,30.4,29.1,9717
1154296800,30,30.1,30.5,29.8,19729
1154383200,30,30,30.1,29,61385
1154469600,30.1,30,30.2,29.5,24275
1154556000,30.5,29.8,31.4,29.6,42729
1154642400,30.2,31,31,30.2,34191
1154901600,31.4,31.8,31.9,31,27334
1154988000,31.9,31.8,32,31.5,10564
1155074400,31.5,32.3,32.5,31.5,17703
1155160800,32.1,31.8,32.4,31.4,6466
1155247200,31.5,31.6,31.9,31.4,8640
1155506400,31.6,31.8,32.1,30.1,4244
1155679200,32,31.9,32,31.3,9566
1155765600,31.5,31.2,31.5,31,4330
1155852000,31.8,31.3,31.8,31,10436
1156111200,30.6,31,31.2,30.2,19170
1156197600,30.7,31.7,31.7,30.7,10376
1156284000,30.8,31.3,31.3,30.7,17356
1156370400,31,31,31,30.7,15365
1156456800,30.6,30.8,31.3,30.6,12918
1156716000,31,31,31,30.4,5359
1156802400,31,31,31.3,30.6,4198
1156888800,31,31.1,31.1,31,8037
1156975200,31.3,31.2,31.3,31,4486
1157061600,31,31,31,30.6,6851
1157320800,31.15,30.75,31.15,30.21,4235
1157407200,30.3,31,31,30.3,2232
1157493600,30.99,31,31,30.55,3419
1157580000,30.8,31,31.1,30.69,5875
1157666400,31,31.6,31.9,31,10525
1157925600,31.6,31.2,31.6,31,1731
1158012000,31.5,32.49,33,31.13,10501
1158098400,32.99,32.55,32.99,32.05,3355
