t,o,c,h,l,v
1625781600,54.01,52.5,57.53,52.5,1157786
1626040800,52.51,55.32,55.4,52,143298
1626127200,55.4,60.06,60.06,55.4,218770
1626213600,62,60.6,64.2,60.42,154594
1626300000,60.8,61.8,62.8,60.61,44068
1626386400,62,61.7,62.15,61.44,37816
1626645600,61.89,60.52,61.89,59.14,62433
1626732000,60.51,65,65,60.11,97304
1626818400,65.3,65,66.5,62.6,18018
1626904800,65.9,62.99,65.9,62.99,8556
1626991200,63,64.6,64.6,62.12,67695
1627250400,65.5,64.25,65.5,63.51,3667
1627336800,64.25,64,65.39,62.8,6701
1627423200,64,62.88,64.01,62.04,120321
1627509600,62.6,63.5,63.5,62.5,32806
1627596000,63,62,63,61.81,21385
1627855200,62,62,62,61.1,26417
1627941600,62.1,62,62.5,59.1,149577
1628028000,62,63,63,61,1993
1628114400,61.51,62.98,63.5,61.5,95638
1628200800,62.99,62.2,62.99,61.51,63136
1628460000,61,61.45,61.97,60.3,51917
1628546400,61.45,61.55,61.55,61.45,4327
1628632800,61.5,61.98,61.98,61,2050
1628719200,61.98,61.8,61.98,61.01,1852
1628805600,61.81,63,63,61.8,8155
1629064800,63,61.07,63.4,58.6,59693
1629151200,62,66.5,68,62,131603
1629237600,67,67.25,67.79,66.97,34640
1629324000,67.69,67.5,67.9,67,29753
1629410400,67.55,68.98,69,67.55,10006
1629669600,69,74.98,74.99,68,15105
1629756000,74.01,73,79.5,70.65,72366
1629842400,73.61,73.5,75,73.01,21668
1629928800,74.99,70.8,74.99,70.8,3235
1630015200,73.8,69.25,73.8,67.57,8632
1630274400,70,68.5,70,68.5,3063
1630360800,68.51,70,70.5,68.5,9926
1630447200,69.5,69.11,70,69.01,2512
1630533600,69.11,69.2,69.59,68.5,19763
1630620000,69.4,67.99,69.4,67.49,1448
1630879200,67.99,67.79,68,63.36,25356
1630965600,67,67.69,67.79,66.8,5575
1631052000,67.69,65.5,67.79,65,56100
1631138400,65,66,66,64,8090
1631224800,64.76,65.6,66,64.76,5667
1631484000,67,64.2,67,63.51,61115
1631570400,65.9,65.9,65.9,64,7345
1631656800,65.99,66,67,65,2135
1631743200,66,66.03,66.5,65.96,6298
1631829600,66,69.4,69.7,66,4564
1632088800,69.49,68,69.78,67,7371
1632175200,67.97,71,71,67.97,1498
1632261600,70.99,70.8,71,70.01,27237
1632348000,70.78,70.02,70.78,70.01,596
1632434400,70.01,66.5,70.01,65.95,7279
1632693600,66.66,70,70,66.66,14121
1632780000,69.5,68.5,69.5,66.06,8321
1632866400,67.01,66.8,67.01,66.5,24020
1632952800,66.99,66.8,67,66.03,3248
1633039200,67,65.01,67,65,2996
1633298400,65.2,65.3,65.3,65,1085
1633384800,65.15,66,66.79,65,15274
1633471200,66,66.8,66.8,66,51058
1633557600,66.8,68.4,68.4,66,1680
1633644000,67.01,66.83,68.4,66.82,9998
1633903200,66.91,68.4,68.4,66.9,1194
1633989600,68,69.4,69.4,67.49,5119
1634076000,69.4,69.1,69.89,68.71,1175
1634162400,68.01,70.2,70.2,68.01,1709
1634248800,70,70,70.01,68.97,1250
1634508000,70,70.2,70.4,69,2654
1634594400,70.01,71,72,70.01,43938
1634680800,71,71.4,71.6,70.29,37477
1634767200,71,73.11,73.11,70.71,19938
1634853600,73,74.78,74.98,73,66483
1635112800,74.01,74.69,75.99,74,6266
1635199200,74.99,75,75,74,13609
1635285600,74.9,74.6,74.98,72.55,204720
1635372000,74.5,74.5,74.97,74.5,5803
1635458400,74.5,74.4,74.54,74,9764
1635807600,75,75.7,75.99,75,1557
1635894000,75.69,77.79,77.84,75.07,3123
1635980400,77.8,78.6,79.48,77.3,9199
1636066800,78.76,80.4,80.68,78.52,4812
1636326000,81.29,83,86,81.29,5412
1636412400,84,87.8,89.49,82.35,240339
1636498800,89,85.3,91.88,82.6,213163
1636671600,86,86,88,86,4380
1636930800,87,88,88.5,86.5,7430
1637017200,87.5,86.5,87.5,86,105187
1637103600,86.2,86.41,87.7,86.2,80590
1637190000,86.02,87,87,85,56306
1637276400,87.7,84.99,87.7,80.1,37870
1637535600,83.46,80,83.46,77.83,38986
1637622000,77,73.6,78.51,71.23,22402
1637708400,73.5,70,75,70,12325
1637794800,70,70,70,69.02,6329
1637881200,70,68.5,70,65.55,27617
1638140400,69,67,69,67,6303
1638226800,67.5,69.5,69.5,66.8,6150
1638313200,70,70,71.99,69.5,6376
1638399600,73.8,72,74.39,71.03,7052
1638486000,73.9,72.9,73.9,72.9,4264
1638745200,74.51,72.99,76,72.5,15704
1638831600,73,73,73,71.66,4217
1638918000,73,73,73,72.17,1485
1639004400,73,73,74.93,71.8,8244
1639090800,73,71.2,73.8,70.61,2397
1639350000,72.79,72.76,72.79,71.39,512
1639436400,72.7,68.05,77,68,4201
1639522800,68.8,68,68.8,66.99,50357
1639609200,68.11,70.3,70.5,68.11,4137
1639695600,70.28,70,70.3,69.5,11159
1639954800,69.5,68.48,70,68.48,8782
1640041200,67.8,67.99,68.94,67.32,959
1640127600,67.03,68.1,69.44,67.02,2989
1640214000,67.22,68.98,69.45,67.22,5213
1640559600,68.98,68,69.6,67.11,1455
1640646000,68.9,69,69,67.16,8325
1640732400,68.99,71.6,71.6,68.06,689
1640818800,71.62,69,72.49,68.01,14440
1641164400,73,70.02,73,69.79,1087
1641250800,70.5,69.6,70.5,69.4,1245
1641337200,70.01,71.4,71.59,69,1800
1641510000,73.06,68.5,73.5,68.4,1721
1641769200,68.5,68.5,70,68.5,6419
1641855600,69,69,69,66.9,3437
1641942000,69.87,67.05,69.87,67.05,2971
1642028400,67.99,67.9,68,67.3,14400
1642114800,68,66.9,68.47,66.9,2002
1642374000,68.47,66.51,68.47,66.51,1451
1642460400,66.51,66.5,67.8,66.5,627
1642546800,66.8,65,67.1,62.61,4210
1642633200,64.02,64.02,65.1,64.02,31409
1642719600,64,60.1,64,59.1,72617
1642978800,60,53.3,60.1,52.5,8832
1643065200,54.5,57,59.7,54.5,5407
1643151600,58,56.22,58.68,56.2,7160
1643238000,56.23,55,56.23,53.1,2663
1643324400,55.4,53.3,55.75,53.3,45148
1643583600,56.8,54.6,56.8,54.15,3701
1643670000,54.51,56.6,57,54.51,1907
1643756400,56,56.6,57.66,56,2765
1643842800,57.1,56,57.1,55,1602
1643929200,55.8,55.8,55.89,55,7179
1644188400,55,54.2,55,54,24827
1644274800,55,53.3,55,53.3,1402
1644361200,54.5,53.4,54.5,53.3,25948
1644447600,54.45,54.38,54.5,53.5,2507
1644534000,55,53.5,55.99,53.23,33580
1644793200,51.5,49.7,51.5,49.4,6979
1644879600,51.02,50.5,51.65,49.7,23083
1644966000,50.01,47.16,52,46.5,3819
1645052400,47.25,46,47.92,46,2033
1645138800,46,46.5,46.89,46,2024
1645398000,45.1,45.29,47,41.14,6341
1645484400,45.29,45,46.6,44.005,13363
1645570800,47,49,51,46,93721
1645657200,45,49,50.21,42,18766
1645743600,49,50,51.5,48.965,10438
1646002800,51,50,51,48,38676
1646089200,49.995,48,50.17,47.44,9570
1646175600,45,47,47.855,45,4917
1646262000,46.1,47.88,47.88,46.1,59004
1646348400,46.2,46.5,47.305,46.2,983
1646607600,46,48,49.89,43.125,8913
1646694000,49,48,49,47.005,914
1646780400,49,47.03,49,47.005,26028
1646866800,48.995,51.3,51.3,47.995,12446
1646953200,51.4,54,54.85,51.4,4381
1647212400,54,54,57.64,52.6,10789
1647298800,54.5,55,55,54.01,720
1647385200,55.68,57.8,58.66,55,3064
1647471600,57,59.18,59.5,57,9149
1647558000,59.34,59,59.5,57.51,2425
1647817200,59,59.16,59.16,57.5,24729
1647903600,59.4,59,59.4,58.5,1507
1647990000,59,57,59,57,14534
1648076400,58,57.9,58.5,57.8,676
1648162800,58,59.9,60,57.8,3256
1648418400,59.9,59.79,59.9,58.71,434
1648504800,59.99,57.6,59.99,57.6,4505
1648591200,57.6,58.9,58.99,57.6,12347
1648677600,59,55.5,59,55.25,4460
1648764000,55.2,58.5,58.5,55.2,29724
1649023200,58.5,58,58.5,57,1618
1649109600,56.51,56.5,57.49,55.2,3131
1649196000,55.21,54.8,56.49,54,1809
1649282400,56.29,55.4,56.3,55,1024
1649368800,53.34,52.48,53.4,52,3272
1649628000,50,51.4,52,50,3001
1649714400,51.8,50,51.8,49.8,2370
1649800800,50,49,50,47.5,1451
1649887200,49,48.2,49,45.95,5175
1650319200,48.2,47.75,48.9,46.7,2126
1650405600,47.8,47.65,49.1,47.65,41654
1650492000,47.7,50.1,50.4,47.7,941
1650578400,49.95,47.2,49.95,47.05,1260
1650837600,46.15,44.9,46.15,44.9,5252
1650924000,44,41.4,45,41.4,22260
1651010400,41.25,47.5,47.8,41.2,2543
1651096800,47.5,45.7,47.5,45,1614
1651183200,45.15,43.6,45.95,43.6,637
1651442400,44.5,45,45,43.15,306
1651615200,43.5,43.45,44.5,43.1,2874
1651701600,43.7,43.5,44.5,43.1,1390
1651788000,43.15,41.1,43.2,40.8,3386
1652047200,42.15,40.9,42.55,40.9,284
1652133600,42,38.05,42,37.8,1800
1652220000,38.2,35,39.6,34.55,3288
1652306400,35.7,32.5,36.5,32.15,12088
1652392800,34,33.15,35,33.1,14700
1652652000,35,33.95,35,32.3,1949
1652738400,33.95,31.25,33.95,29.3,223961
1652824800,31.4,33.2,33.5,31.3,5721
1652911200,32.65,33.5,33.5,31,2590
1652997600,33.5,34,35,33,1933
1653256800,35,36.4,36.4,35,1363
1653343200,36.5,34.2,36.5,34.2,2347
1653429600,35.8,35.5,36,35,485
1653516000,36,34.7,36,34.05,2416
1653602400,35,32.9,35,32,2113
1653861600,33,31.5,33.45,31.05,22593
1653948000,31.5,35,36,31.2,366645
1654034400,35,36,36,35,4777
1654120800,36,35.5,36,34.15,854
1654207200,35.4,35.2,35.4,34.2,292
1654466400,35.3,35.3,35.3,34.2,700
1654552800,37,35,37,34.2,1585
1654639200,35.8,34,35.8,33.35,1454
1654725600,34.95,33.2,35,32.4,13036
1654812000,32.45,33,33,32,116
1655071200,32,30,33,29.6,2819
1655157600,30.2,29.5,30.25,29.5,2222
1655244000,29.95,30,30,29.6,241
1655416800,30.05,31.9,32.4,30,1882
1655676000,31.2,31,31.2,30.3,803
1655762400,30.95,31.5,32.2,30.95,746
1655848800,31.8,31.35,31.8,30.8,701
1655935200,31.6,31.5,31.6,30.8,145
1656021600,31.9,33,33.1,30.8,510
1656280800,33,33,33,32.1,245
1656367200,32,32.2,33,32,949
1656453600,32.2,34,34,31.05,5017
1656540000,35.5,35.75,35.8,34,3083
1656626400,35.8,35.8,36,34.6,2612
1656885600,34.65,35.75,36,34.65,627
1656972000,35.75,37.25,37.25,35.45,6011
1657058400,37,36.9,38.8,36,3565
1657144800,36.9,40.15,40.25,36.9,23245
1657231200,40.15,38.8,40.9,36.6,15709
1657490400,38.95,42,45,37.55,4710
1657576800,42,43,44.55,40,14302
1657663200,42,40,42.55,38.4,30753
1657749600,39,40,40,39,187
1657836000,38.05,38.95,40.5,38.05,417
1658095200,38.1,40.05,40.4,38.05,15892
1658181600,40,38.2,40,38.15,1278
1658268000,38.2,38.3,38.3,38.2,131
1658354400,39,39.35,39.45,39,551
1658440800,38.8,39.45,39.45,38.1,136
1658700000,39.45,39.3,39.45,39,502
1658786400,0,39.3,39.3,39.3,0
1658872800,39,38.2,39.5,38.2,95
1658959200,38.2,38.1,38.8,38,1206
1659045600,38.65,38,38.65,38,2295
1659304800,38.6,38,39,38,425
1659391200,38,37.85,38,37.85,554
1659477600,37.85,39.75,39.75,37.85,38991
1659564000,38.15,39.5,39.5,37.9,1311
1659650400,38.15,38.7,38.7,37.8,231
1659909600,38.7,38.65,38.7,38,349
1659996000,38.65,36.8,38.7,35.5,418
1660082400,37.9,38.65,38.65,37.55,236
1660168800,38.65,38.65,38.7,37.6,337
1660255200,37.6,37.5,38.5,37.5,454
1660600800,36.6,37,38,35.55,4714
1660687200,36,36.5,37,36,331
1660773600,36.4,36.4,37,36.4,611
1660860000,36.05,36.4,36.4,35.55,277
1661119200,36.05,36.9,36.9,36.05,579
1661205600,36.05,34.2,36.05,33,3950
1661292000,34.75,34.6,34.75,32.4,1716
1661378400,33.1,34,34,33.1,288
1661464800,33.15,34.9,34.9,33.15,740
1661724000,34.6,34.5,34.6,33,140
1661810400,34.5,32,34.5,32,783
1661896800,32.55,30.8,33.9,30.8,7080
1661983200,32,32,32.9,32,842
1662069600,32,32,32,31.2,37931
1662328800,31.2,32,33.35,31.2,23116
1662415200,31.5,31.2,32.75,31.1,5884
1662501600,32,34.5,34.5,31.1,224071
1662588000,34.4,33.8,34.4,33.8,83
1662674400,33.2,33.5,34,32.5,1195
1662933600,34.2,34,34.2,33,667
1663020000,34.2,34.5,34.5,33.25,3554
1663106400,34,33.7,34,32.85,9937
1663192800,33.7,33.9,33.9,33,4178
