t,o,c,h,l,v
1207260000,9,8.92,9,8.75,86794
1207519200,9,8.9,9,8.51,12885
1207605600,8.97,8.89,8.97,8.7,8141
1207692000,8.88,8.85,8.9,8.8,10145
1207778400,8.89,8.86,8.89,8.8,1499
1207864800,8.89,8.8,8.9,8.66,5097
1208124000,9.05,9.04,9.1,8.8,4742
1208210400,8.99,8.97,8.99,8.67,4816
1208296800,8.94,8.88,8.94,8.42,1258
1208383200,8.8,8.8,8.9,8.52,7989
1208469600,8.79,8.54,8.79,8.33,14696
1208728800,8.54,8,8.54,7.8,11864
1208815200,8,7.98,8.1,7.56,16368
1208901600,7.98,7.9,7.98,7.74,2660
1208988000,7.56,7.67,8.1,7.03,62243
1209074400,7.89,7.9,8.17,7.74,7128
1209333600,7.94,7.95,7.95,7.76,3735
1209420000,7.95,7.8,7.95,7.4,1550
1209506400,7.8,7.8,7.8,7.79,814
1209938400,7.94,7.93,7.94,7.6,538
1210024800,7.94,7.94,7.94,7.74,67273
1210111200,7.93,7.95,7.95,7.8,1173
1210197600,7.94,8,8,7.74,4374
1210284000,7.94,7.94,7.94,7.65,1174
1210543200,7.94,7.9,7.94,7.74,2298
1210629600,7.9,7.8,7.94,7.79,4596
1210716000,7.94,7.46,7.94,7.46,4649
1210802400,7.89,7.79,7.94,7.51,4708
1210888800,7.78,7.79,7.79,7.06,10878
1211148000,7.89,7.79,7.9,7.28,3211
1211234400,7.79,7.7,7.79,7.65,5584
1211320800,7.74,7.7,7.74,7.38,4828
1211493600,7.7,7.71,7.71,7.4,6365
1211752800,7.73,7.7,7.74,7.62,13611
1211839200,7.68,7.65,7.68,7.4,1438
1211925600,7.68,7.67,7.68,7.64,1761
1212012000,7.68,7.66,7.68,7.4,3494
1212098400,7.66,7.66,7.68,7.4,2801
1212357600,8.35,7.86,8.35,7.68,1732
1212444000,8.09,7.96,8.09,7.85,2801
1212530400,7.96,7.69,7.96,7.69,1110
1212616800,7.89,7.88,7.89,7.61,662
1212703200,7.92,7.97,7.99,7.8,1709
1212962400,7.65,7.79,7.91,7.32,10254
1213048800,7.85,7.65,7.9,7.56,4060
