t,o,c,h,l,v
1416265200,33.88,33.06,33.88,32.5,14359
1416351600,33.06,33.3,33.47,32,5357
1416438000,33.4,33.49,33.5,33.4,3835
1416524400,33.4,33.8,33.8,33.2,2934
1416783600,33.95,33.9,33.98,33.85,1324
1416870000,33.85,33.7,33.85,33.5,4720
1416956400,33.7,33.5,33.8,33.1,732
1417042800,33.5,33.5,33.7,33.1,3639
1417129200,33.5,33.5,33.7,33.5,734
1417388400,32.7,33,33,32.7,771
1417474800,33,33.44,33.44,32.61,432
1417561200,33.7,33.7,33.7,32.72,2898
1417647600,33.5,33.49,33.5,33.01,1064
1417734000,33.2,33.1,33.2,33.1,1039
1417993200,33,32.61,33,32.61,84
1418079600,32,33,33.2,32,2973
1418166000,33,32.9,33,32.9,230
1418252400,32.5,32.5,32.51,32.41,660
1418338800,32.79,32.5,32.79,32.03,6487
1418598000,32.1,32.5,33.02,32.1,552
1418684400,32.25,32.33,32.5,32.25,149
1418770800,32.37,32.75,32.9,32.37,514
1418857200,33,32.75,33,32.75,55
1418943600,32.99,33,33,32.99,14
1419202800,32.5,32.4,32.9,32.17,608
1419289200,32.17,32.17,32.17,32.17,267
1419807600,32.17,32.5,33.2,30,2041
1419894000,0,32.5,32.5,32.5,0
1420153200,31.3,33.4,33.4,31.3,285
1420412400,0,33.4,33.4,33.4,0
1420585200,32.4,33,33,32.4,475
1420671600,33,32.5,33,31.66,4044
1420758000,32.01,32.5,32.5,32.01,2463
1421017200,32,32.5,32.5,32,4574
1421103600,32.9,32.9,32.9,32.9,86
1421190000,31.6,32.11,32.9,31.6,189
1421276400,32.01,32,32.01,32,314
1421362800,30.2,32.84,32.84,30.2,43
1421622000,30,32.5,32.5,30,5274
1421708400,32.5,32.5,32.5,32.5,1300
1421794800,32.85,32.1,32.85,32.1,75
1421881200,32.5,33,33,32.5,1636
1421967600,33,35.65,35.89,33,35984
1422226800,36.1,37.93,38.5,36.1,19534
1422313200,38.54,37.79,38.95,37.5,9532
1422399600,37.8,38,38,36,5124
1422486000,38,37.9,38.05,37.56,1256
1422572400,38,37.57,38,37.45,1154
1422831600,37.9,37.8,38.37,37.6,4553
1422918000,38,37.9,38.2,37.9,4025
1423004400,38,38,38.5,37.5,3396
1423090800,38,38,38,37.7,7971
1423177200,37.85,38,38,37.85,1043
1423436400,38,38,38,36.2,3307
1423522800,38,38,38,37.05,5149
1423609200,38.5,37.65,38.5,37.56,3372
1423695600,37.5,35.95,37.5,35.2,7061
1423782000,36.2,36.5,36.5,36,2505
1424041200,36.52,36.15,36.52,36.01,1889
1424127600,36.01,36.6,36.6,36.01,10905
1424214000,36.6,37,37,36.6,122
1424300400,36.5,36.8,36.89,36.5,2442
1424386800,36.56,36.98,36.98,36.52,456
1424646000,36.9,36.9,36.9,36.53,185
1424732400,36.85,36.6,36.85,36.4,1015
1424818800,36.8,36.8,36.89,36.79,5376
1424905200,36.89,37.11,37.11,36.82,1076
1424991600,37.49,39.8,40,37.49,6155
1425250800,39.8,40.5,40.5,39.2,4555
1425337200,41.01,41,41.89,40.7,5455
1425423600,41,41.8,41.8,40.7,2475
1425510000,41.9,40.8,42.5,40.1,3984
1425596400,41,40.01,41,40.01,1871
1425855600,40.1,40.1,40.99,40.1,444
1425942000,40.05,39.43,40.05,39.19,4281
1426028400,39.4,40.45,40.45,39.4,1271
1426114800,40.99,40.68,40.99,39.75,196
1426201200,40.7,40.9,40.99,40.7,503
1426460400,40.89,40.8,40.89,40.8,230
1426546800,40.7,39.95,41,39.6,1153
1426633200,40.5,42.6,42.6,40.5,5341
1426719600,43.65,45,45,42.6,6547
1426806000,44.9,45.5,47.35,44.9,2026
1427065200,45.5,46.29,46.56,45.01,457
1427151600,45.5,44.52,45.99,44.01,1179
1427238000,44.52,43.31,44.8,42.55,879
