t,o,c,h,l,v
1586210400,0,3.2,3.2,3.2,0
1586296800,0,3.2,3.2,3.2,0
1586383200,9.7,10.9,11,8,302923
1586815200,12.99,15.588,15.588,10.88,359688
1586901600,17,21.4,24,17,307229
1586988000,21.38,15.78,21.38,15.1,219351
1587074400,16,15.948,17.6,15,77470
1587333600,16.4,15.32,16.9,14.38,51437
1587420000,15.4,14.5,15.78,14.4,63685
1587506400,14,14.6,14.998,13.05,32652
1587592800,14.62,15.89,16.9,14.62,60534
1587679200,15.87,15.9,16.12,15.33,19606
1587938400,16,16.25,17.7,15.7,68260
1588024800,16.99,16.6,16.99,16,12017
1588111200,16.6,16.6,16.6,16,15659
1588197600,16.6,15.85,16.6,15.8,14910
1588543200,15.85,15.7,16.2,12.7,13000
1588629600,16,16,16.15,15.6,14149
1588716000,16,15.24,16.398,15.22,9210
1588802400,15.25,15.01,15.4,15,8938
1588888800,15.39,15.15,15.888,14.7,12983
1589148000,15.5,15.35,16,15,11854
1589234400,15.15,15.598,15.9,15,10750
1589320800,15.88,15.6,16.6,15.5,19657
1589407200,15.7,15.36,16.8,15,28299
1589493600,16,16,16.196,15.66,9064
1589752800,16.3,17.74,17.8,16.3,53725
1589839200,17.49,17.15,17.75,17,32733
1589925600,17.35,17.454,17.49,16.99,11625
1590012000,17.64,20.3,20.35,17.64,91682
1590098400,19.8,20,20.5,19.3,39189
1590357600,20.1,20.79,21.2,20,44106
1590444000,21.82,21.75,21.82,20.79,54138
1590530400,22,21.2,22.7,20.5,36568
1590616800,21.38,23.6,25.655,21.25,66587
1590703200,23.8,23,23.9,22.1,38241
1590962400,23.895,27,27.2,23,103811
1591048800,28,38.8,38.99,28,91450
1591135200,38.99,38.5,50.3,37.45,188097
1591221600,40,44,47,39.1,74308
1591308000,47.2,51.3,52,46,99041
1591567200,54,70,77,54,258867
1591653600,74,58.8,74.37,58.8,172165
1591740000,55.01,59,64,46.1,248476
1591912800,54,57.4,64,50,77615
1592172000,58.6,59,62,56,28598
1592258400,60,61.5,63.3,60,31579
1592344800,62.39,60.5,62.39,59.4,18202
