t,o,c,h,l,v
1312840800,5.76,8.23,8.23,5.76,28062
1312927200,9.78,8.13,9.78,8.1,9882
1313013600,9,9,9,9,2978
1313100000,9.7,9.6,9.7,8.9,5748
1313445600,9.7,11,11,9.7,23100
1313532000,0,11,11,11,0
1313618400,10.9,10.9,11,10.9,319
1313704800,0,10.9,10.9,10.9,0
1313964000,0,10.9,10.9,10.9,0
1314050400,0,10.9,10.9,10.9,0
1314136800,0,10.9,10.9,10.9,0
1314223200,0,10.9,10.9,10.9,0
1314309600,0,10.9,10.9,10.9,0
1314568800,0,10.9,10.9,10.9,0
1314655200,0,10.9,10.9,10.9,0
1314741600,0,10.9,10.9,10.9,0
1314828000,0,10.9,10.9,10.9,0
1314914400,10.79,11.7,11.7,10.79,1262
1315173600,11.7,11.7,11.7,11.7,810
1315260000,11.7,11.7,11.7,11.7,1100
1315346400,11.3,13,13,11.3,16000
1315432800,12.5,12.2,12.5,12.2,760
1315519200,12.3,10.95,12.8,10.95,4263
1315778400,11.65,11.65,11.65,10.2,8281
1315864800,11.02,11.56,11.56,11.02,200
1315951200,0,11.56,11.56,11.56,0
1316037600,11.02,11.95,11.95,11.02,1732
1316124000,0,11.95,11.95,11.95,0
1316383200,11.54,11.55,11.55,11.54,3000
1316469600,11.5,11.55,11.55,11.5,398
1316556000,11.4,10.82,11.55,10.5,242790
1316642400,10.7,10.7,10.7,10.7,27000
1316728800,11.1,11.2,11.2,11.1,9001
1316988000,11.2,12.5,12.5,11,10279
1317074400,12.5,12.2,12.54,12.2,1752
1317160800,11.6,12,12,11.2,1222
1317247200,11.1,12,12,10.6,54753
1317333600,12,12,12,12,3
1317592800,12,12,12,12,3
1317679200,11.33,12,12,11,1123
1317765600,11.97,12,12,11.97,414
1317852000,12.2,12,12.2,12,1105
1317938400,12.2,12.2,12.2,12.2,5
1318197600,12.1,13.5,13.5,12.07,1728
1318284000,13.4,13.4,13.4,13,5017
1318370400,13.5,13,13.5,13,894
1318456800,13,13,13,13,1639
1318543200,13.2,13.15,13.2,13.1,1505
1318802400,13.1,13.1,13.1,13.1,195
1318888800,13.1,13.1,13.1,13.1,5
1318975200,13.1,13.1,13.1,13.1,5
1319061600,13.1,13.1,13.1,13.1,5
1319148000,13.1,13.1,13.1,13,2505
1319407200,13,13.09,13.09,13,1193
1319493600,13,13,13,13,205
1319580000,13,13,13,13,5
1319666400,13,13,13,13,105
1319752800,13,13,13,13,1505
1320015600,13,13,13,13,500
1320188400,0,13,13,13,0
1320274800,13,13.9,13.9,13,3255
1320361200,13.9,13.9,13.9,13.9,20
1320620400,13.9,13.4,13.9,13.3,3570
1320706800,13.4,13.5,13.5,13.4,4529
1320793200,13.5,13.6,13.6,13.5,657
1320879600,13.6,13.7,13.7,13.6,2996
1321225200,13.7,13.7,13.7,13.5,4963
1321311600,13.7,13.7,13.7,13.67,5205
1321398000,13.7,13.69,13.7,13.69,4402
1321484400,13.66,13.67,13.67,13.66,4600
