t,o,c,h,l,v
1357599600,8.5,9,9,7.5,784
1357686000,7.5,9,9,7.2,634
1357772400,9,9,9.05,9,136
1357858800,10,10,10,10,10
1358118000,0,10,10,10,0
1358204400,9.5,10,10,9,205
1358290800,0,10,10,10,0
1358377200,0,10,10,10,0
1358463600,0,10,10,10,0
1358722800,0,10,10,10,0
1358809200,0,10,10,10,0
1358895600,0,10,10,10,0
1358982000,0,10,10,10,0
1359068400,0,10,10,10,0
1359327600,0,10,10,10,0
1359414000,0,10,10,10,0
1359500400,0,10,10,10,0
1359586800,0,10,10,10,0
1359673200,0,10,10,10,0
1359932400,0,10,10,10,0
1360018800,0,10,10,10,0
1360105200,0,10,10,10,0
1360191600,0,10,10,10,0
1360278000,0,10,10,10,0
1360537200,0,10,10,10,0
1360623600,0,10,10,10,0
1360710000,0,10,10,10,0
1360796400,0,10,10,10,0
1360882800,0,10,10,10,0
1361142000,9.5,9.5,9.5,9.5,150
1361228400,0,9.5,9.5,9.5,0
1361314800,0,9.5,9.5,9.5,0
1361401200,0,9.5,9.5,9.5,0
1361487600,9,9,9.99,8,390
1361746800,8,9,9,8,140
1361833200,9.99,9.5,9.99,9,454
1361919600,9.45,9.45,9.45,9.45,150
1362006000,0,9.45,9.45,9.45,0
1362092400,0,9.45,9.45,9.45,0
1362351600,0,9.45,9.45,9.45,0
1362438000,0,9.45,9.45,9.45,0
1362524400,9.5,9.5,9.5,9.5,20
1362610800,9,9,9,9,30
1362697200,9,9.5,9.5,9,106
1362956400,9,9.5,9.5,9,90
1363042800,0,9.5,9.5,9.5,0
1363129200,0,9.5,9.5,9.5,0
1363215600,9.99,9.99,9.99,9.99,1
1363302000,9.99,10,10,9.5,200
1363561200,0,10,10,10,0
1363647600,9.86,9.86,9.86,9.86,20
1363734000,9.87,10,10,9.87,70
1363820400,9.9,9.9,9.9,9.9,100
1363906800,10,10,10,10,90
1364166000,10,10.1,10.1,10,100
1364252400,9.9,10.14,10.14,9.9,100
1364338800,0,10.14,10.14,10.14,0
1364425200,10.1,10.2,10.2,10.1,54
1364853600,0,10.2,10.2,10.2,0
1364940000,0,10.2,10.2,10.2,0
1365026400,0,10.2,10.2,10.2,0
1365112800,10.3,10.4,10.4,10.3,100
1365372000,0,10.4,10.4,10.4,0
1365458400,0,10.4,10.4,10.4,0
1365544800,0,10.4,10.4,10.4,0
1365631200,10.9,10.9,10.9,10.9,10
1365717600,10.7,10.7,10.7,10.7,70
1365976800,0,10.7,10.7,10.7,0
1366149600,0,10.7,10.7,10.7,0
1366236000,0,10.7,10.7,10.7,0
1366322400,10.99,10.99,10.99,10.99,10
1366581600,0,10.99,10.99,10.99,0
1366668000,0,10.99,10.99,10.99,0
1366754400,0,10.99,10.99,10.99,0
1366840800,0,10.99,10.99,10.99,0
1366927200,10.99,10.99,10.99,10.99,10
1367186400,10.99,11.19,11.19,10.99,72
1367272800,11.15,11.15,11.15,11.15,30
1367445600,11.19,11.19,11.19,11.19,10
1367791200,0,11.19,11.19,11.19,0
1367877600,11.19,11.2,11.2,11.19,20
1367964000,11.45,11.45,11.45,11.45,55
1368050400,11.49,11.49,11.49,11.49,20
1368136800,11.5,11.6,11.6,11.5,50
1368396000,11.6,11.6,11.6,11.6,100
1368482400,11.55,11.95,11.95,11.55,40
1368568800,11.95,12,12,11.95,40
1368655200,11.5,11.85,11.85,11.5,30
1368741600,12.05,12.05,12.05,12.05,10
1369000800,12,12,12,12,10
1369087200,12.04,12.04,12.04,12.04,100
1369173600,0,12.04,12.04,12.04,0
1369260000,12,12,12,12,10
1369346400,12,11.8,12,11.8,60
