t,o,c,h,l,v
1072825200,29.5,28.4,30.4,28.2,150340
1072998000,28,28.5,28.5,27,62460
1073257200,28,28,28.2,27,89118
1073343600,27.5,28,28.6,27.3,75170
1073430000,28,28.1,28.6,27.9,43021
1073516400,28.1,27.6,28.4,27.6,66678
1073602800,27.4,27.2,27.5,26.8,73998
1073862000,27,27,27.3,26.8,32679
1073948400,27.1,27,27.4,27,31667
1074034800,27.1,26.7,27.1,26.7,21941
1074121200,26.5,26.3,26.5,25.9,35942
1074207600,26.1,25.7,26.1,25.7,44055
1074466800,25.4,25.9,26.1,25.4,20659
1074553200,25.8,26.7,26.7,25.8,21901
1074639600,26.8,26.6,26.9,26.5,10659
1074726000,26.8,27,27,26.6,19764
1074812400,27,27.1,27.4,26.8,35870
1075071600,27,27.6,27.7,26.7,62002
1075158000,27.6,27.5,27.6,27.3,23561
1075244400,27.4,26.9,27.4,26.6,45684
1075330800,26.5,26.7,26.8,26.3,31474
1075417200,26.9,26.9,27,26.6,6734
1075676400,26.7,27.5,27.6,26.7,33223
1075762800,27.1,27,27.6,27,8980
1075849200,27,27.2,27.3,26.9,9378
1075935600,27.1,27.3,27.3,27,9997
1076022000,27.5,28,28.2,27.4,95113
1076281200,28.1,28.4,28.5,28.1,48577
1076367600,28.7,28.2,28.7,28,37461
1076454000,28.1,28.1,28.3,27.8,13338
1076540400,28,28.2,28.2,27.9,9824
1076626800,28.1,27.9,28.2,27.9,13223
1076886000,28,28.1,28.1,27.7,11654
1076972400,28.2,28.3,28.3,28,27040
1077058800,28.3,28.2,28.4,27.8,14701
1077145200,28,28,28.2,27.8,12696
1077231600,27.8,28,28,27.6,5141
1077490800,28,28,28.1,27.7,13818
1077577200,28,27.6,28,27.5,9518
1077663600,27.5,27.3,27.7,27.2,6671
1077750000,27.3,27.8,27.9,27.3,7089
1077836400,27.9,28.1,28.1,27.6,33598
1078095600,28,28.5,28.6,27.9,48590
1078182000,28.5,28.3,28.7,28.2,13678
1078268400,28.5,28.6,28.8,28.1,15662
1078354800,28.6,28.6,28.7,28.5,15006
1078441200,28.6,28.4,28.6,28.2,22944
1078700400,28.4,28.1,28.4,27.5,35291
1078786800,28.2,28.3,28.5,28.2,31647
1078873200,28.3,28.5,28.7,28.3,13584
1078959600,28.3,28.1,28.4,27.8,30367
1079046000,28,28.5,28.5,28,40608
1079305200,28.5,28.1,28.6,28.1,16916
