t,o,c,h,l,v
1218146400,0,7.1,7.1,7.1,0
1218405600,7.17,7.17,7.17,7.17,86
1218492000,7.39,7.39,7.39,7.39,1
1218578400,0,7.39,7.39,7.39,0
1218664800,0,7.39,7.39,7.39,0
1219010400,7.39,7.1,7.39,7.1,378
1219096800,0,7.1,7.1,7.1,0
1219183200,7.1,7.1,7.1,7.1,190
1219269600,0,7.1,7.1,7.1,0
1219356000,7.38,7.38,7.38,7.38,1
1219615200,7.38,7.38,7.38,7.38,342
1219701600,0,7.38,7.38,7.38,0
1219788000,0,7.38,7.38,7.38,0
1219874400,0,7.38,7.38,7.38,0
1219960800,7.52,7.52,7.52,7.52,5
1220220000,0,7.52,7.52,7.52,0
1220306400,7.52,7.52,7.52,7.52,100
1220392800,0,7.52,7.52,7.52,0
1220479200,0,7.52,7.52,7.52,0
1220565600,7.53,7.49,7.53,7.37,349
1220824800,7.34,7.34,7.34,7.34,793
1220911200,7.34,7.34,7.34,7.34,201
1220997600,0,7.34,7.34,7.34,0
1221084000,0,7.34,7.34,7.34,0
1221170400,7.45,7.05,7.45,6.95,5266
1221429600,6.9,7.2,7.2,6.9,1114
1221516000,7.05,7.2,7.2,7.05,350
1221602400,7.05,7,7.05,7,1134
1221688800,6.86,6.86,6.86,6.86,1160
1221775200,6.72,6.72,6.72,6.58,962
1222034400,6.86,6.86,6.86,6.72,1234
1222120800,7,6.86,7,6.86,1190
1222207200,0,6.86,6.86,6.86,0
1222293600,6.6,6.71,6.71,6.55,1166
1222380000,0,6.71,6.71,6.71,0
1222639200,0,6.71,6.71,6.71,0
1222725600,7.19,7.19,7.19,7.19,5
1222812000,0,7.19,7.19,7.19,0
1222898400,6.71,6.85,6.99,6.71,2748
1222984800,6.61,6.61,6.61,6.61,846
1223244000,6.53,6.53,6.53,6.53,116
1223330400,0,6.53,6.53,6.53,0
1223416800,6.43,6.27,6.43,6.27,2512
1223503200,0,6.27,6.27,6.27,0
1223589600,5.97,5.97,5.97,5.97,919
1223848800,5.86,5.86,5.86,5.86,1300
1223935200,5.9,5.77,5.9,5.77,1261
1224021600,0,5.77,5.77,5.77,0
1224108000,5.6,5.51,5.89,5.51,1432
1224194400,5.4,5.27,5.4,5.27,2090
1224453600,0,5.27,5.27,5.27,0
1224540000,0,5.27,5.27,5.27,0
1224626400,0,5.27,5.27,5.27,0
1224712800,5.05,4.86,5.05,4.86,1325
1224799200,0,4.86,4.86,4.86,0
1225062000,4.9,4.9,4.9,4.9,108
1225148400,0,4.9,4.9,4.9,0
1225234800,4.51,4.55,4.55,4.51,814
1225321200,0,4.55,4.55,4.55,0
1225407600,5.2,5.2,5.2,5.2,20
1225666800,5.72,6.2,6.2,5.7,315
1225753200,5.9,5.9,5.9,5.9,50
1225839600,5.9,6.02,6.49,5.9,720
1225926000,0,6.02,6.02,6.02,0
1226012400,6.49,6.49,6.49,6.49,7
1226271600,5.85,5.85,5.9,5.85,1182
1226444400,6.25,6.25,6.25,6.25,1350
1226530800,6.19,6.19,6.19,6.19,1
1226617200,0,6.19,6.19,6.19,0
1226876400,0,6.19,6.19,6.19,0
1226962800,0,6.19,6.19,6.19,0
1227049200,6,6,6,6,18
1227135600,0,6,6,6,0
1227222000,0,6,6,6,0
1227481200,5.75,5.75,5.75,5.3,420
1227567600,5.3,5.3,5.3,5.3,760
1227654000,0,5.3,5.3,5.3,0
1227740400,5,5,5,5,20
1227826800,5.75,5.75,5.75,5.75,5
1228086000,0,5.75,5.75,5.75,0
1228172400,5.7,5.6,5.7,5.6,75
1228258800,0,5.6,5.6,5.6,0
1228345200,0,5.6,5.6,5.6,0
1228431600,5.04,5.04,5.04,5.04,5
1228690800,5.54,5.04,5.54,5.04,2981
1228777200,0,5.04,5.04,5.04,0
1228863600,5.1,5.08,5.1,4.8,65851
1228950000,5.06,4.8,5.06,4.8,2278
1229036400,0,4.8,4.8,4.8,0
1229295600,4.7,4.7,4.7,4.7,867
1229382000,0,4.7,4.7,4.7,0
1229468400,0,4.7,4.7,4.7,0
1229554800,0,4.7,4.7,4.7,0
1229641200,0,4.7,4.7,4.7,0
1229900400,0,4.7,4.7,4.7,0
1229986800,4.5,4.5,4.5,4.5,13101
1230505200,4.54,4.54,4.54,4.54,13101
1230591600,0,4.54,4.54,4.54,0
1230678000,0,4.54,4.54,4.54,0
1231110000,4.1,4.1,4.1,4.1,20
1231196400,4.11,4.11,4.11,4.11,100
1231282800,4.06,4.06,4.06,4.06,20
1231369200,0,4.06,4.06,4.06,0
1231455600,4.46,4.06,4.46,4.06,1856
1231714800,3.85,3.85,3.85,3.85,1780
1231801200,4.2,4.2,4.2,4.2,600
1231887600,0,4.2,4.2,4.2,0
1231974000,4.1,4.1,4.1,4.1,450
1232060400,3.9,3.9,3.9,3.9,33
1232319600,4.2,4.2,4.2,4.2,10
1232406000,4.3,4.3,4.3,4.3,13
1232492400,3.95,4.3,4.3,3.95,36
1232578800,0,4.3,4.3,4.3,0
1232665200,3.9,4.3,4.3,3.9,22
1232924400,4,4,4,4,3800
1233010800,0,4,4,4,0
1233097200,0,4,4,4,0
1233183600,0,4,4,4,0
1233270000,0,4,4,4,0
1233529200,0,4,4,4,0
1233615600,4.3,4.3,4.3,4.3,3
1233702000,0,4.3,4.3,4.3,0
1233788400,3.87,3.87,3.87,3.87,745
1233874800,0,3.87,3.87,3.87,0
1234134000,0,3.87,3.87,3.87,0
1234220400,3.87,3.87,3.87,3.87,297
1234306800,0,3.87,3.87,3.87,0
1234393200,0,3.87,3.87,3.87,0
1234479600,0,3.87,3.87,3.87,0
1234738800,0,3.87,3.87,3.87,0
1234825200,0,3.87,3.87,3.87,0
1234911600,0,3.87,3.87,3.87,0
1234998000,0,3.87,3.87,3.87,0
1235084400,0,3.87,3.87,3.87,0
1235343600,3.9,4.1,4.1,3.7,236
1235430000,0,4.1,4.1,4.1,0
1235516400,0,4.1,4.1,4.1,0
1235602800,4,4,4,4,1095
1235689200,3.6,3.72,3.72,3.6,1220
1235948400,0,3.72,3.72,3.72,0
1236034800,3.5,4.09,4.09,3.5,3
1236121200,4.05,3.75,4.05,3.75,4
1236207600,3.76,3.84,3.84,3.75,1880
1236294000,0,3.84,3.84,3.84,0
1236553200,0,3.84,3.84,3.84,0
1236639600,0,3.84,3.84,3.84,0
1236726000,0,3.84,3.84,3.84,0
1236812400,3.5,3.5,3.6,3.5,3552
1236898800,0,3.5,3.5,3.5,0
1237158000,3.3,3.69,3.69,3.3,419
1237244400,0,3.69,3.69,3.69,0
1237330800,3.56,3.44,3.56,3.3,5312
1237417200,3.44,3.44,3.44,3.44,300
1237503600,0,3.44,3.44,3.44,0
1237762800,3.1,3.27,3.27,3.1,6458
1237849200,3.2,3.12,3.2,3,13126
1237935600,3.12,3.13,3.13,3.05,3253
1238022000,3.08,3.15,3.25,3.08,78923
1238108400,3.18,3.27,3.27,3.02,1264
1238364000,3.2,3.12,3.2,3.12,80802
1238450400,3.12,3.12,3.12,3.11,1520
1238536800,3.04,2.95,3.05,2.95,7026
1238623200,2.95,2.95,2.97,2.95,3090
1238709600,2.94,2.95,2.95,2.9,6486
1238968800,3.21,3,3.21,2.91,57704
1239055200,3,3,3,2.98,9731
1239141600,2.98,3.11,3.27,2.98,9922
1239228000,3.14,3.19,3.23,3.1,13152
1239660000,3.3,3.27,3.4,3.25,27286
1239746400,3.26,3.65,3.71,3.2,75032
1239832800,3.66,3.67,3.84,3.46,24768
1239919200,3.68,3.5,3.68,3.45,11701
1240178400,3.45,3.4,3.5,3.4,2618
1240264800,3.21,3.4,3.4,3.11,5520
1240351200,3.49,3.39,3.49,3.19,25881
1240437600,3.4,3.3,3.4,3.29,13016
1240524000,3.34,3.18,3.34,3.18,3144
1240783200,3.25,3.2,3.25,3.2,2080
1240869600,3.15,3.23,3.23,3.1,4632
1240956000,3.06,3.15,3.25,3.06,3641
1241042400,3.18,3.13,3.27,3.13,7558
1241388000,3.19,3.19,3.23,3.17,14575
1241474400,3.19,3,3.26,3,15683
1241560800,3.17,3.07,3.19,3,15560
1241647200,3.07,3.07,3.15,3.07,17084
1241733600,3.1,3.2,3.2,3.1,6450
1241992800,3.2,3.06,3.2,3.05,33137
1242079200,3.2,3.2,3.2,3.2,30
1242165600,3.15,3.27,3.27,3.15,13230
1242252000,3.27,3.52,3.59,3.23,22000
1242338400,3,3.23,3.28,3,34205
1242597600,3.21,3.25,3.31,3.06,3153
1242684000,3.25,3.23,3.25,3.1,10194
1242770400,3.12,3.23,3.23,3.1,1125
1242856800,3.1,3.2,3.25,3.1,1443
1242943200,3.2,3.15,3.2,3.12,1400
1243202400,3.12,3.1,3.12,3,4460
1243288800,3.15,3.15,3.15,3.15,635
1243375200,3.22,3.22,3.22,3.22,300
1243461600,0,3.22,3.22,3.22,0
1243548000,3.09,3.15,3.15,3.02,1300
1243807200,3.15,3.17,3.17,3.15,1508
1243893600,3.11,3.11,3.15,3.1,3140
1243980000,3.12,3.08,3.12,3.08,2280
1244066400,3.1,3.1,3.1,3.1,2945
1244152800,3.06,3.1,3.1,3.06,451
1244412000,3.07,3.07,3.07,3.07,150
1244498400,3.14,3.14,3.14,3.14,10
1244584800,3.14,3.14,3.15,3.08,431
1244757600,0,3.14,3.14,3.14,0
1245016800,3.15,3.04,3.15,3.04,2258
1245103200,0,3.04,3.04,3.04,0
1245189600,0,3.04,3.04,3.04,0
1245276000,0,3.04,3.04,3.04,0
1245362400,3.02,3.1,3.1,3,1874
1245621600,3.1,3,3.1,3,1704
1245708000,3,3.12,3.12,3,1926
1245794400,3.13,3.13,3.13,3.13,370
1245880800,3.13,3.13,3.15,3.13,8435
1245967200,0,3.13,3.13,3.13,0
1246226400,3.14,3.14,3.14,3.14,950
1246312800,3.15,3.3,3.35,3.15,14850
1246399200,3.31,3.3,3.31,3.3,2913
1246485600,3.3,3.49,3.49,3.3,6765
1246572000,3.48,3.66,3.7,3.46,15644
1246831200,3.67,3.5,3.67,3.5,6100
1246917600,3.5,3.54,3.55,3.46,4017
1247004000,3.67,3.45,3.67,3.43,1755
1247090400,3.5,3.5,3.5,3.5,1
1247176800,3.34,3.32,3.47,3.32,11010
1247436000,3.2,3.38,3.38,3.1,1205
1247522400,3.25,3.3,3.3,3.25,6296
1247608800,3.3,3.38,3.38,3.3,1200
1247695200,3.48,3.48,3.48,3.48,612
1247781600,3.48,3.46,3.48,3.3,1006
1248040800,3.44,3.44,3.45,3.36,6400
1248127200,3.49,3.45,3.5,3.45,8102
1248213600,3.45,3.44,3.45,3.44,189
1248300000,3.43,3.44,3.44,3.43,1000
1248386400,3.5,3.49,3.6,3.44,11744
1248645600,3.55,3.53,3.55,3.53,10502
1248732000,3.5,3.51,3.51,3.5,4427
1248818400,0,3.51,3.51,3.51,0
1248904800,3.86,4.41,4.41,3.86,18201
1248991200,4.7,4.79,4.79,4.45,22304
1249250400,4.79,4.76,4.85,4.71,8683
1249336800,4.74,4.61,4.78,4.6,9749
1249423200,4.79,4.73,4.79,4.54,81
1249509600,4.6,5.18,5.4,4.6,45860
1249596000,5.17,5.15,5.4,4.85,11806
1249855200,5.18,5.13,5.2,5.02,9785
1249941600,5.2,5.11,5.28,5.1,26339
1250028000,5,5.1,5.17,4.88,26991
1250114400,5.1,5.37,5.37,5.1,5797
1250200800,5.32,5.35,5.35,5.25,1431
1250460000,5.17,5.11,5.17,5.11,934
1250546400,5.17,5.1,5.17,4.87,6040
1250632800,4.86,5.07,5.1,4.8,635
1250719200,5.08,5,5.3,5,22585
1250805600,5.02,5.15,5.2,5.02,1738
1251064800,5.3,5.13,5.39,5.13,4323
1251151200,5.15,5.15,5.3,5.15,2317
1251237600,5.16,5.3,5.3,5.16,8727
1251324000,5.29,5.15,5.39,5.15,3800
1251410400,5.35,5.6,5.6,5.12,13394
1251669600,5.45,5.5,5.5,5.45,1333
1251756000,5.5,5.4,5.5,5.3,2901
1251842400,5.12,5.43,5.44,5.12,767
1251928800,5.3,5.3,5.3,5.3,380
1252015200,5.06,5.12,5.4,5.06,1647
1252274400,5.12,5.25,5.25,5.01,352
1252360800,5.02,5,5.02,4.82,1561
1252447200,4.94,4.9,4.94,4.9,500
1252533600,5,4.9,5,4.9,2600
1252620000,0,4.9,4.9,4.9,0
1252879200,4.7,4.9,4.9,4.7,1808
1252965600,4.9,5.07,5.1,4.9,4596
1253052000,5.09,5.43,5.43,5.09,2917
1253138400,5.1,5.37,5.37,5.1,1305
1253224800,5.19,5.5,5.5,5.19,14770
1253484000,5.6,5.8,5.85,5.55,12120
1253570400,5.87,6,6,5.8,3033
1253656800,6.4,6.15,6.4,6,7519
1253743200,5.8,6.14,6.14,5.8,750
1253829600,6,6,6,6,321
1254088800,5.76,5.76,5.76,5.76,1550
1254175200,5.76,5.5,5.76,5.5,6293
1254261600,5.95,5.95,5.95,5.95,10
1254348000,5.9,5.9,5.9,5.9,5
1254434400,0,5.9,5.9,5.9,0
1254693600,0,5.9,5.9,5.9,0
1254780000,0,5.9,5.9,5.9,0
1254866400,0,5.9,5.9,5.9,0
1254952800,5.9,5.9,5.9,5.9,306
1255039200,5.9,5.9,5.9,5.9,334
1255298400,5.6,5.6,5.6,5.6,271
1255384800,5.7,5.7,5.7,5.7,200
1255471200,5.5,5.6,5.6,5.5,400
1255557600,5.6,5.6,5.6,5.6,200
1255644000,5.6,5.6,5.6,5.6,600
1255903200,5.5,5.2,5.5,5,3699
1255989600,5.2,5.2,5.2,5.2,590
1256076000,5.16,5.3,5.3,5.16,580
1256162400,0,5.3,5.3,5.3,0
1256248800,0,5.3,5.3,5.3,0
1256511600,0,5.3,5.3,5.3,0
1256598000,0,5.3,5.3,5.3,0
1256684400,5.2,5.2,5.2,5.2,500
1256770800,0,5.2,5.2,5.2,0
1256857200,5.1,5.02,5.1,5.02,479
1257116400,5.02,5.02,5.03,5.01,1761
1257202800,0,5.02,5.02,5.02,0
1257289200,5.19,5.19,5.19,5.19,320
