t,o,c,h,l,v
1582844400,0,10,10,10,0
1583103600,0,10,10,10,0
1583190000,0,10,10,10,0
1583276400,0,10,10,10,0
1583362800,60,72,72,50,556
1583449200,72,76,85,58.02,2186
1583708400,77,73,78,65,145
1583794800,60,57.5,64,57.5,218
1583881200,60,63,65,52.01,178
1583967600,59,55.9,59,49.4,46
1584054000,55,55,55,54,59
1584313200,54.5,61.98,62,54.5,100
1584399600,60,60,60,55,31
1584486000,60,58,60,50,105
1584572400,57.5,57.5,59,57,74
1584658800,55,54.9,55,48,17
1584918000,45,48.9,48.9,36,61
1585004400,49,51,51,49,110
1585090800,50,53,53,50,32
1585177200,0,53,53,53,0
1585263600,54.9,55,55,54.9,24
1585519200,60,60,60,60,3
1585605600,55,59,59,55,11
1585692000,50,54,56,47.2,209
1585778400,50,50,50,50,16
1585864800,53.9,48,53.9,48,38
1586124000,53,53.9,53.9,53,170
1586210400,51.99,52,52,47,89
1586296800,52,55,55,52,40
1586383200,55,53,55,53,20
1586815200,53,50,53,50,44
1586901600,50,50,50,49.995,6
1586988000,50.5,50,53,50,67
1587074400,49,50.5,50.5,49,31
1587333600,50,50,52,50,75
1587420000,50,50,50,50,5
1587506400,51,59,59,51,279
1587592800,68,72,73,57,515
1587679200,68,66,68,62.8,228
1587938400,67,69,69,67,25
1588024800,68,69,69,68,6
1588111200,68,67.5,68,65,10
1588197600,65,66,66,65,81
1588543200,65,65,65.01,65,29
1588629600,65,65,65,65,1
1588716000,64.01,61,64.01,61,56
1588802400,61,68.5,71.9,61,98
1588888800,70.8,71,71,68.5,264
1589148000,70.99,70,70.99,70,77
1589234400,70.9,70,75.6,70,113
1589320800,72.95,74.5,74.5,70,179
1589407200,75,75.6,75.6,75,93
1589493600,74,71,74,71,7
1589752800,71.1,76,76,71,174
1589839200,76,100.98,109,76,544
1589925600,109.44,125,131,89,897
1590012000,125,121,125,121,119
1590098400,120,110,120,110,98
1590357600,108,113,113,108,137
1590444000,108,108,110,108,25
1590530400,105,100,105,92.5,409
1590616800,99.9,98.5,101,97,187
1590703200,99,104,104,99,107
1590962400,105,119,125,105,65
1591048800,119,108,119,96,144
1591135200,103,104,119,103,52
1591221600,116,114,116,101,37
1591308000,113,112,114,112,38
1591567200,112,109,112,109,21
1591653600,109,110,110,109,18
1591740000,110,110,112,110,26
1591912800,108,110,110,107,37
1592172000,125,115,125,114,65
1592258400,116,119,119,116,18
1592344800,119,117,119,116,21
1592431200,114.5,118,119,114.5,226
1592517600,0,118,118,118,0
1592776800,121,130,140,121,226
1592863200,135,151,151,135,338
1592949600,160,190,190,160,158
1593036000,190,213,215,171,628
1593122400,215,213,215,193,128
1593381600,194,180,200,177,166
1593468000,176,178,180,175,24
1593554400,185,188,188,178,14
1593640800,195,195,198,195,15
1593727200,195,196,199,195,29
1593986400,198,189.98,198,189.98,13
1594072800,185,190,190,179,30
1594159200,190,192,192,190,18
1594245600,192,192,194,192,22
1594332000,190,195,195,190,10
1594591200,198,184,198,184,21
1594677600,184,178,184,178,107
1594764000,190,182,195,182,59
1594850400,188,178,188,176,28
1594936800,176,177,177,176,72
1595196000,177,182,182,177,108
1595282400,183,185,185,183,23
1595368800,180,170,180,153,84
1595455200,171,167,172,167,42
1595541600,167,166,170,166,72
1595800800,165,157,165,157,154
1595887200,156,152,156,151,131
1595973600,150,155,155,150,34
1596060000,160,150,160,150,48
1596146400,154,163.2,163.2,154,20
1596405600,160,150,160,150,69
1596492000,149,151,151,149,23
1596578400,152,149,153,149,39
1596664800,152,153,153,152,84
1596751200,154,155,155,154,22
1597010400,158,160,176,158,31
1597096800,163,153,163,153,122
1597183200,0,153,153,153,0
1597269600,153,151,153,151,2
1597356000,157,155,174.5,155,78
1597615200,155,155,155,155,1
1597701600,155,155,155,154,47
1597788000,155.02,166,180,155.02,95
1597874400,167,160,167,160,33
1597960800,0,160,160,160,0
1598220000,163,161,163,161,6
1598306400,0,161,161,161,0
1598392800,0,161,161,161,0
1598479200,0,161,161,161,0
1598565600,160.02,160,166,160,49
1598824800,160.7,159,161,159,27
1598911200,158,158,158,158,1
1598997600,0,158,158,158,0
1599084000,157,149,157,148.5,40
1599170400,155,155,155,155,2
1599429600,164,147,170,147,33
1599516000,150,118.98,150,107,122
1599602400,120,139,139,120,64
1599688800,144,160,170,144,125
1599775200,0,160,160,160,0
1600034400,159,159,159,159,1
1600120800,160,157,160,157,9
1600207200,157,157,157,157,7
1600293600,157,157,157,157,1
1600380000,157,155,157,155,2
1600639200,154,140,154,138,18
1600725600,140,140,140,140,38
1600812000,138,135,138,135,12
1600898400,135,135,135,135,19
1600984800,132.74,129,132.74,128.5,80
1601244000,129,142,145,129,83
1601330400,144,144,144,144,1
1601416800,144,137,144,137,15
1601503200,0,137,137,137,0
1601589600,0,137,137,137,0
1601848800,137,141,141,137,2
1601935200,142,140,145,140,44
1602021600,138,139,139,137,68
1602108000,139,138,139,138,46
1602194400,140,148,148,140,46
1602453600,148,148,148,148,1
1602540000,146,146,146,146,8
1602626400,148,143,148,143,3
1602712800,143,141,143,141,23
1602799200,141,150,150,141,79
1603058400,150,150.5,150.5,150,16
1603144800,151.5,153,153,151.5,101
1603231200,155,157,157,155,12
1603317600,158,164,164,158,8
1603404000,164,170,176,164,59
1603666800,164,165,165,164,3
1603753200,163,163,163,162,23
1603839600,163,155,163,155,185
1603926000,155,158,158,155,24
1604012400,158,155,158,155,76
1604271600,159.98,160,160,159.98,7
1604358000,161,161,161,161,1
1604444400,161,163,163,161,48
1604530800,163,172,172,163,32
1604617200,168,168,168,168,1
1604876400,168,180,181,168,127
1604962800,178,173,178,170,9
1605135600,177,181,181,174,137
1605222000,184,200,202,184,300
1605481200,200,190,200.05,190,39
1605567600,188,181,188,181,15
1605654000,178,178,178,178,1
1605740400,175,157,175,157,188
1605826800,0,157,157,157,0
1606086000,159,159,159,159,1
1606172400,158,156,158,152,32
1606258800,157,177,177,157,36
1606345200,174,172,177,172,11
1606431600,172,173,173,172,6
1606690800,173,175,175,172,45
1606777200,172,172,172,170,10
1606863600,172,172,172,172,2
1606950000,0,172,172,172,0
1607036400,171,171,171,171,9
1607295600,173,166,173,162,25
1607382000,0,166,166,166,0
1607468400,166,160,166,160,23
1607554800,158,159,159,157,40
1607641200,164,165,165,164,19
1607900400,165,159,165,159,3
1607986800,158,158,158,158,2
1608073200,159,164,164,159,8
1608159600,162,162,162,162,5
1608246000,162,162,164,162,32
1608505200,0,162,162,162,0
1608591600,0,162,162,162,0
1608678000,162,162,162,162,8
1609110000,159,159,159.02,159,7
1609196400,159,159,159,159,1
1609282800,163,167,167,163,4
1609714800,167,170,170,167,2
1609801200,170,175,180,170,72
1609974000,178,180,180,178,11
1610060400,180,184,184,180,34
1610319600,184,185,185,184,10
1610406000,185,186,186,185,42
1610492400,187,185,187,185,51
1610578800,185,185,185,185,5
1610665200,189,187,189,187,3
1610924400,187,180,187,172,13
1611010800,183,189,189,180,12
1611097200,185,185,185,185,7
1611183600,195,185,195,185,110
1611270000,0,185,185,185,0
1611529200,195,192,195,192,17
1611615600,190,190,190,190,2
1611702000,188,188,188,188,6
1611788400,188,188,188,188,1
1611874800,188,188,188,188,16
1612134000,186,184,186,184,2
1612220400,181.5,181.5,181.5,181.5,10
1612306800,181.5,175,181.5,175,106
1612393200,175,177,177,175,2
1612479600,180,177,180,177,11
1612738800,177,177,177,177,1
1612825200,177,177,177,177,1
1612911600,177,180,180,177,12
1612998000,180,180.1,182,179,41
1613084400,180,190,191,180,148
1613343600,186.1,197,204.8,186.1,178
1613430000,192,196.7,196.8,189,70
1613516400,189,185,191.8,185,86
1613602800,188,195,198,188,191
1613689200,195,200,200,195,188
1613948400,200,236,236,200,420
1614034800,233,230,233,215,51
1614121200,216,206,220,206,60
1614207600,210,214,228,210,21
1614294000,214,214,214,214,10
1614553200,220,225,225,220,104
1614639600,238,259,259,235,382
1614726000,255,260,280,251,448
1614812400,264,272,280,264,59
1614898800,280,278,280,278,92
1615158000,280,288,290,279,249
1615244400,290,297,297,290,68
1615330800,295,290,295,283,71
1615417200,290,290,294,285,33
1615503600,290,290,290,285.2,45
1615762800,294,324,324,294,223
1615849200,325,330,330,325,150
1615935600,340,305,340,290,162
1616022000,300,315,315,300,48
1616108400,313,315,315,313,32
1616367600,315,315,315,315,17
1616454000,315,320,320,315,34
1616540400,328,358,375,328,179
1616626800,370,370,379,369,180
1616713200,380,438,440,379,247
1616968800,438,395,448,354,137
1617055200,390,400,400,385,28
1617141600,404,380,419,380,34
1617228000,380,356,380,330,69
1617660000,360,340,360,320,106
1617746400,326,320,330,312,127
1617832800,306,290,306,280,153
1617919200,290,280,290,280,392
1618178400,300,264,300,254,2612
1618264800,268,258,270,256,951
1618351200,260,288,296,258,3264
1618437600,288,284,288,278,841
1618524000,284,292,294,280,528
1618783200,290,288,292,284,676
1618869600,288,282,288,272,1773
1618956000,280,284,284,262,2614
1619042400,284,278,284,274,116
1619128800,280,276,280,276,153
1619388000,280,280,282,274,174
1619474400,282,278,282,270,165
1619560800,278,282,282,274,908
1619647200,282,282,290,280,901
1619733600,286,298,298,286,1703
1620079200,298,298,300,286,598
1620165600,296,290,296,282,208
1620252000,290,280,290,280,139
1620338400,286,286,290,270,302
1620597600,288,284,288,284,29
1620684000,282,286,286,272,651
1620770400,286,284,286,284,28
1620856800,284,276,284,272,690
1620943200,278,266,278,260,681
1621202400,262,268,268,236,762
1621288800,266,260,266,260,262
1621375200,258,250,258,242,480
1621461600,248,252,252,230,551
1621548000,250,234,254,230,846
1621807200,234,238,240,232,189
1621893600,240,234,240,232,114
1621980000,236,232,236,232,104
1622066400,234,246,254,230,961
1622152800,246,242,256,236,1451
1622412000,240,232,240,230,240
1622498400,234,244,244,224,460
1622584800,242,250,250,238,196
1622757600,250,246,250,242,828
1623016800,244,244,258,236,1779
1623103200,244,248,250,242,680
1623189600,250,250,250,242,587
1623276000,250,244,250,244,414
1623362400,244,246,246,238,91
1623621600,244,248,248,238,494
1623708000,248,242,248,240,111
1623794400,244,246,246,238,97
1623880800,240,238,246,238,453
1623967200,236,246,246,236,45
1624226400,246,246,246,244,76
1624312800,244,244,244,232,126
1624399200,234,240,240,232,110
1624485600,240,238,240,238,166
1624572000,234,234,234,234,24
1624831200,236,234,236,234,26
1624917600,234,234,234,234,1
1625004000,234,234,238,230,178
1625090400,236,230,236,216,663
1625176800,230,230,230,228,101
1625436000,222,228,230,222,220
1625522400,228,238,238,228,97
1625608800,230,236,240,228,182
1625695200,236,236,236,228,82
1625781600,236,244,244,236,225
1626040800,244,242,244,242,90
1626127200,242,248,248,242,108
1626213600,248,248,250,240,71
1626300000,256,252,256,244,49
1626386400,246,246,248,240,52
1626645600,244,238,246,238,45
1626732000,238,236,238,228,279
1626818400,236,236,236,236,1
1626904800,232,232,236,222,317
1626991200,232,232,232,228,83
1627250400,232,236,236,224,141
1627336800,230,228,230,220,191
1627423200,226,228,228,224,38
1627509600,222,228,228,222,98
1627596000,224,228,228,222,111
1627855200,228,224,228,210,251
1627941600,224,216,224,210,1368
1628028000,216,216,218,189,2450
1628114400,214,230,232,206,1124
1628200800,230,236,236,230,53
1628460000,232,230,234,228,72
1628546400,230,230,232,226,75
1628632800,230,230,230,226,84
1628719200,228,186,228,180,11139
1628805600,187,200,204,180,2819
1629064800,202,191,206,190,468
1629151200,195,195,196,194,50
1629237600,200,204,208,197,531
1629324000,204,204,204,192,929
1629410400,204,204,204,200,41
1629669600,204,200,204,200,137
1629756000,200,200,202,200,96
1629842400,200,200,200,200,1
1629928800,200,200,204,200,185
1630015200,200,200,200,200,30
1630274400,200,200,200,200,101
1630360800,200,195,200,195,65
1630447200,195,198,198,195,28
1630533600,200,202,202,198,68
1630620000,202,202,202,198,51
1630879200,197,202,202,197,88
1630965600,198,200,200,197,27
1631052000,202,200,202,200,15
1631138400,200,200,200,200,1
1631224800,197,196,197,191,35
1631484000,197,198,198,197,246
1631570400,198,198,198,198,53
1631656800,197,192,197,190,150
1631743200,194,194,198,194,22
1631829600,193,198,198,192,22
1632088800,191,186,191,182,325
1632175200,188,190,190,188,56
1632261600,190,190,190,190,20
1632348000,190,188,191,188,63
1632434400,188,195,195,186,158
1632693600,197,198,198,197,50
1632780000,198,196,198,192,65
1632866400,196,190,196,187,99
1632952800,192,195,195,185,174
1633039200,195,190,195,190,60
1633298400,189,178,189,178,236
1633384800,177,177,180,168,588
1633471200,173,173,179,172,203
1633557600,175,183,183,175,336
1633644000,178,179,181,177,158
1633903200,182,183,183,178,167
1633989600,183,186,186,183,92
1634076000,183,185,185,180,37
1634162400,185,185,185,179,55
1634248800,183,183,183,179,96
1634508000,178,184,184,178,192
1634594400,180,179,180,178,109
1634680800,180,185,185,176,356
1634767200,185,185,185,182,111
1634853600,185,194,194,185,77
1635112800,194,202,202,190,753
1635199200,202,200,202,194,47
1635285600,200,200,200,200,1
1635372000,200,202,202,200,11
1635458400,202,187,204,187,84
1635807600,194,200,200,190,67
1635894000,199,208,208,199,193
1635980400,208,206,208,202,92
1636066800,206,206,206,206,13
1636326000,206,206,206,204,68
1636412400,204,204,204,204,48
1636498800,208,214,216,206,667
1636671600,220,226,230,220,312
1636930800,230,230,232,222,240
1637017200,230,220,230,216,244
1637103600,222,228,234,222,196
1637190000,230,230,234,228,412
1637276400,230,222,230,222,752
1637535600,222,222,222,222,1
1637622000,220,220,222,220,251
1637708400,220,222,226,218,332
1637794800,222,222,222,214,26
1637881200,220,208,220,208,86
1638140400,206,210,212,202,235
1638226800,210,212,212,210,258
1638313200,210,208,210,206,95
1638399600,208,212,212,206,113
1638486000,214,212,214,212,118
1638745200,212,212,212,208,47
1638831600,212,212,212,212,178
1638918000,212,212,212,212,84
1639004400,210,208,210,208,103
1639090800,212,212,214,212,408
1639350000,212,212,212,210,452
1639436400,210,208,210,208,20
1639522800,210,206,210,196,373
1639609200,206,206,206,206,60
1639695600,206,206,206,202,280
1639954800,208,218,218,200,824
1640041200,218,216,218,210,73
1640127600,218,220,220,212,123
1640214000,220,220,220,212,110
1640559600,220,218,220,218,139
1640646000,216,210,216,175,642
1640732400,0,210,210,210,0
1640818800,214,216,216,210,52
1641164400,216,220,222,216,35
1641250800,222,220,222,220,66
1641337200,222,220,222,220,214
1641510000,240,224,240,224,326
1641769200,232,230,234,228,213
1641855600,234,232,234,232,123
1641942000,232,230,234,226,171
1642028400,226,224,226,224,178
1642114800,228,230,232,228,131
1642374000,234,236,236,232,131
1642460400,236,234,236,232,57
1642546800,236,238,238,230,826
1642633200,232,242,248,232,659
1642719600,238,236,238,232,163
1642978800,230,216,230,212,628
1643065200,220,224,224,218,117
1643151600,226,214,238,214,372
1643238000,212,232,232,212,87
1643324400,236,238,238,230,213
1643583600,238,238,238,226,81
1643670000,234,238,238,224,27
1643756400,234,232,236,222,66
1643842800,0,232,232,232,0
1643929200,234,234,236,234,15
1644188400,234,234,234,234,10
1644274800,236,234,236,234,25
1644361200,234,238,238,234,58
1644447600,0,238,238,238,0
1644534000,238,242,244,234,852
1644793200,242,238,242,238,77
1644879600,236,230,240,230,320
1644966000,234,234,240,234,22
1645052400,234,220,234,220,111
1645138800,226,222,228,222,106
1645398000,226,224,228,206,227
1645484400,224,224,232,224,129
1645570800,234,226,236,226,107
1645657200,224,206,224,194,670
1645743600,216,206,218,206,128
1646002800,206,224,224,206,5
