t,o,c,h,l,v
1304460000,2.31,2.77,2.77,2.31,3978
1304546400,3.32,2.12,3.52,2.12,57607
1304632800,2.26,1.7,2.26,1.7,37627
1304892000,1.6,1.36,1.65,1.36,23007
1304978400,1.49,1.15,1.49,1.13,19490
1305064800,1.15,1.18,1.2,1.12,5210
1305151200,1.18,1.19,1.2,1.18,3730
1305237600,1.2,1.19,1.2,1.1,4208
1305496800,1.2,1.16,1.2,1.16,1200
1305583200,1.17,0.94,1.17,0.94,5955
1305669600,0.94,1.1,1.12,0.8,7802
1305756000,1.1,1.1,1.1,1.1,100
1305842400,1,1,1,0.92,1040
1306101600,0.98,0.96,0.98,0.8,4731
1306188000,0.94,1,1,0.8,7062
1306274400,0.98,0.9,1,0.87,4750
1306360800,0.9,0.86,0.9,0.82,3054
1306447200,0.89,0.93,0.98,0.89,2834
1306706400,0.95,0.98,0.98,0.93,2744
1306792800,0.98,0.9,0.98,0.87,5839
1306879200,0.9,0.92,0.98,0.9,20804
1306965600,0.9,0.9,0.9,0.9,120
1307052000,0.93,0.98,0.98,0.93,1770
1307311200,0.98,0.89,0.98,0.89,1600
1307397600,0.89,0.88,0.89,0.88,7200
1307484000,0.89,0.94,0.94,0.89,3432
1307570400,0.95,0.94,0.95,0.93,14100
1307656800,0.95,0.91,0.95,0.91,400
1307916000,0.91,0.91,0.91,0.91,5
1308002400,0.89,0.89,0.89,0.89,100
1308088800,0.89,0.89,0.89,0.88,6560
1308175200,0.89,0.85,0.89,0.85,3300
1308261600,0.88,0.88,0.88,0.88,300
1308520800,0.89,0.8,0.9,0.8,8575
1308607200,0.76,0.75,0.77,0.7,9325
1308693600,0.75,0.83,0.85,0.75,5000
1308866400,0.84,0.89,0.98,0.83,16880
1309125600,0.95,0.89,0.95,0.79,5350
1309212000,0.9,0.86,0.91,0.86,4077
1309298400,0.85,0.89,0.89,0.85,501
1309384800,0.88,0.88,0.88,0.88,300
1309471200,0,0.88,0.88,0.88,0
1309730400,0.89,0.89,0.89,0.89,110
1309816800,0,0.89,0.89,0.89,0
1309903200,0.92,0.89,0.92,0.89,800
1309989600,0.89,0.85,0.89,0.85,860
1310076000,0.86,0.86,0.86,0.86,100
1310335200,0.86,0.86,0.86,0.86,3500
1310421600,0.86,0.71,0.86,0.7,7454
1310508000,0.65,0.67,0.67,0.56,8611
1310594400,0.67,0.62,0.67,0.62,271
1310680800,0.63,0.63,0.63,0.63,1200
1310940000,0.63,0.56,0.63,0.56,6968
1311026400,0.56,0.46,0.56,0.46,11250
