t,o,c,h,l,v
870818400,0,25,25,25,22818
870904800,0,25,25,25,29138
870991200,0,26.3,26.3,26.3,16323
871250400,0,27,27,27,40032
871336800,0,25.9,25.9,25.9,3605
871423200,0,26.8,26.8,26.8,12719
871509600,0,25.1,25.1,25.1,8442
871855200,0,25,25,25,5406
871941600,0,24.2,24.2,24.2,4735
872028000,0,24.8,24.8,24.8,3317
872114400,0,24.7,24.7,24.7,4138
872200800,0,24,24,24,2105
872460000,0,24.2,24.2,24.2,5681
872546400,0,23.9,23.9,23.9,11488
872632800,0,22.7,22.7,22.7,6072
872719200,0,23.5,23.5,23.5,19531
872805600,0,23.5,23.5,23.5,5462
873064800,0,23.5,23.5,23.5,6986
873151200,0,23,23,23,1963
873237600,0,23.5,23.5,23.5,6942
873324000,0,23.5,23.5,23.5,5169
873410400,0,23,23,23,4992
873669600,0,23,23,23,2768
873756000,0,23.5,23.5,23.5,5813
873842400,0,23.4,23.4,23.4,3194
873928800,0,22.7,22.7,22.7,5499
874015200,0,22.8,22.8,22.8,3569
874274400,0,22.7,22.7,22.7,19297
874360800,0,22.8,22.8,22.8,7987
874447200,0,20.6,20.6,20.6,2949
874533600,0,20.5,20.5,20.5,24250
874620000,0,20.6,20.6,20.6,3997
874879200,0,21,21,21,2375
874965600,0,21.7,21.7,21.7,3683
875052000,0,21.5,21.5,21.5,2378
875138400,0,21,21,21,2497
875224800,0,20.5,20.5,20.5,5236
875484000,0,20.5,20.5,20.5,2590
875570400,0,20.5,20.5,20.5,3700
875656800,0,21,21,21,3754
875743200,0,21,21,21,7190
875829600,0,20.7,20.7,20.7,7731
876088800,0,20.5,20.5,20.5,8704
876175200,0,20.3,20.3,20.3,5049
876261600,0,20,20,20,22160
876348000,0,20.5,20.5,20.5,12545
876434400,0,20.7,20.7,20.7,9707
876693600,0,20.7,20.7,20.7,0
876780000,0,21.6,21.6,21.6,7335
876866400,0,22,22,22,7410
876952800,0,22.5,22.5,22.5,12387
877039200,0,23,23,23,19024
877298400,0,23,23,23,12250
877384800,0,24.1,24.1,24.1,22919
877471200,0,25.3,25.3,25.3,39956
877557600,0,25,25,25,23428
877644000,0,24.7,24.7,24.7,42025
877906800,0,23.4,23.4,23.4,17428
877993200,0,21.1,21.1,21.1,0
878079600,0,22.8,22.8,22.8,36267
878166000,0,22.6,22.6,22.6,22906
878252400,0,23.1,23.1,23.1,8739
878511600,0,24,24,24,4032
878598000,0,25,25,25,35312
878684400,0,25,25,25,25839
878770800,0,24.2,24.2,24.2,5851
878857200,0,24,24,24,6554
879289200,0,23.2,23.2,23.2,12244
879375600,0,23.2,23.2,23.2,13280
879462000,0,23.6,23.6,23.6,10265
879721200,0,24,24,24,11981
879807600,0,24.4,24.4,24.4,19237
879894000,0,23.3,23.3,23.3,1829
879980400,0,24,24,24,9132
880066800,0,24.4,24.4,24.4,19360
880326000,0,24.5,24.5,24.5,16819
880412400,0,24,24,24,21624
880498800,0,24.2,24.2,24.2,12588
880585200,0,23.8,23.8,23.8,8317
880671600,0,24,24,24,8118
880930800,0,24.3,24.3,24.3,8816
881017200,0,24.8,24.8,24.8,14681
881103600,0,24.7,24.7,24.7,16093
881190000,0,24.8,24.8,24.8,8477
881276400,0,25,25,25,33473
881535600,0,25.1,25.1,25.1,12117
881622000,0,25,25,25,16343
881708400,0,24.4,24.4,24.4,9326
881794800,0,23.7,23.7,23.7,13623
881881200,0,23.7,23.7,23.7,11418
882140400,0,24.5,24.5,24.5,4018
882226800,0,25,25,25,13600
882313200,0,25,25,25,12720
882399600,0,24.3,24.3,24.3,3646
882486000,0,24.1,24.1,24.1,3940
882745200,0,23.6,23.6,23.6,5494
882831600,0,23.5,23.5,23.5,3194
883350000,0,24.1,24.1,24.1,4180
883436400,0,24.6,24.6,24.6,15125
883522800,0,24.7,24.7,24.7,8994
883954800,0,24.9,24.9,24.9,9181
884041200,0,24.2,24.2,24.2,3680
884127600,0,23.2,23.2,23.2,3813
884214000,0,23.5,23.5,23.5,4501
884300400,0,23.3,23.3,23.3,4829
884559600,0,22.2,22.2,22.2,2447
884646000,0,22.6,22.6,22.6,31495
884732400,0,23.1,23.1,23.1,1792
884818800,0,22.7,22.7,22.7,1205
884905200,0,23.1,23.1,23.1,11979
885164400,0,23.6,23.6,23.6,16747
885250800,0,23.6,23.6,23.6,14272
885337200,0,24,24,24,3346
885423600,0,23.1,23.1,23.1,3357
885510000,0,23.1,23.1,23.1,1010
885769200,0,23.4,23.4,23.4,1011
885855600,0,23.6,23.6,23.6,2324
885942000,0,24,24,24,5564
886028400,0,24,24,24,5013
886114800,0,23,23,23,2946
886374000,0,22.4,22.4,22.4,13242
886460400,0,23.3,23.3,23.3,4015
886546800,0,23.3,23.3,23.3,4384
886633200,0,23.3,23.3,23.3,4307
886719600,0,23.3,23.3,23.3,10001
886978800,0,23.8,23.8,23.8,12964
887065200,0,24,24,24,7408
887151600,0,23.4,23.4,23.4,2862
887238000,0,23.1,23.1,23.1,3924
887324400,0,22.7,22.7,22.7,3314
887583600,0,23.8,23.8,23.8,16688
887670000,0,24,24,24,26615
887756400,0,24.3,24.3,24.3,19908
887842800,0,24.6,24.6,24.6,31913
887929200,0,24.6,24.6,24.6,23860
888188400,0,24.7,24.7,24.7,8485
888274800,0,24.8,24.8,24.8,34843
888361200,0,24.4,24.4,24.4,22876
888447600,0,24.8,24.8,24.8,16545
888534000,0,25,25,25,51869
888793200,0,26.5,26.5,26.5,25523
888879600,0,26.9,26.9,26.9,19304
888966000,0,26.7,26.7,26.7,14509
889052400,0,26.5,26.5,26.5,14802
889138800,0,26,26,26,13752
889398000,0,26.3,26.3,26.3,9269
889484400,0,26.5,26.5,26.5,15744
889570800,0,25,25,25,4209
889657200,0,25.5,25.5,25.5,4371
889743600,0,26,26,26,4116
890002800,0,25.1,25.1,25.1,56322
890089200,0,26,26,26,11073
890175600,0,25.1,25.1,25.1,3581
890262000,0,26.1,26.1,26.1,14256
890348400,0,26,26,26,10862
890607600,0,26.3,26.3,26.3,9839
890694000,0,26,26,26,9776
890780400,0,25.6,25.6,25.6,3039
890866800,0,25.2,25.2,25.2,10150
890953200,0,24.8,24.8,24.8,6372
891208800,0,24.8,24.8,24.8,7939
891295200,0,24.5,24.5,24.5,4590
891381600,0,25,25,25,7496
891468000,0,25.3,25.3,25.3,8559
891813600,0,25.7,25.7,25.7,5920
891900000,0,26,26,26,6829
891986400,0,25.6,25.6,25.6,7279
892072800,0,25.1,25.1,25.1,1392
892504800,0,25.9,25.9,25.9,5060
892591200,0,25.5,25.5,25.5,3709
892677600,0,25.1,25.1,25.1,4882
892764000,0,25,25,25,5321
893023200,0,24.9,24.9,24.9,3147
893109600,0,25.9,25.9,25.9,8093
893196000,0,25.5,25.5,25.5,5835
893282400,0,25.5,25.5,25.5,6145
893368800,0,25.9,25.9,25.9,8241
893628000,0,26,26,26,14250
893714400,0,25.1,25.1,25.1,13896
893800800,0,25,25,25,4453
893887200,0,24.8,24.8,24.8,4081
894232800,0,25.2,25.2,25.2,11620
894319200,0,25.6,25.6,25.6,12391
894405600,0,25,25,25,5661
894492000,0,24.8,24.8,24.8,5612
894578400,0,24.7,24.7,24.7,6770
894837600,0,24.6,24.6,24.6,5268
894924000,0,24.1,24.1,24.1,4621
895010400,0,23.3,23.3,23.3,3211
895096800,0,22.8,22.8,22.8,5460
895183200,0,22.3,22.3,22.3,4769
895442400,0,22.3,22.3,22.3,3829
895528800,0,22,22,22,5909
895615200,0,22.3,22.3,22.3,3081
