t,o,c,h,l,v
1186092000,36,38.59,38.7,34.5,89078
1186351200,38.6,36,38.6,35,2623
1186437600,36.51,38.5,38.5,36,5076
1186524000,39.7,36.71,39.7,36.71,1151
1186610400,36.5,35.5,37.84,35.4,2299
1186696800,35.1,34.5,36,34.5,3740
1186956000,35,35.97,35.97,34.65,445
1187042400,36.02,36.1,36.2,35.99,2332
1187215200,35.3,34.99,35.3,32.2,6682
1187301600,33.9,35.48,36.1,32,1991
1187560800,33,35.98,37,33,463
1187647200,35.98,35.62,35.98,35,206
1187733600,35.7,38.47,39.7,35.62,30735
1187820000,37.5,38.1,39,37.5,16073
1187906400,36.7,38.9,38.9,36.6,1306
1188165600,38.9,38,38.9,38,1560
1188252000,37.1,37,37.1,37,246
1188338400,38,38,38,38,1909
1188424800,36.2,38.97,38.97,36.2,5728
1188511200,39,38.99,39,38.71,9157
1188770400,39.5,39.2,39.69,39,512
1188856800,39.98,42,42,39.5,7851
1188943200,42.8,42.15,43,42.15,1805
1189029600,42.9,42,42.9,42,341
1189116000,42,40.11,42,40.11,145
1189375200,39.02,40.1,40.1,36.2,1595
1189461600,40.2,41.9,41.9,40.2,421
1189548000,44,41.9,44,41.9,277
1189634400,0,41.9,41.9,41.9,0
1189720800,41.9,41.9,41.9,41.9,20
1189980000,41.84,41.85,41.85,41,56
1190066400,41.85,41.85,41.85,41.85,23
1190152800,40,41.99,42,40,5185
1190239200,0,41.99,41.99,41.99,0
1190325600,0,41.99,41.99,41.99,0
1190584800,41.9,41.95,41.95,41.9,248
1190671200,38.11,41.5,41.5,38.11,1067
1190757600,0,41.5,41.5,41.5,0
1190844000,39.5,40.9,40.9,39.5,115
1190930400,37.05,41,41,37.05,106
1191189600,38.71,40.5,40.5,38.5,901
1191276000,38.6,40.4,40.4,38.6,336
1191362400,39.2,40,40,38.8,853
1191448800,37.1,40,40,37.1,1965
1191535200,39.9,40,40.1,39.9,5050
1191794400,0,40,40,40,0
1191880800,40.9,41,41,39.61,5300
1191967200,41,42,42,41,40000
1192053600,42.5,42,44,41.03,509
1192140000,40.31,42.98,42.98,40.31,103
1192399200,42.1,42.1,42.1,42.1,19
1192485600,42.95,42.95,42.95,42.95,11
1192572000,0,42.95,42.95,42.95,0
1192658400,40.1,42.7,42.7,40.1,85
1192744800,40.25,42.7,42.7,40.2,1086
1193004000,42,43.5,43.5,42,766
1193090400,44,45,45,43.5,5430
1193176800,45.3,48.5,51.9,45,6213
1193263200,47.57,46,49.4,46,1967
1193349600,46.1,46.8,46.8,46,98
1193612400,46.9,46.82,47,46.8,217
1193698800,48,46,48,45.1,132
1193785200,45.85,49,49,45.85,803
1193958000,47,48.99,48.99,47,809
1194217200,48.99,48.5,49.5,48,691
1194303600,48.99,48.99,48.99,48.99,5
1194390000,50,47,50,46.5,1186
1194476400,44.5,48,48,44.5,2997
1194562800,49.26,48,49.3,46.21,103055
1194822000,47.5,50.65,50.65,46.5,4002
1194908400,50.65,49.1,50.65,47.55,1918
1194994800,47,45.1,47.6,45,6102
1195081200,44.02,47.6,47.6,39,3970
1195167600,46.9,47,47,46.9,159
1195426800,47,44.5,47,44,618
1195513200,46,44,46,42,455
1195599600,44.47,42.9,44.47,41.2,2677
1195686000,42.74,44.9,46,42,3508
1195772400,43,45.88,45.88,42.65,634
1196031600,0,45.88,45.88,45.88,0
1196118000,45.49,47,47,45.49,1105
1196204400,47.47,48.3,48.5,47.47,2010
1196290800,48.39,46.8,48.39,46.8,111
1196377200,46.8,47,47,45.2,370
1196636400,46.86,46.86,46.99,46.86,83
1196722800,46.95,47.7,47.7,46.95,221
1196809200,44.6,47.69,47.7,44,3917
1196895600,46,45.1,46.01,45.1,598
1196982000,45.9,46.99,46.99,45.1,72
1197241200,47.2,46,47.2,45.1,545
1197327600,44.9,46.59,46.59,44.8,226
