t,o,c,h,l,v
1639090800,23,23.7,24.465,23,3393494
1639350000,23.8,24.6,24.83,23.8,978812
1639436400,24.8,24.5,24.88,24,190590
1639522800,24.64,24.23,24.64,24.225,174782
1639609200,24.5,24.375,24.65,24.24,213565
1639695600,24.4,23.98,24.49,23.6,211283
1639954800,23.605,23.22,23.605,22.8,266671
1640041200,23.49,23.9,23.97,23.11,171128
1640127600,23.9,24.1,24.195,23.51,62833
1640214000,24.25,24.2,24.25,23.15,888260
1640559600,24.2,23.5,24.2,23.37,345747
1640646000,23.4,23.9,23.94,23.4,71109
1640732400,23.6,23.97,23.97,23.6,7815
1640818800,24,23.505,24,23.505,59867
1641164400,23.94,23.6,23.94,23.505,494312
1641250800,23.75,23.36,23.75,23.315,14390
1641337200,23.32,22.455,23.32,22.455,238845
1641510000,22.4,22.78,22.91,22.2,33280
1641769200,22.78,22.86,23.48,22.365,48334
1641855600,23,23.1,23.5,22.9,16806
1641942000,23.3,23.895,23.965,23.21,100329
1642028400,23.85,23.76,23.98,23.53,55851
1642114800,23.8,23.5,23.9,23.5,172069
1642374000,23.9,23.79,23.9,23.65,35398
1642460400,23.885,23.45,23.885,23.22,83630
1642546800,23.485,23.25,23.5,23.02,74864
1642633200,23.35,22.9,23.375,22.9,58367
1642719600,22.9,23.85,23.85,22.9,461518
1642978800,23.8,23,23.8,22.7,226730
1643065200,22.66,21.79,23,21.79,99245
1643151600,21.66,22.36,22.36,21.255,108119
1643238000,22,21.8,22.055,21.255,37012
1643324400,21.42,22.2,22.42,20.805,89797
1643583600,22.08,22,22.08,21.295,21100
1643670000,22,21.675,22,21.42,6990
1643756400,21.675,21.36,21.785,21.28,18338
1643842800,21.35,20.875,21.395,20.82,61109
1643929200,21.35,20.105,21.35,19.994,168865
1644188400,20.2,20.3,20.47,20,9418
1644274800,20.2,21.1,21.1,20.155,13546
1644361200,21.1,20.4,21.1,20.11,21745
1644447600,20.4,20.78,20.945,20.32,145476
1644534000,20.44,20.9,20.9,20.1,58327
1644793200,20.5,20.09,20.645,20,47735
1644879600,20,19.8,20.3,19.656,34598
1644966000,19.61,18.51,20.1,18.502,46067
1645052400,18.1,17.55,18.81,17.35,36801
1645138800,17.6,17.8,18.396,17.4,40033
1645398000,18.08,17.13,18.83,17.13,96802
1645484400,17.13,18.26,18.354,16.9,86815
1645570800,18.5,17.5,18.79,17.222,58125
1645657200,16.88,15.38,16.88,15.202,88665
1645743600,16.3,15.9,16.3,15.5,90332
1646002800,15.898,16.3,16.3,15.5,58734
1646089200,16.3,15.8,16.7,15.6,187174
1646175600,16,15.78,16.2,15.05,46883
1646262000,15.21,15.706,16,15.21,21629
1646348400,15.8,15,15.948,14.8,74347
1646607600,13.862,13.906,14.394,13.602,82749
1646694000,13.95,13.98,14.28,13.5,64775
1646780400,14.198,14.18,14.68,13.82,96136
1646866800,14.18,16.398,16.398,14.18,182569
1646953200,16.5,16.99,17.052,15.464,247868
1647212400,17,17,17.446,16.758,93583
1647298800,17.278,16,17.3,16,1361156
1647385200,16.4,16.7,16.85,16.002,314890
1647471600,16.7,17,17.3,16.5,60251
1647558000,17.2,17.6,17.64,16.838,225697
1647817200,17.99,17.5,18.38,17.15,49796
1647903600,17.5,17.4,17.5,17.16,24999
1647990000,17.3,17.39,17.4,17.1,9542
1648076400,17.298,17.7,17.7,16.9,347077
1648162800,17.9,17,17.9,17,10196
1648418400,17.15,16.526,17.152,16.526,21785
1648504800,16.502,16.53,17.198,16.502,42417
1648591200,17.88,17.2,17.89,17.1,67139
1648677600,17.2,17.326,17.4,17,7557
1648764000,17.326,17.49,17.796,17.324,13277
1649023200,17.698,17.412,17.75,17.242,10033
1649109600,17.7,17.212,17.738,17.202,12305
1649196000,17.4,16.9,17.4,16.6,38989
1649282400,16.554,16.5,16.87,16.002,34037
1649368800,16.2,15.768,16.75,15.768,76585
1649628000,15.3,15.66,16,15.3,53015
1649714400,15.66,16.006,16.44,15.602,14801
1649800800,16.08,15.3,16.248,15.3,40291
1649887200,15.702,16.04,16.04,15.4,448375
1650319200,16.038,16.44,16.74,15.85,8290
1650405600,16.44,16.76,17.75,16.44,43840
1650492000,16.702,16.52,17,16.52,23271
1650578400,16.5,16.19,16.5,15.8,25154
1650837600,16.39,16,16.39,15.502,17248
1650924000,16.15,15.91,16.15,15.7,2918
1651010400,15.904,15.8,16.004,15.5,43922
1651096800,15.6,14.952,15.696,14.852,136177
1651183200,15.2,14.95,15.244,14.562,24104
1651442400,14.95,14.8,14.95,14.4,7754
1651615200,14.9,14.298,14.9,14.02,35854
1651701600,14.41,13.72,14.892,13.72,57673
1651788000,13.51,13.99,13.99,13,73780
1652047200,14.18,13.998,14.38,13.3,50366
1652133600,13.7,12.93,13.7,12.46,95001
1652220000,12.86,12.48,12.87,12.12,97240
1652306400,12.25,12.74,12.76,11.804,149822
1652392800,12.8,12.4,13.05,11.904,262877
1652652000,12.2,12.1,13,12.03,166348
1652738400,12.05,12.25,12.4,12.05,366261
1652824800,12.3,12.378,12.598,12.11,108696
1652911200,12.05,12.18,12.3,11.86,88483
1652997600,12.4,12.254,12.4,11.98,111349
1653256800,12.658,13.016,13.05,12.402,29843
1653343200,13,12.52,13.5,12.466,202049
1653429600,12.52,12.73,13,12.204,29085
1653516000,12.9,14.9,15,12.56,264626
1653602400,14.9,14.7,15.26,14.5,390003
1653861600,14.8,14.8,14.9,14.5,46788
1653948000,14.8,14.5,15.6,14.5,166600
1654034400,14.5,14.58,15,14.12,36655
1654120800,14.946,14.84,15,14.1,45681
1654207200,15,14.998,15.44,14.34,49005
1654466400,15.1,15.18,15.2,14.702,23692
1654552800,15,14.65,15,14.52,11001
1654639200,15,14.22,15,13.802,32102
1654725600,14.22,14.35,14.458,13.708,13394
1654812000,14.34,13.9,14.34,13.9,18459
1655071200,14.25,14,14.9,13.802,27257
1655157600,14,13.8,14.3,13.8,7680
1655244000,14,14.19,14.19,13.5,14253
1655416800,13.96,14.886,14.886,13.82,35717
1655676000,14.8,14.322,14.8,14.04,11990
1655762400,14.68,14.78,14.9,14.37,17929
1655848800,14.782,15.186,15.2,14.3,42954
1655935200,15.18,15.2,15.698,14.602,171827
1656021600,15.26,15.2,15.548,15.2,6386
1656280800,15.25,15.19,15.33,14.752,41870
1656367200,15.19,14.9,15.298,14.61,38599
1656453600,14.89,14.9,14.9,14.102,31870
1656540000,14.898,14.68,14.9,14.45,31360
1656626400,14.678,14.5,14.75,14.226,20070
1656885600,14.796,14.55,14.798,14.14,10030
1656972000,14.688,14.2,14.688,13.5,18220
1657058400,14.2,13.344,14.592,13.344,23722
1657144800,13.9,13.998,14.48,13.604,9411
1657231200,14.072,14.002,14.48,13.902,6290
1657490400,14.002,13.698,14.14,13.444,36110
1657576800,13.74,14.1,14.112,13.44,35849
1657663200,14.198,13.602,14.198,13.5,84018
1657749600,13.888,13.84,14.054,13.546,102873
1657836000,13.944,13.59,13.944,12.854,533782
1658095200,13.78,13.42,13.85,13.202,59185
1658181600,13.678,13.45,13.7,13.222,24233
1658268000,13.5,13.45,13.7,13.204,23416
1658354400,13.5,13.31,13.55,13.304,10894
1658440800,13.31,13.31,13.646,13.014,76579
1658700000,13.478,13.11,13.478,13.11,16714
1658786400,13.3,13.24,13.3,13.112,7370
1658872800,13.15,13.47,13.5,13.02,121234
1658959200,13.46,15.142,15.32,13.458,373006
1659045600,14.954,14.98,15.35,14.366,28826
1659304800,15.12,14.99,15.12,14.542,9939
1659391200,15,14.62,15.19,14.542,9003
1659477600,14.398,15.1,15.198,13.704,127262
1659564000,15.098,14.9,15.098,14.654,9117
1659650400,15.01,14.8,15.096,14.302,14944
1659909600,14.7,14.7,14.95,14.5,5573
1659996000,14.698,14.396,14.812,14.26,9040
1660082400,14.42,14.35,14.98,14.194,12928
1660168800,14.47,14.9,15,14.47,8116
1660255200,14.88,15,15.1,14.5,18630
1660600800,15.38,15.9,16.16,15.38,316653
1660687200,16.2,16.24,16.45,15.85,55249
1660773600,16.24,16.48,16.6,16,67207
1660860000,16.3,16,16.38,15.48,132745
1661119200,15.94,15.94,15.94,15.34,26432
1661205600,15.798,15.94,15.94,15.506,15413
1661292000,15.51,15.622,15.958,15.51,14131
1661378400,15.62,15.38,15.96,15.302,263123
1661464800,15.838,15.7,15.92,15.524,314560
1661724000,15.96,15.61,15.96,15.53,21448
1661810400,15.848,15.78,16.194,15.612,24348
1661896800,15.798,15.4,16.058,15.3,43511
1661983200,15.4,14.502,15.746,14.5,26356
1662069600,14.3,13.9,14.6,13.35,76246
1662328800,13.79,14.2,14.5,13.702,33995
1662415200,14.5,14.05,14.5,13.824,21498
1662501600,14.19,14.57,14.688,13.504,17609
1662588000,14.7,14.652,14.95,14.57,19972
1662674400,14.798,15,15.184,14.798,68948
1662933600,15.18,15,15.18,14.502,110707
1663020000,15.17,15,15.35,14.92,35303
1663106400,15.25,15,15.25,14.824,6941
1663192800,14.7,15.072,15.15,14.222,34545
1663279200,15.074,14.9,15.08,14.514,245793
1663538400,14.8,14.82,15,14.46,19834
1663624800,14.502,14.28,14.898,14.276,161339
1663711200,14.28,14.252,14.5,14.024,25206
1663797600,14.15,14.22,14.5,13.652,151455
1663884000,14.498,14.1,14.498,13.808,14357
1664143200,14.198,14.02,14.492,13.7,22922
1664229600,14.38,13.91,14.38,13.882,21399
1664316000,13.91,14.124,14.39,13.91,14099
1664402400,14.22,13,14.22,12.9,137259
1664488800,13,13.83,14.25,12.51,99375
1664748000,13.68,14,14.45,13.5,53578
1664834400,14,14.1,14.45,13.71,54975
1664920800,14.2,13.62,14.696,13.62,41628
1665007200,13.8,14.01,14.318,13.8,18818
1665093600,14.01,13.85,14.188,13.844,17608
1665352800,14,13.98,14,13.8,6774
1665439200,13.97,13.8,14.468,13.404,51942
1665525600,13.996,13.762,14.1,13.61,17561
1665612000,13.68,13.5,14.38,13.5,16548
1665698400,13.864,13.51,14.1,13.51,23203
1665957600,13.79,13.702,14.08,13.452,18436
1666044000,13.9,13.91,14.16,13.804,8130
1666130400,13.908,14,14,13.61,6391
1666216800,14,13.9,14.2,13.822,63602
1666303200,13.512,12.66,14.066,12.66,57250
1666562400,12.902,13.88,13.88,12.9,187875
1666648800,13.88,13.75,14.072,13.6,114928
