t,o,c,h,l,v
1322607600,0.2,0.2,0.2,0.2,9996
1322694000,0.22,0.22,0.22,0.22,4296
1322780400,0.23,0.25,0.27,0.23,30238
1323039600,0.28,0.25,0.28,0.23,13824
1323126000,0,0.25,0.25,0.25,0
1323212400,0,0.25,0.25,0.25,0
1323298800,0,0.25,0.25,0.25,0
1323385200,0,0.25,0.25,0.25,0
1323644400,0,0.25,0.25,0.25,0
1323730800,0.23,0.29,0.29,0.23,4865
1323817200,0,0.29,0.29,0.29,0
1323903600,0.26,0.24,0.26,0.24,6353
1323990000,0.26,0.26,0.26,0.26,500
1324249200,0,0.26,0.26,0.26,0
1324335600,0,0.26,0.26,0.26,0
1324422000,0.24,0.26,0.26,0.23,15737
1324508400,0.25,0.25,0.25,0.25,2000
1324594800,0.22,0.26,0.26,0.21,9255
1324940400,0.25,0.25,0.25,0.25,1126
1325026800,0,0.25,0.25,0.25,0
1325113200,0,0.25,0.25,0.25,0
1325199600,0.25,0.26,0.26,0.25,4537
1325458800,0,0.26,0.26,0.26,0
1325545200,0.27,0.27,0.27,0.27,500
1325631600,0,0.27,0.27,0.27,0
1325718000,0,0.27,0.27,0.27,0
1326063600,0,0.27,0.27,0.27,0
1326150000,0.23,0.26,0.26,0.22,5000
1326236400,0,0.26,0.26,0.26,0
1326322800,0,0.26,0.26,0.26,0
1326409200,0,0.26,0.26,0.26,0
1326668400,0.26,0.27,0.27,0.26,1300
1326754800,0,0.27,0.27,0.27,0
1326841200,0,0.27,0.27,0.27,0
1326927600,0.26,0.26,0.26,0.26,2005
1327014000,0,0.26,0.26,0.26,0
1327273200,0.26,0.27,0.27,0.26,3200
1327359600,0,0.27,0.27,0.27,0
1327446000,0.23,0.23,0.23,0.23,2300
1327532400,0.23,0.26,0.26,0.23,1355
1327618800,0,0.26,0.26,0.26,0
1327878000,0.23,0.23,0.24,0.23,10645
1327964400,0.23,0.23,0.23,0.23,6183
1328050800,0.25,0.25,0.25,0.25,2000
1328137200,0.23,0.23,0.23,0.23,1500
1328223600,0,0.23,0.23,0.23,0
1328482800,0.23,0.25,0.25,0.23,5817
1328569200,0,0.25,0.25,0.25,0
1328655600,0,0.25,0.25,0.25,0
1328742000,0,0.25,0.25,0.25,0
1328828400,0,0.25,0.25,0.25,0
1329087600,0,0.25,0.25,0.25,0
1329174000,0,0.25,0.25,0.25,0
1329260400,0,0.25,0.25,0.25,0
1329346800,0,0.25,0.25,0.25,0
1329433200,0.25,0.25,0.25,0.25,2956
1329692400,0,0.25,0.25,0.25,0
