t,o,c,h,l,v
1132182000,48,49.2,50.5,47,8291
1132268400,49.5,47.5,49.6,47.4,2307
1132527600,48,47,48.7,47,5917
1132614000,47,47,47.1,45.8,6199
1132700400,46.9,47,47,45.6,2129
1132786800,47,46.9,47.5,46.5,3264
1132873200,47.4,46.9,47.4,46.3,645
1133132400,46.5,46.6,47.4,46.1,634
1133218800,47,45.6,47,45.6,976
1133305200,46.2,45.2,46.2,45.2,113
1133391600,44.5,45.7,46,44.2,1214
1133478000,44.5,46,46.3,44.5,4088
1133737200,45.4,45,45.5,44,2509
1133823600,45.2,45.5,45.7,45.1,410
1133910000,45.5,47.8,49.5,44.8,8028
1133996400,47.5,47.8,49.3,46.9,3973
1134082800,47.5,46.7,48.1,46.7,2243
1134342000,47.7,47.8,48.4,47,3617
1134428400,48.2,47.5,48.2,47.5,2307
1134514800,48.4,48.7,50,47.5,3715
1134601200,48.9,50,50.8,48.9,9281
1134687600,50,52.2,52.5,50,10388
1134946800,52,51.9,52,51.5,1867
1135033200,51.3,51.3,51.5,51,2041
1135119600,50.4,51,51,50,3154
1135206000,50.2,50.5,50.5,50,2900
1135292400,50.5,50.5,50.8,50.5,475
1135638000,51,51.1,51.1,50.6,1196
1135724400,51.1,51.6,51.6,51.1,2167
1135810800,52,52,52.2,51.8,3669
1135897200,51.8,52,52,51.6,2455
1136156400,51.8,51,51.8,50,2550
1136242800,50.3,52.5,52.5,50.3,11232
1136329200,52,51.5,52.1,51.1,2582
1136415600,52.1,51,52.1,50.3,1513
1136502000,50.7,51,51.8,50.6,4141
1136761200,51.8,50.9,51.8,50.3,1124
1136847600,51,50.5,51.2,50.5,4325
1136934000,50.6,51.1,51.1,50.6,3744
1137020400,50.8,51.2,51.8,50.8,907
1137106800,51.5,53.5,53.5,51,8342
1137366000,53.9,54.1,54.1,52.5,2723
1137452400,53.9,53.7,54.1,53.7,1663
1137538800,53.5,53,53.5,52.6,1902
1137625200,52.8,53,53.3,52.5,2359
1137711600,52.6,52.5,52.6,52.1,764
1137970800,51.2,53.3,53.3,51.2,693
1138057200,52,52.5,52.5,52,139
1138143600,52.5,52.5,52.6,52.5,2828
1138230000,52,52.5,53,52,676
1138316400,52.5,52.5,52.5,52.5,400
1138575600,52.9,52,53,51,1025
1138662000,52,51.9,52,51,2547
1138748400,50.6,51.6,51.6,50.6,595
1138834800,51,51.6,51.6,51,160
1138921200,51.6,50,51.6,47.5,383
1139180400,50.1,51.5,51.5,50,570
1139266800,51.1,51,51.6,50.2,616
1139353200,50.2,50.5,50.7,50,1576
1139439600,50,50.6,50.8,50,483
1139526000,50.7,50,50.7,50,843
1139785200,51.1,51,51.1,49,1170
1139871600,50.9,51,51,50.9,905
1139958000,51.2,52.4,53,51.2,2833
1140044400,53,53,53.5,52.5,2757
1140130800,53,54.4,54.5,53,1872
1140390000,54,55.6,56,54,3321
1140476400,55.7,55.5,55.7,55.2,3455
1140562800,55.2,55.2,55.2,55,514
1140649200,55.1,55,55.7,54.6,2447
1140735600,55.5,55.5,55.8,55.4,2834
1140994800,55.5,56.5,56.5,55.3,6500
1141081200,56.5,57.7,58.8,56.5,3667
1141167600,58.5,59.4,59.9,58,9496
1141254000,60.7,60.4,60.7,59.3,4358
1141340400,60,58.8,60,57.7,1698
1141599600,56.3,58.7,58.7,56.2,3529
1141686000,59.3,56.2,59.3,56,1308
1141772400,56,56.3,56.8,54.2,1958
1141858800,57.3,58.6,59,57.3,3103
1141945200,58.6,58.2,58.6,57,369
1142204400,58.1,57.6,58.1,57.5,777
1142290800,57,57.9,58.4,57,2593
1142377200,57.1,57.9,57.9,57,1309
1142463600,57.2,58.5,58.5,57.1,1551
1142550000,58.5,60,61,58.5,9664
1142809200,60,59.5,60,59.1,1246
1142895600,59.5,59.5,59.5,59.1,102
1142982000,59.5,60.8,60.8,59.4,5105
1143068400,60.8,62,63.2,60.8,2400
1143154800,63,63.5,64,62,6118
1143410400,64.5,64.7,65,63,814
1143496800,65,64.3,65,64,708
1143583200,64,64.1,64.3,63,990
1143669600,63.1,64.9,64.9,63,1230
1143756000,64,64.5,64.5,63,512
1144015200,64,65.4,65.4,64,8855
1144101600,64.5,66.4,66.4,64.5,4879
1144188000,66.5,66.5,66.5,66.3,528
1144274400,67,67.5,68.2,67,3053
1144360800,72.2,74.9,76,70,14614
1144620000,76,77.1,77.5,76,15764
1144706400,79,77.1,79.5,77.1,5302
1144792800,78,77.5,78,77,1916
1144879200,78,78.5,79.3,78,2492
1145311200,79,79,79.8,79,4499
1145397600,79.7,76.8,79.7,76,2047
1145484000,76.8,76.1,77,76,2264
1145570400,75.7,76.1,76.5,73.5,2063
1145829600,75.5,76.5,76.5,75.5,2008
1145916000,75,73.7,75.5,72.5,3730
1146002400,74,76.4,76.7,73.9,1121
1146088800,76.9,76.6,77.1,76.4,2954
1146175200,76.7,78.6,78.9,76.7,2258
1146520800,79,78.2,79,78,1496
1146693600,79,78,79,75.2,1251
1146780000,79,76.6,79,76.3,763
1147039200,75.5,75.6,77.9,75.5,601
1147125600,75.8,77.8,77.8,75.7,4316
1147212000,77,78.8,78.9,77,1301
1147298400,78.9,79,79.6,78.5,2985
1147384800,78.7,79.4,79.8,77.9,4020
1147644000,79,78.9,79,76.1,486
1147730400,78,77.9,79.7,76.5,1426
1147816800,77.9,77,78,76.5,1698
1147903200,76.2,76,77,72.5,2866
1147989600,76.1,76.8,77.3,76,499
1148248800,76.8,74.6,76.8,73.3,2689
1148335200,68.4,75,75,61.7,2661
1148421600,73,73.5,74.8,71.5,407
1148508000,73,74.8,75.8,68.2,1322
1148594400,75.7,74,75.9,71.3,1336
1148853600,74.8,74.3,76,74.3,1123
1148940000,74.5,75,75,74,385
1149026400,74.5,74,74.5,74,104
1149112800,74.5,75.9,75.9,74.5,306
1149199200,75.5,76,76,75.4,1005
1149458400,76,75.9,76,75.9,1310
1149544800,73.1,74.9,74.9,73.1,1152
1149631200,74.8,74.8,74.9,74.8,168
1149717600,72.1,74.7,75,72.1,493
1149804000,73.2,74.4,74.4,73.2,945
1150063200,73.1,73,73.2,73,1435
1150149600,71.9,69.3,72,67,2293
1150236000,68,66,68,65,1437
1150408800,66.1,68,71,66.1,419
1150668000,66.7,66,67,66,150
1150754400,66,68.8,69.2,66,149
1150840800,69,71.9,72.2,68.9,245
1150927200,72,70.3,72,70.3,2
1151013600,69,72.2,72.2,69,101
1151272800,71.5,71.5,71.5,71.5,1
1151359200,71.5,71.9,72.1,69.2,177
1151445600,71.9,69.5,71.9,69.5,517
1151532000,70,69.2,70,69.2,484
1151618400,69.9,69.5,70.1,69.5,180
1151877600,69.5,68.8,69.5,68,488
1151964000,66,67.9,67.9,66,618
1152050400,67.9,69.5,69.5,67.9,718
1152136800,69.2,69.2,69.2,69.2,1
1152223200,69.2,72,72,67.1,2660
1152482400,69.2,71.9,72.2,69.2,97
1152568800,71.9,71.5,71.9,70,126
1152655200,72.1,71,72.1,70.5,209
1152741600,70.9,70.2,70.9,69.1,2398
1152828000,70.2,70.5,70.5,70.2,1128
1153087200,71.1,72.1,72.1,71.1,226
1153173600,72,72.4,72.4,71.2,1121
1153260000,72.9,73,73,72.9,481
1153346400,74.5,73.1,74.5,73.1,120
1153432800,74,74,74,74,100
1153692000,73.3,73.1,73.3,73,599
1153778400,71.5,72,72.9,71.5,61
1153864800,73.4,72.4,73.4,69.9,319
1153951200,72,72.4,72.4,72,515
1154037600,72.3,72.3,72.3,72.3,1
1154296800,72.3,72.3,72.3,72.3,170
1154383200,72.3,72.2,72.3,72.2,568
1154469600,69.6,72,72,69,164
1154556000,72,72,72,72,10
1154642400,72.1,72,72.1,70.2,108
1154901600,71.9,71.9,71.9,71.9,1
1154988000,71.1,71.8,71.8,71,47
1155074400,71.9,72,72,71.9,163
1155160800,72.1,72.2,72.2,72.1,38
1155247200,72.4,72.9,72.9,72.4,573
1155506400,72,72.5,72.9,71.2,1684
1155679200,72.5,72,72.5,72,1514
1155765600,71.1,71.1,71.1,71.1,100
1155852000,71.1,71.9,71.9,71.1,101
1156111200,71.8,71.5,71.9,71.5,110
1156197600,70.1,68.3,70.1,68.3,265
1156284000,68.6,69.8,69.8,68.2,838
1156370400,70,70.4,70.4,68,46
1156456800,70,68.2,70,67.1,1085
1156716000,69.8,69.8,69.8,69.8,4
1156802400,69.8,68.9,69.8,66.2,324
1156888800,67.1,68.8,68.8,67.1,484
1156975200,67.5,68,68,67.4,195
1157061600,67.9,67.5,67.9,67,110
1157320800,67,67.4,67.5,65.8,1731
1157407200,68,67.4,69.75,66.3,355
1157493600,69,69,69,69,1
1157580000,68.95,69.25,69.9,68.95,73
1157666400,69.9,69.5,70.8,68,558
1157925600,69.5,69,69.5,67.7,267
1158012000,68,67.7,68.95,67.2,1199
1158098400,69.75,68.5,69.75,67.45,1105
1158184800,68.5,68.3,68.5,67,1063
1158271200,68.5,69.95,69.95,67,318
1158530400,69.9,69.8,69.9,68.15,33
1158616800,69.8,69.8,69.8,69.8,57
1158703200,69,68.8,69,66,1249
1158789600,68.5,68.05,68.5,66.75,3
1158876000,67.95,67.8,67.95,65.1,27
1159135200,68.35,68,68.35,67.75,400
1159221600,66.65,67.9,67.9,66.65,131
1159308000,68.95,67.5,68.95,67,221
1159394400,68,67.5,68,67.5,56
1159480800,68,67.95,68,67,419
1159740000,68,68,68,68,1
1159826400,68,68.5,68.8,67,442
1159912800,68.8,68.9,68.9,67.75,274
1159999200,68.9,71.45,71.5,68.9,1687
1160085600,71.8,71.7,72,71.7,1950
1160344800,73,72.35,73,72.35,50
1160431200,72,72.9,72.9,71,768
1160517600,72.9,72.9,72.9,72.9,1
1160604000,73,70.8,73,70.65,529
1160690400,72,71.95,72,70.1,54
1160949600,70.5,70.35,70.55,70.25,1192
1161036000,71,70.4,71,70.3,317
1161122400,70.4,71.95,72,70.4,520
1161208800,71.95,71.5,71.95,71.5,60
1161295200,71.5,71,71.5,70.95,101
1161554400,71,70,71,70,140
1161640800,70,68.95,70,66,27631
1161727200,68,68.45,68.45,65.7,799
1161813600,69,68,69,68,1099
1161900000,68.5,69.9,69.9,68.5,306
1162162800,70,69.95,70,69,55
1162249200,69.9,69.5,70,69,399
1162422000,70.5,71,71,70.5,287
1162508400,68.05,71,71,68.05,105
1162767600,71,70.85,71,69,799
1162854000,68.8,71.15,71.8,68.8,3629
1162940400,72,71,72,71,154
1163026800,71.55,73.9,74,71.5,1286
1163113200,74.5,74.5,74.9,74,633
1163372400,74.5,75.4,76,74.5,1606
1163458800,75,74.45,75,72.35,768
1163545200,74.9,74,74.9,73,1576
1163631600,74,75,75,72.9,3390
1163718000,74.9,77,77,74,4691
