t,o,c,h,l,v
1263769200,1.75,2.04,2.04,1.75,7540
1263855600,2.05,2.03,2.4,2.03,14286
1263942000,1.9,1.9,1.9,1.84,9343
1264028400,2.01,2.04,2.04,1.84,2966
1264114800,2.05,2.1,2.28,1.95,25972
1264374000,2.1,2,2.1,1.9,18156
1264460400,1.99,2,2,1.97,7199
1264546800,2,2,2,2,2133
1264633200,1.97,1.97,1.97,1.96,1690
1264719600,2.1,2.1,2.14,2.05,5872
1264978800,2.19,2.3,2.34,2.19,13447
1265065200,2.38,2.57,2.57,2.3,17221
1265151600,2.64,3.06,3.49,2.64,70916
1265238000,3.06,2.85,3.43,2.85,57867
1265324400,2.99,3,3.14,2.6,19860
1265583600,3.2,2.78,3.27,2.78,24190
1265670000,2.85,3.15,3.3,2.81,52640
1265756400,3.21,3.15,3.39,2.9,32717
1265842800,3.08,2.68,3.14,2.5,50271
1265929200,2.74,2.65,2.75,2.5,15220
1266188400,2.65,2.72,2.72,2.65,2972
1266274800,2.69,2.35,2.69,2.34,4912
1266361200,2.3,2.49,2.5,2.3,4396
1266447600,2.47,2.45,2.48,2.31,2654
1266534000,0,2.45,2.45,2.45,0
1266793200,2.45,2.6,2.6,2.45,288
1266879600,2.31,2.44,2.5,2.08,2254
1266966000,2.42,2.42,2.42,2.42,300
1267052400,2.31,2.3,2.31,2.3,1000
1267138800,2.4,2.5,2.5,2.4,2050
1267398000,2.4,2.49,2.49,2.4,539
1267484400,2.3,2.35,2.4,2.23,1963
1267570800,0,2.35,2.35,2.35,0
1267657200,2.3,2.25,2.35,2.25,735
1267743600,2.47,2.48,2.49,2.4,2178
1268002800,0,2.48,2.48,2.48,0
1268089200,2.33,2.33,2.33,2.3,1500
1268175600,2.3,2.22,2.3,2.22,1200
1268262000,2.22,2.3,2.3,2.17,1710
1268348400,2.22,2.3,2.3,2.16,3031
1268607600,2.17,2.22,2.25,2.12,3172
1268694000,2.16,2.27,2.27,2.15,2598
1268780400,2.15,2.32,2.32,2.15,3673
1268866800,2.23,2.33,2.33,2.06,5311
1268953200,2.31,2.3,2.31,2.17,1423
1269212400,2.12,2.08,2.34,2.08,1708
1269298800,2.15,2.09,2.15,2.08,477
1269385200,2.15,2.08,2.15,2.08,467
1269471600,2.15,2.15,2.15,2.15,1749
1269558000,2.19,2.23,2.25,2.02,2236
1269813600,2.05,2.08,2.15,2.03,1525
1269900000,2.18,2.18,2.18,2.18,3
1269986400,2.11,2.1,2.11,2.1,3070
1270072800,2.1,2.13,2.13,2.02,7874
1270504800,2.02,2.03,2.03,2.02,438
1270591200,2.04,2,2.1,1.93,4725
1270677600,2.08,2.08,2.08,2.08,11
1270764000,2.08,2.08,2.08,2.08,5
1271023200,2,2.13,2.13,2,2117
1271109600,2.05,2.13,2.13,2.05,3700
1271196000,2.13,2.18,2.18,2.13,491
1271282400,2.16,2.23,2.23,2.16,3461
1271368800,2.07,2.23,2.23,2.07,505
1271628000,2.08,2.1,2.18,1.85,3003
1271714400,2.1,2.17,2.17,2.1,1500
1271800800,2.01,2.12,2.12,2,1502
1271887200,2.12,2.1,2.12,2.1,4454
1271973600,2,2.1,2.1,1.98,2312
1272232800,0,2.1,2.1,2.1,0
1272319200,2.08,1.92,2.08,1.92,13
1272405600,2.05,2.05,2.05,2.05,11
1272492000,2.08,2.13,2.17,2.04,1877
1272578400,2.23,2.23,2.23,2.23,1006
1272924000,2.15,2.13,2.18,2.13,5179
1273010400,2.18,2.19,2.19,2.18,3049
1273096800,2.27,2.27,2.27,2.27,1
1273183200,2.13,2.27,2.27,2.13,3050
1273442400,2.15,2.15,2.15,2.15,300
1273528800,0,2.15,2.15,2.15,0
1273615200,2.15,2.07,2.15,2.07,932
1273701600,2.14,2.27,2.27,2.07,1146
1273788000,0,2.27,2.27,2.27,0
1274047200,2.25,2.25,2.25,2.25,10
1274133600,2.19,2.19,2.19,2.19,200
1274220000,2.28,2.28,2.28,2.28,126
1274306400,2.27,2.26,2.27,2.26,311
1274392800,2.24,2.24,2.24,2.24,67
1274652000,0,2.24,2.24,2.24,0
1274738400,2.06,2.14,2.21,1.97,3138
1274824800,2,2,2,2,279
1274911200,2.01,2.12,2.12,1.99,1090
1274997600,2,2.15,2.15,2,48
