t,o,c,h,l,v
911343600,17.1,16.9,17.3,16.5,5262169
911430000,15.9,16.4,16.2,15.6,3486461
911516400,16.5,16.4,16.8,16.5,2644915
911775600,17.4,17,17.4,17.1,2570754
911862000,16.6,17.1,16.7,16.4,1605334
911948400,16.4,16.5,16.7,16.3,858328
912034800,16.3,16.6,16.6,16.3,492608
912121200,16.1,16.3,16.3,16.1,711667
912380400,15.9,15.9,16.1,15.9,999931
912466800,15.5,15.6,15.6,15.4,1045193
912553200,15.6,15.5,15.8,15.6,604624
912639600,15.7,15.6,16.3,15.6,550491
912726000,16.5,16,16.7,16.4,820111
912985200,0,0,0,0,440192
913071600,16.6,16.5,16.7,16.5,758767
913158000,16.6,16.6,16.6,16.5,686322
913244400,16.7,16.8,16.8,16.6,1007324
913330800,16.3,16.5,16.7,16.3,798968
913590000,16.6,16.5,16.8,16.6,517217
913676400,16.7,16.7,16.8,16.6,353657
913762800,16.9,16.8,17.1,16.8,936528
913849200,16.8,16.8,16.9,16.7,262547
913935600,16.8,16.8,16.9,16.8,571506
914194800,16.8,16.8,16.9,16.8,383228
914281200,17.3,17.1,17.3,17.1,1028897
914367600,17.5,17.4,17.8,17.5,743367
914799600,17.8,17.7,17.9,17.5,332602
914886000,17.4,17.6,17.5,17.3,756081
914972400,17.4,17.4,17.6,17.4,310357
915058800,0,0,0,0,117074
915404400,18.1,17.7,18.6,18.1,749271
915490800,18.5,18.5,18.7,18.5,833387
915577200,19.3,18.9,20.2,19.3,956526
915663600,20.4,20.7,20.4,19.7,1207134
915750000,0,0,0,0,1354809
916009200,21,21.2,22.7,20.9,1050626
916095600,21.7,21.6,22.2,21.5,1389201
916182000,20.4,21,20.5,19.1,1120034
916268400,19.7,19.3,20.3,19.4,1619389
916354800,19.3,18.9,19.9,18.8,1649707
916614000,21.8,20.7,22.8,21.8,1046800
916700400,22.2,22.5,23.4,22,1607889
916786800,0,24.1,24.1,24.1,1511937
916873200,25.2,25.9,26.2,24.8,2841573
916959600,24.5,24,24.5,23.5,1324920
917218800,23.9,23,24.7,23.8,844617
917305200,26.3,25.3,26.5,25.2,1193313
917391600,25.6,26,25.9,25.3,1065215
917478000,25.8,25.3,26.4,25.7,924102
