t,o,c,h,l,v
1409868000,8.63,8.56,8.7,8.56,15921
1410127200,8.7,8.35,8.7,8.22,11110
1410213600,8.36,8.73,8.73,8.36,21766
1410300000,8.7,8.75,8.75,8.61,335159
1410386400,8.75,8.85,8.89,8.74,140512
1410472800,8.82,8.8,8.82,8.75,13991
1410732000,8.98,8.95,8.98,8.8,121777
1410818400,8.98,9.15,9.35,8.98,160455
1410904800,9.25,9.24,9.27,9.14,17850
1410991200,9.24,9.2,9.24,9.16,32330
1411077600,9.29,9.2,9.29,9.16,7446
1411336800,9.29,9.14,9.29,9.14,17138
1411423200,9.14,8.99,9.17,8.85,13988
1411509600,8.85,9.19,9.24,8.43,171547
1411596000,9.21,9.23,9.29,9.16,120534
1411682400,9.28,9.52,9.77,9.22,97973
1411941600,9.75,9.7,9.75,9.55,95810
1412028000,9.77,9.67,9.77,9.65,28755
1412114400,9.75,9.6,9.75,9.43,14435
1412200800,9.65,9.5,9.65,9.41,561
1412287200,9.5,9.61,9.65,9.45,5893
1412546400,9.65,9.6,9.69,9.6,2744
1412632800,9.6,9.69,9.69,9.6,9286
1412719200,9.69,9.45,9.69,9.45,13760
1412805600,9.5,9.38,9.61,9.3,14482
1412892000,9.4,9.37,9.4,9.2,10947
1413151200,9.42,9.37,9.42,9.18,8799
1413237600,9.39,9.3,9.39,9.1,57577
1413324000,9.38,9.15,9.38,9.02,47674
1413410400,9.2,9.11,9.2,9,78522
1413496800,9.28,9.15,9.28,8.85,6967
1413756000,9.15,9.09,9.15,8.94,3991
1413842400,9.09,9.3,9.45,9.08,43085
1413928800,9.3,9.25,9.3,9.25,8795
1414015200,9.34,9.31,9.34,9.1,73
1414101600,9.2,9.29,9.31,9.2,641
1414364400,9.31,9.2,9.31,9.05,5835
1414450800,9.15,9.2,9.2,9.12,14393
1414537200,9.2,9.2,9.29,9.06,12920
1414623600,9.3,9.5,9.67,9.07,9547
1414710000,9.5,9.5,10.25,9.41,24733
1414969200,9.7,9.43,9.7,9.4,1368
1415055600,9.65,9.5,9.65,9.4,32216
1415142000,9.65,9.6,9.7,9.5,12941
1415228400,9.5,9.65,9.7,9.5,1919
1415314800,9.7,9.62,9.7,9.42,761
1415574000,9.69,9.55,9.69,9.44,790
1415746800,9.6,9.59,9.69,9.59,5569
1415833200,9.59,9.57,9.59,9.2,8771
1415919600,9.65,9.58,9.65,9.31,6535
1416178800,9.58,9.4,9.6,9.2,13560
1416265200,9.4,9.83,9.98,9.26,56777
1416351600,9.79,9.79,10,9.68,12243
1416438000,9.78,9.79,9.93,9.53,24524
1416524400,9.32,9.69,9.79,9.32,2608
1416783600,9.69,9.6,9.69,9.51,11823
1416870000,9.69,9.61,9.69,9.53,51212
1416956400,9.61,9.9,10.45,9.52,139136
1417042800,9.94,9.85,9.94,9.81,1115
1417129200,9.87,9.88,9.99,9.7,33339
1417388400,9.95,9.8,9.95,9.62,12595
1417474800,9.93,9.89,9.98,9.82,12875
1417561200,9.94,9.79,9.94,9.64,4397
1417647600,9.79,10,10.2,9.6,159978
1417734000,10.01,10.45,10.48,9.9,76876
1417993200,10.5,10.8,10.9,10.5,16194
1418079600,10.84,10.58,10.84,10.32,13224
1418166000,10.65,10.43,10.65,10.36,55880
1418252400,10.21,10.28,10.28,10.01,9051
1418338800,10.21,10.2,10.39,10.05,3815
1418598000,10.2,9.77,10.2,9.75,16219
1418684400,9.86,9.4,9.86,9.2,127821
1418770800,9.6,9.33,9.78,9.3,369062
1418857200,9.3,9.94,9.94,9.24,235249
1418943600,9.94,9.9,9.99,9.67,11140
1419202800,10.03,9.75,10.03,9.7,16756
