t,o,c,h,l,v
1315519200,2.61,2.78,2.78,2.61,2121
1315778400,2.62,2.72,2.72,2.62,3045
1315864800,2.63,2.72,2.72,2.6,16014
1315951200,0,2.72,2.72,2.72,0
1316037600,0,2.72,2.72,2.72,0
1316124000,2.62,2.6,2.62,2.6,400
1316383200,2.65,2.7,2.7,2.65,990
1316469600,2.69,2.7,2.7,2.69,11039
1316556000,2.51,2.7,2.7,2.51,7276
1316642400,0,2.7,2.7,2.7,0
1316728800,2.6,2.7,2.7,2.6,10772
1316988000,2.71,2.75,2.75,2.55,21925
1317074400,2.76,2.83,2.83,2.76,21735
1317160800,2.85,2.83,2.9,2.75,151700
1317247200,2.83,2.9,2.91,2.83,25311
1317333600,2.89,2.94,2.95,2.89,200000
1317592800,2.66,2.85,2.85,2.66,1550
1317679200,2.8,2.8,2.8,2.8,176
1317765600,2.8,2.9,2.9,2.8,1813
1317852000,2.88,2.88,2.88,2.88,200
1317938400,0,2.88,2.88,2.88,0
1318197600,0,2.88,2.88,2.88,0
1318284000,2.87,2.87,2.87,2.87,538
1318370400,2.8,2.85,2.85,2.75,4755
1318456800,2.87,2.8,2.87,2.8,20250
1318543200,0,2.8,2.8,2.8,0
1318802400,2.8,2.8,2.87,2.8,77464
1318888800,2.8,2.85,2.85,2.74,6827
1318975200,0,2.85,2.85,2.85,0
1319061600,0,2.85,2.85,2.85,0
1319148000,0,2.85,2.85,2.85,0
1319407200,0,2.85,2.85,2.85,0
1319493600,0,2.85,2.85,2.85,0
1319580000,2.71,2.8,2.8,2.71,6000
1319666400,0,2.8,2.8,2.8,0
1319752800,2.71,2.8,2.8,2.71,1460
1320015600,2.8,2.8,2.8,2.8,1000
1320188400,0,2.8,2.8,2.8,0
1320274800,2.75,2.75,2.75,2.75,200
1320361200,2.65,2.8,2.8,2.65,1020
1320620400,2.8,2.8,2.8,2.8,1250
1320706800,2.8,2.8,2.8,2.8,200
1320793200,2.7,2.8,2.8,2.7,1410
1320879600,2.61,2.85,2.86,2.61,19611
1321225200,2.84,2.9,2.93,2.84,191219
1321311600,2.9,2.8,2.9,2.8,21674
1321398000,2.86,2.88,2.89,2.86,9080
1321484400,2.89,2.88,2.89,2.88,1907
1321570800,2.79,2.85,2.85,2.79,5336
1321830000,2.8,2.79,2.8,2.71,2398
1321916400,2.75,2.8,2.8,2.75,4644
1322002800,0,2.8,2.8,2.8,0
1322089200,2.88,2.75,2.88,2.75,1080
1322175600,0,2.75,2.75,2.75,0
1322434800,2.86,2.86,2.86,2.86,10000
1322521200,2.7,2.84,2.84,2.7,6500
1322607600,2.82,2.88,2.88,2.82,1000
1322694000,0,2.88,2.88,2.88,0
1322780400,2.88,2.85,2.88,2.85,637
1323039600,0,2.85,2.85,2.85,0
1323126000,2.65,2.85,2.85,2.65,2700
1323212400,0,2.85,2.85,2.85,0
1323298800,0,2.85,2.85,2.85,0
1323385200,2.83,2.84,2.84,2.78,4700
1323644400,0,2.84,2.84,2.84,0
1323730800,0,2.84,2.84,2.84,0
1323817200,2.75,2.72,2.75,2.72,8540
1323903600,0,2.72,2.72,2.72,0
1323990000,2.56,2.73,2.78,2.56,3452
1324249200,0,2.73,2.73,2.73,0
1324335600,0,2.73,2.73,2.73,0
1324422000,0,2.73,2.73,2.73,0
1324508400,2.52,2.65,2.72,2.5,24743
1324594800,2.58,2.39,2.58,2.39,51091
1324940400,2.5,2.39,2.5,2.39,3033
1325026800,2.16,2.45,2.45,2.16,7550
1325113200,2.4,2.45,2.45,2.24,7809
1325199600,2.33,2.44,2.44,2.33,3080
1325458800,2.44,2.4,2.44,2.4,3197
1325545200,2.55,2.6,2.6,2.55,3050
1325631600,2.6,2.76,2.76,2.6,550
1325718000,0,2.76,2.76,2.76,0
1326063600,2.7,2.5,2.7,2.5,9450
1326150000,2.51,2.5,2.57,2.45,3855
1326236400,2.45,2.46,2.46,2.45,2402
1326322800,2.45,2.45,2.45,2.45,40
1326409200,2.45,2.45,2.45,2.45,4
1326668400,2.41,2.41,2.41,2.41,179
1326754800,2.41,2.74,2.74,2.41,16606
1326841200,2.76,2.78,2.78,2.76,3800
1326927600,2.75,2.7,2.75,2.6,3003
1327014000,2.6,2.59,2.6,2.47,9500
1327273200,2.5,2.47,2.5,2.47,1778
1327359600,2.48,2.59,2.59,2.47,4584
1327446000,2.59,2.59,2.59,2.59,65
1327532400,2.55,2.55,2.55,2.55,200
1327618800,2.48,2.63,2.63,2.48,5736
1327878000,2.59,2.5,2.59,2.5,4065
1327964400,2.55,2.63,2.63,2.55,4302
1328050800,0,2.63,2.63,2.63,0
1328137200,0,2.63,2.63,2.63,0
1328223600,2.63,2.57,2.63,2.57,1880
1328482800,0,2.57,2.57,2.57,0
1328569200,2.57,2.57,2.58,2.57,2550
1328655600,0,2.57,2.57,2.57,0
1328742000,2.57,2.57,2.57,2.57,2918
1328828400,2.52,2.5,2.52,2.5,6394
1329087600,2.51,2.51,2.51,2.51,493
1329174000,0,2.51,2.51,2.51,0
1329260400,0,2.51,2.51,2.51,0
1329346800,2.59,2.52,2.59,2.52,310
1329433200,0,2.52,2.52,2.52,0
1329692400,0,2.52,2.52,2.52,0
1329778800,2.55,2.55,2.55,2.55,547
1329865200,2.56,2.55,2.56,2.55,10460
1329951600,2.52,2.52,2.52,2.52,206
1330038000,0,2.52,2.52,2.52,0
1330297200,2.52,2.49,2.52,2.49,1846
1330383600,2.49,2.49,2.49,2.49,785
1330470000,2.49,2.49,2.49,2.49,300
1330556400,2.6,2.61,2.61,2.49,3349
1330642800,2.61,2.53,2.61,2.53,3274
1330902000,0,2.53,2.53,2.53,0
1330988400,2.56,2.56,2.56,2.56,463
1331074800,0,2.56,2.56,2.56,0
1331161200,2.56,2.67,2.67,2.55,1310
1331247600,2.67,2.67,2.67,2.67,2000
1331506800,2.55,2.67,2.67,2.55,2600
1331593200,2.67,2.67,2.68,2.67,4409
1331679600,2.77,2.77,2.8,2.77,14106
1331766000,2.8,2.85,2.85,2.8,12160
1331852400,2.85,2.95,2.95,2.85,7006
1332111600,2.91,2.99,3,2.91,6046
1332198000,2.91,3,3.05,2.88,14046
1332284400,2.91,3.05,3.06,2.91,14687
1332370800,3.06,2.99,3.15,2.99,96527
1332457200,3,3.05,3.05,3,400
1332712800,2.9,3.03,3.03,2.9,13311
1332799200,3.06,3.02,3.06,3.02,40000
1332885600,3,3.03,3.07,2.94,22652
1332972000,3.04,3,3.1,3,22530
1333058400,2.91,3,3.01,2.9,44500
1333317600,0,3,3,3,0
1333404000,0,3,3,3,0
1333490400,2.95,2.95,2.95,2.95,20
1333576800,0,2.95,2.95,2.95,0
1334008800,2.85,2.95,2.95,2.85,1540
1334095200,2.94,2.94,2.94,2.94,10
1334181600,2.85,2.94,2.94,2.85,2510
1334268000,2.85,2.95,2.95,2.85,2842
1334527200,2.86,2.94,2.94,2.85,2390
1334613600,2.86,2.85,2.86,2.85,4032
1334700000,2.8,2.8,2.8,2.8,3335
1334786400,2.8,2.8,2.8,2.8,140
1334872800,2.8,2.8,2.8,2.8,140
1335132000,2.67,2.9,2.9,2.63,13809
1335218400,2.8,2.85,2.88,2.67,10192
1335304800,2.85,2.87,2.87,2.8,2310
1335391200,2.88,2.88,2.88,2.88,1456
1335477600,2.77,2.8,2.8,2.77,2908
1335736800,2.87,2.88,2.88,2.87,3595
1335909600,0,2.88,2.88,2.88,0
1336082400,2.9,2.9,2.9,2.9,6
1336341600,2.77,2.86,2.86,2.76,1940
1336428000,2.76,2.75,2.76,2.75,1573
1336514400,2.75,2.78,2.78,2.65,5309
1336600800,0,2.78,2.78,2.78,0
1336687200,0,2.78,2.78,2.78,0
1336946400,0,2.78,2.78,2.78,0
1337032800,0,2.78,2.78,2.78,0
1337119200,2.71,2.6,2.71,2.6,5607
1337205600,2.6,2.4,2.6,2.4,8740
1337292000,2.4,2.31,2.4,2.23,56622
1337551200,2.25,2.36,2.36,2.25,810
1337637600,0,2.36,2.36,2.36,0
1337724000,2.26,2.36,2.36,2.26,952
1337810400,2.26,2.18,2.29,2.18,12125
1337896800,2.19,2.19,2.19,2.19,2809
1338156000,2.2,2.2,2.2,2.2,100
1338242400,0,2.2,2.2,2.2,0
1338328800,2.11,2.09,2.11,2.09,6872
1338415200,2.1,2.1,2.1,2.1,100
1338501600,2.1,2.1,2.1,2.1,500
1338760800,0,2.1,2.1,2.1,0
1338847200,0,2.1,2.1,2.1,0
1338933600,0,2.1,2.1,2.1,0
1339106400,0,2.1,2.1,2.1,0
1339365600,0,2.1,2.1,2.1,0
1339452000,2,2,2,2,4659
1339538400,1.91,1.99,1.99,1.91,4337
1339624800,0,1.99,1.99,1.99,0
1339711200,0,1.99,1.99,1.99,0
1339970400,1.96,1.94,1.96,1.94,4340
1340056800,2.04,2.04,2.04,2.04,100
1340143200,0,2.04,2.04,2.04,0
1340229600,0,2.04,2.04,2.04,0
1340316000,2.04,2.04,2.04,2.04,100
1340575200,1.8,2.04,2.04,1.8,500
1340661600,0,2.04,2.04,2.04,0
1340748000,2.04,2.35,2.35,2.04,4245
1340834400,2.35,2.35,2.35,2.2,6601
1340920800,2.35,2.57,2.57,2.35,4036
1341180000,2.4,2.4,2.4,2.4,5332
1341266400,0,2.4,2.4,2.4,0
1341352800,0,2.4,2.4,2.4,0
1341439200,2.4,2.51,2.51,2.4,3135
1341525600,0,2.51,2.51,2.51,0
1341784800,0,2.51,2.51,2.51,0
1341871200,0,2.51,2.51,2.51,0
1341957600,0,2.51,2.51,2.51,0
1342044000,2.31,2.41,2.41,2.3,19614
1342130400,0,2.41,2.41,2.41,0
1342389600,0,2.41,2.41,2.41,0
1342476000,2.24,2.26,2.26,2.18,4494
1342562400,0,2.26,2.26,2.26,0
1342648800,2.16,2.16,2.16,2.16,3480
1342735200,2.2,2.1,2.2,2.1,4080
1342994400,2.49,2.49,2.49,2.49,345
1343080800,2.5,2.5,2.5,2.5,330
