t,o,c,h,l,v
1373234400,10.8,10.34,10.8,10.11,1571
1373320800,10.43,10.3,10.43,10.11,5495
1373407200,10.49,10.6,10.7,10.49,4851
1373493600,10.67,11.7,11.73,10.6,29032
1373580000,11.65,11.7,11.79,11.5,12212
1373839200,12.4,12.17,12.4,12.02,18277
1373925600,12.18,12.1,12.18,12,4650
1374012000,12,11.8,12.1,11.8,3440
1374098400,11.55,11.44,11.55,11.35,5957
1374184800,11.4,11.74,11.74,11.4,2060
1374444000,11.74,12.72,12.9,11.74,60451
1374530400,12.79,13.15,13.6,12.79,46980
1374616800,13.15,13.37,13.38,13.15,7351
1374703200,13.26,13.87,13.87,13.26,31955
1374789600,13.95,14,14,12.7,29837
1375048800,14,13.89,14,13.8,13379
1375135200,13.98,13.9,13.99,13.9,3863
1375221600,14,13.7,14.1,13.55,20308
1375308000,13.69,13.59,13.69,13.4,27109
1375394400,13.55,13.95,13.95,13.43,23789
1375653600,13.93,14.39,14.5,13.93,34941
1375740000,14.7,14.39,14.7,14.31,32633
1375826400,14.5,14.64,14.64,14.44,14464
1375912800,14.8,15.13,15.13,14.8,65356
1375999200,15.44,15.4,15.44,15.2,28329
1376258400,15.45,15.18,15.48,15,12244
1376344800,15.18,15.38,15.39,15.18,8667
1376431200,15.5,15,15.5,14.96,29763
1376604000,14.65,14,14.65,13.32,93578
1376863200,14,13.75,14,13.01,124727
1376949600,13.7,13.8,13.8,13.46,30564
1377036000,13.89,13.98,14.1,13.83,43024
1377122400,13.96,14,14.03,13.8,88610
1377208800,14,13.99,14,13.81,20575
1377468000,14,13.85,14,13.7,2823
1377554400,13.85,13.7,13.98,13.4,116157
1377640800,13.4,13.1,13.68,12.89,27512
1377727200,12.9,12.61,12.9,12.4,19824
1377813600,12.83,12.44,12.97,12.27,111276
1378072800,12.55,13.04,13.25,12.4,13961
1378159200,13.25,13.08,13.45,13.06,14968
1378245600,13.25,12.85,13.25,12.5,6530
1378332000,12.7,12.5,12.7,11.6,40279
1378418400,12.22,12.8,12.8,12.22,10133
1378677600,13.15,13.55,13.55,12.81,8438
1378764000,13.57,13.9,13.99,13.57,16241
1378850400,13.95,13.8,13.95,13.66,25500
1378936800,13.77,13.6,13.77,13.6,200
1379023200,13.48,13.66,13.67,13.48,866
1379282400,13.48,13.3,13.5,13.3,1333
1379368800,13.3,13.48,13.5,13,3092
1379455200,13.5,13.09,13.5,12.9,12777
1379541600,13.14,13,13.45,13,10043
1379628000,13.1,12.9,13.1,12.9,2123
1379887200,12.9,12.65,12.9,12.46,11411
1379973600,12.84,12.89,12.99,12.79,18185
1380060000,13,13.05,13.05,12.99,3491
1380146400,13.05,13.3,13.3,13.05,9372
1380232800,13.39,13.48,13.5,13.3,3314
1380492000,13.5,13.4,13.5,13.4,5510
1380578400,13.4,13.42,13.43,13.4,1506
1380664800,13.41,13.5,13.54,13.4,5182
1380751200,13.55,13.5,13.55,13.4,5894
1380837600,13.57,13.5,13.57,13.35,2120
1381096800,13.5,13.45,13.53,13.45,1420
1381183200,13.45,13.2,13.45,13.2,3317
1381269600,13.25,13,13.25,13,2371
1381356000,13,13.3,13.34,13,1836
1381442400,13.29,13.6,13.65,13.29,2259
1381701600,13.6,13.5,13.62,13.5,1387
1381788000,13.59,13.3,13.59,13.3,4539
1381874400,13.4,13.25,13.5,13.06,4111
1381960800,13.25,13.84,13.84,13.25,15985
1382047200,13.86,14.22,14.39,13.75,23311
1382306400,14.37,14.2,14.37,14.2,8605
1382392800,14.37,14.55,15.44,14.26,37387
1382479200,14.88,14.8,14.89,14.5,28857
1382565600,14.94,15.26,15.28,14.94,10181
1382652000,15.26,15.24,15.27,15.15,4519
1382914800,15.26,15.2,15.26,15,9010
1383001200,15.1,15.2,15.2,14.81,8593
1383087600,15.2,15,15.34,14.82,30740
1383174000,15.1,15.47,15.5,15.05,20892
1383519600,15.45,15.7,15.9,15.45,19961
1383606000,15.9,15.5,15.95,15.5,11089
1383692400,15.55,15.5,15.69,15.5,8523
1383778800,15.6,15,15.6,14.72,9557
1383865200,14.7,15,15,14.7,5737
1384210800,15,14.9,15,14.72,3933
1384297200,15.2,14.8,15.2,14.75,7046
1384383600,14.8,14.92,15.09,14.8,42150
1384470000,15.04,14.92,15.04,14.91,4275
1384729200,14.92,14.93,15,14.92,6426
1384815600,14.95,15,15.04,14.92,6687
1384902000,15,15.15,15.2,15,4397
1384988400,15.1,15,15.1,14.3,40122
1385074800,15,15.15,15.15,14.79,10942
1385334000,15.15,15.05,15.15,14.8,3630
1385420400,14.86,14.61,15.28,14.56,9186
1385506800,14.65,14.46,14.72,14.46,14061
1385593200,14.5,14.51,14.9,14.46,3030
1385679600,14.52,14.79,14.91,14.45,3829
1385938800,14.9,14.51,14.91,14.5,3049
1386025200,14.6,14.47,14.6,14.47,1101
1386111600,14.55,14.5,14.55,14.25,73967
1386198000,14.3,14.25,14.35,14.25,1499
1386284400,14.2,14.4,14.4,14.2,2338
1386543600,14.5,14.51,14.6,14.5,1361
1386630000,14.59,14.3,14.6,14.29,11958
1386716400,14.3,14.09,14.3,13.82,2827
1386802800,14.11,14.08,14.17,14.01,3026
1386889200,14.2,14.06,14.23,14.02,2349
1387148400,14.06,13.75,14.11,13.35,10741
1387234800,13.88,13.76,13.9,13.76,463
1387321200,13.89,13.45,13.89,13.45,6301
1387407600,13.46,13.8,13.89,13.46,23122
1387494000,13.62,13.89,13.89,13.35,19415
1387753200,14.51,14.49,14.51,14.13,517
1388098800,14.5,14.5,14.59,14.5,1111
1388358000,14.51,14.79,14.9,14.51,8542
1388617200,14.9,14.63,14.9,14.63,2373
1388703600,14.63,14.63,14.63,14.63,250
1389049200,14.7,14.44,14.71,14.44,2919
1389135600,14.44,14.2,14.44,14.2,410
1389222000,14.1,14.38,14.38,14.1,358
1389308400,14.38,14.26,14.38,13.51,11796
1389567600,14.23,14.19,14.23,13.88,103353
1389654000,14,14.15,14.15,13.9,312
1389740400,14.14,14.15,14.16,14.11,2315
1389826800,14.15,14.09,14.21,13.47,9552
1389913200,14.19,13.9,14.19,13.9,680
1390172400,14.1,13.86,14.1,13.86,1425
1390258800,13.99,14,14.1,13.9,14831
1390345200,14.37,14.37,14.38,14.11,3318
1390431600,14.2,14.36,14.45,14.2,3762
1390518000,14.21,14.24,14.24,14,2058
1390777200,13.9,13.81,14.23,13.81,2412
1390863600,13.9,13.9,13.9,13.82,950
1390950000,13.91,13.71,13.96,13.71,29524
1391036400,13.75,13.99,13.99,13.75,3386
1391122800,13.82,14.08,14.49,13.82,34505
1391382000,13.81,14.33,14.4,13.81,1314
1391468400,13.98,14.35,14.35,13.89,3685
1391554800,14.32,14.31,14.32,14.04,382
1391641200,13.83,14.3,14.7,13.83,108187
1391727600,14.44,14.49,14.5,14.21,763
1391986800,14.69,14.11,14.7,14.04,3905
1392073200,13.96,15.04,15.09,13.96,18851
1392159600,15.04,15.24,15.49,14.77,18549
1392246000,15,14.98,15.01,14.8,891
1392332400,14.77,15.2,15.24,14.77,1551
1392591600,15.1,14.9,15.12,14.9,1728
1392678000,14.9,15.05,15.05,14.78,11553
1392764400,14.98,14.59,15,14.41,8815
1392850800,14.55,14.35,14.55,14.22,8091
1392937200,14.2,14.3,14.3,13.96,8401
1393196400,14.43,14.26,14.43,14.14,685
1393282800,14.58,14.55,14.58,14.23,442
1393369200,14.55,14.45,14.55,14.45,4543
1393455600,14.46,14.46,14.46,14.45,189
1393542000,14.45,14.2,14.45,14.04,2184
1393801200,13.75,13.33,13.81,13.01,23361
1393887600,13.5,13.83,13.99,13.5,4670
1393974000,14.1,14,14.4,14,1371
1394060400,14.33,14.1,14.33,14.1,515
1394146800,14.01,13.99,14.01,13.8,2719
1394406000,14.09,14.09,14.09,13.59,5622
1394492400,14.08,14.18,14.18,14.07,1122
1394578800,14,13.68,14,13.53,630
1394665200,13.68,13.42,13.68,13.26,97347
1394751600,13.3,11.99,13.3,11.02,289249
1395010800,11.61,11.9,12.24,11.61,9860
1395097200,11.95,12.2,12.32,11.9,13048
1395183600,12.3,12.37,12.51,12.3,9689
