t,o,c,h,l,v
1348437600,0,0.15,0.15,0.15,0
1348524000,0,0.15,0.15,0.15,0
1348610400,0,0.18,0.18,0.18,0
1348696800,0,0.18,0.18,0.18,0
1348783200,0,0.21,0.21,0.21,0
1349042400,0.84,0.84,0.84,0.84,35000
1349128800,1,1,1,1,2400043
1349215200,1.2,1.44,1.44,1,545267
1349301600,1.72,2.1,2.1,1.72,75998
1349388000,2.52,3.02,3.02,2.52,20454
1349647200,3.31,4.2,4.76,3.31,56715
1349733600,4.4,5,5,3.01,114170
1349820000,5,5.35,5.35,4.4,23172
1349906400,5.3,6.42,6.42,4.65,25438
1349992800,6.41,6,6.42,5.2,20255
1350252000,6,5.71,6,5.05,3333
1350338400,5.7,5.65,5.7,4.8,5485
1350424800,6,5.75,6,5.4,224
1350511200,5.2,5.99,5.99,4.57,6187
1350597600,5.99,5.3,5.99,5.3,1060
1350856800,5,5.45,5.45,5,755
1350943200,5,5.5,5.7,5,6143
1351029600,5.5,5.34,5.5,5,3133
1351116000,5.16,5.25,5.3,5,1343
1351202400,5.01,5.1,5.1,5.01,1702
1351465200,5.2,5.25,5.25,5.2,5057
1351551600,5.25,6,6,5.12,21454
1351638000,6,6.21,6.21,6,1919
1351810800,6.25,6.01,7,6.01,471
1352070000,6.01,5.04,6.01,5.01,10650
1352156400,5.05,5.25,5.25,5.05,2222
1352242800,5.21,5.21,5.21,5.21,350
1352329200,5.21,5.4,5.4,5.21,19
1352415600,5.45,5.45,5.45,5.45,10
1352674800,5.45,5.45,5.45,5.45,10
1352761200,5.53,5.53,5.53,5.53,10
1352847600,5.6,5.6,5.6,5.6,270
1352934000,5.65,5.65,5.65,5.65,20
1353020400,5.9,6.63,6.63,5.9,1210
1353279600,6.63,6.63,6.63,6.63,223
1353366000,6.63,6.63,6.63,6.63,625
1353452400,6.63,6.63,6.63,6.63,269
1353538800,6.77,6.19,6.77,6.19,5128
1353625200,6.25,6.55,6.55,6.25,297
1353884400,6.55,6.55,6.55,6.55,5
1353970800,6.55,6.55,6.55,6.55,5
1354057200,6.55,6.55,6.55,6.55,7
1354143600,6.55,6.5,6.55,6.5,167
1354230000,6.55,6.55,6.55,6.55,7
1354489200,6.55,6.55,6.55,6.55,5
1354575600,6.5,6.5,6.5,6.5,2
1354662000,6.5,6.81,7.31,6.5,346
1354748400,6.8,6.8,6.8,6.8,20
1354834800,6.81,6.85,6.85,6.8,369
1355094000,6.9,6.9,6.9,6.9,10
1355180400,6.9,6.99,6.99,6.9,420
1355266800,6.99,7.1,7.1,6.63,4066
1355353200,7.1,7.12,7.13,7.1,2171
1355439600,7.12,7.6,7.6,7.12,202
1355698800,8,8.3,8.5,8,1143
1355785200,8.21,8.2,8.21,8.2,715
1355871600,8.2,8.2,8.2,8.2,162
1355958000,8.2,8,8.2,8,152
1356044400,8,8,8,8,47
1356562800,8,8,8,8,1
1356649200,8,8,8,8,4
1357081200,8.25,8.25,8.25,8.25,10
1357167600,8.25,8.6,8.6,8.25,209
1357254000,8.7,8.6,8.7,8.6,155
1357513200,8.7,8.5,10,8.5,2502
1357599600,8.61,8.6,8.65,8.6,410
1357686000,8.6,8.6,8.6,8.6,6
1357772400,8.6,9,9,8.6,688
1357858800,9.1,9.65,9.65,9.1,714
1358118000,9.7,9.7,9.7,9.7,6
1358204400,9.8,9.7,9.8,9.7,15
1358290800,9.71,9.72,9.72,9.71,500
1358377200,9.72,9.72,9.72,9.72,150
1358463600,9.9,9.8,9.9,9.8,9
1358722800,10,10.7,10.7,10,580
1358809200,11.3,10.7,11.3,10.7,692
1358895600,10.61,10.61,10.61,10.61,2
1358982000,10.62,10.62,10.7,10.62,950
1359068400,11,10.63,11,10.63,940
1359327600,11.4,11.35,11.4,11.35,172
1359414000,11.35,11.35,11.35,11.35,265
1359500400,11,11,11,11,27
1359586800,11,11,11,11,15
1359673200,11.5,11.95,11.95,11.2,250
1359932400,11.2,11.3,11.3,11.2,213
1360018800,11.3,11.2,11.3,11.2,362
1360105200,10.6,10.6,10.6,10.6,10
1360191600,10.42,10.42,10.42,10.42,9
1360278000,10.25,10.25,10.25,10.25,9
1360537200,10.2,9.1,10.2,9.1,337
1360623600,8.01,8,8.01,7.35,698
1360710000,7,7.63,7.63,7,1507
1360796400,7.7,7.01,8,7.01,300
1360882800,7.36,7.36,7.36,7.36,10
1361142000,7.36,7.36,7.36,7.36,5
1361228400,7.36,7.36,7.36,7.36,7
1361314800,7.45,7.45,7.45,7.45,5
1361401200,0,7.45,7.45,7.45,0
1361487600,7.45,7.45,7.45,7.45,5
1361746800,7.45,7.45,7.45,7.45,5
1361833200,7.45,7.45,7.45,7.45,115
1361919600,7.45,7.45,7.45,7.45,3
1362006000,7.45,7.45,7.45,7.45,3
1362092400,7.45,7.9,7.9,7.45,215
1362351600,7.45,7.45,7.45,7.45,14
1362438000,7.59,7.59,7.59,7.59,8
1362524400,7.65,7.59,7.65,7.59,29
1362610800,7.6,7.6,7.6,7.6,25
1362697200,7.66,7.66,7.66,7.66,10
1362956400,7.66,7.66,7.66,7.66,30
1363042800,7.46,8,8,7.46,427
1363129200,7.7,7.8,7.8,7.7,350
1363215600,7.51,7.51,7.51,7.51,11
1363302000,0,7.51,7.51,7.51,0
1363561200,7.5,7.5,7.5,7.5,10
1363647600,7.5,7.5,7.5,7.5,10
1363734000,7.46,7.45,7.46,7.45,262
1363820400,7.48,7.6,7.6,7.48,337
1363906800,7.5,7.5,7.5,7.5,5
1364166000,7.45,7.45,7.45,7.45,9
1364252400,7.45,7.83,7.84,7.45,425
1364338800,7.45,7.45,7.45,7.45,12
1364425200,7.46,7.46,7.46,7.46,14
1364853600,7.45,7.68,7.68,7.45,303
1364940000,7.5,7.8,7.8,7.5,374
1365026400,7.5,7.5,7.5,7.5,10
1365112800,7.6,7.8,7.8,7.6,404
1365372000,7.8,7.8,7.8,7.8,162
1365458400,7.5,7.5,7.5,7.5,10
1365544800,7.45,7.8,7.8,7.45,378
1365631200,7.6,7.8,7.8,7.6,385
1365717600,7.5,7.5,7.5,7.5,202
1365976800,7.55,7.55,7.55,7.55,14
1366149600,7.55,7.55,7.55,7.55,405
1366236000,7.25,7.25,7.25,7.25,20
1366322400,7.26,7.26,7.26,7.26,21
1366581600,7.6,7.8,7.8,7.6,205
1366668000,7.55,7.55,7.55,7.55,200
1366754400,7.55,7.55,7.55,7.55,10
1366840800,7.55,7.55,7.55,7.55,97
1366927200,7.55,7.55,7.55,7.55,20
1367186400,7.4,7.4,7.4,7.4,10
1367272800,7.6,7.6,7.6,7.6,10
1367445600,7.25,7.25,7.25,7.25,10
1367791200,7.7,7.55,7.7,7.55,420
1367877600,7.65,7.6,7.7,7.6,420
1367964000,7.6,7.8,7.8,7.6,376
1368050400,7.8,7.95,7.95,7.8,358
1368136800,7.95,7.9,7.95,7.56,568
1368396000,8,7.81,8,7.81,211
1368482400,7.81,7.81,7.81,7.81,100
1368568800,7.8,7.6,7.8,7.6,19484
1368655200,0,7.6,7.6,7.6,0
1368741600,7.7,7.7,7.7,7.7,10
1369000800,7.7,7.7,7.8,7.7,710
1369087200,7.7,7.7,7.7,7.7,613
1369173600,7.8,7.7,7.8,7.7,441
1369260000,7.7,7.7,7.7,7.7,564
1369346400,7.7,7.7,7.7,7.7,105
1369605600,7.7,7.7,7.7,7.7,1019
1369692000,7.7,7.7,7.7,7.7,559
1369778400,7.7,7.7,7.7,7.7,3
1369951200,7.7,7.7,7.7,7.7,55
1370210400,7.7,7.7,7.7,7.7,544
1370296800,7.7,7.7,7.7,7.7,313
1370383200,7.7,7.7,7.7,7.7,20
1370469600,7.7,7.7,7.7,7.7,20
1370556000,7.7,7.7,7.7,7.7,1236
1370815200,7.7,7.7,7.7,7.7,20
1370901600,7.7,7.75,7.75,7.7,140
1370988000,7.75,7.75,7.75,7.75,10
1371074400,7.75,7.75,7.75,7.75,60
1371160800,7.75,7.75,7.75,7.75,10
1371420000,7.75,7.75,7.75,7.75,160
1371506400,7.7,7.7,7.7,7.7,20
1371592800,0,7.7,7.7,7.7,0
1371679200,7.6,7.6,7.6,7.6,10
1371765600,7.7,7.7,7.7,7.7,5
1372024800,7.78,7.78,7.78,7.78,5
1372111200,7.8,7.8,7.8,7.8,5
1372197600,7.7,7.7,7.7,7.7,5
1372284000,0,7.7,7.7,7.7,0
1372370400,7.5,7.5,7.5,7.5,5
1372629600,7.6,7.6,7.6,7.6,30
1372716000,7.8,7.8,7.8,7.8,5
1372802400,7.8,7.8,7.8,7.8,5
1372888800,7.9,7.9,7.9,7.9,10
1372975200,7.9,7.9,7.9,7.9,535
1373234400,7.9,7.9,8,7.7,267
1373320800,0,7.9,7.9,7.9,0
1373407200,7.8,7.8,7.8,7.8,30
1373493600,0,7.8,7.8,7.8,0
1373580000,7.8,8.13,8.13,7.8,377
1373839200,8.25,8.1,8.25,8.1,25
1373925600,8.2,8.1,8.2,8.1,30
1374012000,8.2,8.2,8.2,8.2,20
1374098400,8.2,8.1,8.2,8.1,15
1374184800,8.2,8.1,8.2,8.1,25
1374444000,8.15,8,8.15,8,65
1374530400,8.1,7.9,8.1,7.9,40
1374616800,7.9,7.8,7.9,7.8,10
1374703200,7.9,8.05,8.05,7.9,252
1374789600,8.08,8.08,8.08,8.06,2968
1375048800,0,8.08,8.08,8.08,0
1375135200,8.15,8.46,8.95,8.15,662
1375221600,8.45,8.45,8.45,8.45,10
1375308000,8.45,8.45,8.45,8.45,10
1375394400,8.45,8.45,8.45,8.45,5
1375653600,8.45,8.45,8.45,8.45,5
1375740000,8.45,8.45,8.45,8.45,955
1375826400,8.45,8.45,8.45,8.45,15
1375912800,8.4,8.4,8.4,8.4,20
1375999200,8.3,8.45,8.45,8.3,20
1376258400,8.45,7.6,8.45,7.6,252
1376344800,7.9,7.95,7.95,7.9,253
1376431200,7.91,8.1,8.1,7.91,317
1376604000,8.2,8.2,8.2,8.2,10
1376863200,8.1,8.1,8.1,8.1,10
1376949600,8.1,8.1,8.1,8.1,20
1377036000,8.1,8.1,8.1,8.1,5
1377122400,8.1,8,8.1,8,2050
1377208800,8,8.07,8.07,8,1589
1377468000,8.2,8.5,8.5,8.2,210
1377554400,8.5,8.5,8.5,8.5,10
1377640800,8.6,8.25,8.6,8.25,506
1377727200,8.02,8.02,8.02,8.02,10
1377813600,8.02,8.02,8.02,8.02,5
1378072800,8.02,8.02,8.02,8.02,196
1378159200,8.02,8.02,8.02,8.02,5
1378245600,8.02,8.5,8.5,8.02,3090
1378332000,8.5,8.5,8.5,8.5,3
1378418400,8.4,8.4,8.4,8.4,5
1378677600,0,8.4,8.4,8.4,0
1378764000,8.4,8.4,8.74,8,1186
1378850400,8.4,8.4,8.4,8.4,5
1378936800,8.4,8.4,8.4,8.4,5
1379023200,8.4,8.7,9,8.4,511
1379282400,8.6,8.6,8.6,8.6,15
1379368800,0,8.6,8.6,8.6,0
1379455200,8.5,8.5,8.5,8.5,220
1379541600,8.5,8.54,8.54,8.3,2027
1379628000,8.54,8.8,8.8,8.54,423
1379887200,8.6,8.6,8.6,8.6,10
1379973600,8.6,8.8,8.87,8.6,375
1380060000,8.6,8.6,8.6,8.6,10
1380146400,8.5,8.5,8.5,8.5,200
1380232800,8.5,8.6,8.6,8.5,1163
1380492000,8.5,8.5,8.51,8.5,703
1380578400,8.4,8.77,8.77,8.4,33
1380664800,8.6,8.6,8.6,8.6,24
1380751200,8.6,8.61,8.61,8.6,1083
1380837600,8.61,8.61,8.61,8.6,2096
1381096800,8.61,8.6,8.61,8.6,765
1381183200,0,8.6,8.6,8.6,0
1381269600,8.6,8.4,8.78,8.39,1259
1381356000,8.4,8.64,8.85,8.4,258
1381442400,8.8,9.05,9.05,8.8,212
1381701600,9.09,9.52,9.52,9.09,211
1381788000,9.9,10.12,10.12,9.9,175
1381874400,10.02,10.02,10.02,10.02,155
1381960800,10.02,10.02,10.02,10.02,2
1382047200,10.01,10.01,10.01,10.01,253
1382306400,10.01,9.62,10.01,9.56,1005
1382392800,9.71,10.21,10.21,9.64,686
1382479200,10.21,10.21,10.21,10.21,3
1382565600,10.1,10.7,12.12,10.1,764
1382652000,10.2,10,10.2,10,150
1382914800,10,10,10.09,10,355
1383001200,10,10.2,10.2,10,190
1383087600,10.5,10.5,11.9,10,3907
1383174000,10.82,10.8,11.8,10.05,6051
1383519600,11.1,11,11.37,10.5,997
1383606000,11.34,10.6,11.34,10.58,989
1383692400,10.58,11,11,10.1,1721
1383778800,11,10.99,11,10,805
1383865200,10.57,10.99,10.99,10.1,4100
1384210800,10.99,11,11.34,10.21,7353
1384297200,10.7,10.2,10.7,10.2,1075
1384383600,10.2,10.3,10.64,10,3721
1384470000,10.3,10.35,10.35,10.3,60
1384729200,10.35,10.01,10.35,10,709
1384815600,10,10.4,10.4,9.95,2306
1384902000,10.4,10.4,10.4,10.4,30
1384988400,10.41,10.5,10.5,10.41,3400
1385074800,10.41,10.75,10.75,10,4304
1385334000,10.47,10.47,10.47,10.47,10
1385420400,10.5,10.42,11,10,1085
1385506800,10.32,10.32,10.32,10.32,160
1385593200,0,10.32,10.32,10.32,0
1385679600,10.32,10.32,10.32,10.32,10
1385938800,10.28,10.28,10.28,10.28,11
1386025200,9.8,9.58,9.8,9.3,909
1386111600,9.58,9.35,9.58,9.35,60
1386198000,9.35,9.35,9.35,9.35,5
1386284400,9.35,9.56,9.56,9.35,1193
1386543600,9.55,8.65,9.55,8.6,1157
1386630000,8.65,8.66,8.66,8.65,920
1386716400,8.66,8.66,8.66,8.66,150
1386802800,8.66,8.66,8.8,8.66,1158
1386889200,8.66,8.67,8.67,8.66,453
1387148400,8.8,8.9,8.9,8.8,887
1387234800,8.9,8.82,9,8.1,53554
1387321200,9,8.8,9,8.15,49041
1387407600,8.8,8.59,9,8.1,55629
1387494000,8.45,8.4,8.59,8.4,5285
1387753200,8.06,8.43,8.43,8.06,17
1388098800,8.43,8.43,8.43,8.43,5
1388358000,8.43,8.35,8.43,8.35,380
1388617200,0,8.35,8.35,8.35,0
1388703600,8.4,8.4,8.4,8.4,2
1389049200,8.2,8.39,8.4,8.1,25911
1389135600,8.35,8.35,8.35,8.35,200
1389222000,8.3,8.3,8.3,8.3,200
1389308400,0,8.3,8.3,8.3,0
1389567600,0,8.3,8.3,8.3,0
1389654000,8.19,8.19,8.19,8.19,5
