t,o,c,h,l,v
1224453600,5.65,5.65,5.65,5.65,10
1224540000,5.7,5.7,5.7,5.7,10
1224626400,5.7,5.7,5.7,5.7,10
1224712800,5.7,5.94,5.94,5.7,19
1224799200,0,5.94,5.94,5.94,0
1225062000,0,5.94,5.94,5.94,0
1225148400,5.93,5.93,5.93,5.93,10
1225234800,5.93,5.7,5.93,5.7,14
1225321200,5.7,5.7,5.7,5.7,10
1225407600,5.7,5.75,5.75,5.7,31
1225666800,5.75,5.75,5.75,5.75,179
1225753200,5.93,5.95,5.95,5.93,339
1225839600,5.94,5.85,5.94,5.85,6
1225926000,5.85,5.85,5.85,5.85,1
1226012400,5.85,5.6,5.85,5.6,314
1226271600,5.6,5.6,5.6,5.6,1
1226444400,0,5.6,5.6,5.6,0
1226530800,0,5.6,5.6,5.6,0
1226617200,5.6,5.6,5.6,5.6,1
1226876400,5.6,5.6,5.6,5.6,5
1226962800,5.6,5.6,5.6,5.6,1
1227049200,5.6,5.6,5.6,5.6,1
1227135600,0,5.6,5.6,5.6,0
1227222000,5.6,5.6,5.6,5.6,1
1227481200,5.8,5.8,5.8,5.8,1
1227567600,0,5.8,5.8,5.8,0
1227654000,0,5.8,5.8,5.8,0
1227740400,0,5.8,5.8,5.8,0
1227826800,0,5.8,5.8,5.8,0
1228086000,5.95,5.95,5.95,5.95,1
1228172400,5.95,5.95,5.95,5.95,1
1228258800,5.95,5.95,5.95,5.95,1
1228345200,5.95,5.95,5.95,5.95,1
1228431600,5.95,5.95,5.95,5.95,1
1228690800,5.95,5.95,5.95,5.95,1
1228777200,5.95,5.95,5.95,5.95,1
1228863600,5.95,5.95,5.95,5.95,1
1228950000,5.95,5.9,5.95,5.9,3
1229036400,5.9,5.9,5.9,5.9,1
1229295600,0,5.9,5.9,5.9,0
1229382000,0,5.9,5.9,5.9,0
1229468400,5.9,5.9,5.9,5.9,1
1229554800,0,5.9,5.9,5.9,0
1229641200,5.9,5.9,5.9,5.9,20
1229900400,0,5.9,5.9,5.9,0
1229986800,0,5.9,5.9,5.9,0
1230505200,0,5.9,5.9,5.9,0
1230591600,5.9,5.9,5.9,5.9,1
1230678000,5.95,5.95,5.95,5.95,1
1231110000,5.9,5.9,5.9,5.9,1
1231196400,0,5.9,5.9,5.9,0
1231282800,0,5.9,5.9,5.9,0
1231369200,0,5.9,5.9,5.9,0
1231455600,0,5.9,5.9,5.9,0
1231714800,0,5.9,5.9,5.9,0
1231801200,0,5.9,5.9,5.9,0
1231887600,0,5.9,5.9,5.9,0
1231974000,0,5.9,5.9,5.9,0
1232060400,0,5.9,5.9,5.9,0
1232319600,0,5.9,5.9,5.9,0
1232406000,5.8,5.8,5.8,5.8,9
1232492400,0,5.8,5.8,5.8,0
1232578800,0,5.8,5.8,5.8,0
1232665200,0,5.8,5.8,5.8,0
1232924400,0,5.8,5.8,5.8,0
1233010800,0,5.8,5.8,5.8,0
1233097200,0,5.8,5.8,5.8,0
1233183600,0,5.8,5.8,5.8,0
1233270000,0,5.8,5.8,5.8,0
1233529200,0,5.8,5.8,5.8,0
1233615600,0,5.8,5.8,5.8,0
1233702000,6,6,6,6,5
1233788400,0,6,6,6,0
1233874800,0,6,6,6,0
1234134000,0,6,6,6,0
1234220400,0,6,6,6,0
1234306800,0,6,6,6,0
1234393200,0,6,6,6,0
1234479600,0,6,6,6,0
1234738800,0,6,6,6,0
1234825200,0,6,6,6,0
1234911600,0,6,6,6,0
1234998000,0,6,6,6,0
1235084400,0,6,6,6,0
1235343600,0,6,6,6,0
1235430000,0,6,6,6,0
1235516400,0,6,6,6,0
1235602800,0,6,6,6,0
1235689200,0,6,6,6,0
1235948400,0,6,6,6,0
1236034800,0,6,6,6,0
1236121200,0,6,6,6,0
1236207600,5.6,5.6,5.6,5.6,308
1236294000,0,5.6,5.6,5.6,0
1236553200,0,5.6,5.6,5.6,0
1236639600,0,5.6,5.6,5.6,0
1236726000,0,5.6,5.6,5.6,0
1236812400,0,5.6,5.6,5.6,0
1236898800,0,5.6,5.6,5.6,0
1237158000,0,5.6,5.6,5.6,0
1237244400,0,5.6,5.6,5.6,0
1237330800,0,5.6,5.6,5.6,0
1237417200,0,5.6,5.6,5.6,0
1237503600,0,5.6,5.6,5.6,0
1237762800,0,5.6,5.6,5.6,0
1237849200,0,5.6,5.6,5.6,0
1237935600,0,5.6,5.6,5.6,0
1238022000,0,5.6,5.6,5.6,0
1238108400,0,5.6,5.6,5.6,0
1238364000,0,5.6,5.6,5.6,0
1238450400,0,5.6,5.6,5.6,0
1238536800,0,5.6,5.6,5.6,0
1238623200,0,5.6,5.6,5.6,0
1238709600,0,5.6,5.6,5.6,0
1238968800,0,5.6,5.6,5.6,0
1239055200,0,5.6,5.6,5.6,0
1239141600,0,5.6,5.6,5.6,0
1239228000,0,5.6,5.6,5.6,0
1239660000,0,5.6,5.6,5.6,0
1239746400,0,5.6,5.6,5.6,0
1239832800,0,5.6,5.6,5.6,0
1239919200,0,5.6,5.6,5.6,0
1240178400,5.6,5.6,5.6,5.6,1415
1240264800,5.6,5.8,5.8,5.6,600
1240351200,5.4,5.4,5.4,5.4,200
1240437600,5.4,5.4,5.4,5.4,764
1240524000,0,5.4,5.4,5.4,0
1240783200,0,5.4,5.4,5.4,0
1240869600,0,5.4,5.4,5.4,0
1240956000,0,5.4,5.4,5.4,0
1241042400,0,5.4,5.4,5.4,0
1241388000,0,5.4,5.4,5.4,0
1241474400,5.6,5.6,5.6,5.6,40
1241560800,0,5.6,5.6,5.6,0
1241647200,0,5.6,5.6,5.6,0
1241733600,0,5.6,5.6,5.6,0
1241992800,0,5.6,5.6,5.6,0
1242079200,0,5.6,5.6,5.6,0
1242165600,0,5.6,5.6,5.6,0
1242252000,0,5.6,5.6,5.6,0
1242338400,0,5.6,5.6,5.6,0
1242597600,0,5.6,5.6,5.6,0
1242684000,0,5.6,5.6,5.6,0
1242770400,0,5.6,5.6,5.6,0
1242856800,5.6,5.6,5.6,5.6,1
1242943200,0,5.6,5.6,5.6,0
1243202400,0,5.6,5.6,5.6,0
1243288800,0,5.6,5.6,5.6,0
1243375200,0,5.6,5.6,5.6,0
1243461600,0,5.6,5.6,5.6,0
1243548000,0,5.6,5.6,5.6,0
1243807200,5.6,5.6,5.6,5.6,1
1243893600,0,5.6,5.6,5.6,0
1243980000,0,5.6,5.6,5.6,0
1244066400,0,5.6,5.6,5.6,0
1244152800,0,5.6,5.6,5.6,0
1244412000,0,5.6,5.6,5.6,0
1244498400,5.6,5.6,5.6,5.6,1
1244584800,0,5.6,5.6,5.6,0
1244757600,0,5.6,5.6,5.6,0
1245016800,0,5.6,5.6,5.6,0
1245103200,5.6,5.6,5.6,5.6,1
1245189600,0,5.6,5.6,5.6,0
1245276000,5.6,5.6,5.6,5.6,1
1245362400,0,5.6,5.6,5.6,0
1245621600,0,5.6,5.6,5.6,0
1245708000,0,5.6,5.6,5.6,0
1245794400,0,5.6,5.6,5.6,0
1245880800,0,5.6,5.6,5.6,0
1245967200,0,5.6,5.6,5.6,0
1246226400,0,5.6,5.6,5.6,0
1246312800,0,5.6,5.6,5.6,0
1246399200,5.7,5.7,5.7,5.7,1
1246485600,0,5.7,5.7,5.7,0
1246572000,0,5.7,5.7,5.7,0
1246831200,0,5.7,5.7,5.7,0
1246917600,0,5.7,5.7,5.7,0
1247004000,0,5.7,5.7,5.7,0
1247090400,0,5.7,5.7,5.7,0
1247176800,0,5.7,5.7,5.7,0
1247436000,0,5.7,5.7,5.7,0
1247522400,0,5.7,5.7,5.7,0
1247608800,5.7,5.7,5.7,5.7,1
1247695200,0,5.7,5.7,5.7,0
1247781600,0,5.7,5.7,5.7,0
1248040800,0,5.7,5.7,5.7,0
1248127200,0,5.7,5.7,5.7,0
1248213600,0,5.7,5.7,5.7,0
1248300000,0,5.7,5.7,5.7,0
1248386400,0,5.7,5.7,5.7,0
1248645600,0,5.7,5.7,5.7,0
1248732000,5.7,5.7,5.7,5.7,1
1248818400,0,5.7,5.7,5.7,0
1248904800,0,5.7,5.7,5.7,0
1248991200,5.7,5.7,5.7,5.7,1
1249250400,5.7,5.7,5.7,5.7,1
1249336800,0,5.7,5.7,5.7,0
1249423200,0,5.7,5.7,5.7,0
1249509600,5.7,5.7,5.7,5.7,1
1249596000,0,5.7,5.7,5.7,0
1249855200,0,5.7,5.7,5.7,0
1249941600,0,5.7,5.7,5.7,0
1250028000,0,5.7,5.7,5.7,0
1250114400,0,5.7,5.7,5.7,0
1250200800,0,5.7,5.7,5.7,0
1250460000,0,5.7,5.7,5.7,0
1250546400,5.7,5.7,5.7,5.7,585
1250632800,0,5.7,5.7,5.7,0
1250719200,0,5.7,5.7,5.7,0
1250805600,0,5.7,5.7,5.7,0
1251064800,0,5.7,5.7,5.7,0
1251151200,0,5.7,5.7,5.7,0
1251237600,0,5.7,5.7,5.7,0
1251324000,0,5.7,5.7,5.7,0
1251410400,0,5.7,5.7,5.7,0
1251669600,0,5.7,5.7,5.7,0
1251756000,0,5.7,5.7,5.7,0
1251842400,0,5.7,5.7,5.7,0
1251928800,0,5.7,5.7,5.7,0
1252015200,0,5.7,5.7,5.7,0
1252274400,0,5.7,5.7,5.7,0
1252360800,0,5.7,5.7,5.7,0
1252447200,0,5.7,5.7,5.7,0
1252533600,0,5.7,5.7,5.7,0
1252620000,0,5.7,5.7,5.7,0
1252879200,0,5.7,5.7,5.7,0
1252965600,5.7,5.7,5.7,5.7,100
1253052000,0,5.7,5.7,5.7,0
1253138400,0,5.7,5.7,5.7,0
1253224800,0,5.7,5.7,5.7,0
1253484000,0,5.7,5.7,5.7,0
1253570400,0,5.7,5.7,5.7,0
1253656800,5.6,5.6,5.6,5.6,500
1253743200,0,5.6,5.6,5.6,0
1253829600,0,5.6,5.6,5.6,0
1254088800,0,5.6,5.6,5.6,0
1254175200,0,5.6,5.6,5.6,0
1254261600,0,5.6,5.6,5.6,0
1254348000,0,5.6,5.6,5.6,0
1254434400,0,5.6,5.6,5.6,0
1254693600,0,5.6,5.6,5.6,0
1254780000,0,5.6,5.6,5.6,0
1254866400,0,5.6,5.6,5.6,0
1254952800,0,5.6,5.6,5.6,0
1255039200,0,5.6,5.6,5.6,0
1255298400,0,5.6,5.6,5.6,0
1255384800,0,5.6,5.6,5.6,0
1255471200,0,5.6,5.6,5.6,0
1255557600,0,5.6,5.6,5.6,0
1255644000,0,5.6,5.6,5.6,0
1255903200,0,5.6,5.6,5.6,0
1255989600,0,5.6,5.6,5.6,0
1256076000,0,5.6,5.6,5.6,0
