t,o,c,h,l,v
916786800,0,3,3,3,15882
916873200,0,2.7,2.7,2.7,0
916959600,0,2.43,2.43,2.43,0
917218800,0,2.19,2.19,2.19,2700
917305200,0,1.98,1.98,1.98,10500
917391600,0,2.17,2.17,2.17,5200
917478000,0,2.38,2.38,2.38,4283
917564400,0,2.6,2.6,2.6,4340
917823600,0,2.8,2.8,2.8,6100
917910000,0,2.6,2.6,2.6,1641
917996400,0,2.65,2.65,2.65,291
918082800,0,2.7,2.7,2.7,306
918169200,0,2.65,2.65,2.65,1800
918428400,0,2.6,2.6,2.6,500
918514800,0,2.5,2.5,2.5,1177
918601200,0,2.4,2.4,2.4,1000
918687600,0,2.55,2.55,2.55,991
918774000,0,2.6,2.6,2.6,800
919033200,0,2.6,2.6,2.6,179
919119600,0,2.4,2.4,2.4,376
919206000,0,2.4,2.4,2.4,200
919292400,0,2.4,2.4,2.4,1574
919378800,0,2.4,2.4,2.4,750
919638000,0,2.6,2.6,2.6,999
919724400,0,2.4,2.4,2.4,99
919810800,0,2.4,2.4,2.4,100
919897200,0,2.47,2.47,2.47,700
919983600,0,2.4,2.4,2.4,1756
920242800,0,2.4,2.4,2.4,102
920329200,0,2.3,2.3,2.3,40
920415600,0,2.3,2.3,2.3,58
920502000,0,2.16,2.16,2.16,560
920588400,0,2.37,2.37,2.37,917
920847600,0,2.6,2.6,2.6,381
920934000,0,2.6,2.6,2.6,1419
921020400,0,2.5,2.5,2.5,65
921106800,0,2.45,2.45,2.45,229
921193200,0,2.5,2.5,2.5,524
921452400,0,2.28,2.28,2.28,1083
921538800,0,2.5,2.5,2.5,750
921625200,0,2.4,2.4,2.4,543
921711600,0,2.5,2.5,2.5,100
921798000,0,2.6,2.6,2.6,400
922057200,0,2.4,2.4,2.4,330
922143600,0,2.4,2.4,2.4,14127
922230000,0,2.4,2.4,2.4,741
922316400,0,2.5,2.5,2.5,70
922402800,0,2.5,2.5,2.5,20
922658400,0,2.4,2.4,2.4,500
922744800,0,2.3,2.3,2.3,800
922831200,0,2.4,2.4,2.4,77
922917600,0,2.35,2.35,2.35,77
923349600,0,2.12,2.12,2.12,2750
923436000,0,2.25,2.25,2.25,300
923522400,0,2.29,2.29,2.29,1200
923608800,0,2.25,2.25,2.25,1079
923868000,0,2.25,2.25,2.25,250
923954400,0,2.2,2.2,2.2,4100
924040800,0,2.2,2.2,2.2,200
924127200,0,2.2,2.2,2.2,88
924213600,0,2.15,2.15,2.15,1286
924472800,0,2.24,2.24,2.24,316
924559200,0,2.2,2.2,2.2,1786
924645600,0,2.25,2.25,2.25,3487
924732000,0,2.3,2.3,2.3,2920
924818400,0,2.27,2.27,2.27,548
925077600,0,2.1,2.1,2.1,1000
925164000,0,2.31,2.31,2.31,552
925250400,0,2.5,2.5,2.5,3234
925336800,0,2.4,2.4,2.4,4040
925423200,0,2.4,2.4,2.4,4000
925768800,0,2.25,2.25,2.25,2050
925855200,0,2.25,2.25,2.25,1000
925941600,0,2.25,2.25,2.25,114
926028000,0,2.3,2.3,2.3,40
926287200,0,2.3,2.3,2.3,100
926373600,0,2.45,2.45,2.45,100
926460000,0,2.4,2.4,2.4,41
926546400,0,2.3,2.3,2.3,100
926632800,0,2.35,2.35,2.35,581
926892000,0,2.45,2.45,2.45,2000
926978400,0,2.4,2.4,2.4,2479
927064800,0,2.43,2.43,2.43,1300
927151200,0,2.4,2.4,2.4,2440
927237600,0,2.45,2.45,2.45,2947
927496800,0,2.5,2.5,2.5,222
927583200,0,2.5,2.5,2.5,3090
927669600,0,2.45,2.45,2.45,300
927756000,0,2.45,2.45,2.45,1077
927842400,0,2.45,2.45,2.45,51
928101600,0,2.25,2.25,2.25,2000
928188000,0,2.35,2.35,2.35,400
928274400,0,2.3,2.3,2.3,100
928706400,0,2.4,2.4,2.4,200
928792800,0,2.3,2.3,2.3,440
928879200,0,2.3,2.3,2.3,2200
928965600,0,2.4,2.4,2.4,500
929052000,0,2.3,2.3,2.3,45
929311200,0,2.4,2.4,2.4,225
929397600,0,2.3,2.3,2.3,1112
929484000,0,2.31,2.31,2.31,993
929570400,0,2.3,2.3,2.3,872
929656800,0,2.4,2.4,2.4,717
929916000,0,2.6,2.6,2.6,1828
930002400,0,2.55,2.55,2.55,2226
930088800,0,2.5,2.5,2.5,750
930175200,0,2.43,2.43,2.43,51
930261600,0,2.4,2.4,2.4,100
930520800,0,2.48,2.48,2.48,480
930607200,0,2.55,2.55,2.55,200
930693600,0,2.48,2.48,2.48,480
930780000,0,2.5,2.5,2.5,461
930866400,0,2.55,2.55,2.55,200
931125600,0,2.4,2.4,2.4,60
931212000,0,2.35,2.35,2.35,40
931298400,0,2.55,2.55,2.55,2000
931384800,0,2.44,2.44,2.44,131
931471200,0,2.45,2.45,2.45,100
931730400,0,2.45,2.45,2.45,100
931816800,0,2.5,2.5,2.5,856
931903200,0,2.5,2.5,2.5,50
931989600,0,2.55,2.55,2.55,1608
932076000,0,2.55,2.55,2.55,704
932335200,0,2.55,2.55,2.55,547
932421600,0,2.3,2.3,2.3,108
932508000,0,2.5,2.5,2.5,659
932594400,0,2.6,2.6,2.6,65
932680800,0,2.45,2.45,2.45,250
932940000,0,2.5,2.5,2.5,854
933026400,0,2.45,2.45,2.45,250
933112800,0,2.4,2.4,2.4,145
933199200,0,2.35,2.35,2.35,50
933285600,0,2.4,2.4,2.4,50
933544800,0,2.5,2.5,2.5,666
933631200,0,2.6,2.6,2.6,2807
933717600,0,2.6,2.6,2.6,3607
933804000,0,2.6,2.6,2.6,167
933890400,0,2.6,2.6,2.6,117
934149600,0,2.6,2.6,2.6,1000
934236000,0,2.6,2.6,2.6,200
934322400,0,2.6,2.6,2.6,200
934408800,0,2.34,2.34,2.34,50
934495200,0,2.55,2.55,2.55,100
934754400,0,2.55,2.55,2.55,50
934840800,0,2.7,2.7,2.7,250
934927200,0,2.43,2.43,2.43,0
935013600,0,2.6,2.6,2.6,71
935100000,0,2.65,2.65,2.65,1000
935359200,0,2.6,2.6,2.6,60
935445600,0,2.5,2.5,2.5,100
935532000,0,2.5,2.5,2.5,54
935618400,0,2.55,2.55,2.55,1300
935704800,0,2.5,2.5,2.5,1789
935964000,0,2.49,2.49,2.49,50
936050400,0,2.45,2.45,2.45,100
936136800,0,2.5,2.5,2.5,250
936223200,0,2.65,2.65,2.65,50
936309600,0,2.6,2.6,2.6,400
936568800,0,2.6,2.6,2.6,140
936655200,0,2.6,2.6,2.6,100
936741600,0,2.6,2.6,2.6,100
936828000,0,2.55,2.55,2.55,100
936914400,0,2.55,2.55,2.55,50
937173600,0,2.45,2.45,2.45,870
937260000,0,2.5,2.5,2.5,20
937346400,0,2.36,2.36,2.36,20
937432800,0,2.4,2.4,2.4,1663
937519200,0,2.5,2.5,2.5,931
937778400,0,2.44,2.44,2.44,100
937864800,0,2.5,2.5,2.5,120
937951200,0,2.42,2.42,2.42,121
938037600,0,2.36,2.36,2.36,1014
938124000,0,2.16,2.16,2.16,147
938383200,0,2.37,2.37,2.37,480
938469600,0,2.6,2.6,2.6,3189
938556000,0,2.34,2.34,2.34,200
938642400,0,2.57,2.57,2.57,1050
938728800,0,2.43,2.43,2.43,683
938988000,0,2.55,2.55,2.55,2522
939074400,0,2.5,2.5,2.5,83
939160800,0,2.45,2.45,2.45,522
939247200,0,2.4,2.4,2.4,100
939333600,0,2.59,2.59,2.59,150
939592800,0,2.48,2.48,2.48,100
939679200,0,2.45,2.45,2.45,683
939765600,0,2.4,2.4,2.4,500
939852000,0,2.41,2.41,2.41,100
