t,o,c,h,l,v
1253052000,13.2,12.11,13.2,12.11,1549
1253138400,12.4,12.8,12.95,12.4,1242
1253224800,12.79,12.71,12.79,12.5,108
1253484000,12.6,13.3,13.4,12.6,4501
1253570400,13.65,13.7,13.7,13.65,1010
1253656800,13.3,13.4,13.4,13.1,3650
1253743200,13.33,13.9,13.9,13.1,11200
1253829600,13.9,16,16,13.9,20224
1254088800,15.85,15.8,15.85,15.1,540
1254175200,15,15.6,15.6,15,60
1254261600,14.9,15.4,15.4,14.85,2010
1254348000,15.4,15.4,15.4,14.75,3283
1254434400,15.95,15.95,15.95,15.95,1
1254693600,15.75,15.7,15.75,15.7,55
1254780000,14.9,15,15,14.56,4340
1254866400,15,15,15,15,522
1254952800,14.7,14.7,14.7,14.7,50
1255039200,15,15,15,14.5,1085
1255298400,14.5,14.5,14.5,14.5,2000
1255384800,15,14.49,15,14.35,1589
1255471200,14.3,14.3,14.3,14.01,2556
1255557600,14.5,14.3,14.5,14,5510
1255644000,15,14.8,15,14.8,1501
1255903200,14.79,14.1,14.79,14.05,8326
1255989600,14.06,14.5,14.75,14.06,410
1256076000,14.5,14,14.5,14,10641
1256162400,14.1,13.95,14.1,13.95,10319
1256248800,14.1,14,14.1,14,3505
1256511600,14.1,14.99,14.99,14,24295
1256598000,14.6,14.5,14.6,14.5,1277
1256684400,14.65,14.98,14.98,14.5,840
1256770800,14.05,14.3,14.77,14,1850
1256857200,14.69,14.3,14.69,14,12696
1257116400,14.5,14.12,14.99,14.12,1636
1257202800,14.16,14.16,14.16,14.07,2755
1257289200,14.5,14.2,14.5,14.2,540
1257375600,14.15,14,14.15,13.9,5935
1257462000,14.01,13.9,14.01,13.9,180
1257721200,14.05,13.95,14.05,13.95,5525
1257807600,13.97,13.95,13.97,13.95,1500
1257980400,14,14.8,14.8,13.9,46063
1258066800,14.89,14.04,14.95,14.04,1133
1258326000,14.04,14.8,14.8,14.04,730
1258412400,14.5,14.5,14.5,14.5,105
1258498800,14.2,14.2,14.2,14,2110
1258585200,0,14.2,14.2,14.2,0
1258671600,14.2,14.2,14.2,14.2,1
1258930800,14.2,14.2,14.2,14.2,260
1259017200,14.1,14,14.21,14,6919
1259103600,14,14.4,14.4,14,1513
1259190000,14.7,14.7,14.7,14.7,301
1259276400,0,14.7,14.7,14.7,0
1259535600,14.7,14.06,14.7,14.06,3185
1259622000,14.11,14.7,14.7,14.11,304
1259708400,14.7,14.7,14.7,14.7,1
1259794800,14.7,14.7,14.7,14.7,2
