t,o,c,h,l,v
1468274400,59.99,57.94,59.99,48.43,6055
1468360800,57,61,68.4,55,299
1468447200,53.01,58.99,62,53.01,262
1468533600,0,58.99,58.99,58.99,0
1468792800,54,59.99,59.99,53.01,72
1468879200,0,59.99,59.99,59.99,0
1468965600,0,59.99,59.99,59.99,0
1469052000,57.2,62,62,55.1,181
1469138400,61.95,62,62,59.6,252
1469397600,62,61.98,62,58,440
1469484000,61,60,61,60,26
1469570400,0,60,60,60,0
1469656800,0,60,60,60,0
1469743200,60.2,60.2,60.2,60.2,100
1470002400,58.4,58.4,58.4,58.4,16
1470088800,60.5,60.5,60.5,60.5,1
1470175200,58.4,60.5,60.5,58.4,2
1470261600,0,60.5,60.5,60.5,0
1470348000,0,60.5,60.5,60.5,0
1470607200,60.4,62,62,60.4,948
1470693600,62,61.5,62,59,3224
1470780000,61.5,61.5,62,61.5,1632
1470866400,61.5,61.5,61.5,61.5,100
1470952800,61,61,61,61,100
1471298400,61.68,61.68,61.68,61.68,100
1471384800,0,61.68,61.68,61.68,0
1471471200,0,61.68,61.68,61.68,0
1471557600,0,61.68,61.68,61.68,0
1471816800,0,61.68,61.68,61.68,0
1471903200,0,61.68,61.68,61.68,0
1471989600,61.4,61.4,61.4,61.4,50
1472076000,61.5,61.5,61.5,61.5,50
1472162400,61.47,61,61.47,59.95,157
1472421600,61.49,60,61.8,60,3500
1472508000,61.7,61.7,61.7,61.7,475
1472594400,61.5,61,61.5,61,20
1472680800,61.45,61.39,61.45,61,1645
1472767200,61.3,60,61.3,60,831
1473026400,61.4,60.45,61.4,60.45,130
1473112800,61.25,60,61.25,60,330
1473199200,60,60,60,60,30
1473285600,61,61,61,61,30
1473372000,59.95,59.95,59.95,59.95,17
1473631200,0,59.95,59.95,59.95,0
1473717600,0,59.95,59.95,59.95,0
1473804000,57.7,61,61,56,299
1473890400,0,61,61,61,0
1473976800,59.3,59.5,59.5,59.3,3553
1474236000,56.5,59.5,59.5,56.5,38
1474322400,59.44,59.25,59.44,55.8,550
1474408800,58.7,58.6,58.7,58.6,119
1474495200,59.29,59.29,59.29,59.29,100
1474581600,58.99,58.99,58.99,58.99,325
1474840800,0,58.99,58.99,58.99,0
1474927200,0,58.99,58.99,58.99,0
1475013600,0,58.99,58.99,58.99,0
1475100000,58.98,59.49,59.49,58.98,2267
1475186400,59.49,59.49,59.49,59.49,100
1475445600,0,59.49,59.49,59.49,0
1475532000,0,59.49,59.49,59.49,0
1475618400,59.35,58.9,59.35,56.72,2203
1475704800,56.4,59,59,56.4,219
1475791200,0,59,59,59,0
1476050400,58.7,59.85,61.4,58.65,119
1476136800,59.9,58.8,59.9,58.8,48
1476223200,58.8,59,59,51.5,1189
1476309600,53.95,54.5,58.9,53.95,490
1476396000,0,54.5,54.5,54.5,0
1476655200,0,54.5,54.5,54.5,0
1476741600,55.02,54.95,56.9,54.95,170
1476828000,55.9,55.15,55.9,55,1474
1476914400,55.1,55.1,55.1,55.1,200
1477000800,55.5,54.99,57.9,54.99,6898
1477260000,57.95,58,58,53.1,691
1477346400,57.9,57.9,57.9,57.9,55
1477432800,0,57.9,57.9,57.9,0
1477519200,0,57.9,57.9,57.9,0
1477605600,0,57.9,57.9,57.9,0
1477868400,0,57.9,57.9,57.9,0
1478041200,0,57.9,57.9,57.9,0
1478127600,0,57.9,57.9,57.9,0
1478214000,0,57.9,57.9,57.9,0
1478473200,0,57.9,57.9,57.9,0
1478559600,0,57.9,57.9,57.9,0
1478646000,0,57.9,57.9,57.9,0
1478732400,54,57.5,57.8,54,631
1479078000,57.4,57.4,57.4,57.4,16
1479164400,0,57.4,57.4,57.4,0
1479250800,0,57.4,57.4,57.4,0
1479337200,57.4,57.4,57.4,57.4,100
1479423600,0,57.4,57.4,57.4,0
1479682800,0,57.4,57.4,57.4,0
1479769200,0,57.4,57.4,57.4,0
1479855600,57,57,57,57,650
1479942000,0,57,57,57,0
1480028400,0,57,57,57,0
1480287600,57.4,57.4,57.4,57.4,23
1480374000,0,57.4,57.4,57.4,0
1480460400,0,57.4,57.4,57.4,0
1480546800,0,57.4,57.4,57.4,0
1480633200,0,57.4,57.4,57.4,0
1480892400,57.39,57.4,57.4,55.9,644
1480978800,0,57.4,57.4,57.4,0
1481065200,0,57.4,57.4,57.4,0
1481151600,53.26,57.4,57.4,53.26,4727
1481238000,0,57.4,57.4,57.4,0
1481497200,0,57.4,57.4,57.4,0
1481583600,56.99,56.99,56.99,56.99,47
1481670000,0,56.99,56.99,56.99,0
1481756400,56.9,57,57,56.9,945
1481842800,57.4,56.99,57.4,56.99,139
1482102000,0,56.99,56.99,56.99,0
1482188400,57.1,61.5,62,57.1,1108
1482274800,61.5,60,61.99,60,2445
1482361200,58.15,60.9,60.9,58.15,151
1482447600,60.9,61,61,60.9,378
1482793200,61,61,61.2,61,277
1482879600,61.25,61,61.25,61,88
1482966000,61,61.1,61.1,60,731
1483052400,61.1,60,61.1,60,750
1483311600,61.45,62,62,50,370
1483398000,0,62,62,62,0
1483484400,0,62,62,62,0
1483570800,0,62,62,62,0
1483916400,59.3,60.6,60.6,59.2,552
1484002800,59.1,60.6,60.6,59.1,188
1484089200,57.15,60,60,57.15,300
1484175600,60.5,60,60.5,60,69
1484262000,61.89,61.89,61.89,61.89,1000
1484521200,59,61.5,61.5,57.66,83
1484607600,57.66,62,62,57.66,180
1484694000,62,63,63,62,339
1484780400,63.5,63.5,63.5,63.5,176
1484866800,63.5,63.5,63.5,63.5,178
1485126000,0,63.5,63.5,63.5,0
1485212400,62,66,70,60,23852
1485298800,65.9,70,70,64,1828
1485385200,70,69.5,70,69.5,400
1485471600,67,71.7,71.7,65,8419
1485730800,71.7,72,72,67.55,1656
1485817200,72.9,79.1,83.95,70.3,4017
1485903600,79.1,72.02,80.5,72,1961
