t,o,c,h,l,v
1210543200,9.7,9.7,9.7,9.69,31233
1210629600,9.71,9.71,9.71,9.51,711
1210716000,9.72,9.8,9.8,9.6,4482
1210802400,9.89,10,10,9.8,1910
1210888800,10.09,10.25,10.61,10.09,119773
1211148000,10.5,10.67,10.7,10.5,28843
1211234400,10.8,10.77,10.99,10.61,2301
1211320800,10.79,10.52,10.79,10.52,2668
1211493600,10.32,10.71,10.71,10.32,1973
1211752800,10.77,10.7,10.8,10.35,263
1211839200,10.7,10.68,10.7,10.68,194
1211925600,10.66,10.67,10.67,10.66,110
1212012000,10.67,10.67,10.67,10.67,80
1212098400,10.77,10.6,10.77,10.6,115
1212357600,10.6,10.6,10.6,10.6,643
1212444000,10.6,10.6,10.6,10.6,150
1212530400,10.6,10.31,10.6,10.31,171
1212616800,10.42,10.42,10.6,10.42,4684
1212703200,10.52,10.51,10.52,10.51,1115
1212962400,10.2,10.6,10.6,9.9,1938
1213048800,10.58,10.58,10.58,10.58,20
1213135200,10.47,10.47,10.47,10.47,50
1213221600,10.48,10.48,10.48,10.48,35
1213308000,10.5,10.5,10.5,10.5,45
1213567200,10.47,10.47,10.47,10.47,50
1213653600,10.1,10.43,10.43,10.1,718
1213740000,10.4,10.4,10.4,10.02,332
1213826400,10.02,10.1,10.1,10.02,1378
1213912800,10.09,10.31,10.31,10.09,623
1214172000,10.1,10.39,10.44,10.1,46
1214258400,10.37,10.35,10.37,10.35,931
1214344800,10.29,10.28,10.29,10.25,160
1214431200,10.2,10.3,10.3,10.15,1201
1214517600,10.19,10.19,10.19,10.19,22
1214776800,10.29,10.29,10.29,10.29,22
1214863200,10.31,10.3,10.31,10.3,28
1214949600,10.28,10.28,10.28,10.28,24
1215036000,10.35,10.35,10.35,10.35,22
1215122400,10.3,10.29,10.3,10.29,22
1215381600,10.3,10.3,10.3,10.3,22
1215468000,10.1,10.29,10.29,10.1,594
1215554400,10.29,10.28,10.29,9.9,468
1215640800,10.2,10.2,10.2,10.2,27
1215727200,10.2,10.2,10.2,9.9,1188
1215986400,9.9,10.1,10.28,9.9,77
1216072800,9.8,10.15,10.15,9.8,1276
1216159200,10.29,10.19,10.29,10.19,772
1216245600,10,9.8,10.2,9.8,614
1216332000,10.28,9.8,10.28,9.8,192
1216591200,10.28,10.28,10.28,10.28,71
1216677600,10,10,10,10,500
1216764000,10,10,10,10,77
1216850400,10,10,10,10,300
1216936800,10,10,10,9.8,339
1217196000,10.2,10.2,10.2,10.2,22
1217282400,10.2,10.19,10.2,10.19,22
1217368800,10.2,10.15,10.2,10.15,22
1217455200,10,9.8,10,9.8,139
1217541600,10,10,10,9.8,1590
1217800800,10,10,10,10,22
1217887200,10,9.99,10,9.99,22
1217973600,10.2,10,10.2,10,29
1218060000,9.7,10,10,9.7,1538
1218146400,9.9,9.9,9.9,9.6,427
1218405600,10,9.9,10.25,9.9,699
1218492000,10.2,10.2,10.2,10.2,24
1218578400,10.22,10.6,10.6,10.12,5964
1218664800,10.42,10.7,10.7,10.42,3140
1219010400,10.5,10.99,10.99,10.5,832
1219096800,10.5,10.5,10.5,10.5,715
1219183200,10.2,10.67,10.67,10.2,750
1219269600,10.7,10.7,10.7,10.7,2
1219356000,10.4,10.7,10.75,10.28,63529
1219615200,10.5,10.7,10.7,10.4,220200
