t,o,c,h,l,v
1348610400,2.9,3,3.3,2.9,2841
1348696800,3,2.85,3,2.5,260
1348783200,0,2.85,2.85,2.85,0
1349042400,0,2.85,2.85,2.85,0
1349128800,0,2.85,2.85,2.85,0
1349215200,0,2.85,2.85,2.85,0
1349301600,0,2.85,2.85,2.85,0
1349388000,0,2.85,2.85,2.85,0
1349647200,2.85,2.85,2.85,2.85,709
1349733600,2.93,2.93,2.93,2.93,5
1349820000,2.85,2.73,2.85,2.73,309
1349906400,2.75,2.66,2.75,2.66,400
1349992800,2.79,3.28,3.34,2.79,16368
1350252000,3.28,2.68,3.28,2.67,2723
1350338400,2.68,2.3,2.68,2.3,1757
1350424800,2.3,2.33,2.4,2.3,101
1350511200,2.3,2.34,2.34,2.3,300
1350597600,2.35,2.3,2.4,2.3,1090
1350856800,2.3,2.4,2.4,2.3,90
1350943200,2.45,2.98,2.98,2.45,2365
1351029600,2.98,2.85,2.98,2.67,2481
1351116000,2.9,2.9,2.9,2.9,83
1351202400,0,2.9,2.9,2.9,0
1351465200,2.85,2.8,2.85,2.75,805
1351551600,2.91,2.98,2.98,2.91,699
1351638000,3,3.1,3.1,3,115
1351810800,0,3.1,3.1,3.1,0
1352070000,3.09,3.09,3.09,3.09,25
1352156400,3.09,3.09,3.09,3.09,10
1352242800,3.09,2.9,3.09,2.9,2320
1352329200,2.95,2.75,2.95,2.5,3391
1352415600,2.75,2.75,2.75,2.75,25
1352674800,2.79,3.09,3.09,2.79,2004
1352761200,3.09,2.75,3.09,2.75,1592
1352847600,2.8,3.09,3.09,2.8,13001
1352934000,3.09,3.11,3.11,3.09,1839
1353020400,3.12,2.8,3.12,2.75,1174
1353279600,2.75,2.7,2.75,2.7,585
1353366000,2.65,3.12,3.12,2.56,3370
1353452400,0,3.12,3.12,3.12,0
1353538800,3.1,3.12,3.12,3.1,1440
1353625200,3.12,2.9,3.12,2.9,560
1353884400,0,2.9,2.9,2.9,0
1353970800,0,2.9,2.9,2.9,0
1354057200,0,2.9,2.9,2.9,0
1354143600,0,2.9,2.9,2.9,0
1354230000,2.85,2.75,2.85,2.75,580
1354489200,2.76,2.76,2.76,2.76,550
1354575600,0,2.76,2.76,2.76,0
1354662000,0,2.76,2.76,2.76,0
1354748400,2.76,2.72,2.76,2.72,1200
1354834800,2.75,2.75,2.75,2.75,550
1355094000,2.75,2.72,2.75,2.72,560
1355180400,0,2.72,2.72,2.72,0
1355266800,0,2.72,2.72,2.72,0
1355353200,0,2.72,2.72,2.72,0
1355439600,2.75,2.75,2.75,2.75,360
1355698800,0,2.75,2.75,2.75,0
1355785200,0,2.75,2.75,2.75,0
1355871600,0,2.75,2.75,2.75,0
1355958000,0,2.75,2.75,2.75,0
1356044400,2.75,2.92,2.92,2.75,1080
1356562800,2.95,2.99,2.99,2.95,2144
1356649200,3,3,3,3,10
1357081200,0,3,3,3,0
1357167600,0,3,3,3,0
1357254000,0,3,3,3,0
1357513200,2.96,2.89,2.96,2.74,710
1357599600,2.99,3.17,3.17,2.99,45
1357686000,3.17,3.17,3.17,3.17,40
1357772400,3.17,3.17,3.17,3.17,60
1357858800,3.17,3.07,3.17,3.07,292
1358118000,3.17,3.17,3.17,3.17,10
1358204400,3.17,3.17,3.17,3.17,20
1358290800,3.17,3.17,3.17,3.17,15
1358377200,3.17,3.17,3.17,3.17,5
1358463600,3,3,3,3,105
1358722800,0,3,3,3,0
1358809200,0,3,3,3,0
1358895600,3,3,3,3,10
1358982000,3,3,3,3,5
1359068400,3,3,3,2.99,622
1359327600,0,3,3,3,0
1359414000,3.11,3.17,3.17,3.11,13378
1359500400,3.17,3.17,3.17,3.16,525
1359586800,3.17,3.17,3.17,3.16,1412
1359673200,3.17,3.17,3.17,3.17,64
1359932400,3.17,3.17,3.17,3.17,5
1360018800,3.17,2.93,3.17,2.93,557
1360105200,2.97,2.97,2.97,2.97,20
1360191600,2.9,2.7,2.9,2.7,15
1360278000,2.72,2.8,2.8,2.72,140
1360537200,2.8,3.02,3.02,2.8,36
1360623600,0,3.02,3.02,3.02,0
1360710000,0,3.02,3.02,3.02,0
1360796400,3.07,3.07,3.07,3.07,10
1360882800,3.07,3.07,3.07,3.07,10
1361142000,3.06,3.06,3.06,3.06,6
1361228400,3.06,3.05,3.06,2.85,30
1361314800,2.85,3.05,3.05,2.75,100
1361401200,2.95,2.85,2.95,2.85,15
1361487600,0,2.85,2.85,2.85,0
1361746800,2.75,2.65,2.75,2.65,60
1361833200,2.65,2.65,2.65,2.65,170
1361919600,2.63,2.35,2.63,2.2,3110
1362006000,2.3,2.27,2.3,2.27,2420
1362092400,2.22,2.18,2.22,1.9,2005
1362351600,0,2.18,2.18,2.18,0
1362438000,2.01,2,2.01,2,445
1362524400,2.07,2.07,2.07,2.07,5
1362610800,2.01,2,2.01,2,500
1362697200,2,1.99,2,1.68,2295
1362956400,2.05,2.1,2.1,2,1630
1363042800,2.23,2.1,2.39,2.1,410
1363129200,2.1,2.1,2.1,2.1,10
1363215600,2.01,2.01,2.01,2.01,1345
1363302000,2.01,2.5,2.5,2.01,980
1363561200,2.55,2.55,2.55,2.05,1130
1363647600,2.55,2.55,2.55,2.54,45
1363734000,2.55,2.55,2.55,2.55,10
