t,o,c,h,l,v
1160085600,12.95,13.1,13.1,12.76,15725
1160344800,13.48,13.22,13.48,13.22,6795
1160431200,13.22,13.15,13.25,13.05,6698
1160517600,13.15,13.2,13.28,13.1,11432
1160604000,13.03,13.05,13.23,13.01,7346
1160690400,13.06,12.95,13.1,12.95,8050
1160949600,12.92,13,13.2,12.92,7601
1161036000,12.95,13.09,13.1,12.85,9208
1161122400,13.1,13.15,13.19,12.98,9856
1161208800,13.18,13.52,13.6,13.08,28419
1161295200,13.69,14,14.19,13.69,31839
1161554400,14.39,13.96,14.39,13.7,10581
1161640800,13.73,13.8,14.2,13.5,8348
1161727200,13.71,13.77,14,13.66,13320
1161813600,13.9,14.09,14.13,13.9,13662
1161900000,14.1,14.1,14.29,14.07,21115
1162162800,14.21,14.15,14.21,13.94,10886
1162249200,14.28,14.15,14.28,13.99,7616
1162422000,14.15,14.15,14.24,14.05,6931
1162508400,14.15,14.59,14.67,14.15,24548
1162767600,14.8,14.95,15.2,14.8,52553
1162854000,15.15,14.56,15.15,14.25,22312
1162940400,14.57,14.5,14.6,14.35,8469
1163026800,14.5,14.45,14.86,14.4,8771
1163113200,14.5,14.74,14.85,14.41,5888
1163372400,14.7,14.6,14.7,14.35,11404
1163458800,14.55,14.59,14.59,14.21,12390
1163545200,14.5,14.09,14.5,13.71,10240
1163631600,13.91,14,14.04,13.9,4204
1163718000,14.01,14,14.19,13.96,1761
1163977200,13.9,14.18,14.18,13.82,6791
1164063600,14.04,14.21,14.39,14.03,4384
1164150000,14.12,14.38,14.5,14.12,10631
1164236400,14.5,14.55,14.6,14.4,14196
1164322800,14.6,14.89,14.89,14.4,26411
1164582000,14.94,14.9,15.32,14.6,21165
1164668400,14.9,14.9,14.97,14.61,11445
1164754800,14.9,15.26,15.27,14.8,16082
1164841200,15.4,16.3,16.4,15.4,60223
1164927600,16.7,17.6,17.85,16.7,74370
1165186800,17.8,17.15,18.45,17.1,26448
1165273200,16.96,16.52,17.35,16.5,16786
1165359600,16.52,16.2,16.52,15.5,24921
1165446000,16.5,16.19,16.5,15.92,2104
1165532400,16,16.4,16.4,15.82,4420
1165791600,16.51,16.3,16.58,16,6556
1165878000,16.01,15.65,16.25,15.65,11218
1165964400,15.65,15.5,15.8,15.37,13697
1166050800,15.52,15.1,15.65,15.1,6549
1166137200,15.05,15.1,15.1,14,29134
1166396400,15.11,15,15.11,14.9,6624
1166482800,14.7,13.5,14.8,13.5,10048
1166569200,13.71,13.86,14.7,13.71,17824
1166655600,13.9,14.15,14.85,13.9,7928
1166742000,14.21,14.23,14.25,14.08,9725
1167174000,14.51,15.37,15.45,14.51,11301
1167260400,15,15.34,15.34,14.55,3343
1167346800,14.78,15.08,15.1,14.78,1125
1167692400,14.85,15.42,15.6,14.85,5754
1167778800,15.4,15.08,15.45,15.05,943
1167865200,14.9,14.99,15,14.49,5128
1167951600,14.3,14.85,14.85,14.3,6111
1168210800,14.88,14.8,14.9,14.75,4349
1168297200,14.7,14.9,14.9,14.7,9071
1168383600,14.9,15,15,14.71,8632
1168470000,15,15.14,15.19,15,4110
1168556400,15.14,15.16,15.2,15,3182
1168815600,15.25,15.69,15.9,15.25,6671
1168902000,15.88,15.6,16,15.6,12819
1168988400,15.92,15.94,15.95,15.6,14367
1169074800,15.97,16.05,16.4,15.97,32518
1169161200,15.81,15.95,15.95,15.72,1968
1169420400,15.73,15.89,15.89,15,3510
1169506800,15.3,15.59,15.8,15.26,4281
1169593200,15.32,15.5,15.6,15.3,3462
1169679600,15.5,15.4,15.5,15.21,7079
1169766000,15.2,15.19,15.2,14.91,9246
1170025200,15,15.05,15.05,14.89,4466
1170111600,15,14.94,15.05,14.94,4728
1170198000,14.95,14.8,15,14.8,4684
1170284400,14.82,14.9,15,14.74,6697
1170370800,14.76,14.97,14.98,14.76,2563
1170630000,15.5,15.2,15.5,14.91,4141
1170716400,14.92,15,15.24,14.92,4583
1170802800,15.05,15,15.05,14.9,2756
1170889200,15.16,15.4,15.8,15,35814
1170975600,15.39,15.3,15.58,15.13,7537
1171234800,14.8,14.7,14.8,14.05,16822
1171321200,14.4,14.41,14.51,14.01,94009
1171407600,14.39,14.24,14.39,14.15,7202
1171494000,14.2,14.25,14.25,14.18,3236
1171580400,14.2,14.5,14.75,14.2,5384
1171839600,14.6,14.98,15,14.4,14774
1171926000,14.98,15.33,15.5,14.76,11473
1172012400,15.5,15.3,15.5,15.3,3743
1172098800,15.21,14.99,15.21,14.75,3883
1172185200,14.9,14.65,14.9,14.5,7454
1172444400,14.79,15,15,14.79,2914
1172530800,15,14.25,15,13.9,12464
1172617200,13.96,14.33,14.38,13.8,5388
1172703600,14.2,14.33,14.33,13.8,4350
1172790000,14.29,14.4,14.4,13.8,3358
1173049200,13.62,13.9,13.95,13.62,3428
1173135600,14,13.99,14,13.81,363
1173222000,14.45,14.45,14.55,14.01,4195
1173308400,14.1,14.59,14.59,14.1,3846
1173394800,14.2,14.5,14.65,14.2,7696
1173654000,14.26,14.54,14.54,14.25,3274
1173740400,14.12,14.38,14.52,14.1,7641
1173826800,14,14.45,14.51,13.51,10213
1173913200,14.45,14.3,14.45,13.91,29112
1173999600,14.45,14.71,14.85,14.07,104513
1174258800,14.71,15,15,14.6,29889
1174345200,15.1,15,15.14,14.91,8412
1174431600,15,15.3,15.3,15,6030
1174518000,15.17,15.1,15.29,15.07,20915
1174604400,15.07,15.3,15.5,15.07,25924
1174860000,15.5,15.21,15.5,15.2,57668
1174946400,15.21,15.4,15.48,15.21,38796
1175032800,15.48,15.45,15.48,15.31,11673
1175119200,15.48,15.5,15.5,15.2,15096
1175205600,15.35,15.5,15.5,15,12780
1175464800,15.01,15.45,15.45,15,7323
1175551200,15.01,15.4,15.43,15,8149
1175637600,15.1,15.15,15.4,15.1,3544
1175724000,15.41,15.4,15.45,15.11,6251
1176156000,14.95,15.2,15.28,14.95,3406
1176242400,15.03,15.2,15.24,15.03,2872
1176328800,15,15.2,15.2,14.64,11448
1176415200,15,15.05,15.06,15,2623
1176674400,15.05,15.1,15.2,15,6141
1176760800,14.79,14.95,14.96,14.79,6278
1176847200,14.95,15.2,15.2,14.8,12783
1176933600,14.7,15.3,15.3,14.7,23461
1177020000,15.2,15.4,15.4,15.1,27020
1177279200,15.4,15.3,15.5,14.97,7455
1177365600,15.28,15.1,15.29,14.84,5452
1177452000,14.8,15.25,15.29,14.8,3222
1177538400,15,15.3,15.3,15,3166
1177624800,15.3,15.5,15.5,15.2,11026
1177884000,15.5,16.35,16.35,15.5,40116
1178056800,16.35,16.48,16.48,16.15,12928
1178229600,16.3,16.62,16.65,16.3,9876
1178488800,16.4,16.73,16.85,16.1,11062
1178575200,16.73,16.55,16.73,16.32,32566
1178661600,16.47,16.88,16.9,16.4,15675
1178748000,16.89,16.71,17,16.63,15220
1178834400,16.7,16.4,16.7,15.8,26299
1179093600,16.15,16.2,17,16.15,6647
1179180000,16.4,16.85,16.85,16.4,8057
1179266400,16.34,16.33,16.34,16,7343
1179352800,16.1,16.4,16.6,16.1,10333
1179439200,16.35,16.38,16.4,16.12,6105
1179698400,16.45,16.25,16.7,16.24,16403
1179784800,16.58,16.3,16.58,15.81,7006
1179871200,16.3,16.3,16.4,15.01,8862
1179957600,16,16.35,16.35,16,1472
1180044000,16.15,16.43,16.43,16.15,7111
1180303200,16.35,16.38,16.38,16.35,3191
1180389600,16.2,16.4,16.4,16.2,4674
1180476000,16.25,16.45,16.45,16.25,849
1180562400,16.5,16.6,16.65,16.48,5427
1180648800,16.6,16.6,16.6,16.5,758
1180908000,16.5,16.7,16.8,16.5,9722
1180994400,16.7,16.87,16.87,16.7,15436
1181080800,16.8,16.85,16.88,16.51,4095
1181253600,15.8,16.5,16.75,15.6,3106
1181512800,16.4,16.8,16.8,16.4,1883
1181599200,16.5,16.5,16.7,16.5,1228
1181685600,16.5,16.8,16.8,16.5,2022
1181772000,16.8,16.8,16.8,16.5,7878
1181858400,16.88,17,17.1,16.88,4275
1182117600,17.4,17.94,18,17.2,11549
1182204000,17.94,17.9,18.4,17.9,8463
1182290400,17.9,17.94,17.94,17.56,6919
1182376800,17.82,17.94,17.95,17.5,2249
1182463200,17.95,17.97,18.05,17.95,5799
1182722400,17.5,17.6,17.95,17.23,4173
1182808800,17.12,17.73,17.74,17,11817
1182895200,17.75,17.01,17.75,16.9,5537
1182981600,17.03,17.1,17.25,17.03,432
1183068000,17.01,17,17.01,16.51,8710
1183327200,17.63,16.71,17.63,16.61,5763
1183413600,16.9,16.75,16.9,16.7,2462
1183500000,16.55,16.5,16.9,16.5,1186
1183586400,16.51,16.05,16.7,16,105931
1183672800,16.15,16.3,16.3,16.11,184
1183932000,16.4,16.47,16.6,16.4,6723
1184018400,16.4,16.01,16.5,16.01,7037
1184104800,16.2,15.73,16.2,15.63,3253
1184191200,15.61,15.9,15.9,15.52,2472
1184277600,15.61,16.48,16.48,15.61,598
1184536800,15.83,16.39,16.39,15.81,237
1184623200,15.75,16.38,16.38,15.75,830
1184709600,15.75,16.38,16.38,15.75,69
1184796000,0,16.38,16.38,16.38,0
1184882400,15.9,16,16,15.9,257
1185141600,16,16,16.2,15.99,2339
1185228000,16,15.8,16,15.8,494
1185314400,15.12,15.4,15.4,15.1,1370
1185400800,15.6,15.3,15.8,15.3,1206
1185487200,14.95,14.76,14.95,14.49,3780
1185746400,14.94,14.92,14.94,14.92,1399
1185832800,14.92,14.91,15.25,14.91,383
1185919200,14.9,14.45,14.9,14.4,670
1186005600,14.5,13.9,14.5,13.9,1252
1186092000,14.03,14.6,14.6,14.03,384
1186351200,14.6,14.3,14.6,14.3,654
1186437600,15.1,15.1,15.6,15.1,3954
1186524000,15.59,15.59,15.59,15.59,82
1186610400,15.6,14.7,15.6,14.55,1265
1186696800,15,14.9,15.9,14.01,1001
1186956000,14,14.35,14.5,14,1459
1187042400,14.1,14,14.1,13.09,1713
1187215200,12.6,12.8,12.8,12.6,2940
1187301600,14,13.3,14,13.3,229
1187560800,13.9,13,13.9,13,1815
1187647200,13.5,13.5,13.5,13.5,350
1187733600,13.3,13.95,14,13,5431
1187820000,13.96,14.5,14.5,13.9,3622
1187906400,13.8,14.7,14.7,13.8,111
1188165600,14.9,15.35,15.35,14.02,203
1188252000,14.5,14.22,14.5,14.22,694
1188338400,13.9,13.81,14.79,13.4,2292
1188424800,14.5,13.9,14.5,13.9,1603
1188511200,14,14.5,14.5,14,1075
1188770400,0,14.5,14.5,14.5,0
1188856800,14.49,14.25,14.5,14,6900
1188943200,14.23,14,14.5,14,535
1189029600,14,13.99,14,13.8,577
1189116000,13.7,13.4,14,13.4,1363
1189375200,14,14,14,13.99,351
1189461600,13.99,13.99,13.99,13.99,290
1189548000,0,13.99,13.99,13.99,0
1189634400,13.3,13.99,13.99,13.3,41
1189720800,13.13,13.5,13.5,13.12,566
1189980000,0,13.5,13.5,13.5,0
1190066400,0,13.5,13.5,13.5,0
1190152800,13.5,14,14,13.3,2161
1190239200,14,14,14,13.8,650
1190325600,13.55,13.99,13.99,13.55,131
1190584800,13.99,13.7,13.99,13.7,110
1190671200,13.95,13.56,13.95,13.55,960
1190757600,13.56,13.55,13.56,13.55,120
1190844000,13.55,13.54,13.55,13,1251
1190930400,0,13.54,13.54,13.54,0
1191189600,0,13.54,13.54,13.54,0
1191276000,13.56,13.74,13.8,13.01,1025
1191362400,13.74,14.1,14.42,13.6,4736
1191448800,13.91,13.8,13.91,13.61,508
1191535200,13.61,14.25,14.25,13.61,70
1191794400,14.49,14.49,14.49,14,1399
1191880800,14.3,14.47,14.47,14.3,638
1191967200,13.8,14.2,14.2,13.8,249
1192053600,0,14.2,14.2,14.2,0
1192140000,14.2,14.2,14.2,14.2,143
1192399200,13.7,14.2,14.2,13.7,1516
1192485600,13.5,14.1,14.1,13.45,1394
1192572000,14.07,14.15,14.15,14.07,723
1192658400,13.56,13.5,14,13.5,3930
1192744800,13.75,14.05,14.05,13.75,201
1193004000,13.9,13.45,13.9,13,1391
1193090400,13.5,13.5,13.5,13.5,71
1193176800,13.5,13.4,13.55,13.4,446
1193263200,13.6,13.85,13.85,13.25,775
1193349600,13.5,13.5,13.5,13.5,10
1193612400,0,13.5,13.5,13.5,0
1193698800,13.5,13.6,13.6,13.21,569
1193785200,0,13.6,13.6,13.6,0
1193958000,13.2,13.16,13.2,13.1,692
1194217200,13.17,13.49,13.49,13.16,470
1194303600,13.11,13.81,13.81,13.1,220
1194390000,13.8,13.2,13.8,13.2,420
1194476400,11.5,12.74,12.74,11.5,4880
1194562800,0,12.74,12.74,12.74,0
1194822000,0,12.74,12.74,12.74,0
1194908400,11.5,13.39,13.39,11.39,9170
1194994800,12.39,12.39,12.39,12.39,100
1195081200,12.2,12.29,12.88,11,437
1195167600,11.49,11.5,13.25,11.49,3062
1195426800,12.45,11.6,12.45,11.53,3944
1195513200,11.6,11.95,11.98,10.55,1437
1195599600,10.62,10.06,10.62,9.81,4249
1195686000,10,10.45,10.69,9.5,2082
1195772400,10.45,9.78,10.45,9.71,13727
1196031600,10,9.68,10,9.68,8351
1196118000,9.11,8.9,9.47,8.7,5960
1196204400,9.75,9.5,9.75,8.81,1045
1196290800,9.75,9.5,9.75,9,4668
1196377200,9.43,9.25,9.43,9.2,2260
1196636400,9.58,9,9.58,8.8,5673
1196722800,9,8.9,9,8.4,1083
1196809200,8.9,8.88,9,8.5,6021
1196895600,8.9,8.87,9,8.54,4824
1196982000,8.9,9.2,9.2,8.8,5710
1197241200,9.2,9.66,9.69,9.1,12962
1197327600,9.8,9.5,9.89,9.31,7911
1197414000,9.31,9.48,9.48,9.2,2298
1197500400,9.1,8.7,9.15,8.5,18370
1197586800,8.72,8.89,8.97,8.72,14794
1197846000,8.73,8.74,8.74,8.43,8434
