t,o,c,h,l,v
1635285600,101,98.8,101,84.35,3800
1635372000,99.03,98,99.97,98,609
1635458400,98,97,98,94,133
1635807600,94.1,94,94.1,93.5,762
1635894000,92,99.6,110,91,3598
1635980400,99.6,99.2,100.98,94,263
1636066800,94.1,98,99,94,303
1636326000,94.1,96,96,94,142
1636412400,96,97,98,96,533
1636498800,97,97,97,97,8
1636671600,99,100,100,99,22
1636930800,100.46,100.46,100.46,100.46,2
1637017200,97,98,99.5,96,388
1637103600,97.5,97.5,97.5,97.5,1
1637190000,94.02,96,96,94.02,117
1637276400,94.02,96,96,94.02,521
1637535600,96,96,96,96,252
1637622000,92.02,96,96,92.02,336
1637708400,0,96,96,96,0
1637794800,95.98,95.98,95.98,95.98,1
1637881200,0,95.98,95.98,95.98,0
1638140400,0,95.98,95.98,95.98,0
1638226800,95.89,94,95.89,94,15
1638313200,95.88,90,95.88,90,44
1638399600,89.7,90,95.88,89.7,112
1638486000,88.9,88.9,88.9,88.9,10
1638745200,87.2,85,87.2,85,80
1638831600,85,93.5,95.9,85,637
1638918000,94,95.78,95.9,94,150
1639004400,95.8,95.88,95.9,92,128
1639090800,95.88,95.9,95.9,95.88,311
1639350000,95.9,95.9,95.9,95.9,6
1639436400,95.9,95.89,95.9,93,38
1639522800,93,94,94,90.21,31
1639609200,94,93.89,94,93.89,10
1639695600,90.5,94,94,85.01,354
1639954800,93.98,94,94,93.98,40
1640041200,93,94.01,95.9,93,471
1640127600,95,95,95,95,1
1640214000,95,93,95,93,10
1640559600,95.9,95.9,95.9,95.9,1
1640646000,95.4,95.8,95.8,95.4,15
1640732400,95.8,95.9,95.9,95.8,40
1640818800,95.9,95.9,95.9,95.9,1
1641164400,95.9,104.9,104.9,95.9,61
1641250800,99.99,100,102,96,422
1641337200,100.88,100,100.88,97,107
1641510000,0,100,100,100,0
1641769200,100,100,100,98,36
1641855600,100,99,102.9,98,341
1641942000,97.5,99.98,99.98,97.5,32
1642028400,99.98,99.98,99.98,99.98,2
1642114800,99.98,99.98,99.98,99.98,20
1642374000,97.68,100,100,96.31,116
1642460400,99,100,100,99,30
1642546800,100,100,100,100,38
1642633200,97.51,100,100,97.51,26
1642719600,98,97.51,98,97.51,38
1642978800,100.98,97,100.98,96,138
1643065200,98.99,98.99,98.99,98.99,6
1643151600,98.99,99,99,98.99,15
1643238000,99,100,100,98,31
1643324400,100,99,100,99,14
1643583600,99,99.66,99.66,98,139
1643670000,99,99,99,99,86
1643756400,99,99,99,99,25
1643842800,0,99,99,99,0
1643929200,99,99,99,90,141
1644188400,0,99,99,99,0
1644274800,97,99,99,97,13
1644361200,98,96,98,96,108
1644447600,96,96,96,96,37
1644534000,94,94,94,94,20
1644793200,97,95,97,93,52
1644879600,97,95,97,95,35
1644966000,96,96,96,96,19
1645052400,98,95,99,95,22
1645138800,91.2,92,94,90,63
1645398000,92,89,92,87.15,320
1645484400,89,89,89,89,35
1645570800,0,89,89,89,0
1645657200,85,81,85,80,228
1645743600,81,89,89,81,100
1646002800,85,99.8,100,85,353
1646089200,96,96,96,96,1
1646175600,92,89,96,89,29
1646262000,93,93,93,93,11
1646348400,94.95,91,94.95,91,62
1646607600,87,88,88,85,61
1646694000,88,88,88,88,30
1646780400,86,85,86,83,99
1646866800,85,85,89,85,40
1646953200,84,86,86,84,6
1647212400,85,86,86,85,4
1647298800,86,86,86,86,1
1647385200,81,84,84.98,81,57
1647471600,85,83,85,83,65
1647558000,83,85,85,83,2
1647817200,85,90.99,94.9,85,649
1647903600,90.89,89,90.89,88,70
1647990000,89,91,91,89,180
1648076400,90.99,89,91,89,179
1648162800,86,89,89,85,1115
1648418400,84,83,84.99,83,216
1648504800,83,94,98,83,1869
1648591200,94,92,94,92,40
1648677600,90,90,90,88,34
1648764000,87,94,94,86.01,124
1649023200,91,93,93,87,71
1649109600,0,93,93,93,0
1649196000,93.95,93.95,93.95,93.95,1
1649282400,90,93.85,93.85,90,56
1649368800,90,93.8,93.8,90,36
1649628000,91.99,91.99,91.99,91.99,28
1649714400,91.99,89.02,91.99,89.02,6
1649800800,91,91,91,91,12
1649887200,93.4,93.4,93.4,93.4,2
1650319200,93.6,93.6,93.6,93.4,41
1650405600,93.6,94,105,93.2,408
1650492000,93,93,93,93,21
1650578400,93,93,94,93,73
1650837600,0,93,93,93,0
1650924000,0,93,93,93,0
1651010400,94,94,94,94,6
1651096800,93,93,93,93,1
1651183200,0,93,93,93,0
1651442400,0,93,93,93,0
1651615200,90.2,90,90.2,90,38
1651701600,0,90,90,90,0
1651788000,0,90,90,90,0
1652047200,85,93.8,93.8,85,37
1652133600,90,90,90,90,1
1652220000,90,88,90,88,25
1652306400,0,88,88,88,0
1652392800,85,90,91.2,85,205
1652652000,89,89,89,89,6
1652738400,90,90,90,90,35
1652824800,85.2,90,90,85.2,26
1652911200,86.2,90,90,86.2,5
1652997600,90,90,90,90,1
1653256800,89,89,89,89,12
1653343200,86,89.4,89.4,86,44
1653429600,0,89.4,89.4,89.4,0
1653516000,85,89.4,89.4,85,8
1653602400,89,85.2,89,85.2,16
1653861600,89.2,89.2,89.2,89.2,1
1653948000,85.2,85,85.2,85,53
1654034400,86,85.8,86,85.8,9
1654120800,85.6,85.8,85.8,85.6,9
1654207200,84.6,88,89.8,84,60
1654466400,0,88,88,88,0
1654552800,88,88,88,88,6
1654639200,0,88,88,88,0
1654725600,83.4,88,88,83.4,11
1654812000,0,88,88,88,0
1655071200,0,88,88,88,0
1655157600,88,88,88,85,29
1655244000,83,87.8,87.8,83,9
1655416800,87.8,87.8,87.8,87.8,2
1655676000,87.8,87.8,87.8,87.8,7
1655762400,0,87.8,87.8,87.8,0
1655848800,85,87.8,87.8,85,11
