t,o,c,h,l,v
1416870000,190,200,200,188.5,21488
1416956400,205.3,210,214,201,7040
1417042800,213.8,205.6,213.8,202.5,3241
1417129200,206.7,212,213.8,202,3794
1417388400,213.1,211.5,213.1,208,328
1417474800,208.7,210.05,212,208.6,561
1417561200,211,207.9,211,204,958
1417647600,206.5,207,207.5,206.5,633
1417734000,206.75,207.95,207.95,206.5,499
1417993200,207.95,206.95,207.95,206.5,637
1418079600,206.5,206.6,207,203.1,1098
1418166000,204,204.15,205.8,203.5,198
1418252400,204.1,194,204.1,191.3,1628
1418338800,195,196,198.5,194.1,351
1418598000,195.5,198.3,198.3,195,150
1418684400,198.3,197.95,198.35,193.4,334
1418770800,198.35,195,198.35,195,62
1418857200,195,194,197,194,438
1418943600,192.1,191.5,192.5,191.1,228
1419202800,191.1,193,195,191,257
1419289200,191.1,192.5,192.5,191.1,105
1419807600,192,192,193.1,192,135
1419894000,193.15,198,198,193.15,2376
1420153200,198,197.25,202.9,195,233
1420412400,198.5,198,198.5,197.5,246
1420585200,198,198,198,193,75
1420671600,198.5,198,198.5,195,82
1420758000,198.9,194.8,198.9,194.8,5657
1421017200,195,195,195.9,194.8,1293
1421103600,193.1,189,193.5,188.6,8296
1421190000,188.6,185,188.6,181,6690
1421276400,185,184.85,185,177.2,2261
1421362800,182.5,184.85,184.85,180,1889
1421622000,183.4,184.85,184.85,180.35,4613
1421708400,181,193.5,193.5,181,30185
1421794800,191,193.5,193.5,188,154
1421881200,191,193.45,193.5,191,280
1421967600,191,193,193,191,158
1422226800,191,193.2,193.45,191,211
1422313200,193.45,193.45,193.45,193.45,51
1422399600,191,190.55,191,190.55,207
1422486000,190.55,193,193,190.55,378
1422572400,190.55,193,193,190.55,224
1422831600,190.55,192.9,192.9,190.55,33
1422918000,190.55,191.95,191.95,190.55,91
1423004400,189,191,191,186.1,5126
1423090800,0,191,191,191,0
1423177200,186.1,186.1,186.1,186.1,249
1423436400,186,185.95,186,185.95,33
1423522800,185.55,186,186,180,211
1423609200,181,186,186,181,41
1423695600,186,186,186,180,82
1423782000,0,186,186,186,0
1424041200,186,190,190.9,186,468
1424127600,190,190,194.85,190,5163
1424214000,188,189,189,188,13
1424300400,189.5,196,196,184,2220
1424386800,195,196.5,196.5,195,15
1424646000,186.3,186.3,186.3,186.3,7
1424732400,189,190,190,187.1,138
1424818800,189.65,194.5,195,189.65,7547
1424905200,193.6,194.9,194.9,190,29
1424991600,190,190,194.9,190,820
1425250800,190,192,192,190,76
1425337200,190,190,192,188,157
1425423600,191.8,191.9,191.95,191.8,178
1425510000,191.9,191.9,191.9,190,262
1425596400,190,191,191,190,55
1425855600,190,190,190,189,72
1425942000,188.4,190,190,188.4,23
1426028400,190,189.9,190,189,5042
1426114800,189,189.9,189.9,189,35
1426201200,188.4,188.3,189.85,188.3,1087
1426460400,188.2,204.35,204.35,188.2,2690
1426546800,204,204.25,204.35,200,2647
1426633200,204.3,203.8,204.3,201.5,176
1426719600,203.8,203,203.8,202,167
1426806000,203,202.5,203,200,107
1427065200,200,203,203,196.5,226
1427151600,203.7,205.9,206,200.5,727
1427238000,202.1,209,209,202.1,4926
1427324400,205.25,206,206,205,111
1427410800,202.35,209,209,200.1,243
1427666400,209,208.9,209,208,38
1427752800,208,209,209,208,272
1427839200,209,210,210,203.5,306
1427925600,210,214.8,215,210,542
1428357600,215,214.8,215,208.3,808
1428444000,214,235,235,214,11097
1428530400,235,245,248,232,3844
1428616800,244.8,244,245,240,453
1428876000,243.95,245,245,240.2,386
1428962400,245,244.85,245,240,48
1429048800,237.5,240,244.5,230,119
1429135200,240.5,232.8,240.5,227,373
1429221600,227.5,235,235,227.5,136
1429480800,232.95,234.5,235,228.25,117
1429567200,230,228,230,228,78
1429653600,228,228,228,228,115
1429740000,0,228,228,228,0
1429826400,228,228,228,223,116
1430085600,228,228,228,228,53
1430172000,228,229,229,228,93
1430258400,226,232.8,232.8,225.1,107
1430344800,229,232.8,232.8,225.1,114
1430690400,232.8,237,237,232.8,348
1430776800,236,236,236,236,1
1430863200,236,235,236,235,315
1430949600,230,238.8,239,230,33
1431036000,236.5,237,237,231.05,9001
1431295200,232,236.9,236.9,232,47
1431381600,240,239.8,240,236.9,113
1431468000,239.8,239.75,239.8,239.75,80
1431554400,238.8,240,240,237,251
1431640800,232,239,239,232,61
1431900000,238,232,238,232,90
1431986400,236,239.5,239.5,236,21
1432072800,239.5,239.5,239.5,239.5,165
1432159200,232.05,230.1,237.95,230.1,87
1432245600,230.35,230.05,234.55,230.05,37
1432504800,235,232,235,232,127
1432591200,230.05,234,234,230,216
1432677600,236.05,233,236.05,233,189
1432764000,234,232,234,217,175
1432850400,230,230,230,225,564
1433109600,225.3,232,232,225.3,125
1433196000,231,229,231,229,403
1433282400,226,226,226,226,1
1433455200,229,229,229,229,3
1433714400,0,229,229,229,0
1433800800,229,228.9,231,215,75
1433887200,228.9,231.8,231.8,228.9,15
1433973600,223.9,231,231,223.9,80
1434060000,224.1,230.5,230.5,224.1,9
1434319200,220,230,230,220,106
1434405600,223.5,230.2,230.2,223.5,222
1434492000,225,230.8,230.8,225,120
1434578400,225,230,230,220.55,728
1434664800,224,229.5,229.5,224,171
1434924000,222.05,228.95,228.95,222.05,31
1435010400,228.95,228.95,228.95,228.95,2
1435096800,227,227,227,227,2
1435183200,223.25,222,225.25,222,50
1435269600,222.05,218.25,222.5,218.25,489
1435528800,214.25,223.95,223.95,202.25,336
1435615200,0,223.95,223.95,223.95,0
1435701600,0,223.95,223.95,223.95,0
1435788000,220,221,221,210.1,478
1435874400,220,220,220,220,10
1436133600,214.9,221.3,221.3,214.9,1220
1436220000,218.1,220,220,218.1,12
1436306400,220,228,228,218.1,182
1436392800,215.15,228.8,228.8,215.15,403
1436479200,228,228,228,228,62
1436738400,228,228,228,228,55
1436824800,225,229.4,229.4,225,19
1436911200,229.4,229.4,229.4,229.4,164
1436997600,227,232.05,234.35,227,723
1437084000,234,234,234.4,234,1288
1437343200,234,230,234,230,317
1437429600,234,232,234,232,290
1437516000,233,231,233,231,80
1437602400,230,230,230,230,17
1437688800,233.95,234.25,234.25,230,60
1437948000,234,234,234,234,4
1438034400,0,234,234,234,0
1438120800,234,229,234,229,81
1438207200,233.35,233.35,233.35,233.35,249
1438293600,223.35,232.65,232.65,223.3,44
1438552800,0,232.65,232.65,232.65,0
1438639200,228,232.65,232.65,226,126
1438725600,230,244.9,244.9,230,2701
1438812000,245,245,245,240,224
1438898400,246.75,244.7,246.75,233,161
1439157600,245,245,245,245,20
1439244000,245,245,245,245,5
1439330400,245,245,245,245,181
1439416800,245.9,245.9,245.9,240,55
1439503200,0,245.9,245.9,245.9,0
1439762400,238,244,244,238,18
1439848800,244,244,244,244,18
1439935200,0,244,244,244,0
1440021600,0,244,244,244,0
1440108000,241,244,244,238,143
1440367200,233,234.95,234.95,221,935
1440453600,229,232.65,233.7,229,269
1440540000,228,232.9,232.9,228,209
1440626400,228,228,233,228,261
1440712800,228,236,236,228,304
1440972000,238.1,244,244,238.1,240
1441058400,243,244,244,229,922
1441144800,243,243,243,243,1061
1441231200,0,243,243,243,0
1441317600,0,243,243,243,0
1441576800,236.1,242.9,242.9,235,193
1441663200,0,242.9,242.9,242.9,0
1441749600,240,241,243,240,5093
1441836000,235,242,242,235,102
1441922400,239,237,239,235,658
1442181600,242,241,242,241,12
1442268000,241,241,241,241,41
1442354400,241,236,241,234.2,61
1442440800,235,235,235,235,2
1442527200,235,233.1,239,233.1,5649
1442786400,239,243,243,238.9,288
1442872800,243,243.5,245,236.1,160
1442959200,240,245,245,238,143
1443045600,245,245,245,245,10
1443132000,0,245,245,245,0
1443391200,237,245,245,237,100
1443477600,238,235,238.5,235,194
1443564000,243.9,245,245,243.9,240
1443650400,0,245,245,245,0
1443736800,0,245,245,245,0
1443996000,245,245,245,244,176
1444082400,245,246,250,243,220
1444168800,246,255,255,246,125
1444255200,251,259,259,250,141
1444341600,259,265,265,255,97
1444600800,265,265,265,255,68
1444687200,0,265,265,265,0
1444773600,260,260,260,255,58
1444860000,255,255,255,255,1
1444946400,260,257,260,257,31
1445205600,255,265,265,255,76
1445292000,256.1,266,270,256.1,114
1445378400,265,265,265,265,53
1445464800,265,264.5,265,253.5,69
1445551200,256,263,264,256,38
1445814000,0,263,263,263,0
1445900400,263,262,263,253,117
1445986800,262,262,262,262,12
1446073200,253,260,260,253,49
1446159600,0,260,260,260,0
1446418800,0,260,260,260,0
1446505200,252.4,260,260,252,76
1446591600,259.5,260,260,259.5,300
1446678000,0,260,260,260,0
1446764400,0,260,260,260,0
1447023600,253,250,253,250,448
1447110000,250,250,250,250,20
1447282800,0,250,250,250,0
1447369200,252.9,251.95,252.9,246.5,103
1447628400,253,258.95,258.95,250,157
1447714800,259.95,257,259.95,257,107
1447801200,250,245.05,256.65,245.05,3478
1447887600,245.05,253.9,258,245.05,6278
1447974000,254.95,256.95,256.95,249.6,1088
1448233200,255,253.9,255,250.05,330
1448319600,257.75,253.85,257.75,251,53
1448406000,251.9,256.9,256.9,251.9,45
1448492400,250,249.15,251,249.15,74
1448578800,249.15,253,253,248,53
1448838000,252.95,252.6,252.95,252.6,2
1448924400,252.25,249.5,252.25,249.5,76
1449010800,247.2,249.8,250,241,108
1449097200,249,249,249,249,4
1449183600,249.8,250,250,236.5,540
1449442800,249,249,249,249,3
1449529200,246.5,248,248,246.5,2
