t,o,c,h,l,v
1239746400,8.49,7.79,8.49,7.53,7703
1239832800,7.61,6.98,7.61,6.72,10085
1239919200,7.2,6.95,7.27,6.95,3612
1240178400,7,6.45,7,6.45,2369
1240264800,6.4,6.15,6.4,6.15,1001
1240351200,6.25,6.35,6.4,6.25,1889
1240437600,6.69,6.57,6.69,6.57,2469
1240524000,6.85,6.58,6.85,6.58,147
1240783200,6.8,7.2,7.2,6.8,273
1240869600,7.12,6.9,7.12,6.9,215
1240956000,6.9,6.89,7.2,6.89,2453
1241042400,7.4,6.16,7.4,6.16,4647
1241388000,7.39,6.75,7.4,6.75,7845
1241474400,7.38,6.85,7.38,6.85,753
1241560800,6.76,6.9,6.9,6.5,2649
1241647200,7.2,6.7,7.2,6.7,3190
1241733600,7.12,6.86,7.12,6.53,1966
1241992800,6.89,6.5,6.89,6.41,6925
1242079200,6.49,6.3,6.49,6.28,5449
1242165600,6.41,6,6.41,6,6881
1242252000,6.3,6.06,6.3,6.06,1854
1242338400,6.1,6.05,6.1,6.05,447
1242597600,6.4,6.05,6.4,6.05,2397
1242684000,6.3,5.92,6.3,5.92,3902
1242770400,6.21,5.95,6.21,5.92,95
1242856800,5.95,6.1,6.1,5.95,1671
1242943200,6.21,6.21,6.21,6.21,2
1243202400,6.05,5.9,6.05,5.9,692
1243288800,6.05,6.05,6.05,6.05,11
1243375200,6,6,6,6,315
1243461600,6,6,6,6,850
1243548000,6,5.95,6,5.95,423
1243807200,6,5.99,6,5.99,421
1243893600,5.99,5.9,5.99,5.9,74
1243980000,5.96,5.91,6,5.91,1049
1244066400,6.04,5.91,6.04,5.91,583
1244152800,6,5.71,6,5.71,477
1244412000,5.85,5.4,5.85,5.4,3571
1244498400,5.79,5.55,5.79,5.55,1355
1244584800,5.8,5.8,5.8,5.8,50
1244757600,6,5.86,6,5.86,465
1245016800,5.95,5.68,5.95,5.68,416
1245103200,5.81,5.88,5.88,5.81,266
1245189600,5.8,5.8,5.8,5.62,307
1245276000,5.79,5.22,5.79,5.22,20
1245362400,5.63,5.85,5.9,5.63,784
1245621600,5.91,5.45,5.91,5.34,1851
1245708000,5.34,5.41,5.7,5.2,1099
1245794400,5.7,5.56,5.7,5.56,103
1245880800,5.7,5.56,5.7,5.56,230
1245967200,5.7,5.7,5.7,5.7,24
1246226400,5.46,5.59,5.59,5.46,109
1246312800,5.59,5.46,5.59,5.46,88
1246399200,5.55,5.55,5.55,5.55,80
1246485600,5.56,5.56,5.56,5.56,90
1246572000,5.65,5.65,5.65,5.65,13
1246831200,5.51,5.65,5.65,5.51,103
1246917600,5.65,5.65,5.65,5.65,12
1247004000,5.67,5.44,5.67,5.44,242
1247090400,5.65,5.65,5.65,5.65,78
1247176800,5.64,5.64,5.64,5.64,5
1247436000,5.6,5.6,5.6,5.6,5
1247522400,5.64,5.64,5.64,5.64,5
1247608800,5.64,5.64,5.64,5.64,10
1247695200,5.7,5.6,5.7,5.6,210
1247781600,5.6,5.4,5.6,5.4,530
1248040800,5.36,5.36,5.36,5.36,20
1248127200,5.55,5.55,5.55,5.55,20
1248213600,5.59,5.5,5.59,5.5,76
1248300000,5.59,5.58,5.59,5.58,331
1248386400,5.6,5.37,5.6,5.36,3135
1248645600,5.37,5.37,5.37,5.37,20
1248732000,5.37,5.34,5.37,5.33,1935
1248818400,5.45,5.3,5.5,5,12650
1248904800,5.31,5,5.31,5,8935
1248991200,5.27,5,5.32,5,8973
1249250400,5.16,5.06,5.22,5.06,964
1249336800,5.07,5.29,5.29,5.06,3734
1249423200,5.3,5.35,5.4,5.3,1839
1249509600,5.4,5.4,5.4,5.4,49
1249596000,5.5,5.4,5.5,5.3,782
1249855200,5.55,5.35,5.55,5.35,1572
1249941600,5.55,5.71,5.71,5.5,3514
1250028000,5.85,5.9,5.98,5.73,1577
1250114400,6,7.3,7.3,6,18648
1250200800,7.31,6.51,8.04,6.51,65849
1250460000,6.87,6.4,6.87,6.2,9214
1250546400,6.58,6.28,6.7,6.01,2102
1250632800,6.3,6.1,6.3,5.66,17204
1250719200,6.04,6.02,6.05,5.84,1623
1250805600,6.01,6.3,6.3,5.87,4043
1251064800,6.69,6.6,6.83,6.37,10580
1251151200,6.55,6.36,6.55,6.01,9685
1251237600,6.34,6.38,6.38,6,5321
1251324000,6.3,6.35,6.41,6.15,1925
1251410400,6.4,6.13,6.4,6,5159
1251669600,6.21,6.15,6.21,6,1632
1251756000,6.09,5.71,6.09,5.71,3008
1251842400,5.71,5.38,5.71,5.36,3269
1251928800,5.87,5.37,5.87,5.36,3400
