t,o,c,h,l,v
1275861600,0.57,0.52,0.64,0.52,164242
1275948000,0.54,0.54,0.57,0.5,122676
1276034400,0.55,0.54,0.57,0.5,31103
1276120800,0.56,0.55,0.57,0.5,29782
1276207200,0.55,0.5,0.55,0.5,30915
1276466400,0.5,0.53,0.53,0.5,8030
1276552800,0.53,0.58,0.6,0.53,51617
1276639200,0.59,0.56,0.6,0.56,6631
1276725600,0.6,0.64,0.64,0.6,4864
1276812000,0.64,0.54,0.64,0.54,22646
1277071200,0.57,0.63,0.63,0.55,15183
1277157600,0.61,0.55,0.61,0.55,550
1277244000,0.56,0.5,0.56,0.49,83384
1277330400,0.46,0.46,0.46,0.46,1818
1277416800,0.44,0.47,0.51,0.44,32935
1277676000,0.47,0.48,0.52,0.46,18701
1277762400,0.45,0.42,0.45,0.4,43479
1277848800,0.42,0.44,0.44,0.4,14590
1277935200,0.44,0.42,0.44,0.38,4517
1278021600,0.39,0.39,0.39,0.39,1
1278280800,0.42,0.42,0.42,0.42,200
1278367200,0.42,0.42,0.42,0.42,100
1278453600,0.42,0.39,0.42,0.39,401
1278540000,0.39,0.41,0.41,0.39,2615
1278626400,0.42,0.39,0.42,0.39,300
1278885600,0.39,0.41,0.41,0.39,2625
1278972000,0,0.41,0.41,0.41,0
1279058400,0.39,0.39,0.39,0.39,301
1279144800,0.39,0.41,0.41,0.39,801
1279231200,0.41,0.46,0.48,0.41,18000
1279490400,0.52,0.5,0.52,0.5,1985
1279576800,0.51,0.54,0.54,0.51,24585
1279663200,0.55,0.53,0.55,0.5,27827
1279749600,0.52,0.54,0.54,0.48,11402
1279836000,0.53,0.5,0.53,0.46,12962
1280095200,0.49,0.48,0.49,0.44,22290
1280181600,0,0.48,0.48,0.48,0
1280268000,0.5,0.5,0.5,0.5,501
1280354400,0,0.5,0.5,0.5,0
1280440800,0,0.5,0.5,0.5,0
1280700000,0.5,0.5,0.5,0.47,18155
1280786400,0.51,0.51,0.51,0.51,22
1280872800,0.51,0.53,0.53,0.47,39952
1280959200,0.53,0.53,0.53,0.53,100
1281045600,0.53,0.5,0.53,0.5,6000
1281304800,0.49,0.5,0.5,0.49,116
1281391200,0,0.5,0.5,0.5,0
1281477600,0.5,0.51,0.51,0.5,1616
1281564000,0.5,0.49,0.5,0.49,1480
1281650400,0.5,0.53,0.53,0.5,5000
1281909600,0.53,0.53,0.53,0.52,5510
1281996000,0.53,0.53,0.53,0.53,500
1282082400,0.51,0.5,0.51,0.5,2000
1282168800,0.47,0.5,0.5,0.47,510
1282255200,0.47,0.5,0.5,0.47,510
1282514400,0.5,0.5,0.5,0.5,100
1282600800,0.51,0.51,0.51,0.51,10
1282687200,0,0.51,0.51,0.51,0
1282773600,0.51,0.51,0.51,0.51,200
1282860000,0.51,0.51,0.51,0.51,100
1283119200,0.51,0.53,0.53,0.48,22900
1283205600,0.53,0.53,0.53,0.53,100
1283292000,0.53,0.5,0.53,0.45,26812
1283378400,0.5,0.5,0.5,0.5,1270
1283464800,0.5,0.5,0.5,0.5,100
1283724000,0.5,0.51,0.51,0.48,16120
1283810400,0.51,0.51,0.51,0.51,100
1283896800,0.51,0.53,0.53,0.51,8100
1283983200,0.53,0.53,0.53,0.53,10820
1284069600,0.53,0.53,0.53,0.53,100
1284328800,0.54,0.63,0.63,0.54,91722
1284415200,0.63,0.63,0.64,0.53,67592
1284501600,0.64,0.64,0.64,0.64,100
1284588000,0.62,0.7,0.7,0.62,14100
1284674400,0.74,0.73,0.8,0.72,43844
1284933600,0.74,0.79,0.8,0.73,11706
1285020000,0.76,0.83,0.83,0.76,21800
1285106400,0.84,0.84,0.92,0.84,13222
1285192800,0.84,0.95,1,0.83,211311
1285279200,0.99,1.1,1.1,0.99,1990
1285538400,1.14,1.15,1.15,1.09,3900
1285624800,1.09,1.09,1.09,1.09,100
1285711200,1.09,1.15,1.15,0.91,9350
1285797600,1.15,1.15,1.15,1,9740
1285884000,1.15,1.15,1.15,1.15,20
1286143200,1.15,1.15,1.15,1.15,50
1286229600,1.15,1.1,1.15,0.95,16929
1286316000,1.1,1.1,1.1,1.1,20
1286402400,1.1,1.1,1.1,1.1,100
1286488800,1.1,1.1,1.1,1.1,100
1286748000,1.1,0.99,1.1,0.99,8420
1286834400,0.93,1.04,1.04,0.9,12900
1286920800,1.03,0.92,1.03,0.92,2320
1287007200,0.95,0.9,0.96,0.9,7900
1287093600,0,0.9,0.9,0.9,0
1287352800,0,0.9,0.9,0.9,0
1287439200,0.92,0.92,0.92,0.92,5
1287525600,0.92,0.94,0.94,0.85,9224
1287612000,0.94,0.94,0.99,0.94,2850
1287698400,0.94,0.94,0.94,0.94,100
1287957600,0.94,0.94,0.94,0.94,100
1288044000,0.94,0.94,0.94,0.94,100
1288130400,0.94,0.94,0.94,0.94,100
1288216800,0.94,0.8,0.94,0.8,13570
1288303200,0.78,0.86,0.86,0.78,19060
1288652400,0.86,0.82,0.86,0.82,700
1288738800,0,0.82,0.82,0.82,0
1288825200,0.84,0.88,0.92,0.81,19400
1288911600,0.89,0.89,0.89,0.89,50
1289170800,0.89,0.9,0.91,0.89,3250
1289257200,0.91,0.91,0.91,0.91,200
1289343600,0.92,0.94,0.95,0.89,22130
1289516400,0.94,0.95,0.95,0.94,1650
1289775600,0.95,1.03,1.08,0.94,22557
1289862000,1.09,1.04,1.1,0.92,25165
1289948400,1.05,1.17,1.18,1.05,19194
1290034800,1.14,1.09,1.14,1.09,2100
1290121200,1.12,1.12,1.12,1.07,10430
1290380400,1.12,1.07,1.12,1.07,2510
1290466800,1.07,1.07,1.07,1.02,5110
1290553200,0.98,1.02,1.02,0.98,1998
1290639600,0.99,0.96,0.99,0.9,10645
1290726000,0.96,1.01,1.01,0.96,3136
1290985200,1.02,1.04,1.04,1.02,3000
1291071600,0.99,1.03,1.04,0.99,15061
1291158000,1.03,1.1,1.15,1.03,16980
1291244400,1.1,1.06,1.11,1.06,8942
1291330800,0,1.06,1.06,1.06,0
1291590000,1.09,1,1.1,1,4800
1291676400,1,0.97,1,0.97,2400
1291762800,0.97,0.97,0.97,0.97,100
1291849200,0,0.97,0.97,0.97,0
1291935600,1,1.02,1.02,1,200
1292194800,1,1,1,1,100
1292281200,0.96,0.99,0.99,0.95,5651
1292367600,0.98,0.96,0.98,0.91,11980
1292454000,0.96,0.91,0.97,0.91,6050
1292540400,0.9,0.9,0.9,0.9,100
1292799600,0.9,0.91,0.91,0.9,7100
1292886000,0.9,0.88,0.9,0.88,1525
1292972400,0.88,0.78,0.88,0.78,15800
1293058800,0.78,0.78,0.82,0.78,6121
1293404400,0.77,0.77,0.77,0.77,190
1293490800,0.77,0.74,0.82,0.74,13262
1293577200,0.74,0.8,0.8,0.72,6030
1293663600,0.8,0.8,0.8,0.8,100
1293750000,0.8,0.82,0.82,0.8,4600
1294009200,0.82,0.9,0.9,0.82,7660
1294095600,0.9,0.89,0.94,0.89,4600
1294182000,0.88,0.88,0.88,0.88,100
1294354800,0.88,0.88,0.88,0.88,240
1294614000,0.9,0.86,0.91,0.86,11445
1294700400,0.84,0.84,0.84,0.8,7035
1294786800,0.84,0.81,0.84,0.78,8100
1294873200,0.78,0.78,0.78,0.78,1000
1294959600,0.78,0.76,0.78,0.76,20501
1295218800,0,0.76,0.76,0.76,0
1295305200,0.78,0.78,0.78,0.78,2300
1295391600,0.79,0.79,0.79,0.79,100
1295478000,0.79,0.79,0.79,0.79,100
1295564400,0.79,0.79,0.79,0.79,150
1295823600,0.79,0.75,0.79,0.72,24070
1295910000,0.76,0.76,0.76,0.76,500
1295996400,0.76,0.76,0.76,0.76,3100
1296082800,0.76,0.82,0.82,0.76,19544
1296169200,0.82,0.82,0.88,0.82,10090
1296428400,0.86,0.86,0.87,0.85,5623
1296514800,0.86,0.87,0.87,0.86,2600
1296601200,0.87,0.84,0.9,0.82,6450
1296687600,0.84,0.91,0.91,0.84,5300
1296774000,0.91,0.95,0.95,0.9,7100
1297033200,0.95,0.95,0.95,0.95,1300
1297119600,0.95,0.95,0.95,0.95,1100
1297206000,0.95,0.94,0.98,0.94,5720
1297292400,0.94,0.88,0.94,0.88,2800
1297378800,0.88,0.88,0.88,0.88,206
1297638000,0.88,0.94,0.94,0.88,1215
1297724400,0.93,0.84,0.93,0.84,3500
1297810800,0.86,0.8,0.9,0.8,10930
1297897200,0.74,0.78,0.78,0.74,5063
1297983600,0.78,0.79,0.79,0.78,1820
1298242800,0.79,0.73,0.79,0.73,18086
1298329200,0.72,0.71,0.72,0.7,32860
1298415600,0.68,0.68,0.68,0.68,200
1298502000,0.71,0.71,0.71,0.71,850
1298588400,0.72,0.72,0.72,0.72,100
1298847600,0.72,0.72,0.72,0.72,100
1298934000,0.72,0.72,0.72,0.72,100
1299020400,0.72,0.72,0.72,0.72,100
1299106800,0.72,0.74,0.74,0.72,1709
1299193200,0.75,0.7,0.75,0.7,9070
1299452400,0,0.7,0.7,0.7,0
1299538800,0,0.7,0.7,0.7,0
1299625200,0,0.7,0.7,0.7,0
1299711600,0.71,0.71,0.71,0.71,100
1299798000,0,0.71,0.71,0.71,0
1300057200,0.72,0.72,0.72,0.72,400
1300143600,0.7,0.67,0.7,0.67,4626
1300230000,0.67,0.66,0.67,0.66,2924
1300316400,0.66,0.66,0.66,0.66,175
1300402800,0,0.66,0.66,0.66,0
1300662000,0,0.66,0.66,0.66,0
1300748400,0.68,0.68,0.68,0.68,375
1300834800,0.69,0.69,0.69,0.69,100
1300921200,0.69,0.69,0.69,0.69,1020
1301007600,0,0.69,0.69,0.69,0
1301263200,0.7,0.74,0.74,0.7,2730
1301349600,0.74,0.74,0.74,0.74,20
1301436000,0.7,0.74,0.74,0.69,1750
1301522400,0.72,0.68,0.72,0.68,1505
1301608800,0.68,0.67,0.68,0.66,1500
1301868000,0.67,0.69,0.69,0.67,1795
1301954400,0,0.69,0.69,0.69,0
1302040800,0,0.69,0.69,0.69,0
1302127200,0,0.69,0.69,0.69,0
1302213600,0,0.69,0.69,0.69,0
1302472800,0,0.69,0.69,0.69,0
1302559200,0,0.69,0.69,0.69,0
1302645600,0.67,0.64,0.67,0.64,10429
1302732000,0,0.64,0.64,0.64,0
1302818400,0,0.64,0.64,0.64,0
1303077600,0,0.64,0.64,0.64,0
1303164000,0.63,0.62,0.63,0.61,8350
1303250400,0.63,0.67,0.67,0.63,4019
1303336800,0.67,0.71,0.75,0.67,10181
1303768800,0.69,0.65,0.69,0.65,21290
1303855200,0.64,0.59,0.64,0.59,43990
1303941600,0.58,0.56,0.6,0.53,77164
1304028000,0.56,0.66,0.67,0.56,71549
1304287200,0.66,0.63,0.66,0.63,10825
1304460000,0.65,0.67,0.75,0.65,17614
1304546400,0.67,0.66,0.67,0.65,18905
1304632800,0.65,0.67,0.68,0.64,34875
1304892000,0.67,0.72,0.79,0.67,106591
1304978400,0.74,0.74,0.76,0.7,25454
1305064800,0.74,0.74,0.74,0.71,11252
1305151200,0.71,0.6,0.73,0.6,21207
1305237600,0.59,0.56,0.59,0.54,28627
1305496800,0.56,0.53,0.56,0.53,4011
1305583200,0.53,0.51,0.53,0.51,6160
1305669600,0.5,0.5,0.51,0.5,22402
1305756000,0.5,0.54,0.54,0.5,6718
1305842400,0,0.54,0.54,0.54,0
1306101600,0.56,0.53,0.57,0.53,22301
1306188000,0.55,0.53,0.57,0.53,12463
1306274400,0.53,0.49,0.53,0.48,9143
1306360800,0.49,0.52,0.52,0.49,7173
1306447200,0.52,0.59,0.62,0.52,26294
1306706400,0.59,0.59,0.69,0.59,24970
1306792800,0.59,0.55,0.59,0.55,5170
1306879200,0.57,0.57,0.57,0.57,1690
1306965600,0.57,0.57,0.57,0.57,200
