t,o,c,h,l,v
1295218800,4,4.12,4.2,3.9,12219
1295305200,4.12,4.09,4.15,3.9,10110
1295391600,4,4,4.25,3.9,28642
1295478000,4,4.07,4.2,3.9,24006
1295564400,4.06,4.01,4.07,3.89,9813
1295823600,3.9,3.96,4.04,3.9,106046
1295910000,3.85,3.91,3.98,3.85,4632
1295996400,3.9,3.85,3.96,3.8,113647
1296082800,3.88,3.94,4.08,3.8,35938
1296169200,3.95,3.95,3.98,3.88,8210
1296428400,4.04,4.08,4.2,4.01,10088
1296514800,4.08,4.09,4.19,4,12573
1296601200,4,4.09,4.09,3.92,11104
1296687600,4.09,4.12,4.12,4.08,2065
1296774000,4.01,3.99,4.01,3.85,24300
1297033200,4.01,3.97,4.01,3.9,19295
1297119600,3.95,4,4,3.9,3658
1297206000,4.1,3.98,4.1,3.8,4313
1297292400,3.8,3.99,4,3.8,1985
1297378800,3.98,4,4.08,3.82,4488
1297638000,3.99,3.95,3.99,3.84,4972
1297724400,3.92,3.95,3.95,3.84,1480
1297810800,3.9,3.95,3.95,3.9,2000
1297897200,3.87,3.9,3.9,3.86,3260
1297983600,3.86,3.97,3.97,3.86,1001
1298242800,3.95,4,4,3.95,2556
1298329200,4,4,4,3.87,3550
1298415600,3.97,4,4,3.97,5187
1298502000,3.95,4,4,3.95,5153
1298588400,4.04,4.22,4.37,4.04,23652
1298847600,4.26,4.19,4.26,4.12,9371
1298934000,4.16,4.21,4.21,4.16,7401
1299020400,4.16,4.2,4.34,4.16,25791
1299106800,4.17,4.16,4.28,4.16,1279
1299193200,4.13,4.14,4.2,3.96,10825
1299452400,3.91,4.1,4.1,3.91,580
1299538800,4.15,4.32,4.35,4.1,64318
1299625200,4.35,4.34,4.35,4.04,4410
1299711600,4.36,4.4,4.4,4.21,12947
1299798000,4.3,4.35,4.4,4.3,955
1300057200,4.21,4.37,4.38,4.2,8998
1300143600,4.14,4.37,4.37,4.14,3252
1300230000,4.33,4.15,4.35,4.15,7612
1300316400,4.17,4.28,4.28,4.12,5064
1300402800,4.34,4.13,4.34,4.13,1140
1300662000,4.23,4.23,4.23,4.1,16748
1300748400,4.21,4.22,4.22,4.11,1908
1300834800,4.18,4.11,4.22,4.1,30125
1300921200,4.12,4.22,4.22,4.12,1818
1301007600,4.15,4.22,4.22,4.15,1033
1301263200,4.2,4.29,4.29,4.2,1365
1301349600,4.28,4.25,4.29,4.25,6828
1301436000,4.3,4.4,4.45,4.28,22926
1301522400,4.39,4.4,4.4,4.38,7410
1301608800,4.4,4.4,4.4,4.4,1197
1301868000,4.4,4.46,4.47,4.39,3121
1301954400,4.45,4.48,4.48,4.4,14808
1302040800,4.4,4.46,4.46,4.4,1213
1302127200,4.4,4.5,4.55,4.39,14667
1302213600,4.41,4.48,4.48,4.4,2412
1302472800,4.5,4.48,4.5,4.48,250
1302559200,4.35,4.47,4.47,4.3,2450
1302645600,0,4.47,4.47,4.47,0
1302732000,4.45,4.45,4.45,4.45,595
1302818400,0,4.45,4.45,4.45,0
1303077600,4.3,4.42,4.42,4.26,1350
1303164000,4.2,4.15,4.37,4.11,9041
1303250400,4.15,4.15,4.23,4.15,10959
1303336800,4.15,4.19,4.23,4.15,15230
1303768800,4.21,4.21,4.21,4.21,250
1303855200,4.29,4.27,4.29,4.27,1921
1303941600,4.22,4.25,4.25,4.18,1231
1304028000,4.25,4.24,4.25,4.13,2153
1304287200,4.24,4.1,4.24,4.1,1001
1304460000,4.1,4.23,4.24,4.1,476
1304546400,4.14,4.21,4.21,4.1,1658
1304632800,4.21,4.15,4.21,4.15,901
1304892000,4.15,4.15,4.21,4.15,11579
1304978400,4.15,4.15,4.2,4.15,2483
1305064800,4.15,4.15,4.15,4.15,7831
1305151200,4.15,4.17,4.2,4.15,100
1305237600,4.14,4.12,4.2,4.1,2404
1305496800,4.1,4.15,4.19,4.1,613
1305583200,4.1,4.15,4.15,4.1,29522
1305669600,4.1,4.14,4.14,4.1,4700
1305756000,4.1,4.01,4.14,4,1824
1305842400,4.15,4.04,4.15,4.04,2671
1306101600,4.15,4.04,4.15,4,14099
1306188000,4,4.1,4.1,4,14918
1306274400,4.09,4.1,4.1,4.09,1500
1306360800,4.1,4.1,4.1,4.1,2521
1306447200,4.1,3.95,4.1,3.95,261
1306706400,4,4,4,4,637
1306792800,4,4,4.07,4,2110
1306879200,4,4.09,4.09,3.99,3692
1306965600,0,4.09,4.09,4.09,0
1307052000,4.07,4.05,4.09,4.05,2501
1307311200,4.09,4.05,4.09,4.05,501
1307397600,4.09,4.08,4.09,3.95,101
1307484000,4,4.09,4.09,3.95,984
1307570400,3.95,4.09,4.09,3.95,3603
1307656800,3.99,4.06,4.06,3.99,405
1307916000,3.99,4,4.09,3.8,3796
1308002400,3.8,4,4.04,3.8,142
1308088800,3.96,3.99,4,3.95,110
1308175200,4,4,4.08,3.8,33861
1308261600,3.8,4,4,3.8,31869
1308520800,0,4,4,4,0
1308607200,0,4,4,4,0
1308693600,3.97,3.97,3.97,3.97,120
1308866400,3.8,3.8,3.8,3.8,116
1309125600,3.8,3.8,3.8,3.8,5253
1309212000,3.84,3.75,3.85,3.75,7469
