t,o,c,h,l,v
1620252000,53.99,52.4,57.77,51.5,21131
1620338400,52.5,52.6,54,51,30587
1620597600,53.89,52.6,53.9,52.4,122127
1620684000,53.9,51.51,53.9,51.5,908
1620770400,51.51,52,52,51.5,1286
1620856800,53,52,53,52,284
1620943200,51.5,51.02,52,50.8,455
1621202400,51.02,51.07,51.08,50.9,648
1621288800,50.86,50.82,52.11,50.72,1246
1621375200,51.2,52,52,51.2,119
1621461600,51.01,52.7,52.7,51,516
1621548000,52.7,54,54,52.5,334
1621807200,54,54,54.6,52,540
1621893600,51.19,51.68,52.8,51.19,1185
1621980000,52.7,51.99,52.7,51.12,1226
1622066400,51.99,51.5,52,51.5,1552
1622152800,51.96,51.16,51.99,51.16,394
1622412000,51.16,51.84,51.84,50,329
1622498400,51.99,51.98,51.99,50.9,444
1622584800,51.98,51.98,51.98,51.98,12
1622757600,51.7,52,52,51.2,535
1623016800,52,51.6,52,51.01,747
1623103200,52,51.9,52,51.9,346
1623189600,53.6,52,53.6,52,76
1623276000,52,52,52.8,51.9,2699
1623362400,53.7,53.6,53.7,53.6,87
1623621600,53.75,53,53.75,52.5,1107
1623708000,53.75,53.01,53.75,53.01,374
1623794400,53,52.55,53.2,52.5,348
1623880800,53.75,53.5,53.75,52.5,380
1623967200,53.5,53,53.5,53,250
1624226400,52,51.8,52.2,51.8,742
1624312800,52,52,52.02,52,120
1624399200,52.1,53.51,53.51,51.32,1046
1624485600,53.48,52.5,53.48,52,11507
1624572000,52.5,52.86,53,51.9,1995
1624831200,52.21,52,52.22,52,864
1624917600,51.84,51.05,52.2,51.05,4344
1625004000,52,51.7,52,51.05,1207
1625090400,51.15,52.5,52.7,51.15,1878
1625176800,52,52.9,52.9,52,2700
1625436000,52.9,53,53.45,52.2,2607
1625522400,53,53.5,53.9,53,4310
1625608800,53.9,54.68,54.99,53.5,15897
1625695200,54.7,54.2,54.71,54,4415
1625781600,54.5,54.06,54.59,53.5,4795
1626040800,54.06,54.7,54.8,54.05,2068
1626127200,54.69,54.22,55.55,54.21,35002
1626213600,54.7,54,54.85,51.14,4636
1626300000,54.5,54.52,54.75,53.82,446
1626386400,54.35,54.25,54.35,53.86,688
1626645600,54.2,53,54.2,52.95,3890
1626732000,52.9,53,53.75,52.9,1165
1626818400,53.1,53.67,53.67,52.7,1789
1626904800,53.95,53.49,53.96,52.7,817
1626991200,53.49,52.94,53.93,52.7,12105
1627250400,53.43,52.7,53.43,52.7,407
1627336800,52.71,52.75,52.8,52.52,1528
1627423200,52.98,52.53,52.98,52.53,675
1627509600,52.79,52.7,53.19,52.52,7669
1627596000,52.98,52.75,53,52.5,9137
1627855200,52.99,53.1,53.1,52.99,351
1627941600,53.9,53.7,54.05,53.5,5680
1628028000,54,54,54,53.7,2451
1628114400,53.1,53.5,54,53.1,2103
1628200800,53.58,53.58,53.58,52.99,3149
1628460000,53.5,54.98,55.39,53.5,15819
1628546400,55,54.8,55,53.75,4624
1628632800,54.98,54.5,54.98,54.2,656
1628719200,54.5,53.5,54.52,53.5,1743
1628805600,53.99,54,54.42,53.55,449
1629064800,54.4,54.03,54.86,54.01,1315
1629151200,54.5,53.85,54.5,53.52,1046
1629237600,53.9,53.55,53.9,53.5,791
1629324000,53.6,53.8,53.8,53.5,2432
1629410400,53.8,53.61,53.8,53.55,499
1629669600,53.85,54.8,55.2,53.5,2430
1629756000,54.9,55.08,55.19,54.27,336
1629842400,54.99,54.7,55,54.31,3655
1629928800,54.5,54.75,54.8,54.35,4051
1630015200,54.9,54.5,54.9,54.49,3868
1630274400,54.65,54.45,54.65,54.2,1979
1630360800,54.01,54.45,54.45,54,1224
1630447200,54.09,54,54.4,53,3043
1630533600,54.4,53.99,54.4,53.41,934
1630620000,54,54.18,54.43,53.5,2538
1630879200,54.45,53.9,54.45,53.56,2473
1630965600,53.61,53.8,53.9,53.42,6504
1631052000,53.8,53.8,53.9,53.43,590
1631138400,54,53.5,54,53.5,2374
1631224800,53.43,53.7,53.8,53.43,2816
1631484000,54,53.5,54,53.46,1155
1631570400,53.8,53.21,53.8,53.21,1662
1631656800,53.21,53.6,54,53.21,978
1631743200,53.8,53.9,54,53.3,1022
1631829600,53.99,54,54.5,53.2,5397
1632088800,54.39,52.99,54.39,52.99,8648
1632175200,52.99,52.53,53.49,52.5,914
1632261600,52.53,53,53.01,52.52,2053
1632348000,53,52.6,53,52.52,1073
1632434400,52.54,52.9,52.9,52.52,3323
1632693600,52.91,54.65,54.9,52.5,5413
1632780000,54.67,53.02,54.67,52.74,137
1632866400,52.86,54.44,54.44,52.52,6002
1632952800,53.01,54.55,54.55,53.01,7832
1633039200,53.73,54.4,54.4,53.73,6153
1633298400,54.4,54,54.4,53.5,1202
1633384800,54,53.23,54,53.1,5756
1633471200,53.5,53.1,54.5,53.1,2305
1633557600,53.12,53.2,53.28,53,724
1633644000,53.01,53.28,53.28,52.9,1175
1633903200,53.3,53.29,53.99,53.29,209
1633989600,53.3,53.03,53.5,53.02,1138
1634076000,53.98,53.09,53.98,53.09,472
1634162400,53.49,53.6,53.79,53.03,431
1634248800,53.5,53.04,53.5,53.04,759
1634508000,53.03,53.5,53.6,53.03,13650
1634594400,53.49,54,54,53.12,2293
1634680800,53.9,53.2,53.9,53.2,666
1634767200,53.5,53.5,54,53.25,1139
1634853600,54,54,54.3,53.05,31643
1635112800,53.02,53.5,54.25,53.02,3082
1635199200,53.5,53.99,54,53.4,638
1635285600,54,53.14,54,53.14,217
1635372000,53.8,53.14,53.8,53.14,137
1635458400,53.14,53.12,53.2,53.12,181
1635807600,53.2,53.03,53.2,53.01,2169
1635894000,53.22,53,53.22,52.65,10406
1635980400,52.61,53.52,53.79,52.52,7242
1636066800,53.6,53.7,53.8,52.53,1224
1636326000,53.69,53.29,53.69,52.67,7932
1636412400,53,52.97,53,52.7,1673
1636498800,52.71,52.81,52.81,52.71,646
1636671600,52.81,53.5,53.5,52.52,2081
1636930800,53,53,53.15,52.59,713
1637017200,53,53.59,53.6,53,744
1637103600,52.5,52.5,53.01,49.1,12126
1637190000,52.3,51.8,52.3,50,2634
1637276400,52.2,50.9,52.2,50.25,1928
1637535600,50.9,50.1,50.9,49.7,4437
1637622000,50.1,49.8,50.6,49.01,2534
1637708400,50,49.5,50,49.01,923
1637794800,49.5,49.7,49.7,49.2,356
1637881200,49.7,48.12,49.7,48.1,1703
1638140400,48,48.5,48.665,48,3390
1638226800,48.7,48.03,48.7,48.01,888
1638313200,48.7,48.5,48.7,48.1,336
1638399600,48.7,48.74,48.74,48.2,137
1638486000,48.5,48.5,48.5,48,2860
1638745200,48.15,48.9,49.295,48,3150
1638831600,48.005,48.5,49.1,48.005,881
1638918000,49.3,48.01,49.3,48.005,2369
1639004400,48.495,48.3,48.5,47.7,5037
1639090800,48.45,48.445,48.45,47.7,3644
1639350000,48.45,48.3,48.89,47.9,1972
1639436400,48.5,48.3,48.5,47.5,1523
1639522800,48.5,47.7,48.72,47.5,5039
1639609200,48.195,47.605,48.195,47.565,1509
1639695600,47.6,48.7,48.895,47.6,4698
1639954800,48.9,50.5,50.5,48.5,2328
1640041200,50.49,50.2,51,49.5,2112
1640127600,50,49.7,50.1,48.8,802
1640214000,49.95,50.4,50.4,48.8,5768
1640559600,50.4,49.5,50.4,49.5,457
1640646000,49.5,48.79,49.5,48.5,4727
1640732400,48.79,49.6,50,48.5,6325
1640818800,49.6,48.99,49.6,48.5,7213
1641164400,48.99,50.4,50.4,48.9,918
1641250800,50.35,50.5,50.5,49.5,2269
1641337200,50.25,50.15,50.5,49.11,1638
1641510000,50.15,49.97,50.15,49.12,971
1641769200,50.5,49.41,50.5,49.41,1081
1641855600,49.7,48.845,49.7,48.8,4653
1641942000,49.5,49.08,50.16,48.9,1610
1642028400,50.09,48.8,50.09,48.75,2704
1642114800,48.8,48.8,48.8,48.6,2795
1642374000,48.8,48.7,48.8,48.5,2516
1642460400,48.7,49.89,49.89,48.5,3082
1642546800,49.9,49.79,49.9,48.505,976
1642633200,49.8,49.795,49.8,48.8,1120
1642719600,49.795,48.49,49.795,47.8,8746
1642978800,48.89,45.585,48.89,44.205,5418
1643065200,43.555,45.47,45.49,40,3812
1643151600,45.4,45.4,45.4,44.995,557
1643238000,45,44.84,45,43.1,2428
1643324400,44.9,44.45,44.9,43.6,21258
1643583600,44.45,43.495,44.45,43.31,1114
1643670000,43.5,43.7,44.5,43.5,782
1643756400,44,44.495,44.5,43.84,1008
1643842800,45.9,44.4,45.9,43.68,534
1643929200,44,43.995,44.5,43.625,481
1644188400,44,43.495,44,43.495,855
1644274800,43.995,44,44,43.99,491
1644361200,45.9,44,45.9,43.9,539
1644447600,43.55,44,45,43.55,32
1644534000,44,44,45,43.545,204
1644793200,43,42.495,43.6,42.05,2516
1644879600,42.49,42.2,42.5,41.5,2313
1644966000,43.5,43,43.5,42,6243
1645052400,41.1,41,43.5,40.65,4468
1645138800,41.005,44.8,44.9,41,5428
1645398000,45.895,42.995,45.895,41.4,2544
1645484400,41.9,42.49,42.5,41.89,1239
1645570800,44.99,44.3,44.99,42.905,18579
1645657200,42,42,43,37.21,5847
1645743600,42,41.6,42.7,41.005,3757
1646002800,41.6,41.5,41.6,41,2242
1646089200,41.1,40,41.55,40,1401
1646175600,41,40.88,41,40.055,192
1646262000,40.885,41.35,41.5,40.05,356
1646348400,41.5,40.3,41.5,39.4,45479
1646607600,37.8,39.38,39.38,37.68,2123
1646694000,40,40,40,38.5,950
1646780400,39.95,40.3,40.3,39.95,1690
1646866800,40.3,43,43,40.3,383
1646953200,43.99,43.5,43.99,42.205,579
1647212400,44,42.7,44.295,42.585,156
1647298800,44,44,44,42.3,687
1647385200,44,43.89,44,43.52,266
1647471600,43.89,43.01,43.89,43.01,542
1647558000,44,43.995,44,43.005,4167
1647817200,43.995,43.86,43.995,43.005,1061
1647903600,43.06,43.965,43.965,43.015,79
1647990000,43.965,43.2,43.965,42.995,1485
1648076400,43.43,43.695,43.9,43,1622
1648162800,43.6,42.3,43.6,41.5,5797
1648418400,42.3,43.57,44,42.3,2124
1648504800,43.6,43.35,43.6,42.7,1127
1648591200,43.6,43.6,43.6,43.12,2119
1648677600,43.6,42.3,43.6,42.3,3545
1648764000,42.5,42,42.5,42,1748
1649023200,42,42.5,42.5,41.83,1433
1649109600,43,42.395,43,41.91,1307
1649196000,42.375,41.865,43,41.855,1547
1649282400,42.78,42.735,43,42.025,1819
1649368800,42.735,43,43,42.205,133624
1649628000,43,43.5,43.895,42.6,25844
1649714400,43.5,44,44,42.9,2363
1649800800,44.8,45.5,46,44.4,2725
1649887200,45.9,45.5,45.9,44.4,566
1650319200,45.5,45.2,45.8,45,1781
1650405600,45.2,44.6,45.2,44.1,507
1650492000,44.2,44.8,45.1,44,837
1650578400,45,44.6,45.2,44.6,5280
