t,o,c,h,l,v
749343600,0,103,103,103,71481
749689200,0,103,103,103,87057
749775600,0,103,103,103,67833
749948400,0,103,103,103,50070
750294000,0,100,100,100,36763
750380400,0,109,109,109,35883
750553200,0,117,117,117,44981
750898800,0,120,120,120,22934
750985200,0,118,118,118,13728
751158000,0,115,115,115,19513
751590000,0,104,104,104,22577
751762800,0,114,114,114,38940
752194800,0,120,120,120,39906
752367600,0,120,120,120,37160
752713200,0,115,115,115,23200
752799600,0,115,115,115,21623
752886000,0,119,119,119,27688
753318000,0,120,120,120,38797
753404400,0,120,120,120,37073
753577200,0,116,116,116,15039
753922800,0,106,106,106,18711
754009200,0,116,116,116,14231
754182000,0,118,118,118,32677
754527600,0,130,130,130,62329
754614000,0,143,143,143,59548
754786800,0,140,140,140,34134
755132400,0,154,154,154,45935
755218800,0,150,150,150,17341
755391600,0,155,155,155,32997
755737200,0,161,161,161,26490
755823600,0,162,162,162,30099
755996400,0,165,165,165,26176
756342000,0,170,170,170,29508
756428400,0,164,164,164,35589
756601200,0,169,169,169,37427
756946800,0,179,179,179,31733
757033200,0,161,161,161,32878
757206000,0,170,170,170,28687
757551600,0,175,175,175,22302
757638000,0,170,170,170,35198
757810800,0,183,183,183,50740
758156400,0,180,180,180,31078
758242800,0,185,185,185,29303
758415600,0,203,203,203,58487
758761200,0,223,223,223,23886
758847600,0,245,245,245,19580
759020400,0,265,265,265,40811
759366000,0,259,259,259,25023
759452400,0,285,285,285,32045
759625200,0,285,285,285,36288
759970800,0,256,256,256,34329
760057200,0,231,231,231,44606
760230000,0,254,254,254,21521
760575600,0,250,250,250,25367
760662000,0,263,263,263,41791
760834800,0,263,263,263,23583
761180400,0,289,289,289,30256
761266800,0,300,300,300,40408
761439600,0,300,300,300,26332
761785200,0,290,290,290,21653
761871600,0,300,300,300,29173
762044400,0,330,330,330,46297
762390000,0,71,71,71,217920
762476400,0,70,70,70,162018
762649200,0,73,73,73,201177
762994800,0,75,75,75,122770
763081200,0,73,73,73,79614
763254000,0,70,70,70,113406
763599600,0,68,68,68,81877
763686000,0,66,66,66,69850
763858800,0,66,66,66,96750
764204400,0,59,59,59,82689
764290800,0,54,54,54,150631
764463600,0,59,59,59,162697
764805600,0,53,53,53,82834
764892000,0,48,48,48,38901
765064800,0,43,43,43,80939
765496800,0,39,39,39,130059
765669600,0,42,42,42,182133
765756000,0,42,42,42,77350
766015200,0,38,38,38,0
766101600,0,34,34,34,0
766274400,0,30,30,30,74132
766620000,0,31,31,31,82475
766706400,0,34,34,34,154409
766879200,0,40,40,40,99298
767224800,0,40,40,40,102805
767311200,0,36,36,36,0
767484000,0,32,32,32,0
768088800,0,32,32,32,50953
768175200,0,33,33,33,113706
768434400,0,29,29,29,55104
768520800,0,30,30,30,41057
768693600,0,30,30,30,65134
769039200,0,33,33,33,84707
769125600,0,31,31,31,42663
769298400,0,31,31,31,70316
769644000,0,33,33,33,94103
769730400,0,34,34,34,92713
769903200,0,33,33,33,72556
770248800,0,33,33,33,30246
770335200,0,32,32,32,38413
770421600,0,30,30,30,59095
770853600,0,27,27,27,40205
770940000,0,26,26,26,43320
771112800,0,26,26,26,60924
771458400,0,24,24,24,0
771544800,0,21,21,21,86661
771717600,0,23,23,23,72949
772063200,0,20,20,20,50444
772149600,0,19,19,19,90972
772322400,0,17,17,17,87931
772668000,0,18,18,18,30619
772754400,0,19,19,19,41097
772927200,0,19,19,19,48335
773272800,0,19,19,19,37114
773359200,0,20,20,20,18154
773445600,0,22,22,22,38490
773532000,0,22,22,22,44837
773877600,0,24,24,24,81406
773964000,0,26,26,26,38741
774050400,0,29,29,29,78520
774136800,0,26,26,26,55411
774482400,0,26,26,26,39191
774568800,0,28,28,28,68862
774655200,0,25,25,25,58766
774741600,0,28,28,28,64992
775087200,0,28,28,28,123680
775173600,0,28,28,28,74777
775260000,0,29,29,29,30610
775346400,0,29,29,29,19247
775692000,0,28,28,28,19912
775778400,0,27,27,27,17972
775864800,0,27,27,27,20699
775951200,0,28,28,28,25876
776296800,0,28,28,28,60302
776383200,0,25,25,25,23116
776469600,0,26,26,26,27231
776556000,0,27,27,27,26906
776988000,0,27,27,27,14582
777074400,0,28,28,28,34807
777160800,0,27,27,27,16454
777506400,0,27,27,27,32257
777592800,0,27,27,27,17844
777679200,0,24,24,24,16198
777765600,0,24,24,24,18617
778111200,0,24,24,24,19333
778197600,0,24,24,24,12934
778284000,0,24,24,24,23992
778370400,0,22,22,22,10640
778716000,0,23,23,23,19929
778802400,0,21,21,21,20551
778888800,0,20,20,20,42245
778975200,0,22,22,22,13303
779320800,0,23,23,23,31511
779407200,0,21,21,21,27175
779493600,0,19,19,19,38716
779580000,0,21,21,21,45976
779925600,0,20,20,20,12794
780012000,0,20,20,20,12830
780098400,0,18,18,18,81481
780184800,0,18,18,18,17464
780534000,0,17,17,17,20703
780620400,0,16,16,16,33933
780706800,0,17,17,17,29802
780793200,0,18,18,18,48644
781138800,0,17,17,17,39328
781225200,0,18,18,18,52443
781311600,0,18,18,18,13328
781398000,0,18,18,18,52282
781484400,0,18,18,18,36767
781743600,0,18,18,18,24372
781830000,0,17,17,17,21828
781916400,0,17,17,17,62980
782002800,0,16,16,16,7520
782089200,0,17,17,17,17170
782348400,0,16,16,16,8265
782434800,0,17,17,17,33005
782521200,0,17,17,17,16956
782607600,0,16,16,16,5678
782694000,0,16,16,16,12693
782953200,0,16,16,16,30229
783039600,0,15,15,15,35308
783126000,0,14,14,14,22128
783212400,0,13,13,13,26062
783298800,0,13,13,13,24200
783730800,0,13,13,13,35984
783817200,0,14,14,14,37040
783903600,0,14,14,14,61733
784162800,0,13,13,13,15580
784249200,0,13,13,13,9141
784335600,0,13,13,13,15331
784422000,0,12,12,12,39841
784767600,0,11,11,11,29057
784854000,0,11,11,11,59585
784940400,0,11,11,11,37951
785026800,0,11,11,11,53426
785113200,0,11,11,11,36539
785372400,0,11,11,11,37645
785458800,0,10,10,10,17642
785545200,0,10,10,10,13261
785631600,0,10,10,10,9638
785718000,0,11,11,11,14906
785977200,0,11,11,11,28340
786063600,0,12,12,12,21813
786150000,0,13,13,13,26940
786236400,0,12,12,12,40862
786322800,0,13,13,13,76045
786582000,0,13,13,13,41239
786668400,0,13,13,13,50227
786754800,0,12,12,12,21938
786841200,0,11,11,11,33502
786927600,0,11,11,11,19971
787186800,0,12,12,12,19139
787273200,0,11,11,11,12123
787359600,0,11,11,11,13963
787446000,0,11,11,11,6905
787532400,0,12,12,12,18074
787791600,0,12,12,12,25786
787878000,0,11,11,11,22665
787964400,0,12,12,12,14756
788050800,0,11,11,11,7303
788137200,0,12,12,12,10771
788482800,0,12,12,12,10420
788569200,0,12,12,12,6352
788655600,0,12,12,12,16110
789001200,0,13,13,13,17860
789087600,0,13,13,13,24339
789174000,0,13,13,13,41123
789260400,0,13,13,13,35052
789346800,0,13,13,13,11117
789606000,0,13,13,13,19862
789692400,0,12,12,12,9873
789778800,0,13,13,13,9791
789865200,0,13,13,13,15300
789951600,0,13,13,13,21453
790210800,0,12,12,12,9898
790297200,0,12,12,12,20675
790383600,0,12,12,12,11046
790470000,0,12,12,12,6626
790556400,0,12,12,12,6638
790815600,0,12,12,12,21041
790902000,0,12,12,12,28113
790988400,0,11,11,11,9456
791074800,0,11,11,11,8561
791161200,0,11,11,11,12323
791420400,0,12,12,12,85365
791506800,0,12,12,12,15039
791679600,0,12,12,12,15975
791766000,0,11,11,11,7654
792025200,0,11,11,11,5760
792111600,0,12,12,12,33451
792198000,0,12,12,12,12962
792284400,0,11,11,11,33344
792370800,0,11,11,11,16865
792630000,0,12,12,12,13357
792716400,0,12,12,12,16417
792802800,0,12,12,12,14802
792889200,0,12,12,12,12348
792975600,0,12,12,12,3012
793234800,0,11,11,11,2966
793321200,0,10,10,10,14797
793407600,0,11,11,11,8579
793494000,0,11,11,11,3402
793580400,0,12,12,12,33769
793839600,0,12,12,12,9444
793926000,0,11,11,11,5917
794012400,0,11,11,11,3857
794098800,0,11,11,11,5489
794185200,0,11,11,11,6437
794444400,0,12,12,12,10233
794530800,0,11,11,11,3672
794617200,0,11,11,11,4464
794703600,0,11,11,11,12432
794790000,0,12,12,12,53909
795049200,0,12,12,12,5649
795135600,0,11,11,11,6676
795222000,0,11,11,11,4631
795308400,0,11,11,11,5518
795394800,0,11,11,11,4530
795654000,0,11,11,11,8825
795740400,0,11,11,11,6798
795826800,0,11,11,11,8172
795913200,0,11,11,11,7258
795999600,0,11,11,11,8019
796255200,0,11,11,11,6157
796341600,0,10,10,10,4041
796428000,0,10,10,10,9714
796514400,0,10,10,10,12775
796600800,0,11,11,11,20318
796860000,0,11,11,11,20150
796946400,0,11,11,11,4595
797032800,0,11,11,11,28674
797119200,0,12,12,12,23334
797205600,0,12,12,12,8097
797464800,0,11,11,11,27981
797551200,0,12,12,12,57542
797637600,0,12,12,12,54756
797724000,0,12,12,12,18138
797810400,0,12,12,12,36670
798156000,0,12,12,12,24880
798242400,0,13,13,13,35626
798328800,0,13,13,13,56508
798415200,0,13,13,13,22506
798674400,0,14,14,14,60066
798760800,0,14,14,14,108139
798847200,0,13,13,13,93463
798933600,0,13,13,13,38628
799020000,0,13,13,13,75789
799538400,0,14,14,14,49577
799624800,0,14,14,14,62270
799970400,0,14,14,14,31587
800056800,0,14,14,14,37679
800143200,0,15,15,15,72947
800229600,0,15,15,15,44572
800488800,0,14,14,14,42410
800575200,0,14,14,14,32679
800661600,0,13,13,13,17569
800748000,0,13,13,13,37926
800834400,0,13,13,13,55107
801093600,0,13,13,13,24747
801180000,0,12,12,12,27871
801266400,0,13,13,13,10338
801352800,0,13,13,13,21400
801439200,0,12,12,12,26474
801698400,0,12,12,12,89643
801784800,0,12,12,12,23954
801871200,0,12,12,12,18302
801957600,0,11,11,11,13793
802044000,0,11,11,11,27757
802303200,0,12,12,12,39006
802389600,0,12,12,12,39803
802476000,0,12,12,12,26792
802562400,0,12,12,12,18216
802648800,0,11,11,11,11219
802908000,0,11,11,11,31534
802994400,0,11,11,11,11945
803080800,0,11,11,11,14772
803253600,0,12,12,12,28478
803512800,0,11,11,11,12892
803599200,0,12,12,12,9538
803685600,0,12,12,12,17159
803772000,0,11,11,11,4988
803858400,0,12,12,12,16170
804117600,0,12,12,12,32427
804204000,0,12,12,12,20233
804290400,0,12,12,12,20806
804376800,0,12,12,12,8886
804463200,0,12,12,12,16975
804722400,0,12,12,12,7492
804808800,0,12,12,12,18772
804895200,0,11,11,11,9065
804981600,0,11,11,11,8903
805068000,0,12,12,12,23301
805327200,0,11,11,11,8233
805413600,0,11,11,11,15491
805500000,0,11,11,11,21831
805586400,0,11,11,11,17151
805672800,0,11,11,11,27601
805932000,0,11,11,11,24342
806018400,0,11,11,11,25954
806104800,0,11,11,11,29768
