t,o,c,h,l,v
1389135600,11.1,12.25,12.6,11.1,148893
1389222000,12.25,12.64,12.75,12.15,108581
1389308400,12.65,12.6,12.8,12.5,27946
1389567600,12.45,13.29,13.5,12.45,49504
1389654000,13,13.34,13.45,13,51781
1389740400,13.27,13.4,13.79,13.27,24316
1389826800,13.4,13.49,13.54,13.26,34054
1389913200,13.5,13.75,13.87,13.5,13206
1390172400,13.94,13.83,13.94,13.42,8744
1390258800,13.83,14.5,14.5,13.7,105272
1390345200,14.59,14.79,14.88,14.4,35068
1390431600,14.78,14.79,15.3,14.65,72033
1390518000,14.84,14.85,15,14.5,28600
1390777200,14.8,14.89,14.89,14.16,20758
1390863600,14.9,14.99,14.99,14.71,13486
1390950000,15,15,15.25,14.86,22659
1391036400,15,14.84,15,14.42,15514
1391122800,14.95,14.3,14.95,14.21,40374
1391382000,14.29,14.74,14.86,14.2,14059
1391468400,14.74,14.72,14.74,14.48,13555
1391554800,14.7,15.23,15.24,14.7,40812
1391641200,15.33,15.6,15.84,15.33,51179
1391727600,15.78,16.1,16.1,15.75,114511
1391986800,16.4,16.8,17,16.4,153772
1392073200,17.15,17.8,18.42,17.15,105704
1392159600,17.9,17.45,17.9,17.1,89864
1392246000,17.45,17.35,17.45,17.1,12509
1392332400,17.26,17.45,17.5,17.21,23214
1392591600,17.79,17.89,17.9,17.3,70534
1392678000,18.2,17.82,18.3,17.8,63572
1392764400,17.82,17.65,17.82,17.45,20466
1392850800,17.5,17.6,17.6,17.4,11716
1392937200,17.83,17.84,17.84,17.52,23294
1393196400,17.8,17.8,17.8,17.7,7985
1393282800,17.71,17.79,17.8,17.51,7623
1393369200,17.79,17.49,17.79,17.22,12749
1393455600,17.35,17.44,17.45,17.21,6827
1393542000,17.5,17.37,17.5,17.27,13812
1393801200,16.65,15.67,16.83,15.11,83999
1393887600,15.69,16.45,16.9,15.69,21171
1393974000,17.04,16.39,17.04,16.3,24740
1394060400,16.4,16.5,16.5,15.8,16932
1394146800,16.4,16.4,16.4,16.05,5630
1394406000,16,16.04,16.09,15.8,8296
1394492400,16.1,15.65,16.1,15.65,11109
1394578800,15.36,15.1,15.99,14.5,46250
1394665200,15,14.75,15.1,14.23,26858
1394751600,14.1,14.4,14.63,13.66,43687
1395010800,14.16,15.8,16,14.16,36487
1395097200,15.88,16.05,16.05,15.4,8543
1395183600,16,15.5,16.3,15.49,19196
1395270000,15.79,15.31,15.79,15.3,14019
1395356400,15.58,15.5,15.78,15.3,5440
1395615600,16.5,16.26,17,15.65,96578
1395702000,16.35,16.9,16.96,15.96,113886
1395788400,16.9,17.16,17.35,16.9,119445
1395874800,17.19,17.2,17.2,16.94,16707
1395961200,17.15,17,17.15,16.56,10243
1396216800,17.1,16.9,17.1,16.85,887
1396303200,17.09,16.9,17.09,16.88,3474
1396389600,16.9,17.06,17.09,16.65,13093
1396476000,17.05,17.1,17.13,16.49,21274
1396562400,16.9,17.09,17.1,16.9,2232
1396821600,16.89,16.95,17.09,16.59,14225
1396908000,16.7,16.95,16.95,16.52,4006
1396994400,16.9,17.09,17.09,16.56,18220
1397080800,16.95,17,17,16.95,1770
1397167200,16.7,16.9,16.9,16.6,6021
1397426400,16.9,16.59,16.9,15.8,15310
1397512800,16.12,16.33,16.43,16.01,3817
1397599200,16.01,16.04,16.14,15.8,11692
1397685600,16,16.28,16.49,16,5790
1398117600,15.7,16.39,16.39,15.7,4632
1398204000,16.4,16.49,16.7,16.31,5179
1398290400,16.42,15.98,16.69,15.69,4130
1398376800,15.75,15.91,16,15.75,896
1398636000,15.71,15.75,15.75,15.7,5488
1398722400,15.62,15.97,15.97,15.62,554
1398808800,15.97,15.8,16.12,15.76,511
1398981600,16.07,15.77,16.07,15.77,893
1399240800,15.77,16.1,16.1,15.7,7095
1399327200,16.09,16,16.09,15.7,1073
1399413600,15.9,15.01,15.9,15.01,11047
1399500000,15.21,15.5,15.5,15.21,5751
1399586400,15.5,15.2,15.5,15,6175
1399845600,15.2,15.5,15.5,15.15,1099
1399932000,15.5,15.4,15.5,15.27,12902
1400018400,15.05,15.5,15.5,15.05,2424
1400104800,15.5,15.8,16,15.35,14866
1400191200,15.99,15.53,15.99,15.35,3333
1400450400,15.78,15.02,15.8,15.02,47725
1400536800,15.02,15.48,15.7,15.02,7820
1400623200,15.47,15.8,15.8,15.47,5536
1400709600,15.46,15.9,16,15.35,8191
1400796000,15.9,15.75,15.9,15.55,490
1401055200,15.4,15.64,15.74,15.4,723
1401141600,15.7,15.76,15.9,15.4,2725
1401228000,15.95,15.69,15.95,15.56,678
1401314400,15.69,15.65,15.7,15.55,1415
1401400800,15.65,15.83,15.95,15.65,1509
1401660000,15.84,15.8,15.84,15.42,2049
1401746400,15.57,15.79,15.8,15.57,2457
1401832800,15.8,15.45,15.8,15.29,13623
1401919200,15.49,15.5,15.5,15.45,3095
1402005600,15.56,15.5,15.56,15.41,1271
1402264800,15.6,15.6,15.9,15.6,1000
1402351200,15.74,15.5,15.74,15.4,5733
1402437600,15.37,15.5,15.5,15.17,4744
1402524000,15.4,15.48,15.48,15.12,1776
1402610400,15.5,15.44,15.5,15.34,325
1402869600,15.35,15.45,15.45,15.13,1890
1402956000,15.45,15.5,15.5,15.16,4516
1403042400,15.5,15.5,15.5,15.35,3159
1403215200,15.4,15.49,15.49,15.4,4619
1403474400,15.22,15.23,15.4,15.16,614
1403560800,15.21,15.25,15.25,15.11,1750
1403647200,15.18,14.98,15.2,14.98,4630
1403733600,15,15.2,15.2,14.66,4050
1403820000,15.2,15.19,15.2,14.95,1461
1404079200,15,15.08,15.09,14.81,1330
1404165600,14.65,14.65,14.83,14.64,6208
1404252000,14.7,14.43,14.7,14.1,6363
1404338400,14.08,14.27,14.68,14.01,5049
1404424800,14.1,14.07,14.25,14.01,3354
1404684000,14.02,14.2,14.2,14.01,1049
1404770400,14.2,14.2,14.4,14.2,3668
1404856800,14.21,14,14.21,13.9,1752
1404943200,13.9,13.9,13.9,13.49,6652
1405029600,14,13.72,14.38,13.72,2721
1405288800,14.03,13.75,14.05,13.75,1501
1405375200,13.75,13.9,13.99,13.75,784
1405461600,13.77,13.85,14.01,13.77,5985
1405548000,13.75,13.89,14.19,13.56,10004
1405634400,13.7,13.84,13.85,13.56,875
1405893600,13.84,13.54,13.84,13.51,2377
1405980000,13.54,13.89,13.89,13.5,5815
1406066400,14.5,13.89,14.5,13.8,7798
1406152800,13.81,13.55,13.81,13.5,13623
1406239200,13.5,13.3,13.5,13.24,3510
1406498400,13.13,13.18,13.27,12.83,5762
1406584800,13.25,13.2,13.4,13,8643
1406671200,13.26,13,13.26,12.81,6916
1406757600,13.07,13.2,13.2,12.95,6162
1406844000,13.2,13.59,13.59,13,5733
1407103200,13.8,13.7,13.84,13.7,671
1407189600,13.63,13.12,13.63,13.05,5755
1407276000,13.12,13.2,13.32,12.88,3476
1407362400,13.21,13.04,13.21,12.87,5502
1407448800,12.91,12.9,12.91,12.7,11396
1407708000,13.16,13.16,13.16,13.16,114
1407794400,12.99,13.25,13.25,12.99,148932
1407880800,13.3,13.6,13.6,13.25,1200
1407967200,13.59,13.98,14,13.59,4552
1408312800,13.72,13.58,13.72,13.51,3533
