t,o,c,h,l,v
1344895200,0.23,0.28,0.28,0.23,17592
1345068000,0.29,0.3,0.3,0.29,19883
1345154400,0.3,0.31,0.31,0.3,2634
1345413600,0.31,0.34,0.34,0.31,52242
1345500000,0.34,0.32,0.34,0.32,600
1345586400,0.32,0.32,0.32,0.32,2176
1345672800,0.32,0.33,0.33,0.32,2100
1345759200,0.34,0.32,0.34,0.3,4100
1346018400,0.32,0.32,0.32,0.32,7743
1346104800,0.32,0.33,0.33,0.32,1876
1346191200,0.33,0.33,0.33,0.33,3990
1346277600,0.34,0.34,0.34,0.33,8390
1346364000,0.34,0.37,0.37,0.34,29382
1346623200,0.37,0.41,0.41,0.37,25803
1346709600,0.41,0.41,0.41,0.41,200
1346796000,0.41,0.37,0.41,0.37,1100
1346882400,0.37,0.4,0.4,0.37,1533
1346968800,0.4,0.41,0.42,0.4,20437
1347228000,0.42,0.4,0.42,0.4,14956
1347314400,0.39,0.39,0.39,0.36,25000
1347400800,0,0.39,0.39,0.39,0
1347487200,0.37,0.38,0.38,0.35,9217
1347573600,0.39,0.39,0.39,0.39,115
1347832800,0,0.39,0.39,0.39,0
1347919200,0,0.39,0.39,0.39,0
1348005600,0.38,0.38,0.38,0.38,186190
1348092000,0.38,0.38,0.38,0.38,32000
1348178400,0.39,0.39,0.39,0.39,21885
1348437600,0.4,0.41,0.41,0.4,28358
1348524000,0.42,0.42,0.42,0.42,1000
1348610400,0.42,0.43,0.43,0.41,12000
1348696800,0.42,0.42,0.42,0.42,1000
1348783200,0,0.42,0.42,0.42,0
1349042400,0.42,0.4,0.42,0.4,6730
1349128800,0.41,0.41,0.41,0.41,9300
1349215200,0.41,0.42,0.42,0.41,10750
1349301600,0.43,0.52,0.55,0.43,40798
1349388000,0.5,0.5,0.5,0.5,1000
1349647200,0.49,0.58,0.64,0.45,25997
1349733600,0.61,0.59,0.61,0.57,3360
1349820000,0.6,0.59,0.63,0.57,11191
1349906400,0.61,0.64,0.64,0.61,7410
1349992800,0.65,0.74,0.84,0.65,67962
1350252000,0.76,0.77,0.79,0.73,14150
1350338400,0.77,0.75,0.77,0.71,16774
1350424800,0.76,0.84,0.84,0.74,8417
1350511200,0.9,0.9,0.95,0.85,105267
1350597600,0.9,0.86,0.9,0.73,40413
1350856800,0.86,0.86,0.86,0.86,2
1350943200,0.85,0.76,0.85,0.76,14000
1351029600,0.75,0.75,0.75,0.73,3532
1351116000,0.75,0.8,0.8,0.74,28758
1351202400,0.8,0.8,0.8,0.78,5079
1351465200,0.79,0.79,0.79,0.7,17405
1351551600,0.8,0.79,0.8,0.7,14354
1351638000,0.8,0.79,0.8,0.79,2108
1351810800,0.79,0.88,0.88,0.79,6415
1352070000,0.88,0.88,0.9,0.85,16569
1352156400,0.88,0.85,0.88,0.85,73
1352242800,0.88,0.84,0.88,0.77,9641
1352329200,0.84,0.87,0.89,0.83,40741
1352415600,0.87,0.86,0.87,0.8,14285
1352674800,0.86,0.84,0.86,0.78,20016
1352761200,0.78,0.86,0.86,0.78,19500
1352847600,0.86,0.8,0.86,0.78,46765
1352934000,0.8,0.82,0.83,0.76,8391
1353020400,0.83,0.84,0.9,0.8,60522
1353279600,0.79,0.7,0.79,0.68,91516
1353366000,0.7,0.69,0.7,0.69,15147
1353452400,0.7,0.65,0.7,0.65,6260
1353538800,0.65,0.64,0.65,0.64,4429
1353625200,0.65,0.65,0.65,0.65,3270
1353884400,0.65,0.66,0.66,0.65,8660
1353970800,0.66,0.61,0.66,0.56,16025
1354057200,0.58,0.5,0.58,0.49,76312
1354143600,0.49,0.53,0.57,0.49,16153
1354230000,0.59,0.7,0.7,0.53,46344
1354489200,0.75,0.7,0.75,0.62,9482
1354575600,0.7,0.68,0.7,0.6,4100
1354662000,0.68,0.7,0.7,0.57,24291
1354748400,0.73,0.71,0.73,0.66,13940
1354834800,0.66,0.71,0.71,0.64,19148
1355094000,0.69,0.66,0.73,0.65,5260
1355180400,0.66,0.68,0.68,0.66,4380
1355266800,0.68,0.69,0.69,0.68,7000
1355353200,0.68,0.69,0.69,0.62,7927
1355439600,0.63,0.62,0.63,0.62,2250
1355698800,0.65,0.65,0.65,0.65,550
1355785200,0.65,0.62,0.66,0.58,19761
1355871600,0.6,0.54,0.62,0.54,16711
1355958000,0.57,0.55,0.58,0.54,9098
1356044400,0.57,0.6,0.63,0.57,5100
1356562800,0.63,0.68,0.69,0.63,7095
1356649200,0.68,0.69,0.69,0.62,8158
1357081200,0.67,0.64,0.67,0.64,6100
1357167600,0.64,0.6,0.64,0.6,3308
1357254000,0.61,0.6,0.61,0.6,1500
1357513200,0.6,0.57,0.6,0.57,6200
1357599600,0.58,0.64,0.64,0.58,4211
1357686000,0.62,0.59,0.62,0.55,16200
1357772400,0.65,0.75,0.77,0.65,94669
1357858800,0.75,0.72,0.75,0.69,29643
1358118000,0.72,0.67,0.72,0.66,16436
1358204400,0.68,0.7,0.74,0.65,69387
1358290800,0.7,0.7,0.75,0.69,11970
1358377200,0.7,0.69,0.7,0.67,7010
1358463600,0.69,0.74,0.75,0.68,31117
1358722800,0.75,0.77,0.78,0.75,32105
1358809200,0.77,0.72,0.77,0.68,22320
1358895600,0.73,0.73,0.73,0.73,155
1358982000,0.7,0.7,0.7,0.7,100
1359068400,0.7,0.7,0.7,0.7,1000
1359327600,0.7,0.68,0.71,0.68,18775
1359414000,0.69,0.69,0.69,0.67,9010
1359500400,0.69,0.68,0.7,0.68,7406
1359586800,0.68,0.7,0.7,0.68,11750
1359673200,0.7,0.71,0.71,0.69,22577
1359932400,0.7,0.71,0.71,0.69,31266
1360018800,0.7,0.69,0.7,0.69,8008
1360105200,0.68,0.68,0.68,0.68,2450
1360191600,0.68,0.69,0.69,0.68,4172
1360278000,0.69,0.69,0.69,0.69,4839
1360537200,0.69,0.69,0.7,0.69,1110
1360623600,0.68,0.68,0.7,0.68,4224
1360710000,0.69,0.71,0.74,0.69,109914
1360796400,0.72,0.74,0.77,0.72,148622
1360882800,0.72,0.7,0.72,0.6,48921
1361142000,0.68,0.72,0.72,0.67,11510
1361228400,0.72,0.71,0.72,0.67,15069
1361314800,0.71,0.68,0.71,0.68,2490
1361401200,0.68,0.68,0.68,0.68,1610
1361487600,0.68,0.68,0.68,0.67,4303
1361746800,0.68,0.69,0.69,0.67,8810
1361833200,0.68,0.68,0.68,0.65,19267
1361919600,0.67,0.67,0.67,0.67,1511
1362006000,0.68,0.73,0.73,0.67,97243
1362092400,0.73,0.74,0.74,0.71,15646
1362351600,0.74,0.73,0.74,0.71,3992
1362438000,0.73,0.73,0.74,0.7,16940
1362524400,0.73,0.72,0.73,0.72,11800
1362610800,0.7,0.69,0.7,0.66,12730
1362697200,0.68,0.69,0.7,0.67,5848
1362956400,0.66,0.68,0.7,0.65,29894
1363042800,0.68,0.71,0.73,0.67,69089
1363129200,0.71,0.71,0.71,0.66,6918
1363215600,0.68,0.7,0.7,0.65,12811
1363302000,0.67,0.69,0.7,0.66,6725
