t,o,c,h,l,v
889570800,0,42,42,42,69708
889657200,0,40,40,40,47263
889743600,0,42.5,42.5,42.5,46275
890002800,0,44,44,44,44145
890089200,0,46.2,46.2,46.2,32727
890175600,0,48,48,48,39009
890262000,0,47.8,47.8,47.8,31602
890348400,0,46,46,46,31844
890607600,0,44,44,44,11360
890694000,0,42.5,42.5,42.5,19459
890780400,0,42.6,42.6,42.6,15533
890866800,0,43.2,43.2,43.2,28654
890953200,0,42.8,42.8,42.8,15035
891208800,0,43,43,43,28813
891295200,0,42.8,42.8,42.8,23441
891381600,0,42.8,42.8,42.8,25373
891468000,0,43,43,43,13370
891813600,0,42.8,42.8,42.8,5791
891900000,0,43.1,43.1,43.1,13070
891986400,0,43.2,43.2,43.2,17590
892072800,0,43,43,43,25002
892504800,0,43,43,43,4710
892591200,0,42.7,42.7,42.7,4842
892677600,0,42,42,42,4983
892764000,0,41,41,41,4163
893023200,0,41,41,41,6847
893109600,0,39.4,39.4,39.4,8247
893196000,0,39,39,39,10344
893282400,0,37.5,37.5,37.5,6381
893368800,0,39.5,39.5,39.5,10272
893628000,0,38.5,38.5,38.5,6291
893714400,0,37,37,37,7105
893800800,0,38.8,38.8,38.8,9117
893887200,0,39.4,39.4,39.4,12030
894232800,0,43.3,43.3,43.3,42300
894319200,0,46,46,46,77531
894405600,0,50.5,50.5,50.5,100962
894492000,0,52,52,52,137947
894578400,0,48.2,48.2,48.2,9993
894837600,0,45,45,45,13107
894924000,0,41.5,41.5,41.5,7997
895010400,0,42.3,42.3,42.3,4977
895096800,0,41.8,41.8,41.8,5638
895183200,0,40.7,40.7,40.7,1541
895442400,0,40.8,40.8,40.8,2936
895528800,0,39.8,39.8,39.8,6383
895615200,0,39.8,39.8,39.8,2280
895701600,0,41,41,41,2315
895788000,0,41,41,41,1840
896047200,0,38.7,38.7,38.7,2249
896133600,0,38.1,38.1,38.1,1623
896220000,0,37,37,37,3809
896306400,0,35,35,35,3265
896392800,0,36.9,36.9,36.9,13340
896652000,0,36,36,36,1966
896738400,0,35.1,35.1,35.1,8216
896824800,0,36,36,36,1681
896911200,0,37.7,37.7,37.7,4525
896997600,0,37.9,37.9,37.9,1987
897256800,0,41.6,41.6,41.6,5714
897343200,0,38,38,38,1183
897429600,0,37,37,37,1314
897861600,0,40,40,40,3756
897948000,0,37.1,37.1,37.1,1220
898034400,0,40,40,40,2527
898120800,0,39.9,39.9,39.9,2755
898207200,0,36.5,36.5,36.5,4798
898466400,0,36.1,36.1,36.1,15608
898552800,0,37,37,37,6484
898639200,0,37,37,37,7583
898725600,0,38,38,38,1413
898812000,0,38,38,38,3844
899071200,0,41.7,41.7,41.7,20000
899157600,0,42,42,42,11380
899244000,0,39,39,39,1151
899330400,0,40.5,40.5,40.5,4424
899416800,0,40.2,40.2,40.2,2241
899676000,0,39.1,39.1,39.1,837
899762400,0,39.1,39.1,39.1,1752
899848800,0,39,39,39,2418
899935200,0,38.5,38.5,38.5,6116
900021600,0,38.4,38.4,38.4,3243
900280800,0,38,38,38,1094
900367200,0,39.4,39.4,39.4,3104
900453600,0,38,38,38,552
900540000,0,39,39,39,1473
900626400,0,39,39,39,2577
900885600,0,38,38,38,2751
900972000,0,35,35,35,7780
901058400,0,35.5,35.5,35.5,4077
901144800,0,34.8,34.8,34.8,2696
901231200,0,35,35,35,2191
901490400,0,35,35,35,1705
901576800,0,34,34,34,2119
901663200,0,33.5,33.5,33.5,1575
901749600,0,34,34,34,3357
901836000,0,34,34,34,640
902095200,0,32,32,32,1248
902181600,0,31,31,31,2553
902268000,0,31,31,31,1122
902354400,0,31.5,31.5,31.5,1000
902440800,0,31,31,31,416
902700000,0,30,30,30,219
902786400,0,27,27,27,640
902872800,0,24.3,24.3,24.3,3462
902959200,0,25,25,25,6752
903045600,0,24.7,24.7,24.7,3350
903304800,0,24.5,24.5,24.5,1371
903391200,0,24,24,24,3278
903477600,0,24,24,24,3898
903564000,0,25.5,25.5,25.5,1276
903650400,0,24.4,24.4,24.4,2556
903909600,0,24,24,24,1569
903996000,0,24.3,24.3,24.3,1743
904082400,0,24,24,24,487
904168800,0,23,23,23,1092
904255200,0,20.7,20.7,20.7,3503
904514400,0,18.7,18.7,18.7,558
904600800,0,16.9,16.9,16.9,3499
904687200,0,16.9,16.9,16.9,2506
904773600,0,18.5,18.5,18.5,3977
904860000,0,20.3,20.3,20.3,3473
905119200,0,21,21,21,1466
905205600,0,21,21,21,1505
905292000,0,20.6,20.6,20.6,5765
905378400,0,20,20,20,700
905464800,0,18.8,18.8,18.8,910
905724000,0,20.4,20.4,20.4,400
905810400,0,21,21,21,1352
905896800,0,20,20,20,1696
905983200,0,19.1,19.1,19.1,1596
906069600,0,19.1,19.1,19.1,1096
906328800,0,19.1,19.1,19.1,1129
906415200,0,19.1,19.1,19.1,1850
906501600,0,19.1,19.1,19.1,1295
906588000,0,20.5,20.5,20.5,2050
906674400,0,19.6,19.6,19.6,2744
906933600,0,18.6,18.6,18.6,398
907020000,0,19.5,19.5,19.5,3540
907106400,0,18.5,18.5,18.5,4725
907192800,0,16.7,16.7,16.7,3775
907279200,0,17,17,17,1321
907538400,0,18.7,18.7,18.7,847
907624800,0,19.5,19.5,19.5,2050
907711200,0,17.6,17.6,17.6,280
907797600,0,17.9,17.9,17.9,1010
907884000,0,17.6,17.6,17.6,834
908143200,0,17.8,17.8,17.8,806
908229600,0,18,18,18,131
908316000,0,17.2,17.2,17.2,529
908402400,0,17.2,17.2,17.2,1228
908488800,0,15.5,15.5,15.5,1995
908748000,0,17,17,17,289
908834400,0,17,17,17,1166
908920800,0,17,17,17,839
909007200,0,16,16,16,332
909093600,0,16,16,16,114
909356400,0,17.2,17.2,17.2,2243
909442800,0,15.5,15.5,15.5,1687
909529200,0,16,16,16,1609
909615600,0,15,15,15,910
909702000,0,15,15,15,2392
909961200,0,16,16,16,1320
910047600,0,16.2,16.2,16.2,1325
910134000,0,14.6,14.6,14.6,1159
910220400,0,15.5,15.5,15.5,1705
910306800,0,15.5,15.5,15.5,2354
910566000,0,16,16,16,1282
910652400,0,16,16,16,2572
910825200,0,16,16,16,1344
910911600,0,16.4,16.4,16.4,1402
911170800,0,16,16,16,3794
911257200,0,16.4,16.4,16.4,2704
911343600,0,16.4,16.4,16.4,2033
911430000,0,16.4,16.4,16.4,230
911516400,0,16,16,16,1929
911775600,0,16.4,16.4,16.4,2513
911862000,0,16.3,16.3,16.3,1006
911948400,0,16,16,16,1654
912034800,0,16,16,16,1751
912121200,0,16,16,16,1000
912380400,0,15.5,15.5,15.5,1666
912466800,0,16.5,16.5,16.5,2373
912553200,0,16.8,16.8,16.8,1673
912639600,0,16.5,16.5,16.5,1905
912726000,0,17.6,17.6,17.6,2300
912985200,0,17.6,17.6,17.6,2058
913071600,0,17.6,17.6,17.6,602
913158000,0,17.5,17.5,17.5,463
913244400,0,17.6,17.6,17.6,1591
913330800,0,17.5,17.5,17.5,1175
913590000,0,17,17,17,1963
913676400,0,17.1,17.1,17.1,1000
913762800,0,17.1,17.1,17.1,858
913849200,0,17.2,17.2,17.2,1755
913935600,0,17.4,17.4,17.4,830
914194800,0,17.8,17.8,17.8,827
914281200,0,18,18,18,1180
914367600,0,17.9,17.9,17.9,350
914799600,0,18,18,18,2690
914886000,0,19,19,19,2033
914972400,0,18.9,18.9,18.9,2071
915058800,0,18.6,18.6,18.6,2482
915404400,0,18,18,18,2020
915490800,0,18,18,18,550
915577200,0,18.5,18.5,18.5,2525
915663600,0,18,18,18,1147
915750000,0,18,18,18,2569
916009200,0,16.2,16.2,16.2,3229
916095600,0,17,17,17,4119
916182000,0,18,18,18,3940
916268400,0,17.5,17.5,17.5,2079
916354800,0,18,18,18,2136
916614000,0,17.5,17.5,17.5,1062
916700400,0,18,18,18,1899
916786800,0,18,18,18,503
916873200,0,16.2,16.2,16.2,338
916959600,0,17,17,17,726
917218800,0,17.9,17.9,17.9,670
917305200,0,17.9,17.9,17.9,1023
917391600,0,16.4,16.4,16.4,973
917478000,0,17.9,17.9,17.9,2073
917564400,0,17.1,17.1,17.1,253
917823600,0,17.5,17.5,17.5,1452
917910000,0,17,17,17,664
917996400,0,16.6,16.6,16.6,1250
918082800,0,17.1,17.1,17.1,233
918169200,0,17.9,17.9,17.9,4506
918428400,0,17,17,17,308
918514800,0,17.2,17.2,17.2,400
918601200,0,16.6,16.6,16.6,1377
918687600,0,17,17,17,340
918774000,0,16.7,16.7,16.7,3491
919033200,0,17,17,17,1714
919119600,0,17,17,17,545
919206000,0,17,17,17,1134
919292400,0,17,17,17,1191
919378800,0,17,17,17,383
919638000,0,16.9,16.9,16.9,948
919724400,0,16.9,16.9,16.9,1175
919810800,0,16.8,16.8,16.8,683
919897200,0,16.9,16.9,16.9,366
919983600,0,16.8,16.8,16.8,2015
920242800,0,16.3,16.3,16.3,980
920329200,0,16.3,16.3,16.3,1577
920415600,0,16.3,16.3,16.3,761
920502000,0,16.3,16.3,16.3,103
920588400,0,16.2,16.2,16.2,414
920847600,0,16.2,16.2,16.2,1257
920934000,0,16.4,16.4,16.4,867
921020400,0,16.7,16.7,16.7,1477
921106800,0,16.9,16.9,16.9,717
921193200,0,17,17,17,1775
921452400,0,17,17,17,2358
921538800,0,16.9,16.9,16.9,978
921625200,0,17,17,17,3433
921711600,0,17.3,17.3,17.3,2010
921798000,0,17.5,17.5,17.5,2653
922057200,0,17.5,17.5,17.5,2328
922143600,0,18,18,18,3016
922230000,0,16.2,16.2,16.2,2839
922316400,0,17,17,17,2821
922402800,0,17.4,17.4,17.4,1394
922658400,0,18,18,18,4378
922744800,0,17.9,17.9,17.9,2632
922831200,0,17.9,17.9,17.9,2352
922917600,0,17.5,17.5,17.5,1000
923349600,0,17,17,17,252
923436000,0,18,18,18,11503
923522400,0,19,19,19,10028
923608800,0,18.2,18.2,18.2,1507
923868000,0,18,18,18,1511
923954400,0,18,18,18,1940
924040800,0,18,18,18,845
924127200,0,17.6,17.6,17.6,1049
924213600,0,18,18,18,594
924472800,0,17.4,17.4,17.4,616
924559200,0,17.8,17.8,17.8,1117
924645600,0,17.5,17.5,17.5,808
924732000,0,17.2,17.2,17.2,747
924818400,0,18,18,18,3728
925077600,0,18.2,18.2,18.2,3928
925164000,0,18.9,18.9,18.9,5640
925250400,0,18.2,18.2,18.2,4679
925336800,0,18,18,18,2812
925423200,0,18.8,18.8,18.8,2806
925768800,0,19.3,19.3,19.3,3349
925855200,0,19.3,19.3,19.3,13164
925941600,0,20.4,20.4,20.4,8362
926028000,0,22.4,22.4,22.4,10604
926287200,0,22.4,22.4,22.4,11273
926373600,0,22.4,22.4,22.4,6623
926460000,0,22,22,22,4683
926546400,0,22.1,22.1,22.1,9531
926632800,0,22,22,22,2211
926892000,0,21,21,21,2829
926978400,0,20.9,20.9,20.9,2020
927064800,0,20.7,20.7,20.7,2384
927151200,0,21.4,21.4,21.4,1871
927237600,0,21.5,21.5,21.5,5317
927496800,0,22,22,22,4048
927583200,0,22.6,22.6,22.6,10124
927669600,0,23.2,23.2,23.2,5359
927756000,0,24.8,24.8,24.8,7455
927842400,0,24.2,24.2,24.2,5915
928101600,0,23.4,23.4,23.4,5563
928188000,0,21.1,21.1,21.1,5692
928274400,0,21.2,21.2,21.2,4430
928706400,0,22,22,22,3801
928792800,0,22.4,22.4,22.4,3048
928879200,0,22,22,22,818
928965600,0,21.2,21.2,21.2,3226
929052000,0,21.5,21.5,21.5,1987
929311200,0,21.9,21.9,21.9,2448
929397600,0,21.9,21.9,21.9,1271
929484000,0,21.1,21.1,21.1,1820
929570400,0,21.5,21.5,21.5,799
929656800,0,20.5,20.5,20.5,3798
929916000,0,21.5,21.5,21.5,2890
930002400,0,21.3,21.3,21.3,2520
930088800,0,20.7,20.7,20.7,5110
930175200,0,20.7,20.7,20.7,3143
930261600,0,20,20,20,4217
930520800,0,20.4,20.4,20.4,2814
930607200,0,20.9,20.9,20.9,5028
930693600,0,21.2,21.2,21.2,5969
930780000,0,20.7,20.7,20.7,679
930866400,0,20.8,20.8,20.8,2026
931125600,0,21,21,21,1200
931212000,0,21.5,21.5,21.5,3149
931298400,0,21.2,21.2,21.2,1553
931384800,0,21,21,21,520
931471200,0,21.4,21.4,21.4,1253
931730400,0,21,21,21,632
931816800,0,20,20,20,1710
931903200,0,20.5,20.5,20.5,100
931989600,0,20,20,20,709
932076000,0,20.1,20.1,20.1,907
932335200,0,20.1,20.1,20.1,417
932421600,0,20,20,20,1061
932508000,0,19.7,19.7,19.7,1199
932594400,0,19,19,19,1750
932680800,0,19.3,19.3,19.3,1024
932940000,0,19,19,19,2336
933026400,0,18.1,18.1,18.1,565
933112800,0,18,18,18,1409
933199200,0,18.4,18.4,18.4,1425
933285600,0,18.6,18.6,18.6,1824
933544800,0,18.6,18.6,18.6,317
933631200,0,18.8,18.8,18.8,2256
933717600,0,18,18,18,400
933804000,0,18.1,18.1,18.1,2946
933890400,0,19.9,19.9,19.9,3482
934149600,0,21,21,21,5357
934236000,0,20.1,20.1,20.1,2187
934322400,0,18.5,18.5,18.5,1578
934408800,0,18.7,18.7,18.7,3024
934495200,0,18.8,18.8,18.8,1344
934754400,0,19.2,19.2,19.2,903
934840800,0,19,19,19,2251
934927200,0,19,19,19,503
935013600,0,18.5,18.5,18.5,132
935100000,0,18.8,18.8,18.8,598
