t,o,c,h,l,v
1191189600,3.8,3.5,3.8,3.37,20658
1191276000,3.6,3.45,3.6,3.4,50997
1191362400,3.47,3.45,3.47,3.28,45945
1191448800,3.41,3.3,3.45,3.3,46961
1191535200,3.4,3.5,3.5,3.39,48568
1191794400,3.54,3.68,3.77,3.5,64052
1191880800,3.68,3.6,3.72,3.55,18705
1191967200,3.63,3.5,3.63,3.47,34699
1192053600,3.5,3.45,3.53,3.4,24466
1192140000,3.45,3.49,3.5,3.37,17771
1192399200,3.49,3.49,3.55,3.44,19243
1192485600,3.45,3.48,3.49,3.41,4329
1192572000,3.49,3.47,3.49,3.35,50095
1192658400,3.4,3.33,3.44,3.33,14828
1192744800,3.4,3.41,3.41,3.35,12001
1193004000,3.44,3.42,3.45,3.39,28040
1193090400,3.48,3.46,3.54,3.4,50480
1193176800,3.49,3.5,3.52,3.46,29538
1193263200,3.49,3.54,3.54,3.47,31002
1193349600,3.5,3.59,3.59,3.48,22319
1193612400,3.77,3.68,3.77,3.65,41411
1193698800,3.68,3.53,3.68,3.52,31942
1193785200,3.57,3.59,3.69,3.53,9595
1193958000,3.53,3.5,3.59,3.5,16348
1194217200,3.54,3.49,3.55,3.41,13358
1194303600,3.48,3.43,3.48,3.36,21891
1194390000,3.43,3.29,3.43,3.21,60752
1194476400,3.22,3.44,3.47,3.18,27600
1194562800,3.42,3.27,3.42,3.24,23895
1194822000,3.24,3.3,3.4,3.22,5530
1194908400,3.38,3.3,3.38,3.26,6080
1194994800,3.27,3.34,3.34,3.27,4428
1195081200,3.3,3.24,3.35,3.22,18675
1195167600,3.21,3.03,3.21,2.99,39069
1195426800,3.03,2.97,3.05,2.9,20821
1195513200,2.98,2.51,2.98,2.51,85704
1195599600,2.58,2.2,2.58,2.2,58657
1195686000,2.16,2.6,2.62,2.12,95046
1195772400,2.67,2.88,2.9,2.6,37259
1196031600,2.88,3,3.06,2.88,38908
1196118000,2.92,3.02,3.02,2.88,15612
1196204400,3.15,3.14,3.15,3.1,25269
1196290800,3.16,3.25,3.27,3.1,44563
1196377200,3.2,3.33,3.35,3.2,21622
1196636400,3.34,3.2,3.34,3,11074
1196722800,3.12,3.15,3.15,3.12,851
1196809200,3.14,3.28,3.29,3.06,8582
1196895600,3.28,3.19,3.28,3.05,6324
1196982000,3.2,3.15,3.2,3.1,15375
1197241200,3.19,3.26,3.32,3.19,6664
1197327600,3.31,3.34,3.48,3.31,16958
1197414000,3.25,3.25,3.25,3.17,8258
1197500400,3.4,3.3,3.62,3.24,43118
1197586800,3.3,3.28,3.3,3.22,3596
1197846000,3.39,2.97,3.39,2.97,15455
1197932400,2.97,2.7,3.01,2.7,58609
1198018800,2.75,2.85,2.93,2.64,75249
1198105200,2.93,3.14,3.22,2.85,67384
1198191600,3.2,3,3.2,3,65003
1198710000,2.99,2.92,2.99,2.8,39207
1198796400,2.92,2.97,3,2.83,22631
1199228400,3.04,2.94,3.07,2.92,4256
1199314800,2.86,2.97,2.99,2.85,18203
1199401200,2.89,2.9,2.97,2.84,36503
1199660400,2.82,2.82,2.9,2.71,11707
1199746800,2.9,2.82,2.95,2.72,18729
1199833200,2.89,2.78,2.89,2.63,54530
1199919600,2.8,2.63,2.8,2.56,24399
1200006000,2.6,2.56,2.69,2.5,46082
1200265200,2.6,2.5,2.6,2.3,22463
1200351600,2.56,2.22,2.56,2.22,16266
1200438000,2.27,2.09,2.27,1.94,63177
1200524400,2.18,2.43,2.43,2.1,128354
1200610800,2.44,2.3,2.45,2.22,67304
1200870000,2.3,2.3,2.3,2.14,26565
1200956400,2.12,2.24,2.26,2.06,25143
1201042800,2.3,2.25,2.3,2.12,264859
1201129200,2.29,2.24,2.29,2.17,26036
1201215600,2.25,2.15,2.29,2,141199
1201474800,2.09,1.98,2.1,1.98,118922
1201561200,2.03,1.9,2.12,1.83,301636
1201647600,1.95,2,2.02,1.81,217934
1201734000,2,1.95,2,1.88,113965
1201820400,2,1.99,2.11,1.95,212966
1202079600,2.08,1.95,2.08,1.92,99482
1202166000,1.97,1.8,1.97,1.78,130106
1202252400,1.76,1.73,1.84,1.64,185431
1202338800,1.74,1.63,1.74,1.59,230448
1202425200,1.67,1.69,1.75,1.65,126827
1202684400,1.73,1.67,1.75,1.67,70011
1202770800,1.7,1.65,1.71,1.55,132582
1202857200,1.61,1.6,1.65,1.58,83338
1202943600,1.65,1.62,1.68,1.58,34472
1203030000,1.61,1.61,1.61,1.57,23351
1203289200,1.62,1.85,1.87,1.59,184029
1203375600,1.8,1.78,1.85,1.72,67393
1203462000,1.8,1.7,1.81,1.69,31306
1203548400,1.75,1.79,1.79,1.7,34434
1203634800,1.8,1.82,1.82,1.75,30743
1203894000,1.86,1.83,1.87,1.8,55304
