t,o,c,h,l,v
1416956400,5.39,5.3,5.68,5.3,1166
1417042800,5.65,5.56,5.65,5.55,804
1417129200,5.6,5.88,5.88,5.55,471
1417388400,5.89,6.15,6.15,5.89,536
1417474800,6.08,6.05,6.08,6.05,132
1417561200,5.98,5.9,5.98,5.9,136
1417647600,5.84,5.79,5.84,5.45,578
1417734000,5.69,5.69,5.69,5.69,6
1417993200,5.41,5.54,5.54,5.41,2
1418079600,5.54,5.43,5.54,5.43,4
1418166000,5.56,5.2,5.56,5.2,121
1418252400,5.38,5.27,5.38,5.27,10
1418338800,5.27,5.04,5.27,4.93,111
1418598000,5.17,5.17,5.17,5.17,1
1418684400,5.38,5.38,5.38,5.38,1
1418770800,5.11,5.01,5.11,5.01,298
1418857200,5.39,5.39,5.39,5.39,2
1418943600,5.26,5.26,5.26,5.26,2
1419202800,5.26,5.2,5.26,5.2,2
1419289200,5.26,5.25,5.26,4.99,6
1419807600,5.26,5.26,5.26,5.26,3
1419894000,5.25,5.25,5.25,4.81,772
1420153200,0,5.25,5.25,5.25,0
1420412400,5.16,5.16,5.16,5.16,3
1420585200,5.42,5.95,5.95,5.42,2631
1420671600,5.5,5.94,5.94,5.5,4910
1420758000,6,6,6.57,6,3002
1421017200,6.25,6.57,6.57,6.07,3744
1421103600,6.5,6.65,6.65,6.16,3573
1421190000,6.65,6.65,6.65,6.65,12
1421276400,6.65,6.5,6.65,6.5,397
1421362800,6.65,6.65,6.65,6.65,6
1421622000,7.25,7,7.25,6.64,718
1421708400,7.6,7,7.6,7,1310
1421794800,7.5,7.13,7.5,7,2142
1421881200,7.5,7.5,7.5,7.01,2255
1421967600,7.5,7.26,7.5,7.01,2927
1422226800,7.5,7.5,7.5,7.07,2041
1422313200,7.5,7.29,7.5,7.07,1434
1422399600,7,7,7,6.98,3000
1422486000,7,7,7,6.66,5738
1422572400,7.5,8.2,8.2,6.85,2259
1422831600,8.2,7.81,8.2,7.81,5
1422918000,8.31,7.04,8.31,6.84,1165
1423004400,6.92,7.05,7.05,6.68,1962
1423090800,6.85,7,7,6.85,1260
1423177200,0,7,7,7,0
1423436400,0,7,7,7,0
1423522800,6.75,6.76,6.79,6.49,1944
1423609200,6.52,6.84,6.84,6.25,3100
1423695600,0,6.84,6.84,6.84,0
1423782000,0,6.84,6.84,6.84,0
1424041200,6.68,7,7,6.68,1600
1424127600,6.85,6.85,6.85,6.85,200
1424214000,7,7,7,7,2
1424300400,7,7,7,7,1
1424386800,7,7,7,7,1
1424646000,7,7,7,7,2
1424732400,0,7,7,7,0
1424818800,7,7,7,7,2
1424905200,7,7,7,7,2
1424991600,7,7,7,7,3
1425250800,7,7,7,7,1
1425337200,7,7,7,7,4
1425423600,7,7,7,7,2
1425510000,7,7.3,7.3,6.6,5002
1425596400,7,7,7,6.56,1257
1425855600,7,7,7,7,3
1425942000,7,7,7,7,2
1426028400,7,7,7,7,2
1426114800,7,7,7,7,5
1426201200,7,7,7,7,2
1426460400,0,7,7,7,0
1426546800,0,7,7,7,0
1426633200,0,7,7,7,0
1426719600,0,7,7,7,0
1426806000,0,7,7,7,0
1427065200,6.29,6.29,6.29,6.29,3
1427151600,6.29,6.29,6.29,6.29,3
1427238000,6.29,6.29,6.29,6.29,3
1427324400,6.29,5.67,6.29,5.67,1322
1427410800,5.67,5.67,5.67,5.67,3
1427666400,5.67,5.67,5.67,5.67,2
1427752800,5.67,5.11,5.67,5.11,602
1427839200,5.11,5.11,5.11,5.11,2
1427925600,5.11,5.11,5.11,5.11,2
1428357600,5.08,5.08,5.08,5.08,3
1428444000,5.08,5.59,5.59,5.08,3694
1428530400,5.59,5.43,5.59,5.18,5260
1428616800,5.88,6,6,5.88,4
1428876000,6.29,6.29,6.29,6.29,2
1428962400,6.29,6.29,6.29,6.29,80
1429048800,0,6.29,6.29,6.29,0
1429135200,5.9,5.31,5.9,5.31,2959
1429221600,5.8,5.46,5.8,5.45,355
1429480800,5.9,5.47,5.9,5.46,5775
1429567200,5.8,5.8,5.8,5.8,2
1429653600,5.8,5.8,5.8,5.8,103
1429740000,5.8,5.8,5.8,5.8,2
1429826400,5.8,5.8,5.8,5.8,3
1430085600,5.8,5.8,5.8,5.8,10
1430172000,5.8,5.3,5.8,5.3,589
1430258400,5.8,5.8,5.8,5.8,7
1430344800,5.7,5.7,5.7,5.7,5
1430690400,5.3,5.3,5.3,5.3,21
1430776800,5.3,5.3,5.3,5.3,1100
1430863200,5.3,5.3,5.3,5.3,10
1430949600,5.3,5.3,5.3,5.3,2
1431036000,5.3,5.3,5.3,5.3,2
1431295200,5.3,5.3,5.3,5.3,2
1431381600,0,5.3,5.3,5.3,0
1431468000,5.25,5,5.25,4.9,1546
1431554400,5.21,5.21,5.21,5.21,2
1431640800,5.21,5.21,5.21,5.21,3
1431900000,5.3,5.3,5.3,5.3,3
1431986400,5.3,4.79,5.3,4.79,3
1432072800,4.79,4.79,4.79,4.79,3
1432159200,4.72,4.65,4.72,4.65,53
1432245600,0,4.65,4.65,4.65,0
1432504800,4.81,4.78,4.81,4.6,4473
1432591200,0,4.78,4.78,4.78,0
1432677600,4.76,4.79,4.79,4.76,1000
1432764000,5.25,4.6,5.25,4.4,3829
1432850400,4.22,4,4.55,4,14
1433109600,4,4.4,4.4,4,27
1433196000,3.8,4.18,4.18,3.8,105
1433282400,4.37,4.37,4.37,4.37,5
1433455200,4.1,4,4.11,3.7,568
1433714400,4,4,4,3.8,280
1433800800,4,4,4,4,2
1433887200,4,3.7,4,3.7,7
1433973600,4,3.7,4,3.7,7
1434060000,0,3.7,3.7,3.7,0
1434319200,4.07,3.85,4.07,3.85,60
1434405600,0,3.85,3.85,3.85,0
1434492000,0,3.85,3.85,3.85,0
1434578400,0,3.85,3.85,3.85,0
1434664800,3.81,3.45,3.81,3.45,3045
1434924000,4.4,4.4,4.4,4.4,300
1435010400,3.41,3.5,3.5,3.41,508
1435096800,0,3.5,3.5,3.5,0
1435183200,0,3.5,3.5,3.5,0
1435269600,3.67,3.5,3.67,3.5,2945
1435528800,3.85,3.85,3.85,3.85,2
1435615200,4.19,3.8,4.19,3.8,11
1435701600,3.91,3.51,3.91,3.51,578
1435788000,0,3.51,3.51,3.51,0
1435874400,0,3.51,3.51,3.51,0
1436133600,0,3.51,3.51,3.51,0
1436220000,3.81,3.61,3.81,3.42,513
1436306400,3.91,3.91,3.91,3.91,2
1436392800,3.91,3.91,3.91,3.91,2
1436479200,3.91,3.91,3.91,3.91,2
1436738400,3.91,3.91,3.91,3.91,3
