t,o,c,h,l,v
1202338800,8.31,8.3,8.31,8.3,1173
1202425200,8.3,8.39,8.39,8.25,950
1202684400,8.45,8.55,8.57,8.4,5180
1202770800,8.56,9.59,9.59,8.56,25447
1202857200,9.83,10.35,10.8,9.83,45399
1202943600,10.5,9.99,10.8,9.9,78862
1203030000,9.92,11.2,11.4,9.92,264697
1203289200,11.99,11.85,12.6,11.65,120429
1203375600,11.85,11.6,11.9,11.37,46153
1203462000,11.3,11.15,11.5,11.14,52787
1203548400,11.5,11.38,11.6,11.15,16726
1203634800,11.48,11.15,11.48,10.91,8357
1203894000,11.39,10.5,11.39,10.33,42127
1203980400,10.6,10.35,11,10.35,297793
1204066800,10.25,10.64,10.8,10.25,14675
1204153200,10.78,10.25,10.78,10.2,112352
1204239600,10.1,10,10.24,9.97,71632
1204498800,9.76,9.47,9.76,9.21,52301
1204585200,9.25,9.26,9.47,9.25,11121
1204671600,9.26,9.7,9.93,9.26,22426
1204758000,9.83,9.86,9.98,9.65,11760
1204844400,9.5,10,10.19,9.42,15489
1205103600,9.95,10,10.5,9.66,29372
1205190000,10.02,9.93,10.02,9.91,15677
1205276400,10.14,10,10.14,9.95,18177
1205362800,9.94,9.85,10,9.85,5510
1205449200,10,9.93,10.25,9.77,31163
1205708400,9.46,9.8,9.8,9.46,4519
1205794800,9.79,9.78,9.91,9.5,11649
1205881200,9.9,9.85,9.9,9.55,6454
1205967600,9.58,9.77,9.77,9.58,4407
1206399600,10.08,9.94,10.08,9.84,9266
1206486000,9.94,9.8,9.94,9.8,7546
1206572400,9.8,9.97,10,9.8,21510
1206658800,10,10.03,10.05,9.8,29247
1206914400,10.03,9.99,10.03,9.7,7310
1207000800,9.99,9.82,9.99,9.8,6804
1207087200,10.5,9.97,10.5,9.86,15055
1207173600,10.05,9.9,10.05,9.9,12888
1207260000,10.38,10,10.38,9.9,9013
1207519200,9.9,9.98,10.08,9.9,5106
1207605600,9.95,9.8,9.95,9.8,14771
1207692000,9.79,9.82,9.9,9.73,9136
1207778400,9.78,9.8,9.82,9.78,11613
1207864800,9.81,9.8,9.84,9.61,3356
1208124000,9.6,9.75,9.75,9.5,1520
1208210400,9.51,9.59,9.6,9.5,8289
1208296800,9.59,9.59,9.6,9.39,4405
1208383200,9.59,9.59,9.6,9.5,1980
1208469600,9.59,9.63,9.63,9.5,7377
1208728800,9.32,9.5,9.6,9.3,6217
1208815200,9.32,9.1,9.32,8.96,7505
1208901600,8.95,8.8,8.95,8.2,19239
1208988000,8.7,8.75,9.18,8.7,6434
1209074400,8.79,9,9,8.79,3500
1209333600,9.18,9.18,9.18,9.1,17535
1209420000,9.08,9.48,9.48,9.08,13378
1209506400,9.55,9.59,9.6,9.55,11383
1209938400,9.63,10.49,10.69,9.63,66815
1210024800,10.58,10.34,10.58,10.12,139269
1210111200,10.25,10.08,10.36,9.9,100190
1210197600,10,10.05,10.09,9.96,1806
1210284000,10.13,10,10.13,9.82,4996
1210543200,9.8,9.98,10.05,9.79,11315
1210629600,9.95,9.96,9.99,9.82,11023
1210716000,9.95,9.97,9.97,9.92,40280
1210802400,9.91,9.86,9.95,9.81,13094
1210888800,9.85,9.84,9.87,9.7,4417
1211148000,9.54,9.4,9.8,8.9,20412
1211234400,9.4,9.4,9.51,9.22,6637
1211320800,9.2,9.3,9.4,9.2,11641
1211493600,9.38,9.37,9.38,9.26,312
1211752800,9.4,9.24,9.4,9.24,1257
1211839200,9.4,9.07,9.4,8.82,10951
1211925600,9.25,9.18,9.25,9,4821
1212012000,9,9,9.18,9,12469
1212098400,9,9.18,9.18,9,2467
1212357600,9.25,9.25,9.32,9.25,77531
1212444000,9.18,9.2,9.3,9.17,30819
1212530400,9.35,9.15,9.35,9,112946
1212616800,9.3,9.25,9.3,9.06,165
1212703200,9.3,9.3,9.3,9.14,6004
1212962400,9.4,9,9.4,8.72,3167
1213048800,8.75,8.87,8.89,8.6,3901
1213135200,8.66,8.6,8.9,8.51,3709
1213221600,8.5,8.7,8.75,8.4,11362
1213308000,8.79,8.62,8.79,8.36,2032
1213567200,8.74,8.7,8.74,8.6,5832
1213653600,8.69,8.65,8.69,8.6,32089
1213740000,8.7,8.6,8.7,8.42,10032
1213826400,8.7,8.6,8.7,8.2,7758
1213912800,8.59,8.58,8.59,8.45,2932
1214172000,8.31,8.15,8.31,8.15,14450
1214258400,8.03,8.2,8.2,8.03,77256
1214344800,8.05,8.2,8.2,8.05,2716
1214431200,8.25,8.06,8.25,8.05,3422
1214517600,7.7,8.17,8.17,7.7,13552
1214776800,8.28,8,8.57,8,6913
1214863200,8.25,7.8,8.25,7.71,6598
1214949600,7.71,7.7,7.8,7.7,3856
1215036000,7.7,7.55,7.9,7.42,4750
1215122400,7.5,7.5,7.65,7.4,1937
1215381600,7.2,7.07,7.2,7,4583
1215468000,7.07,7.07,7.07,7,6036
1215554400,7.14,7.1,7.14,7.1,620
1215640800,7.1,6.91,7.1,6.9,80296
1215727200,6.98,6.82,6.98,6.82,2988
1215986400,7,6.62,7,6.14,6774
1216072800,6.39,6.3,6.39,6,2418
1216159200,5.85,6,6,5.78,47439
1216245600,6,6.25,6.25,5.8,53777
1216332000,6.3,6,6.3,5.88,18573
1216591200,6.3,5.9,6.3,5.9,15267
1216677600,6,6.1,6.1,6,22726
1216764000,6,6.08,6.09,6,8864
1216850400,6.1,6.18,6.3,6.1,12029
1216936800,6,6.25,6.37,6,2109
1217196000,6.36,6.79,6.8,6.25,4411
1217282400,6.67,7.2,7.2,6.65,4970
1217368800,7.24,8,8,7.24,18716
1217455200,8.8,8.38,8.8,8,9850
1217541600,8.42,8.26,8.42,7.81,9155
1217800800,8.1,6.9,8.1,6.8,25026
1217887200,7.14,7.16,7.47,7.13,20601
1217973600,7.4,7.05,7.48,7.05,18428
1218060000,7.39,7.1,7.39,7,5662
1218146400,7.25,7.11,7.25,6.9,4387
1218405600,7.11,7.05,7.11,6.9,2233
1218492000,7.19,7.14,7.19,7.05,6819
1218578400,7.01,7.15,7.15,7.01,1035
1218664800,7.24,7.17,7.24,6.8,3294
1219010400,7.2,7.19,7.2,7,2734
1219096800,7.15,7.09,7.15,6.9,2137
1219183200,7.08,7.03,7.08,6.8,2196
1219269600,7,6.95,7,6.8,466
1219356000,7.02,7.01,7.02,6.82,506
1219615200,7.03,6.95,7.03,6.7,2993
1219701600,6.94,6.9,6.94,6.71,909
1219788000,6.8,6.9,6.92,6.8,1475
1219874400,6.98,6.95,6.98,6.93,1651
1219960800,6.95,6.92,6.95,6.75,5323
1220220000,6.7,6.78,6.83,6.4,9510
1220306400,6.57,7.1,7.1,6.57,19390
1220392800,7.08,7.07,7.08,6.85,2263
1220479200,7.08,7.06,7.08,6.8,6157
1220565600,6.81,6.97,6.99,6.8,3466
1220824800,6.96,6.89,6.96,6.7,1504
1220911200,6.72,6.69,6.72,6.5,1231
1220997600,6.62,6.55,6.89,6.55,14015
1221084000,6.48,6.33,6.55,6.33,4413
1221170400,6.37,6.25,6.37,6.07,22642
1221429600,6.37,6.2,6.37,6,6107
1221516000,6.02,6,6.02,5.78,5496
1221602400,6.1,6.09,6.1,6,4410
1221688800,5.71,6,6.09,5.71,8807
1221775200,6.25,6.12,6.6,6.04,24409
1222034400,6.38,6.2,6.38,6.1,1500
1222120800,6.2,6.12,6.2,6.12,9605
1222207200,6.1,6.1,6.1,6.08,2700
1222293600,6.21,6.21,6.7,6.12,9065
1222380000,6.28,6.15,6.64,6.11,3943
1222639200,6.32,6,6.32,5.84,7991
1222725600,5.92,6.07,6.07,5.8,12407
1222812000,6.04,6.18,6.24,6.04,3390
1222898400,6.3,6.3,6.3,6.1,1810
1222984800,6.3,6.29,6.3,6.05,2673
1223244000,6.28,6.1,6.28,5.75,3478
1223330400,5.8,5.95,6,5.8,6002
1223416800,5.75,5.56,5.75,5.46,27517
1223503200,5.58,5.52,5.6,5.12,8564
1223589600,5,4.91,5.32,4.8,64655
1223848800,5.1,5.19,5.2,4.86,9504
1223935200,5.68,5.45,5.7,5.2,5624
1224021600,5.31,5.05,5.35,5.05,9933
1224108000,5.04,5.02,5.04,4.8,7827
1224194400,4.95,4.89,5.12,4.5,8353
1224453600,4.89,4.5,4.89,4.5,11170
1224540000,4.56,4.48,4.56,4.35,5706
1224626400,4.06,3.9,4.24,3.79,18837
1224712800,3.84,3.5,3.84,3.42,15025
1224799200,3.88,3.68,3.88,3.5,9515
1225062000,3.6,3.35,3.6,3.27,21088
1225148400,3.6,3.45,3.6,3.16,25452
1225234800,3.41,3.29,3.6,3.28,58510
1225321200,3.57,3.22,3.57,3.2,52318
1225407600,3.26,3.01,3.26,2.91,58040
1225666800,3,2.9,3.04,2.8,87926
1225753200,2.86,2.69,2.89,2.66,135474
1225839600,2.82,2.6,2.83,2.55,160705
1225926000,2.52,2.24,2.52,2.23,192542
1226012400,2.3,2.28,2.4,2.26,135208
1226271600,2.35,2.5,2.75,2.35,285670
1226444400,2.52,2.37,2.63,2.3,153296
1226530800,2.31,2.53,2.56,2.31,101195
1226617200,2.72,2.94,2.97,2.53,305486
1226876400,2.84,3.1,3.1,2.82,344579
1226962800,3.09,3.09,3.15,2.94,304211
1227049200,2.92,2.73,3.08,2.69,95360
1227135600,2.5,2.6,2.68,2.45,78499
1227222000,2.56,2.67,2.79,2.56,37733
1227481200,2.71,2.73,2.94,2.62,27852
1227567600,2.7,2.7,2.79,2.61,17572
1227654000,2.79,2.5,2.79,2.5,69964
1227740400,2.54,2.56,2.74,2.54,59966
1227826800,2.62,2.69,2.7,2.58,15470
1228086000,2.6,2.68,2.7,2.6,13007
1228172400,2.6,2.56,2.62,2.56,5487
1228258800,2.57,2.52,2.68,2.52,29200
1228345200,2.52,2.6,2.67,2.52,13943
1228431600,2.56,2.55,2.6,2.54,21277
1228690800,2.66,2.55,2.67,2.55,10203
1228777200,2.51,2.58,2.63,2.51,8130
1228863600,2.55,2.53,2.57,2.53,11836
1228950000,2.54,2.48,2.57,2.47,13431
1229036400,2.46,2.43,2.46,2.39,9635
1229295600,2.45,2.44,2.53,2.44,9209
1229382000,2.45,2.45,2.48,2.34,26271
1229468400,2.48,2.37,2.48,2.36,4342
1229554800,2.46,2.33,2.46,2.33,20312
1229641200,2.4,2.35,2.4,2.32,73126
1229900400,2.32,2.32,2.32,2.28,13200
1229986800,2.26,2.29,2.3,2.25,73983
1230505200,2.3,2.41,2.42,2.3,13089
1230591600,2.42,2.32,2.49,2.32,43364
1230678000,2.35,2.32,2.55,2.31,34327
1231110000,2.26,2.31,2.31,2.22,76044
1231196400,2.35,2.42,2.43,2.35,7910
