t,o,c,h,l,v
1318370400,3.29,3.08,3.29,2.8,134755
1318456800,3.12,3.09,3.12,2.95,8034
1318543200,3.03,3.05,3.05,2.9,6694
1318802400,2.95,2.8,3.03,2.8,9395
1318888800,2.78,2.85,2.9,2.69,3366
1318975200,3,2.9,3,2.85,4260
1319061600,2.79,2.99,2.99,2.79,4401
1319148000,2.85,2.95,2.99,2.84,1726
1319407200,2.99,3.3,3.3,2.99,6732
1319493600,3.15,3.45,3.45,3,16294
1319580000,3.26,3.75,3.8,3.25,5433
1319666400,3.62,3.82,3.82,3.61,10818
1319752800,3.84,4.13,4.17,3.7,26265
1320015600,4.1,4.03,4.1,3.95,587
1320188400,3.9,3.98,3.98,3.9,600
1320274800,3.98,3.98,3.98,3.98,551
1320361200,3.99,3.96,3.99,3.95,677
1320620400,3.97,3.95,3.97,3.95,5403
1320706800,3.96,3.9,4.03,3.9,1921
1320793200,3.8,3.89,3.95,3.7,2150
1320879600,3.89,3.83,3.9,3.83,8940
1321225200,3.94,3.92,4.11,3.3,8328
1321311600,3.92,3.92,3.92,3.85,1112
1321398000,0,3.92,3.92,3.92,0
1321484400,3.92,3.92,3.92,3.76,6027
1321570800,3.92,3.92,3.92,3.92,10
1321830000,3.92,3.7,3.92,3.7,1600
1321916400,3.73,3.86,3.86,3.73,905
1322002800,3.74,3.8,3.82,3.7,1420
1322089200,3.75,3.75,3.75,3.75,1000
1322175600,3.65,3.74,3.74,3.3,5863
1322434800,3.58,3.74,3.74,3.58,2300
1322521200,3.74,3.71,3.74,3.65,1295
1322607600,3.74,3.6,3.74,3.6,1701
1322694000,3.58,3.58,3.58,3.58,10
1322780400,3.74,3.56,3.74,3.5,1310
1323039600,3.74,3.58,3.74,3.58,739
1323126000,3.6,3.74,3.74,3.6,7000
1323212400,3.74,3.79,3.79,3.6,10877
1323298800,3.86,3.86,3.86,3.86,5
1323385200,3.8,3.8,3.8,3.8,2
1323644400,3.84,3.75,3.84,3.75,1602
1323730800,3.8,3.77,3.8,3.71,2601
1323817200,3.8,3.8,3.8,3.72,7301
1323903600,3.8,3.8,3.8,3.8,1
1323990000,3.8,3.8,3.8,3.71,1012
1324249200,3.8,3.8,3.8,3.8,309
1324335600,3.8,3.8,3.8,3.8,432
1324422000,3.78,3.75,3.78,3.7,1617
1324508400,3.77,3.78,3.78,3.77,1050
1324594800,3.78,3.78,3.78,3.78,2000
1324940400,3.88,3.87,3.88,3.87,1425
1325026800,3.9,3.99,3.99,3.9,1000
1325113200,3.99,3.9,4,3.82,3865
1325199600,3.89,4.26,4.26,3.89,17305
1325458800,4,3.9,4,3.9,1427
1325545200,4.1,3.95,4.1,3.95,601
1325631600,3.99,3.99,3.99,3.99,10
1325718000,3.99,3.99,3.99,3.99,20
1326063600,4.15,4.15,4.15,4.15,25
1326150000,3.9,4.1,4.1,3.9,2200
1326236400,4.1,4.1,4.1,4.1,108
1326322800,4.1,4.1,4.1,4,304
1326409200,4.1,4.1,4.1,4.1,1
1326668400,4.15,4.1,4.15,4.1,611
1326754800,4.13,4.13,4.13,4.13,3
1326841200,4.1,4.13,4.14,4.1,1505
1326927600,4.14,4.14,4.14,3.99,798
1327014000,4.14,4.14,4.14,4.14,452
1327273200,4.14,4.14,4.14,4.14,2
1327359600,4.14,4.14,4.14,4.14,302
1327446000,4.14,4.19,4.19,4.14,4692
1327532400,4.19,4.19,4.19,4.19,163
1327618800,4.19,4.24,4.24,4.1,7688
1327878000,4.24,4.24,4.24,4.1,2009
1327964400,4.06,4.25,4.25,4.06,2015
1328050800,4.3,4.3,4.3,4.3,1
1328137200,4.34,4.28,4.34,4.28,401
1328223600,4.28,4.28,4.28,4.28,202
1328482800,4.25,4.25,4.25,4.25,250
1328569200,4.25,4.24,4.25,4.13,3122
1328655600,4.24,4.24,4.24,4.24,1456
1328742000,4.24,4.24,4.24,4.15,2204
1328828400,4.24,4.17,4.24,4.17,1184
1329087600,4.24,4.06,4.24,4.06,2873
1329174000,4.19,4.19,4.19,4.19,1
1329260400,4.18,4.17,4.18,4.11,512
1329346800,4.18,4.18,4.18,4.18,2
1329433200,4.18,4.15,4.18,4.14,515
1329692400,4.19,4.24,4.24,4.19,660
1329778800,4.24,4.24,4.24,4.24,5
1329865200,4.24,4.22,4.24,4.13,2434
1329951600,4.22,4.25,4.27,4.22,12602
1330038000,4.27,4.27,4.27,4.27,2
1330297200,4.3,4.3,4.3,4.3,5
1330383600,4.29,4.29,4.29,4.15,2300
1330470000,4.29,4.45,4.69,4.29,6856
1330556400,4.62,4.5,4.72,4.5,2954
1330642800,4.7,4.71,4.9,4.52,7598
1330902000,4.9,4.6,4.9,4.38,3324
1330988400,4.43,4.64,4.64,4.43,1037
1331074800,4.62,4.6,4.62,4.42,387
1331161200,4.59,5.14,5.5,4.59,40560
1331247600,5.5,5.4,6.49,4.86,31224
1331506800,5.2,5.11,5.6,5,20802
1331593200,5.35,5.6,5.65,5.3,14465
1331679600,5.4,5.6,5.6,5.3,3614
1331766000,5.54,5.49,5.54,5.4,4072
1331852400,5.49,5.29,5.49,4.98,9008
1332111600,5.2,5.39,5.39,5.2,2367
1332198000,5.45,5.9,5.9,5.28,60470
1332284400,5.99,5.82,6.3,5.55,21852
1332370800,5.78,5.42,5.8,5.25,8071
1332457200,5.32,5.65,5.79,5.02,8572
1332712800,6.08,5.53,6.08,5.48,2636
1332799200,5.8,5.8,6.1,5.8,20309
1332885600,5.98,6,6.3,5.82,12494
1332972000,6.25,6.05,6.25,6,11781
1333058400,6.2,6.09,6.28,6.09,15310
1333317600,6.3,6.18,6.38,6.1,10154
1333404000,5.96,5.95,6.1,5.95,6970
1333490400,6,5.8,6,5.75,1909
1333576800,5.66,6.1,6.1,5.65,2076
1334008800,6.1,6.05,6.35,6,12399
1334095200,6.05,6,6.05,6,3220
1334181600,6.05,6.17,6.17,6,1965
1334268000,6,6.05,6.05,5.9,7042
1334527200,6.04,5.8,6.04,5.8,3290
1334613600,5.8,5.85,6.03,5.8,5182
1334700000,5.85,5.96,6.02,5.85,3384
1334786400,6,6,6.03,6,3031
1334872800,6.02,5.8,6.08,5.8,548
1335132000,5.81,5.7,5.81,5.55,6544
1335218400,5.55,5.55,5.55,5.2,7965
1335304800,5.45,5.4,5.45,5.21,2059
1335391200,5.45,5.41,5.45,5.25,2262
1335477600,5.5,5.7,5.7,5.5,3660
1335736800,5.75,5.8,5.9,5.75,2375
1335909600,5.92,6.09,6.09,5.9,3183
1336082400,6.05,6.05,6.05,6.05,10
1336341600,5.81,5.95,5.95,5.81,340
1336428000,5.94,5.94,5.94,5.94,10
1336514400,5.83,6.09,6.09,5.82,1507
1336600800,6,6,6,6,1000
1336687200,5.81,5.85,5.88,5.76,4275
1336946400,5.85,5.85,5.85,5.75,2939
1337032800,5.85,5.78,5.85,5.53,1361
1337119200,5.53,5.8,5.8,5.53,2458
1337205600,5.65,5.79,5.79,5.65,830
1337292000,5.78,5.79,5.79,5.78,938
1337551200,5.79,5.8,5.8,5.79,500
1337637600,5.78,5.8,5.8,5.7,2395
1337724000,5.67,5.8,5.8,5.67,980
1337810400,5.59,5.61,5.77,5.5,815
1337896800,5.4,5.42,5.42,5.16,3312
1338156000,5.19,5.25,5.25,5.11,4858
1338242400,5.25,5.4,5.4,5.25,400
