t,o,c,h,l,v
1337810400,7,7.5,7.5,6.51,5005
1337896800,7.59,7.45,7.59,7.12,3143
1338156000,7.5,7,7.5,6.75,18155
1338242400,7,7,7,6.5,5681
1338328800,7,6.05,7,6.05,5310
1338415200,6.05,6.19,6.5,6.01,3706
1338501600,6.48,6.1,6.48,6,28205
1338760800,6.1,6,6.1,5.8,5851
1338847200,6,5.96,6,5.6,7970
1338933600,5.99,6,6,5.7,2431
1339106400,6,6,6,5.7,1498
1339365600,6,6,6,5.75,2124
1339452000,6,6,6,5.49,3086
1339538400,6,5.94,6,5.6,5338
1339624800,5.9,5.98,6.05,5.42,6644
1339711200,5.99,5.75,5.99,5.42,56928
1339970400,5.89,5.95,5.99,5.7,1458
1340056800,5.84,5.8,5.85,5.5,17053
1340143200,5.8,5,5.8,5,46832
1340229600,5.3,5.9,5.9,5.3,15410
1340316000,5.99,5.7,5.99,5.54,17204
1340575200,5.75,5.75,5.85,5.71,1255
1340661600,5.85,5.7,6.1,5.6,10026
1340748000,6.27,6.4,6.4,5.99,4384
1340834400,6.4,6.35,6.6,6.2,4483
1340920800,6.35,6.5,6.5,6.2,3890
1341180000,6.5,6.5,6.5,6.18,6231
1341266400,6.6,6.25,6.6,6.1,3372
1341352800,6.42,6,6.42,6,3313
1341439200,6,6.3,6.35,6,11655
1341525600,6.32,6.3,6.32,6.02,1084
1341784800,6.29,6.05,6.29,6,2511
1341871200,6.28,5.98,6.28,5.67,7414
1341957600,6.09,6.03,6.09,5.78,1495
1342044000,6.02,6,6.02,5.9,2264
1342130400,6,5.98,6,5.5,5189
1342389600,5.99,5.85,5.99,5.5,3875
1342476000,5.56,5.6,5.82,5.47,3110
1342562400,5.4,5.5,5.75,5.32,4013
1342648800,5.23,5.5,5.5,5.1,11460
1342735200,5.48,5.09,5.48,5.09,9257
1342994400,5.2,5.29,5.44,4.99,27335
1343080800,5.29,5.29,5.29,5.29,18
1343167200,5.2,5.1,5.2,4.9,1354
1343253600,5.1,5.1,5.1,5.1,15
1343340000,5.1,5.08,5.1,5,4035
1343599200,5.08,5.03,5.08,4.87,2607
1343685600,5.05,5,5.05,4.78,4099
1343772000,4.99,5.5,5.5,4.56,15623
1343858400,5.35,5.72,5.75,5.09,10873
