t,o,c,h,l,v
1430949600,35.25,35,36,34.6,445934
1431036000,35.58,35.13,35.6,35.05,23827
1431295200,35.5,35,35.5,35,85690
1431381600,35.1,34.9,35.1,34.9,97753
1431468000,34.81,34.3,34.95,34.3,3140
1431554400,34.4,34.85,34.85,34.05,2613
1431640800,34.5,35.2,35.2,34.5,3016
1431900000,35.35,34.82,35.5,34.82,13626
1431986400,34.7,34.8,34.85,34.7,57928
1432072800,34.75,34.8,35.4,34.75,2438
1432159200,35.5,35.01,35.5,35.01,505
1432245600,34.72,34.82,35.48,34.72,49004
1432504800,35.38,35.38,35.38,35.38,145
1432591200,34.85,34.85,34.85,34.85,63
1432677600,34.51,34.75,35,34.51,77478
1432764000,34.7,34.75,34.84,34.52,40900
1432850400,34.41,34.8,34.9,34.41,13155
1433109600,34.7,34.75,34.85,34.55,6014
1433196000,34.7,34.75,34.75,34.5,25680
1433282400,34.5,34.68,34.8,34.5,15199
1433455200,34.65,34.6,34.65,34.6,32675
1433714400,34.58,34.8,34.8,34.58,5520
1433800800,34.6,34.6,34.6,34.6,33436
1433887200,34.6,34.56,34.7,34.52,12850
1433973600,34.7,34.55,34.7,34.52,49794
1434060000,34.65,34.55,34.65,34.55,7679
1434319200,34.8,34.6,34.8,34.6,3310
1434405600,34.6,34.75,34.75,34.48,21427
1434492000,34.8,34.7,34.8,34.65,14524
1434578400,34.75,34.78,34.85,34.75,3781
1434664800,34.75,34.48,34.9,34.48,12203
1434924000,34.51,34.6,34.7,34.51,3952
1435010400,34.8,34.6,34.8,34.6,6412
1435096800,34.61,34.77,34.9,34.61,13837
1435183200,34.7,34.7,34.8,34.7,1112
1435269600,34.6,34.58,34.6,34.54,622
1435528800,34,33.7,34,31.35,10057
1435615200,33.51,33.67,33.7,33.51,1051
1435701600,33.67,34.86,34.88,33.67,14142
1435788000,34.88,34.85,34.92,34.2,11191
1435874400,34.85,34.5,34.92,34.19,15246
1436133600,34.25,34.9,34.9,34.05,43507
1436220000,34.5,34.5,34.7,34.5,2031
1436306400,34.8,34.5,34.8,34.5,15814
1436392800,34.6,34.5,34.6,34.2,4575
1436479200,34.5,34.5,34.79,34.45,70382
1436738400,34.7,34.28,34.7,34,16795
1436824800,34.34,34.25,34.37,34,11416
1436911200,34.25,34.6,34.6,34.02,3783
1436997600,34.7,35.7,35.91,34.6,34353
1437084000,35.51,36.62,36.63,35.51,247329
1437343200,36.62,36.5,36.62,36.05,17220
1437429600,36.5,36.88,36.88,36.2,9176
1437516000,36.9,36.9,36.9,36.71,10153
1437602400,36.8,36.7,36.9,36.61,5135
1437688800,36.9,37,37,36.8,38543
1437948000,37.15,36.81,37.3,36.8,7018
1438034400,36.82,37,37.18,36.82,2388
1438120800,37,36.98,37.15,36.98,11520
1438207200,36.98,37,37,36.98,818
1438293600,37,37.6,37.6,37,15239
1438552800,37.6,38,38,37.6,6156
1438639200,38,37,38,37,1978
1438725600,37,37.55,37.7,37,88523
1438812000,37.55,37.45,37.75,37.1,5567
1438898400,37.45,37.15,37.45,37,4334
1439157600,37.15,37,37.15,37,3209
1439244000,37,37,37.1,36.8,18871
1439330400,37,36.86,37,36.81,2870
1439416800,36.86,37,37.1,36.86,3347
1439503200,36.9,36.86,37,36.8,5657
1439762400,36.8,36.95,37,36.8,2096
1439848800,36.95,37.1,37.1,36.95,2077
1439935200,37.2,37.05,37.3,36.95,6863
1440021600,37.05,37.05,37.05,36.98,12949
1440108000,36.98,37.05,37.35,36.91,4867
1440367200,37,36,37,35.5,12838
1440453600,36,36.5,36.67,36,23901
1440540000,36.5,36.5,36.55,36.3,1415
1440626400,36.79,36.7,36.79,36.65,2472
1440712800,37,37.6,37.6,36.99,8411
1440972000,37.49,37.6,37.7,37.45,1954
1441058400,37.6,37.8,37.8,37.03,3656
1441144800,37.6,37.6,37.9,37.11,36330
1441231200,37.8,39.1,39.1,37.5,140099
1441317600,39.1,39.29,39.49,39,6168
1441576800,39.05,38.8,39.3,38.6,34894
1441663200,38.5,37.8,38.7,37.6,29612
1441749600,37.8,38,38.55,37.8,12403
1441836000,38.02,38.5,38.5,38.02,6677
1441922400,38.8,37.85,38.8,37.85,8689
1442181600,37.6,37.8,37.8,36.61,13638
1442268000,37.8,37.37,37.8,37.3,628
1442354400,37.48,37.9,37.9,37.41,11568
1442440800,37.5,36.7,37.5,36.57,3052
1442527200,37.3,37.23,37.3,36.92,12330
1442786400,37.5,37.8,37.8,37.4,2066
1442872800,37.9,38.05,38.15,37.61,45197
1442959200,38.05,38.2,38.25,38.05,7033
1443045600,38.2,38.75,38.75,38.2,27933
1443132000,38.16,39.22,39.7,38.16,151360
1443391200,39.22,39,39.35,38.5,85429
1443477600,38.11,39,39.1,37.6,48254
1443564000,39.25,39.5,39.5,39,6170
1443650400,39.6,39.5,39.6,39.3,7261
1443736800,39,39.5,39.5,38.3,6415
1443996000,39.5,39.5,39.5,39.02,11965
1444082400,39.75,39.74,39.75,39.39,6276
1444168800,39.74,39.74,39.79,39.15,10562
1444255200,39.74,39.74,39.74,39.54,39521
1444341600,39.7,39.88,40.13,39.15,30740
1444600800,39.9,39.8,39.9,39.8,1510
1444687200,39.75,39.48,39.75,39.26,2286
1444773600,39.8,39.35,39.8,39.31,655
1444860000,39.3,39.49,39.49,39.3,8284
1444946400,39.49,39.7,39.7,39.36,9948
1445205600,39.42,39.57,39.7,39.42,1992
1445292000,39.65,39.65,39.7,39.42,1608
1445378400,39.31,39.65,39.65,39.31,13708
1445464800,39.6,39.65,39.69,39.6,1300
1445551200,39.5,39.79,39.8,39.5,48253
1445814000,39.8,40.4,40.5,39.8,4089
1445900400,40.4,40.65,41,40.4,46795
1445986800,40.6,40.84,40.92,40.5,11205
1446073200,40.84,40.86,40.86,40.15,14886
1446159600,40.8,40.8,40.8,40.51,2940
1446418800,40.3,40.8,40.8,40.3,3608
1446505200,40.8,41.13,41.13,40.8,4619
1446591600,41.03,41.03,41.4,41.03,1997
1446678000,41.03,41.18,41.2,40.8,2415
1446764400,41.18,41,41.48,40.8,18207
1447023600,41.4,40.9,41.4,40.5,47901
1447110000,40.8,40.6,40.8,40.41,568
1447282800,40.9,40.8,41,40.8,1060
1447369200,40.57,40.7,40.8,40.57,303
1447628400,39.99,39.9,40.7,39,16141
1447714800,40,39.9,40,39.9,4732
1447801200,39.9,39.9,39.95,39.61,1918
1447887600,39.9,39.9,40,39.82,8003
1447974000,39.85,39.94,40.1,39.82,1652
1448233200,39.9,39.9,39.9,39.8,6589
1448319600,39.9,39.9,39.99,39.08,3318
1448406000,39.9,39.9,39.9,39.46,5379
1448492400,39.9,39.91,40.24,39.9,12818
1448578800,39.91,39.9,39.91,39.88,25415
1448838000,39.9,39.9,39.93,39.62,1616
1448924400,39.65,39.74,39.9,39.6,4012
1449010800,39.11,39.79,39.88,39.11,5142
1449097200,39.79,39.85,39.9,39.48,4264
1449183600,39.88,39.3,39.88,38.7,8706
1449442800,38.93,39.6,40,38.93,13343
1449529200,39.01,39.26,39.9,39.01,19160
1449615600,39.2,39.1,39.39,38.61,7876
1449702000,38.2,38.36,38.8,38.2,1119
1449788400,38.3,36.03,38.3,35.11,2926
1450047600,36.5,35,36.5,34.65,10072
1450134000,34.88,36.16,36.16,34.88,2213
1450220400,36.16,37,37.55,36.16,7088
1450306800,37.66,38,38,37.11,5144
1450393200,37.1,38.38,38.49,37.1,101525
1450652400,38.38,38.6,38.8,38.25,57959
1450738800,38.8,38.9,39,38.6,3373
1450825200,38.81,39.5,39.95,38.81,52333
1451257200,39.85,40,40,39.25,55416
1451343600,40,39.11,40,39.11,5770
1451430000,39.4,39.9,39.93,39.4,1853
1451862000,39.5,39,39.5,38.75,1387
1451948400,39.21,39.21,39.21,39.21,700
1452121200,39,39,39,38.5,1108
1452207600,39,38.99,39,38.31,923
1452466800,39,38.31,39,38.02,58
1452553200,38.02,38.5,38.5,38.02,25641
1452639600,38.5,38.6,38.6,38.04,194
1452726000,38.02,38,38.02,37.65,6710
1452812400,38,38.15,38.35,37,4675
1453071600,38,37.55,38,36.82,18684
1453158000,37.4,37.2,37.4,36.53,1151
1453244400,37.18,37.5,37.5,36.15,2405
1453330800,37.5,36,37.5,36,2826
1453417200,36.01,35.6,36.5,35.6,1619
1453676400,37.38,37,37.38,36,157
1453762800,35.8,36.49,36.5,35.8,31178
1453849200,35.8,36.37,36.45,35.21,76084
1453935600,36.5,38.3,38.5,36.5,11269
1454022000,37.32,38.75,38.75,37.32,441
1454281200,37.8,38.45,38.6,37.8,250
1454367600,38.01,38.28,38.5,38.01,262
1454454000,38.5,38.5,38.5,38.11,985
1454540400,38.6,38.7,38.9,38.6,1665
1454626800,38.85,38.85,38.9,38.8,1311
1454886000,39,39,39,37.67,2846
1454972400,39,38.31,39,37.7,581
1455058800,38.5,38.51,38.6,38.5,1626
1455145200,38.7,38.5,38.7,38.03,421
1455231600,38.6,38.59,38.7,38.59,1813
1455490800,38.59,38.5,38.63,38.01,2728
1455577200,38.6,38.4,38.6,38.4,1375
1455663600,38,38.4,38.4,38,486
1455750000,38,38.2,38.6,37.51,484
1455836400,38.3,38.79,38.8,38.3,3325
