t,o,c,h,l,v
1196809200,40,39.1,42,39,4574
1196895600,40.65,40.3,40.65,39.05,1101
1196982000,40.35,40.34,40.35,40,718
1197241200,40.6,40.4,40.6,39.5,203
1197327600,40.55,42,42,40.55,270
1197414000,42,44.1,44.1,42,435
1197500400,45.6,45.6,45.6,45.6,23
1197586800,48.3,45.6,48.5,44,1368
1197846000,45.4,45,45.4,43.7,320
1197932400,45,45,45,45,10
1198018800,45.9,44,45.9,44,135
1198105200,43.7,42.4,43.7,42.3,1150
1198191600,42.05,44.1,44.1,42.05,130
1198710000,44,45.5,45.5,44,190
1198796400,45.9,45.9,45.9,45.9,1
1199228400,46,45.9,46,45.9,215
1199314800,45,45,45,44,470
1199401200,0,45,45,45,0
1199660400,42.35,44.5,44.5,42.35,610
1199746800,0,44.5,44.5,44.5,0
1199833200,43.4,43.5,43.5,43,1149
1199919600,43.5,43.5,43.5,43.5,710
1200006000,43.5,43.5,43.5,43.5,88
1200265200,0,43.5,43.5,43.5,0
1200351600,42.5,42.5,43.5,42.5,113
1200438000,40,38.5,40,38.5,350
1200524400,40,38,40,38,231
1200610800,38.9,39.5,39.5,38.9,7921
1200870000,39.5,39.5,39.5,39.5,301
1200956400,39,39,39,39,1122
1201042800,39,41,41,39,5174
1201129200,42,41.5,42.5,40.5,6795
1201215600,41,41.5,41.5,41,2130
1201474800,41.5,42,42,41.5,750
1201561200,42.49,43,43,42.49,690
1201647600,42.99,43.15,43.2,42.99,555
1201734000,43.5,43,43.5,41.4,1507
1201820400,43.5,44,44,43.5,1075
1202079600,44.98,44,45,44,3845
1202166000,44.5,44.99,44.99,44,7762
1202252400,44,44,44.99,44,1330
1202338800,44.4,44.4,44.4,44.4,149
1202425200,44.38,44,44.4,42.5,9201
1202684400,43.99,43.99,43.99,43.99,10
1202770800,43.2,43.2,43.2,43.2,47
1202857200,42,45,45,42,16300
1202943600,45,45,45.95,45,3685
1203030000,44.01,44.99,44.99,44,1200
1203289200,44.1,45.99,46,43.5,2983
1203375600,45,45,45.95,44.9,2800
1203462000,45.25,45.3,45.3,45.25,1166
1203548400,45.97,46,46,45.97,2294
1203634800,45.6,46.3,46.3,45.6,27053
1203894000,0,46.3,46.3,46.3,0
1203980400,45.85,46.1,46.17,44.01,1494
1204066800,45.18,46,46,45.18,524
1204153200,45.89,45,45.89,45,211
1204239600,44.01,43,44.01,43,807
1204498800,42.1,43.05,43.05,42.1,575
1204585200,43,42.4,43,42.4,10250
1204671600,0,42.4,42.4,42.4,0
1204758000,0,42.4,42.4,42.4,0
1204844400,42.9,42,43,42,933
1205103600,43,43,43,43,10
1205190000,42,42.95,42.95,42,1073
1205276400,42.5,42.5,42.5,42.5,10511
1205362800,42.5,42.88,42.88,42.5,20
1205449200,42.5,42.96,42.96,42.5,300
1205708400,41.6,41.6,41.6,41.6,50
1205794800,42,42,42,42,279
1205881200,41.02,40.1,42,40.1,1034
1205967600,41,40,41,40,205
1206399600,41.5,41.5,41.5,41.49,130
1206486000,41.9,41.5,41.9,41.5,51
1206572400,41,41.49,41.49,39,2615
1206658800,41.95,41.95,41.95,41.95,381
1206914400,41.94,41.94,41.94,41.94,55
1207000800,41.95,41.94,41.95,41.94,4
1207087200,41.5,41,41.94,40.5,6185
1207173600,41,40,41.4,40,1635
1207260000,40.9,39.5,40.9,39.5,210
1207519200,40,40.3,40.5,40,4301
1207605600,39.05,41,41,39.05,1097
1207692000,41,40.31,41,40.31,206
1207778400,41,41.8,41.86,40.7,1702
1207864800,41.8,41.5,41.8,41.5,450
1208124000,41.6,40,41.6,40,2416
1208210400,41.5,41.5,41.5,41.5,35
1208296800,41.49,41.48,41.49,41.48,52
1208383200,41.49,40,41.5,40,18110
1208469600,40.98,40.2,40.98,40.2,5500
1208728800,40,40,40,40,375
1208815200,39.8,39,39.9,39,482
1208901600,39.5,39.5,39.5,39.5,450
1208988000,39.01,39.01,39.01,39.01,70
1209074400,39.01,39.05,39.05,39.01,100
1209333600,39.01,39.01,39.01,39.01,80
1209420000,39.99,39.4,40,39.4,16018
1209506400,39,39,39,39,705
1209938400,39.01,39,39.01,39,240
1210024800,39,39,39,39,68
1210111200,39.48,39.48,39.48,39.48,20
1210197600,39,39,39,39,20
1210284000,39.5,39,39.5,39,77
1210543200,38.02,38,38.02,38,10220
1210629600,38,38,38,38,20
1210716000,38.6,38.6,38.6,38.6,85
1210802400,37.5,37,37.5,37,6400
1210888800,37,37,37,37,10
1211148000,37,37,37,37,277
1211234400,37,37,37,37,24
1211320800,36,35.5,36,35.5,5420
1211493600,0,35.5,35.5,35.5,0
1211752800,35.5,35.5,35.8,35.5,61
1211839200,35.5,35,35.5,35,68
1211925600,35.9,35.9,35.9,34.2,222
1212012000,36,36,36,36,10
1212098400,36,36,36,36,11
1212357600,35.1,35.1,35.1,35.1,220
1212444000,34.2,34.2,34.2,34,8431
1212530400,33.5,33.5,33.5,32,552
1212616800,34,34,34,34,10
1212703200,34.9,34.9,34.9,34.9,10
1212962400,35.35,35.3,35.35,33.8,90
1213048800,33.8,33.8,33.8,33.8,225
1213135200,33.4,34,34,32.3,389
1213221600,32.5,32.5,32.5,32.5,291
1213308000,32.5,33.6,33.6,32.5,263
1213567200,34,34,34,34,10
1213653600,34,34,34,32.5,175
1213740000,32.5,32.5,32.5,32.5,2243
1213826400,33.4,33.4,33.4,33.4,225
1213912800,32.55,32.55,32.55,32.55,235
1214172000,32,32.55,32.55,30.42,5331
1214258400,33.6,34.1,34.1,33.6,495
1214344800,0,34.1,34.1,34.1,0
1214431200,35.7,35.7,35.7,35.7,220
1214517600,35.88,35.88,35.88,35.88,10
1214776800,36.5,35.99,36.5,35.99,602
1214863200,35.4,35.4,35.4,35.4,11
1214949600,36.1,36.1,36.1,36.1,11
1215036000,36.3,36.29,36.3,36.29,131
1215122400,36.6,36.6,36.6,36.6,12
1215381600,36.5,35.31,36.5,35.31,40
1215468000,35.85,35.5,35.9,35.5,110
1215554400,36.25,36.25,36.25,36.25,11
1215640800,36.24,36.25,36.25,36.24,11
1215727200,35.6,35.6,35.6,35.6,11
1215986400,35.99,36,36,35.99,11
1216072800,35.25,35.99,35.99,35.25,25
1216159200,35.99,36,36,35.99,1440
1216245600,35,35,35,35,510
1216332000,35,35,35,35,12
1216591200,35,35,35,35,11
1216677600,34,33.29,34,31,1404
1216764000,33.29,33.29,33.29,33.29,11
1216850400,33.29,33.3,33.3,33.29,11
1216936800,33.3,33.3,33.3,33.3,11
1217196000,33.3,33.3,33.3,33.3,11
1217282400,33.3,33.3,33.3,33.3,11
1217368800,33.3,33.3,33.3,33.3,11
1217455200,33.3,33.3,33.3,33.3,11
1217541600,33.3,33.3,33.3,33.3,11
1217800800,31.9,33.3,33.3,31.9,130
1217887200,33.3,33.3,33.3,33.3,11
1217973600,33.3,33.3,33.3,33.3,11
1218060000,33.3,33.3,33.3,33.3,11
1218146400,33.3,33.5,33.5,33.3,260
1218405600,33.9,33.9,33.9,33.9,11
1218492000,33.8,33,33.8,32.3,1242
1218578400,32.3,33.9,33.9,32.3,245
1218664800,33.9,33.9,33.9,33.9,11
1219010400,33.9,33.9,33.9,33.9,16
1219096800,32.5,32.5,32.5,32.5,231
1219183200,33,33,33,33,5
1219269600,32,32,32,32,235
1219356000,32,32,32,32,1
1219615200,30.8,30.8,30.8,30.8,244
1219701600,0,30.8,30.8,30.8,0
1219788000,30.8,31.3,31.3,30.8,241
1219874400,0,31.3,31.3,31.3,0
1219960800,31.4,30.7,31.4,30.7,1146
1220220000,0,30.7,30.7,30.7,0
1220306400,31,31,31,31,13
1220392800,0,31,31,31,0
1220479200,31,31,31,30.5,646
1220565600,0,31,31,31,0
1220824800,0,31,31,31,0
1220911200,31,31,31,31,11
1220997600,31,31,31,31,10
1221084000,31,31,31,31,51
1221170400,31,30.5,31,30.5,262
1221429600,29.6,30.19,30.19,28.7,791
1221516000,29.28,29.28,29.28,29.28,260
1221602400,30.4,30,30.4,30,12
1221688800,30,30,30,30,11
1221775200,0,30,30,30,0
1222034400,30.75,30.75,30.75,30.75,244
1222120800,31.35,31.35,31.35,31.35,240
1222207200,31.5,31,32,31,730
1222293600,32,31,32,31,42
1222380000,0,31,31,31,0
1222639200,30.3,30,30.3,30,508
