t,o,c,h,l,v
1212012000,0.15,0.24,0.27,0.12,6049162
1212098400,0.23,0.18,0.24,0.18,802421
1212357600,0.2,0.17,0.2,0.16,271051
1212444000,0.15,0.18,0.18,0.15,161392
1212530400,0.18,0.17,0.18,0.16,28276
1212616800,0.16,0.16,0.18,0.15,144021
1212703200,0.15,0.16,0.17,0.14,307323
1212962400,0.15,0.15,0.16,0.15,126999
1213048800,0.16,0.14,0.16,0.14,47208
1213135200,0.15,0.14,0.15,0.13,111028
1213221600,0.14,0.14,0.14,0.13,26034
1213308000,0.14,0.15,0.15,0.14,370
1213567200,0.15,0.13,0.15,0.13,24196
1213653600,0.13,0.13,0.14,0.13,129886
1213740000,0.13,0.12,0.13,0.12,52579
1213826400,0.12,0.13,0.13,0.11,30201
1213912800,0.13,0.13,0.13,0.12,12150
1214172000,0.13,0.13,0.13,0.13,50
1214258400,0.12,0.13,0.13,0.12,4376
1214344800,0.13,0.13,0.13,0.12,69302
1214431200,0.13,0.12,0.13,0.11,93623
1214517600,0.11,0.12,0.12,0.11,25727
1214776800,0.13,0.13,0.13,0.13,150
1214863200,0.11,0.13,0.13,0.11,12450
1214949600,0.13,0.13,0.13,0.12,16041
1215036000,0.13,0.16,0.17,0.13,378138
1215122400,0.16,0.15,0.16,0.13,28800
1215381600,0.14,0.14,0.14,0.13,38119
1215468000,0.14,0.14,0.15,0.14,161543
1215554400,0.14,0.16,0.16,0.14,17352
1215640800,0.15,0.15,0.16,0.14,65224
1215727200,0.14,0.15,0.15,0.14,6457
1215986400,0.14,0.14,0.15,0.14,8180
1216072800,0.13,0.14,0.14,0.13,52520
1216159200,0.13,0.14,0.14,0.13,34067
1216245600,0.14,0.13,0.14,0.13,36179
1216332000,0.13,0.13,0.14,0.13,20108
1216591200,0.13,0.13,0.13,0.13,100
1216677600,0.13,0.14,0.14,0.13,32443
1216764000,0.14,0.14,0.14,0.14,1100
1216850400,0.14,0.15,0.15,0.13,5930
1216936800,0.15,0.14,0.15,0.14,6715
1217196000,0.14,0.14,0.14,0.14,6186
1217282400,0.14,0.14,0.14,0.14,1980
1217368800,0.14,0.14,0.14,0.14,6726
1217455200,0.14,0.14,0.14,0.14,20800
1217541600,0.14,0.14,0.14,0.14,100
1217800800,0.14,0.14,0.14,0.14,5122
1217887200,0.14,0.14,0.15,0.14,36601
1217973600,0.14,0.14,0.14,0.14,54435
1218060000,0.14,0.14,0.15,0.14,61414
1218146400,0.14,0.14,0.14,0.14,44478
1218405600,0.14,0.14,0.15,0.14,36375
1218492000,0.14,0.14,0.14,0.14,13914
1218578400,0.15,0.14,0.15,0.14,3000
1218664800,0.14,0.14,0.14,0.14,100
1219010400,0.14,0.14,0.14,0.14,102678
1219096800,0.14,0.14,0.14,0.14,80950
1219183200,0.14,0.14,0.14,0.14,1440
1219269600,0.14,0.14,0.14,0.14,51100
1219356000,0.14,0.15,0.15,0.14,1100
1219615200,0.15,0.14,0.15,0.14,10100
1219701600,0.14,0.14,0.14,0.14,35590
1219788000,0.14,0.14,0.14,0.14,6100
1219874400,0.14,0.14,0.14,0.14,20100
1219960800,0.14,0.14,0.14,0.14,10574
1220220000,0.14,0.14,0.14,0.14,26618
1220306400,0.14,0.16,0.16,0.14,75918
1220392800,0.16,0.15,0.16,0.15,1100
1220479200,0.16,0.16,0.16,0.16,2000
1220565600,0.16,0.16,0.16,0.16,20100
1220824800,0.16,0.16,0.16,0.16,100
1220911200,0.16,0.15,0.16,0.15,5957
1220997600,0.15,0.15,0.15,0.15,4643
1221084000,0.15,0.15,0.15,0.15,100
1221170400,0.15,0.15,0.15,0.15,20100
1221429600,0.16,0.16,0.16,0.16,1200
1221516000,0.16,0.14,0.16,0.14,7043
1221602400,0.14,0.14,0.14,0.14,100
1221688800,0.14,0.16,0.16,0.14,18100
1221775200,0.16,0.15,0.16,0.15,2100
1222034400,0.15,0.15,0.15,0.15,4297
1222120800,0.15,0.15,0.15,0.15,5203
1222207200,0.16,0.16,0.16,0.16,100
1222293600,0.16,0.16,0.16,0.16,100
1222380000,0.16,0.16,0.16,0.13,1300
1222639200,0.16,0.17,0.17,0.13,6200
1222725600,0.16,0.16,0.16,0.16,350
1222812000,0.16,0.16,0.16,0.16,100
1222898400,0.16,0.16,0.16,0.16,100
1222984800,0.16,0.16,0.16,0.16,100
1223244000,0.16,0.16,0.16,0.16,7277
1223330400,0.16,0.16,0.16,0.16,7038
1223416800,0.16,0.16,0.16,0.16,100
1223503200,0.16,0.15,0.16,0.13,10344
1223589600,0.14,0.12,0.14,0.1,75415
1223848800,0.12,0.12,0.13,0.12,1300
1223935200,0.12,0.14,0.14,0.12,1657
1224021600,0.14,0.14,0.14,0.14,100
1224108000,0.14,0.13,0.14,0.11,18300
1224194400,0,0.13,0.13,0.13,0
1224453600,0.11,0.13,0.13,0.11,15090
1224540000,0.13,0.1,0.13,0.1,11110
1224626400,0.11,0.1,0.11,0.1,21763
1224712800,0.1,0.09,0.1,0.09,20100
1224799200,0.09,0.1,0.1,0.09,2337
1225062000,0.1,0.1,0.1,0.1,100
1225148400,0.11,0.12,0.12,0.11,3013
1225234800,0.12,0.12,0.12,0.12,2600
1225321200,0.12,0.12,0.12,0.12,3880
1225407600,0,0.12,0.12,0.12,0
1225666800,0.12,0.12,0.12,0.12,100
1225753200,0.12,0.12,0.12,0.12,100
1225839600,0.12,0.12,0.12,0.12,100
1225926000,0.12,0.12,0.12,0.1,1200
1226012400,0.12,0.12,0.12,0.12,900
1226271600,0.1,0.1,0.1,0.1,1000
1226444400,0.12,0.12,0.12,0.12,1
1226530800,0.12,0.12,0.12,0.12,100
1226617200,0.12,0.12,0.12,0.12,100
1226876400,0.12,0.11,0.12,0.11,4707
1226962800,0.1,0.1,0.1,0.1,1234
